game,2010,1,20100912,201009120oti,rai,"Oakland Raiders",13,oti,"Tennessee Titans",38
team,201009120oti,rai,First Downs,21,,,,,,
team,201009120oti,oti,First Downs,17,,,,,,
team,201009120oti,rai,Rush-Yds-TDs,26-136-0,,,,,,
team,201009120oti,oti,Rush-Yds-TDs,39-205-3,,,,,,
team,201009120oti,rai,Cmp-Att-Yd-TD-INT,22-37-180-1-1,,,,,,
team,201009120oti,oti,Cmp-Att-Yd-TD-INT,13-17-154-2-0,,,,,,
team,201009120oti,rai,Sacked-Yards,4-30,,,,,,
team,201009120oti,oti,Sacked-Yards,2-14,,,,,,
team,201009120oti,rai,Net Pass Yards,150,,,,,,
team,201009120oti,oti,Net Pass Yards,140,,,,,,
team,201009120oti,rai,Total Yards,286,,,,,,
team,201009120oti,oti,Total Yards,345,,,,,,
team,201009120oti,rai,Fumbles-Lost,4-1,,,,,,
team,201009120oti,oti,Fumbles-Lost,2-1,,,,,,
team,201009120oti,rai,Turnovers,2,,,,,,
team,201009120oti,oti,Turnovers,1,,,,,,
team,201009120oti,rai,Penalties-Yards,10-77,,,,,,
team,201009120oti,oti,Penalties-Yards,8-81,,,,,,
team,201009120oti,rai,Third Down Conv.,3-14,,,,,,
team,201009120oti,oti,Third Down Conv.,8-15,,,,,,
team,201009120oti,rai,Fourth Down Conv.,0-2,,,,,,
team,201009120oti,oti,Fourth Down Conv.,0-0,,,,,,
team,201009120oti,rai,Time of Possession,28:56,,,,,,
team,201009120oti,oti,Time of Possession,31:04,,,,,,
player,201009120oti,rai,CampJa00,pass_cmp,22,,,,,
player,201009120oti,rai,CampJa00,pass_att,37,,,,,
player,201009120oti,rai,CampJa00,pass_yds,180,,,,,
player,201009120oti,rai,CampJa00,pass_td,1,,,,,
player,201009120oti,rai,CampJa00,pass_int,1,,,,,
player,201009120oti,rai,CampJa00,pass_sacked,4,,,,,
player,201009120oti,rai,CampJa00,pass_sacked_yds,30,,,,,
player,201009120oti,rai,CampJa00,pass_long,27,,,,,
player,201009120oti,rai,CampJa00,pass_rating,69.7,,,,,
player,201009120oti,rai,CampJa00,rush_att,7,,,,,
player,201009120oti,rai,CampJa00,rush_yds,35,,,,,
player,201009120oti,rai,CampJa00,rush_td,0,,,,,
player,201009120oti,rai,CampJa00,rush_long,16,,,,,
player,201009120oti,rai,CampJa00,targets,0,,,,,
player,201009120oti,rai,CampJa00,rec,0,,,,,
player,201009120oti,rai,CampJa00,rec_yds,0,,,,,
player,201009120oti,rai,CampJa00,rec_td,0,,,,,
player,201009120oti,rai,CampJa00,rec_long,0,,,,,
player,201009120oti,rai,CampJa00,fumbles,2,,,,,
player,201009120oti,rai,CampJa00,fumbles_lost,1,,,,,
player,201009120oti,rai,McFaDa00,pass_cmp,0,,,,,
player,201009120oti,rai,McFaDa00,pass_att,0,,,,,
player,201009120oti,rai,McFaDa00,pass_yds,0,,,,,
player,201009120oti,rai,McFaDa00,pass_td,0,,,,,
player,201009120oti,rai,McFaDa00,pass_int,0,,,,,
player,201009120oti,rai,McFaDa00,pass_sacked,,,,,,
player,201009120oti,rai,McFaDa00,pass_sacked_yds,,,,,,
player,201009120oti,rai,McFaDa00,pass_long,0,,,,,
player,201009120oti,rai,McFaDa00,pass_rating,,,,,,
player,201009120oti,rai,McFaDa00,rush_att,18,,,,,
player,201009120oti,rai,McFaDa00,rush_yds,95,,,,,
player,201009120oti,rai,McFaDa00,rush_td,0,,,,,
player,201009120oti,rai,McFaDa00,rush_long,13,,,,,
player,201009120oti,rai,McFaDa00,targets,9,,,,,
player,201009120oti,rai,McFaDa00,rec,6,,,,,
player,201009120oti,rai,McFaDa00,rec_yds,55,,,,,
player,201009120oti,rai,McFaDa00,rec_td,1,,,,,
player,201009120oti,rai,McFaDa00,rec_long,16,,,,,
player,201009120oti,rai,McFaDa00,fumbles,0,,,,,
player,201009120oti,rai,McFaDa00,fumbles_lost,,,,,,
player,201009120oti,rai,BennMi00,pass_cmp,0,,,,,
player,201009120oti,rai,BennMi00,pass_att,0,,,,,
player,201009120oti,rai,BennMi00,pass_yds,0,,,,,
player,201009120oti,rai,BennMi00,pass_td,0,,,,,
player,201009120oti,rai,BennMi00,pass_int,0,,,,,
player,201009120oti,rai,BennMi00,pass_sacked,,,,,,
player,201009120oti,rai,BennMi00,pass_sacked_yds,,,,,,
player,201009120oti,rai,BennMi00,pass_long,0,,,,,
player,201009120oti,rai,BennMi00,pass_rating,,,,,,
player,201009120oti,rai,BennMi00,rush_att,1,,,,,
player,201009120oti,rai,BennMi00,rush_yds,6,,,,,
player,201009120oti,rai,BennMi00,rush_td,0,,,,,
player,201009120oti,rai,BennMi00,rush_long,6,,,,,
player,201009120oti,rai,BennMi00,targets,2,,,,,
player,201009120oti,rai,BennMi00,rec,2,,,,,
player,201009120oti,rai,BennMi00,rec_yds,9,,,,,
player,201009120oti,rai,BennMi00,rec_td,0,,,,,
player,201009120oti,rai,BennMi00,rec_long,6,,,,,
player,201009120oti,rai,BennMi00,fumbles,0,,,,,
player,201009120oti,rai,BennMi00,fumbles_lost,,,,,,
player,201009120oti,rai,MillZa01,pass_cmp,0,,,,,
player,201009120oti,rai,MillZa01,pass_att,0,,,,,
player,201009120oti,rai,MillZa01,pass_yds,0,,,,,
player,201009120oti,rai,MillZa01,pass_td,0,,,,,
player,201009120oti,rai,MillZa01,pass_int,0,,,,,
player,201009120oti,rai,MillZa01,pass_sacked,,,,,,
player,201009120oti,rai,MillZa01,pass_sacked_yds,,,,,,
player,201009120oti,rai,MillZa01,pass_long,0,,,,,
player,201009120oti,rai,MillZa01,pass_rating,,,,,,
player,201009120oti,rai,MillZa01,rush_att,0,,,,,
player,201009120oti,rai,MillZa01,rush_yds,0,,,,,
player,201009120oti,rai,MillZa01,rush_td,0,,,,,
player,201009120oti,rai,MillZa01,rush_long,0,,,,,
player,201009120oti,rai,MillZa01,targets,8,,,,,
player,201009120oti,rai,MillZa01,rec,4,,,,,
player,201009120oti,rai,MillZa01,rec_yds,43,,,,,
player,201009120oti,rai,MillZa01,rec_td,0,,,,,
player,201009120oti,rai,MillZa01,rec_long,27,,,,,
player,201009120oti,rai,MillZa01,fumbles,0,,,,,
player,201009120oti,rai,MillZa01,fumbles_lost,,,,,,
player,201009120oti,rai,MurpLo00,pass_cmp,0,,,,,
player,201009120oti,rai,MurpLo00,pass_att,0,,,,,
player,201009120oti,rai,MurpLo00,pass_yds,0,,,,,
player,201009120oti,rai,MurpLo00,pass_td,0,,,,,
player,201009120oti,rai,MurpLo00,pass_int,0,,,,,
player,201009120oti,rai,MurpLo00,pass_sacked,,,,,,
player,201009120oti,rai,MurpLo00,pass_sacked_yds,,,,,,
player,201009120oti,rai,MurpLo00,pass_long,0,,,,,
player,201009120oti,rai,MurpLo00,pass_rating,,,,,,
player,201009120oti,rai,MurpLo00,rush_att,0,,,,,
player,201009120oti,rai,MurpLo00,rush_yds,0,,,,,
player,201009120oti,rai,MurpLo00,rush_td,0,,,,,
player,201009120oti,rai,MurpLo00,rush_long,0,,,,,
player,201009120oti,rai,MurpLo00,targets,7,,,,,
player,201009120oti,rai,MurpLo00,rec,4,,,,,
player,201009120oti,rai,MurpLo00,rec_yds,28,,,,,
player,201009120oti,rai,MurpLo00,rec_td,0,,,,,
player,201009120oti,rai,MurpLo00,rec_long,16,,,,,
player,201009120oti,rai,MurpLo00,fumbles,0,,,,,
player,201009120oti,rai,MurpLo00,fumbles_lost,,,,,,
player,201009120oti,rai,FiguYa00,pass_cmp,0,,,,,
player,201009120oti,rai,FiguYa00,pass_att,0,,,,,
player,201009120oti,rai,FiguYa00,pass_yds,0,,,,,
player,201009120oti,rai,FiguYa00,pass_td,0,,,,,
player,201009120oti,rai,FiguYa00,pass_int,0,,,,,
player,201009120oti,rai,FiguYa00,pass_sacked,,,,,,
player,201009120oti,rai,FiguYa00,pass_sacked_yds,,,,,,
player,201009120oti,rai,FiguYa00,pass_long,0,,,,,
player,201009120oti,rai,FiguYa00,pass_rating,,,,,,
player,201009120oti,rai,FiguYa00,rush_att,0,,,,,
player,201009120oti,rai,FiguYa00,rush_yds,0,,,,,
player,201009120oti,rai,FiguYa00,rush_td,0,,,,,
player,201009120oti,rai,FiguYa00,rush_long,0,,,,,
player,201009120oti,rai,FiguYa00,targets,2,,,,,
player,201009120oti,rai,FiguYa00,rec,2,,,,,
