game,2010,2,20100919,201009190sdg,jax,"Jacksonville Jaguars",13,sdg,"San Diego Chargers",38
team,201009190sdg,jax,First Downs,20,,,,,,
team,201009190sdg,sdg,First Downs,25,,,,,,
team,201009190sdg,jax,Rush-Yds-TDs,24-71-0,,,,,,
team,201009190sdg,sdg,Rush-Yds-TDs,30-151-2,,,,,,
team,201009190sdg,jax,Cmp-Att-Yd-TD-INT,26-42-293-1-4,,,,,,
team,201009190sdg,sdg,Cmp-Att-Yd-TD-INT,22-29-334-3-2,,,,,,
team,201009190sdg,jax,Sacked-Yards,2-14,,,,,,
team,201009190sdg,sdg,Sacked-Yards,1-8,,,,,,
team,201009190sdg,jax,Net Pass Yards,279,,,,,,
team,201009190sdg,sdg,Net Pass Yards,326,,,,,,
team,201009190sdg,jax,Total Yards,350,,,,,,
team,201009190sdg,sdg,Total Yards,477,,,,,,
team,201009190sdg,jax,Fumbles-Lost,2-2,,,,,,
team,201009190sdg,sdg,Fumbles-Lost,1-1,,,,,,
team,201009190sdg,jax,Turnovers,6,,,,,,
team,201009190sdg,sdg,Turnovers,3,,,,,,
team,201009190sdg,jax,Penalties-Yards,5-33,,,,,,
team,201009190sdg,sdg,Penalties-Yards,4-25,,,,,,
team,201009190sdg,jax,Third Down Conv.,6-12,,,,,,
team,201009190sdg,sdg,Third Down Conv.,4-8,,,,,,
team,201009190sdg,jax,Fourth Down Conv.,1-3,,,,,,
team,201009190sdg,sdg,Fourth Down Conv.,0-0,,,,,,
team,201009190sdg,jax,Time of Possession,30:24,,,,,,
team,201009190sdg,sdg,Time of Possession,29:36,,,,,,
player,201009190sdg,jax,GarrDa00,pass_cmp,15,,,,,
player,201009190sdg,jax,GarrDa00,pass_att,23,,,,,
player,201009190sdg,jax,GarrDa00,pass_yds,173,,,,,
player,201009190sdg,jax,GarrDa00,pass_td,1,,,,,
player,201009190sdg,jax,GarrDa00,pass_int,4,,,,,
player,201009190sdg,jax,GarrDa00,pass_sacked,2,,,,,
player,201009190sdg,jax,GarrDa00,pass_sacked_yds,14,,,,,
player,201009190sdg,jax,GarrDa00,pass_long,26,,,,,
player,201009190sdg,jax,GarrDa00,pass_rating,62.7,,,,,
player,201009190sdg,jax,GarrDa00,rush_att,1,,,,,
player,201009190sdg,jax,GarrDa00,rush_yds,-1,,,,,
player,201009190sdg,jax,GarrDa00,rush_td,0,,,,,
player,201009190sdg,jax,GarrDa00,rush_long,-1,,,,,
player,201009190sdg,jax,GarrDa00,targets,0,,,,,
player,201009190sdg,jax,GarrDa00,rec,0,,,,,
player,201009190sdg,jax,GarrDa00,rec_yds,0,,,,,
player,201009190sdg,jax,GarrDa00,rec_td,0,,,,,
player,201009190sdg,jax,GarrDa00,rec_long,0,,,,,
player,201009190sdg,jax,GarrDa00,fumbles,0,,,,,
player,201009190sdg,jax,GarrDa00,fumbles_lost,,,,,,
player,201009190sdg,jax,McCoLu00,pass_cmp,11,,,,,
player,201009190sdg,jax,McCoLu00,pass_att,19,,,,,
player,201009190sdg,jax,McCoLu00,pass_yds,120,,,,,
player,201009190sdg,jax,McCoLu00,pass_td,0,,,,,
player,201009190sdg,jax,McCoLu00,pass_int,0,,,,,
player,201009190sdg,jax,McCoLu00,pass_sacked,0,,,,,
player,201009190sdg,jax,McCoLu00,pass_sacked_yds,0,,,,,
player,201009190sdg,jax,McCoLu00,pass_long,25,,,,,
player,201009190sdg,jax,McCoLu00,pass_rating,76.6,,,,,
player,201009190sdg,jax,McCoLu00,rush_att,1,,,,,
player,201009190sdg,jax,McCoLu00,rush_yds,4,,,,,
player,201009190sdg,jax,McCoLu00,rush_td,0,,,,,
player,201009190sdg,jax,McCoLu00,rush_long,4,,,,,
player,201009190sdg,jax,McCoLu00,targets,0,,,,,
player,201009190sdg,jax,McCoLu00,rec,0,,,,,
player,201009190sdg,jax,McCoLu00,rec_yds,0,,,,,
player,201009190sdg,jax,McCoLu00,rec_td,0,,,,,
player,201009190sdg,jax,McCoLu00,rec_long,0,,,,,
player,201009190sdg,jax,McCoLu00,fumbles,0,,,,,
player,201009190sdg,jax,McCoLu00,fumbles_lost,,,,,,
player,201009190sdg,jax,JennRa00,pass_cmp,0,,,,,
player,201009190sdg,jax,JennRa00,pass_att,0,,,,,
player,201009190sdg,jax,JennRa00,pass_yds,0,,,,,
player,201009190sdg,jax,JennRa00,pass_td,0,,,,,
player,201009190sdg,jax,JennRa00,pass_int,0,,,,,
player,201009190sdg,jax,JennRa00,pass_sacked,,,,,,
player,201009190sdg,jax,JennRa00,pass_sacked_yds,,,,,,
player,201009190sdg,jax,JennRa00,pass_long,0,,,,,
player,201009190sdg,jax,JennRa00,pass_rating,,,,,,
player,201009190sdg,jax,JennRa00,rush_att,9,,,,,
player,201009190sdg,jax,JennRa00,rush_yds,38,,,,,
player,201009190sdg,jax,JennRa00,rush_td,0,,,,,
player,201009190sdg,jax,JennRa00,rush_long,10,,,,,
player,201009190sdg,jax,JennRa00,targets,5,,,,,
player,201009190sdg,jax,JennRa00,rec,4,,,,,
player,201009190sdg,jax,JennRa00,rec_yds,50,,,,,
player,201009190sdg,jax,JennRa00,rec_td,0,,,,,
player,201009190sdg,jax,JennRa00,rec_long,25,,,,,
player,201009190sdg,jax,JennRa00,fumbles,0,,,,,
player,201009190sdg,jax,JennRa00,fumbles_lost,,,,,,
player,201009190sdg,jax,DrewMa00,pass_cmp,0,,,,,
player,201009190sdg,jax,DrewMa00,pass_att,0,,,,,
player,201009190sdg,jax,DrewMa00,pass_yds,0,,,,,
player,201009190sdg,jax,DrewMa00,pass_td,0,,,,,
player,201009190sdg,jax,DrewMa00,pass_int,0,,,,,
player,201009190sdg,jax,DrewMa00,pass_sacked,0,,,,,
player,201009190sdg,jax,DrewMa00,pass_sacked_yds,,,,,,
player,201009190sdg,jax,DrewMa00,pass_long,0,,,,,
player,201009190sdg,jax,DrewMa00,pass_rating,,,,,,
player,201009190sdg,jax,DrewMa00,rush_att,12,,,,,
player,201009190sdg,jax,DrewMa00,rush_yds,31,,,,,
player,201009190sdg,jax,DrewMa00,rush_td,0,,,,,
player,201009190sdg,jax,DrewMa00,rush_long,7,,,,,
player,201009190sdg,jax,DrewMa00,targets,1,,,,,
player,201009190sdg,jax,DrewMa00,rec,1,,,,,
player,201009190sdg,jax,DrewMa00,rec_yds,17,,,,,
player,201009190sdg,jax,DrewMa00,rec_td,0,,,,,
player,201009190sdg,jax,DrewMa00,rec_long,17,,,,,
player,201009190sdg,jax,DrewMa00,fumbles,1,,,,,
player,201009190sdg,jax,DrewMa00,fumbles_lost,1,,,,,
player,201009190sdg,jax,WalkMi01,pass_cmp,0,,,,,
player,201009190sdg,jax,WalkMi01,pass_att,0,,,,,
player,201009190sdg,jax,WalkMi01,pass_yds,0,,,,,
player,201009190sdg,jax,WalkMi01,pass_td,0,,,,,
player,201009190sdg,jax,WalkMi01,pass_int,0,,,,,
player,201009190sdg,jax,WalkMi01,pass_sacked,,,,,,
player,201009190sdg,jax,WalkMi01,pass_sacked_yds,,,,,,
player,201009190sdg,jax,WalkMi01,pass_long,0,,,,,
player,201009190sdg,jax,WalkMi01,pass_rating,,,,,,
player,201009190sdg,jax,WalkMi01,rush_att,0,,,,,
player,201009190sdg,jax,WalkMi01,rush_yds,0,,,,,
player,201009190sdg,jax,WalkMi01,rush_td,0,,,,,
player,201009190sdg,jax,WalkMi01,rush_long,0,,,,,
player,201009190sdg,jax,WalkMi01,targets,12,,,,,
player,201009190sdg,jax,WalkMi01,rec,10,,,,,
player,201009190sdg,jax,WalkMi01,rec_yds,105,,,,,
player,201009190sdg,jax,WalkMi01,rec_td,1,,,,,
player,201009190sdg,jax,WalkMi01,rec_long,20,,,,,
player,201009190sdg,jax,WalkMi01,fumbles,1,,,,,
player,201009190sdg,jax,WalkMi01,fumbles_lost,1,,,,,
player,201009190sdg,jax,LewiMa00,pass_cmp,0,,,,,
player,201009190sdg,jax,LewiMa00,pass_att,0,,,,,
player,201009190sdg,jax,LewiMa00,pass_yds,0,,,,,
player,201009190sdg,jax,LewiMa00,pass_td,0,,,,,
player,201009190sdg,jax,LewiMa00,pass_int,0,,,,,
player,201009190sdg,jax,LewiMa00,pass_sacked,,,,,,
player,201009190sdg,jax,LewiMa00,pass_sacked_yds,,,,,,
player,201009190sdg,jax,LewiMa00,pass_long,0,,,,,
player,201009190sdg,jax,LewiMa00,pass_rating,,,,,,
player,201009190sdg,jax,LewiMa00,rush_att,0,,,,,
player,201009190sdg,jax,LewiMa00,rush_yds,0,,,,,
player,201009190sdg,jax,LewiMa00,rush_td,0,,,,,
player,201009190sdg,jax,LewiMa00,rush_long,0,,,,,
player,201009190sdg,jax,LewiMa00,targets,9,,,,,
player,201009190sdg,jax,LewiMa00,rec,5,,,,,
player,201009190sdg,jax,LewiMa00,rec_yds,70,,,,,
player,201009190sdg,jax,LewiMa00,rec_td,0,,,,,
player,201009190sdg,jax,LewiMa00,rec_long,26,,,,,
player,201009190sdg,jax,LewiMa00,fumbles,0,,,,,
player,201009190sdg,jax,LewiMa00,fumbles_lost,,,,,,
player,201009190sdg,jax,JoneGr01,pass_cmp,0,,,,,
player,201009190sdg,jax,JoneGr01,pass_att,0,,,,,
player,201009190sdg,jax,JoneGr01,pass_yds,0,,,,,
player,201009190sdg,jax,JoneGr01,pass_td,0,,,,,
player,201009190sdg,jax,JoneGr01,pass_int,0,,,,,
player,201009190sdg,jax,JoneGr01,pass_sacked,,,,,,
player,201009190sdg,jax,JoneGr01,pass_sacked_yds,,,,,,
player,201009190sdg,jax,JoneGr01,pass_long,0,,,,,
player,201009190sdg,jax,JoneGr01,pass_rating,,,,,,
player,201009190sdg,jax,JoneGr01,rush_att,0,,,,,
player,201009190sdg,jax,JoneGr01,rush_yds,0,,,,,
player,201009190sdg,jax,JoneGr01,rush_td,0,,,,,
player,201009190sdg,jax,JoneGr01,rush_long,0,,,,,
player,201009190sdg,jax,JoneGr01,targets,1,,,,,
player,201009190sdg,jax,JoneGr01,rec,1,,,,,
player,201009190sdg,jax,JoneGr01,rec_yds,5,,,,,
player,201009190sdg,jax,JoneGr01,rec_td,0,,,,,
player,201009190sdg,jax,JoneGr01,rec_long,5,,,,,
player,201009190sdg,jax,JoneGr01,fumbles,0,,,,,
player,201009190sdg,jax,JoneGr01,fumbles_lost,,,,,,
player,201009190sdg,jax,WilfEr00,pass_cmp,0,,,,,
player,201009190sdg,jax,WilfEr00,pass_att,0,,,,,
player,201009190sdg,jax,WilfEr00,pass_yds,0,,,,,
player,201009190sdg,jax,WilfEr00,pass_td,0,,,,,
player,201009190sdg,jax,WilfEr00,pass_int,0,,,,,
player,201009190sdg,jax,WilfEr00,pass_sacked,,,,,,
player,201009190sdg,jax,WilfEr00,pass_sacked_yds,,,,,,
player,201009190sdg,jax,WilfEr00,pass_long,0,,,,,
player,201009190sdg,jax,WilfEr00,pass_rating,,,,,,
player,201009190sdg,jax,WilfEr00,rush_att,0,,,,,
player,201009190sdg,jax,WilfEr00,rush_yds,0,,,,,
player,201009190sdg,jax,WilfEr00,rush_td,0,,,,,
player,201009190sdg,jax,WilfEr00,rush_long,0,,,,,
player,201009190sdg,jax,WilfEr00,targets,1,,,,,
player,201009190sdg,jax,WilfEr00,rec,1,,,,,
player,201009190sdg,jax,WilfEr00,rec_yds,3,,,,,
player,201009190sdg,jax,WilfEr00,rec_td,0,,,,,
player,201009190sdg,jax,WilfEr00,rec_long,3,,,,,
player,201009190sdg,jax,WilfEr00,fumbles,0,,,,,
player,201009190sdg,jax,WilfEr00,fumbles_lost,,,,,,
player,201009190sdg,jax,UndeTi00,pass_cmp,0,,,,,
player,201009190sdg,jax,UndeTi00,pass_att,0,,,,,
player,201009190sdg,jax,UndeTi00,pass_yds,0,,,,,
player,201009190sdg,jax,UndeTi00,pass_td,0,,,,,
player,201009190sdg,jax,UndeTi00,pass_int,0,,,,,
player,201009190sdg,jax,UndeTi00,pass_sacked,,,,,,
player,201009190sdg,jax,UndeTi00,pass_sacked_yds,,,,,,
player,201009190sdg,jax,UndeTi00,pass_long,0,,,,,
player,201009190sdg,jax,UndeTi00,pass_rating,,,,,,
player,201009190sdg,jax,UndeTi00,rush_att,0,,,,,
player,201009190sdg,jax,UndeTi00,rush_yds,0,,,,,
player,201009190sdg,jax,UndeTi00,rush_td,0,,,,,
player,201009190sdg,jax,UndeTi00,rush_long,0,,,,,
player,201009190sdg,jax,UndeTi00,targets,2,,,,,
player,201009190sdg,jax,UndeTi00,rec,0,,,,,
player,201009190sdg,jax,UndeTi00,rec_yds,0,,,,,
player,201009190sdg,jax,UndeTi00,rec_td,0,,,,,
player,201009190sdg,jax,UndeTi00,rec_long,0,,,,,
player,201009190sdg,jax,UndeTi00,fumbles,0,,,,,
player,201009190sdg,jax,UndeTi00,fumbles_lost,,,,,,
player,201009190sdg,jax,ThomMi01,pass_cmp,0,,,,,
player,201009190sdg,jax,ThomMi01,pass_att,0,,,,,
player,201009190sdg,jax,ThomMi01,pass_yds,0,,,,,
player,201009190sdg,jax,ThomMi01,pass_td,0,,,,,
player,201009190sdg,jax,ThomMi01,pass_int,0,,,,,
player,201009190sdg,jax,ThomMi01,pass_sacked,,,,,,
player,201009190sdg,jax,ThomMi01,pass_sacked_yds,,,,,,
player,201009190sdg,jax,ThomMi01,pass_long,0,,,,,
player,201009190sdg,jax,ThomMi01,pass_rating,,,,,,
player,201009190sdg,jax,ThomMi01,rush_att,1,,,,,
player,201009190sdg,jax,ThomMi01,rush_yds,-1,,,,,
player,201009190sdg,jax,ThomMi01,rush_td,0,,,,,
player,201009190sdg,jax,ThomMi01,rush_long,-1,,,,,
player,201009190sdg,jax,ThomMi01,targets,8,,,,,
player,201009190sdg,jax,ThomMi01,rec,4,,,,,
player,201009190sdg,jax,ThomMi01,rec_yds,43,,,,,
player,201009190sdg,jax,ThomMi01,rec_td,0,,,,,
player,201009190sdg,jax,ThomMi01,rec_long,20,,,,,
player,201009190sdg,jax,ThomMi01,fumbles,0,,,,,
player,201009190sdg,jax,ThomMi01,fumbles_lost,,,,,,
player,201009190sdg,jax,OsgoKa00,pass_cmp,,,,,,
player,201009190sdg,jax,OsgoKa00,pass_att,,,,,,
player,201009190sdg,jax,OsgoKa00,pass_yds,,,,,,
player,201009190sdg,jax,OsgoKa00,pass_td,,,,,,
player,201009190sdg,jax,OsgoKa00,pass_int,,,,,,
player,201009190sdg,jax,OsgoKa00,pass_sacked,,,,,,
player,201009190sdg,jax,OsgoKa00,pass_sacked_yds,,,,,,
player,201009190sdg,jax,OsgoKa00,pass_long,,,,,,
player,201009190sdg,jax,OsgoKa00,pass_rating,,,,,,
player,201009190sdg,jax,OsgoKa00,rush_att,,,,,,
player,201009190sdg,jax,OsgoKa00,rush_yds,,,,,,
player,201009190sdg,jax,OsgoKa00,rush_td,,,,,,
player,201009190sdg,jax,OsgoKa00,rush_long,,,,,,
player,201009190sdg,jax,OsgoKa00,targets,2,,,,,
player,201009190sdg,jax,OsgoKa00,rec,0,,,,,
player,201009190sdg,jax,OsgoKa00,rec_yds,0,,,,,
player,201009190sdg,jax,OsgoKa00,rec_td,0,,,,,
player,201009190sdg,jax,OsgoKa00,rec_long,,,,,,
player,201009190sdg,jax,OsgoKa00,fumbles,,,,,,
player,201009190sdg,jax,OsgoKa00,fumbles_lost,,,,,,
player,201009190sdg,sdg,RivePh00,pass_cmp,22,,,,,
player,201009190sdg,sdg,RivePh00,pass_att,29,,,,,
player,201009190sdg,sdg,RivePh00,pass_yds,334,,,,,
player,201009190sdg,sdg,RivePh00,pass_td,3,,,,,
player,201009190sdg,sdg,RivePh00,pass_int,2,,,,,
player,201009190sdg,sdg,RivePh00,pass_sacked,1,,,,,
player,201009190sdg,sdg,RivePh00,pass_sacked_yds,8,,,,,
player,201009190sdg,sdg,RivePh00,pass_long,54,,,,,
player,201009190sdg,sdg,RivePh00,pass_rating,119.0,,,,,
player,201009190sdg,sdg,RivePh00,rush_att,0,,,,,
player,201009190sdg,sdg,RivePh00,rush_yds,0,,,,,
player,201009190sdg,sdg,RivePh00,rush_td,0,,,,,
player,201009190sdg,sdg,RivePh00,rush_long,0,,,,,
player,201009190sdg,sdg,RivePh00,targets,0,,,,,
player,201009190sdg,sdg,RivePh00,rec,0,,,,,
player,201009190sdg,sdg,RivePh00,rec_yds,0,,,,,
player,201009190sdg,sdg,RivePh00,rec_td,0,,,,,
player,201009190sdg,sdg,RivePh00,rec_long,0,,,,,
player,201009190sdg,sdg,RivePh00,fumbles,0,,,,,
player,201009190sdg,sdg,RivePh00,fumbles_lost,,,,,,
player,201009190sdg,sdg,TolbMi00,pass_cmp,0,,,,,
player,201009190sdg,sdg,TolbMi00,pass_att,0,,,,,
player,201009190sdg,sdg,TolbMi00,pass_yds,0,,,,,
player,201009190sdg,sdg,TolbMi00,pass_td,0,,,,,
player,201009190sdg,sdg,TolbMi00,pass_int,0,,,,,
player,201009190sdg,sdg,TolbMi00,pass_sacked,,,,,,
player,201009190sdg,sdg,TolbMi00,pass_sacked_yds,,,,,,
player,201009190sdg,sdg,TolbMi00,pass_long,0,,,,,
player,201009190sdg,sdg,TolbMi00,pass_rating,,,,,,
player,201009190sdg,sdg,TolbMi00,rush_att,16,,,,,
player,201009190sdg,sdg,TolbMi00,rush_yds,82,,,,,
