game,2010,3,20100926,201009260sea,sdg,"San Diego Chargers",20,sea,"Seattle Seahawks",27
team,201009260sea,sdg,First Downs,27,,,,,,
team,201009260sea,sea,First Downs,13,,,,,,
team,201009260sea,sdg,Rush-Yds-TDs,21-89-0,,,,,,
team,201009260sea,sea,Rush-Yds-TDs,21-68-0,,,,,,
team,201009260sea,sdg,Cmp-Att-Yd-TD-INT,29-53-455-2-2,,,,,,
team,201009260sea,sea,Cmp-Att-Yd-TD-INT,19-32-220-1-1,,,,,,
team,201009260sea,sdg,Sacked-Yards,4-26,,,,,,
team,201009260sea,sea,Sacked-Yards,3-17,,,,,,
team,201009260sea,sdg,Net Pass Yards,429,,,,,,
team,201009260sea,sea,Net Pass Yards,203,,,,,,
team,201009260sea,sdg,Total Yards,518,,,,,,
team,201009260sea,sea,Total Yards,271,,,,,,
team,201009260sea,sdg,Fumbles-Lost,3-3,,,,,,
team,201009260sea,sea,Fumbles-Lost,1-1,,,,,,
team,201009260sea,sdg,Turnovers,5,,,,,,
team,201009260sea,sea,Turnovers,2,,,,,,
team,201009260sea,sdg,Penalties-Yards,11-83,,,,,,
team,201009260sea,sea,Penalties-Yards,5-32,,,,,,
team,201009260sea,sdg,Third Down Conv.,6-14,,,,,,
team,201009260sea,sea,Third Down Conv.,6-13,,,,,,
team,201009260sea,sdg,Fourth Down Conv.,0-2,,,,,,
team,201009260sea,sea,Fourth Down Conv.,0-0,,,,,,
team,201009260sea,sdg,Time of Possession,36:04,,,,,,
team,201009260sea,sea,Time of Possession,23:56,,,,,,
player,201009260sea,sdg,RivePh00,pass_cmp,29,,,,,
player,201009260sea,sdg,RivePh00,pass_att,53,,,,,
player,201009260sea,sdg,RivePh00,pass_yds,455,,,,,
player,201009260sea,sdg,RivePh00,pass_td,2,,,,,
player,201009260sea,sdg,RivePh00,pass_int,2,,,,,
player,201009260sea,sdg,RivePh00,pass_sacked,4,,,,,
player,201009260sea,sdg,RivePh00,pass_sacked_yds,26,,,,,
player,201009260sea,sdg,RivePh00,pass_long,49,,,,,
player,201009260sea,sdg,RivePh00,pass_rating,80.3,,,,,
player,201009260sea,sdg,RivePh00,rush_att,1,,,,,
player,201009260sea,sdg,RivePh00,rush_yds,2,,,,,
player,201009260sea,sdg,RivePh00,rush_td,0,,,,,
player,201009260sea,sdg,RivePh00,rush_long,2,,,,,
player,201009260sea,sdg,RivePh00,targets,0,,,,,
player,201009260sea,sdg,RivePh00,rec,0,,,,,
player,201009260sea,sdg,RivePh00,rec_yds,0,,,,,
player,201009260sea,sdg,RivePh00,rec_td,0,,,,,
player,201009260sea,sdg,RivePh00,rec_long,0,,,,,
player,201009260sea,sdg,RivePh00,fumbles,0,,,,,
player,201009260sea,sdg,RivePh00,fumbles_lost,,,,,,
player,201009260sea,sdg,TolbMi00,pass_cmp,0,,,,,
player,201009260sea,sdg,TolbMi00,pass_att,0,,,,,
player,201009260sea,sdg,TolbMi00,pass_yds,0,,,,,
player,201009260sea,sdg,TolbMi00,pass_td,0,,,,,
player,201009260sea,sdg,TolbMi00,pass_int,0,,,,,
player,201009260sea,sdg,TolbMi00,pass_sacked,,,,,,
player,201009260sea,sdg,TolbMi00,pass_sacked_yds,,,,,,
player,201009260sea,sdg,TolbMi00,pass_long,0,,,,,
player,201009260sea,sdg,TolbMi00,pass_rating,,,,,,
player,201009260sea,sdg,TolbMi00,rush_att,17,,,,,
player,201009260sea,sdg,TolbMi00,rush_yds,73,,,,,
player,201009260sea,sdg,TolbMi00,rush_td,0,,,,,
player,201009260sea,sdg,TolbMi00,rush_long,13,,,,,
player,201009260sea,sdg,TolbMi00,targets,4,,,,,
player,201009260sea,sdg,TolbMi00,rec,3,,,,,
player,201009260sea,sdg,TolbMi00,rec_yds,17,,,,,
player,201009260sea,sdg,TolbMi00,rec_td,0,,,,,
player,201009260sea,sdg,TolbMi00,rec_long,8,,,,,
player,201009260sea,sdg,TolbMi00,fumbles,1,,,,,
player,201009260sea,sdg,TolbMi00,fumbles_lost,1,,,,,
player,201009260sea,sdg,SproDa00,pass_cmp,0,,,,,
player,201009260sea,sdg,SproDa00,pass_att,0,,,,,
player,201009260sea,sdg,SproDa00,pass_yds,0,,,,,
player,201009260sea,sdg,SproDa00,pass_td,0,,,,,
player,201009260sea,sdg,SproDa00,pass_int,0,,,,,
player,201009260sea,sdg,SproDa00,pass_sacked,,,,,,
player,201009260sea,sdg,SproDa00,pass_sacked_yds,,,,,,
player,201009260sea,sdg,SproDa00,pass_long,0,,,,,
player,201009260sea,sdg,SproDa00,pass_rating,,,,,,
player,201009260sea,sdg,SproDa00,rush_att,1,,,,,
player,201009260sea,sdg,SproDa00,rush_yds,16,,,,,
player,201009260sea,sdg,SproDa00,rush_td,0,,,,,
player,201009260sea,sdg,SproDa00,rush_long,16,,,,,
player,201009260sea,sdg,SproDa00,targets,4,,,,,
player,201009260sea,sdg,SproDa00,rec,1,,,,,
player,201009260sea,sdg,SproDa00,rec_yds,10,,,,,
player,201009260sea,sdg,SproDa00,rec_td,0,,,,,
player,201009260sea,sdg,SproDa00,rec_long,10,,,,,
player,201009260sea,sdg,SproDa00,fumbles,1,,,,,
player,201009260sea,sdg,SproDa00,fumbles_lost,1,,,,,
player,201009260sea,sdg,GateAn00,pass_cmp,0,,,,,
player,201009260sea,sdg,GateAn00,pass_att,0,,,,,
player,201009260sea,sdg,GateAn00,pass_yds,0,,,,,
player,201009260sea,sdg,GateAn00,pass_td,0,,,,,
player,201009260sea,sdg,GateAn00,pass_int,0,,,,,
player,201009260sea,sdg,GateAn00,pass_sacked,,,,,,
player,201009260sea,sdg,GateAn00,pass_sacked_yds,,,,,,
player,201009260sea,sdg,GateAn00,pass_long,0,,,,,
player,201009260sea,sdg,GateAn00,pass_rating,,,,,,
player,201009260sea,sdg,GateAn00,rush_att,0,,,,,
player,201009260sea,sdg,GateAn00,rush_yds,0,,,,,
player,201009260sea,sdg,GateAn00,rush_td,0,,,,,
player,201009260sea,sdg,GateAn00,rush_long,0,,,,,
player,201009260sea,sdg,GateAn00,targets,13,,,,,
player,201009260sea,sdg,GateAn00,rec,7,,,,,
