game,2010,4,20101003,201010030buf,nyj,"New York Jets",38,buf,"Buffalo Bills",14
team,201010030buf,nyj,First Downs,25,,,,,,
team,201010030buf,buf,First Downs,12,,,,,,
team,201010030buf,nyj,Rush-Yds-TDs,49-273-2,,,,,,
team,201010030buf,buf,Rush-Yds-TDs,16-114-0,,,,,,
team,201010030buf,nyj,Cmp-Att-Yd-TD-INT,16-26-171-3-0,,,,,,
team,201010030buf,buf,Cmp-Att-Yd-TD-INT,12-27-128-2-0,,,,,,
team,201010030buf,nyj,Sacked-Yards,0-0,,,,,,
team,201010030buf,buf,Sacked-Yards,3-19,,,,,,
team,201010030buf,nyj,Net Pass Yards,171,,,,,,
team,201010030buf,buf,Net Pass Yards,109,,,,,,
team,201010030buf,nyj,Total Yards,444,,,,,,
team,201010030buf,buf,Total Yards,223,,,,,,
team,201010030buf,nyj,Fumbles-Lost,1-0,,,,,,
team,201010030buf,buf,Fumbles-Lost,2-2,,,,,,
team,201010030buf,nyj,Turnovers,0,,,,,,
team,201010030buf,buf,Turnovers,2,,,,,,
team,201010030buf,nyj,Penalties-Yards,4-30,,,,,,
team,201010030buf,buf,Penalties-Yards,3-32,,,,,,
team,201010030buf,nyj,Third Down Conv.,7-15,,,,,,
team,201010030buf,buf,Third Down Conv.,0-10,,,,,,
team,201010030buf,nyj,Fourth Down Conv.,0-0,,,,,,
team,201010030buf,buf,Fourth Down Conv.,1-1,,,,,,
team,201010030buf,nyj,Time of Possession,40:29,,,,,,
team,201010030buf,buf,Time of Possession,19:31,,,,,,
player,201010030buf,nyj,SancMa00,pass_cmp,14,,,,,
player,201010030buf,nyj,SancMa00,pass_att,24,,,,,
player,201010030buf,nyj,SancMa00,pass_yds,161,,,,,
player,201010030buf,nyj,SancMa00,pass_td,2,,,,,
player,201010030buf,nyj,SancMa00,pass_int,0,,,,,
player,201010030buf,nyj,SancMa00,pass_sacked,0,,,,,
player,201010030buf,nyj,SancMa00,pass_sacked_yds,0,,,,,
player,201010030buf,nyj,SancMa00,pass_long,41,,,,,
player,201010030buf,nyj,SancMa00,pass_rating,106.4,,,,,
player,201010030buf,nyj,SancMa00,rush_att,1,,,,,
player,201010030buf,nyj,SancMa00,rush_yds,0,,,,,
player,201010030buf,nyj,SancMa00,rush_td,0,,,,,
player,201010030buf,nyj,SancMa00,rush_long,0,,,,,
player,201010030buf,nyj,SancMa00,targets,0,,,,,
player,201010030buf,nyj,SancMa00,rec,0,,,,,
player,201010030buf,nyj,SancMa00,rec_yds,0,,,,,
player,201010030buf,nyj,SancMa00,rec_td,0,,,,,
player,201010030buf,nyj,SancMa00,rec_long,0,,,,,
player,201010030buf,nyj,SancMa00,fumbles,1,,,,,
player,201010030buf,nyj,SancMa00,fumbles_lost,0,,,,,
player,201010030buf,nyj,SmitBr01,pass_cmp,1,,,,,
player,201010030buf,nyj,SmitBr01,pass_att,1,,,,,
player,201010030buf,nyj,SmitBr01,pass_yds,3,,,,,
player,201010030buf,nyj,SmitBr01,pass_td,1,,,,,
player,201010030buf,nyj,SmitBr01,pass_int,0,,,,,
player,201010030buf,nyj,SmitBr01,pass_sacked,0,,,,,
player,201010030buf,nyj,SmitBr01,pass_sacked_yds,0,,,,,
player,201010030buf,nyj,SmitBr01,pass_long,3,,,,,
player,201010030buf,nyj,SmitBr01,pass_rating,118.7,,,,,
player,201010030buf,nyj,SmitBr01,rush_att,3,,,,,
player,201010030buf,nyj,SmitBr01,rush_yds,11,,,,,
player,201010030buf,nyj,SmitBr01,rush_td,0,,,,,
player,201010030buf,nyj,SmitBr01,rush_long,8,,,,,
player,201010030buf,nyj,SmitBr01,targets,0,,,,,
player,201010030buf,nyj,SmitBr01,rec,0,,,,,
player,201010030buf,nyj,SmitBr01,rec_yds,0,,,,,
player,201010030buf,nyj,SmitBr01,rec_td,0,,,,,
player,201010030buf,nyj,SmitBr01,rec_long,0,,,,,
player,201010030buf,nyj,SmitBr01,fumbles,0,,,,,
player,201010030buf,nyj,SmitBr01,fumbles_lost,,,,,,
player,201010030buf,nyj,BrunMa00,pass_cmp,1,,,,,
player,201010030buf,nyj,BrunMa00,pass_att,1,,,,,
player,201010030buf,nyj,BrunMa00,pass_yds,7,,,,,
player,201010030buf,nyj,BrunMa00,pass_td,0,,,,,
player,201010030buf,nyj,BrunMa00,pass_int,0,,,,,
player,201010030buf,nyj,BrunMa00,pass_sacked,0,,,,,
player,201010030buf,nyj,BrunMa00,pass_sacked_yds,0,,,,,
player,201010030buf,nyj,BrunMa00,pass_long,7,,,,,
player,201010030buf,nyj,BrunMa00,pass_rating,95.8,,,,,
player,201010030buf,nyj,BrunMa00,rush_att,0,,,,,
player,201010030buf,nyj,BrunMa00,rush_yds,0,,,,,
player,201010030buf,nyj,BrunMa00,rush_td,0,,,,,
player,201010030buf,nyj,BrunMa00,rush_long,0,,,,,
player,201010030buf,nyj,BrunMa00,targets,0,,,,,
player,201010030buf,nyj,BrunMa00,rec,0,,,,,
player,201010030buf,nyj,BrunMa00,rec_yds,0,,,,,
player,201010030buf,nyj,BrunMa00,rec_td,0,,,,,
player,201010030buf,nyj,BrunMa00,rec_long,0,,,,,
player,201010030buf,nyj,BrunMa00,fumbles,0,,,,,
player,201010030buf,nyj,BrunMa00,fumbles_lost,,,,,,
player,201010030buf,nyj,TomlLa00,pass_cmp,0,,,,,
player,201010030buf,nyj,TomlLa00,pass_att,0,,,,,
player,201010030buf,nyj,TomlLa00,pass_yds,0,,,,,
player,201010030buf,nyj,TomlLa00,pass_td,0,,,,,
player,201010030buf,nyj,TomlLa00,pass_int,0,,,,,
player,201010030buf,nyj,TomlLa00,pass_sacked,,,,,,
player,201010030buf,nyj,TomlLa00,pass_sacked_yds,,,,,,
player,201010030buf,nyj,TomlLa00,pass_long,0,,,,,
player,201010030buf,nyj,TomlLa00,pass_rating,,,,,,
player,201010030buf,nyj,TomlLa00,rush_att,19,,,,,
player,201010030buf,nyj,TomlLa00,rush_yds,133,,,,,
player,201010030buf,nyj,TomlLa00,rush_td,2,,,,,
player,201010030buf,nyj,TomlLa00,rush_long,26,,,,,
player,201010030buf,nyj,TomlLa00,targets,4,,,,,
player,201010030buf,nyj,TomlLa00,rec,3,,,,,
player,201010030buf,nyj,TomlLa00,rec_yds,22,,,,,
player,201010030buf,nyj,TomlLa00,rec_td,0,,,,,
player,201010030buf,nyj,TomlLa00,rec_long,10,,,,,
player,201010030buf,nyj,TomlLa00,fumbles,0,,,,,
player,201010030buf,nyj,TomlLa00,fumbles_lost,,,,,,
player,201010030buf,nyj,GreeSh00,pass_cmp,0,,,,,
player,201010030buf,nyj,GreeSh00,pass_att,0,,,,,
player,201010030buf,nyj,GreeSh00,pass_yds,0,,,,,
player,201010030buf,nyj,GreeSh00,pass_td,0,,,,,
