game,2010,5,20101010,201010100rav,den,"Denver Broncos",17,rav,"Baltimore Ravens",31
team,201010100rav,den,First Downs,16,,,,,,
team,201010100rav,rav,First Downs,28,,,,,,
team,201010100rav,den,Rush-Yds-TDs,13-39-0,,,,,,
team,201010100rav,rav,Rush-Yds-TDs,47-233-4,,,,,,
team,201010100rav,den,Cmp-Att-Yd-TD-INT,23-38-314-2-0,,,,,,
team,201010100rav,rav,Cmp-Att-Yd-TD-INT,14-25-196-0-0,,,,,,
team,201010100rav,den,Sacked-Yards,1-7,,,,,,
team,201010100rav,rav,Sacked-Yards,1-14,,,,,,
team,201010100rav,den,Net Pass Yards,307,,,,,,
team,201010100rav,rav,Net Pass Yards,182,,,,,,
team,201010100rav,den,Total Yards,346,,,,,,
team,201010100rav,rav,Total Yards,415,,,,,,
team,201010100rav,den,Fumbles-Lost,1-1,,,,,,
team,201010100rav,rav,Fumbles-Lost,0-0,,,,,,
team,201010100rav,den,Turnovers,1,,,,,,
team,201010100rav,rav,Turnovers,0,,,,,,
team,201010100rav,den,Penalties-Yards,10-90,,,,,,
team,201010100rav,rav,Penalties-Yards,5-66,,,,,,
team,201010100rav,den,Third Down Conv.,5-13,,,,,,
team,201010100rav,rav,Third Down Conv.,7-13,,,,,,
team,201010100rav,den,Fourth Down Conv.,0-0,,,,,,
team,201010100rav,rav,Fourth Down Conv.,0-1,,,,,,
team,201010100rav,den,Time of Possession,23:43,,,,,,
team,201010100rav,rav,Time of Possession,36:17,,,,,,
player,201010100rav,den,OrtoKy00,pass_cmp,23,,,,,
player,201010100rav,den,OrtoKy00,pass_att,38,,,,,
player,201010100rav,den,OrtoKy00,pass_yds,314,,,,,
player,201010100rav,den,OrtoKy00,pass_td,2,,,,,
player,201010100rav,den,OrtoKy00,pass_int,0,,,,,
player,201010100rav,den,OrtoKy00,pass_sacked,1,,,,,
player,201010100rav,den,OrtoKy00,pass_sacked_yds,7,,,,,
player,201010100rav,den,OrtoKy00,pass_long,44,,,,,
player,201010100rav,den,OrtoKy00,pass_rating,104.5,,,,,
player,201010100rav,den,OrtoKy00,rush_att,0,,,,,
player,201010100rav,den,OrtoKy00,rush_yds,0,,,,,
player,201010100rav,den,OrtoKy00,rush_td,0,,,,,
player,201010100rav,den,OrtoKy00,rush_long,0,,,,,
player,201010100rav,den,OrtoKy00,targets,0,,,,,
player,201010100rav,den,OrtoKy00,rec,0,,,,,
player,201010100rav,den,OrtoKy00,rec_yds,0,,,,,
player,201010100rav,den,OrtoKy00,rec_td,0,,,,,
player,201010100rav,den,OrtoKy00,rec_long,0,,,,,
player,201010100rav,den,OrtoKy00,fumbles,0,,,,,
player,201010100rav,den,OrtoKy00,fumbles_lost,,,,,,
player,201010100rav,den,MaroLa00,pass_cmp,0,,,,,
player,201010100rav,den,MaroLa00,pass_att,0,,,,,
player,201010100rav,den,MaroLa00,pass_yds,0,,,,,
player,201010100rav,den,MaroLa00,pass_td,0,,,,,
player,201010100rav,den,MaroLa00,pass_int,0,,,,,
player,201010100rav,den,MaroLa00,pass_sacked,,,,,,
player,201010100rav,den,MaroLa00,pass_sacked_yds,,,,,,
player,201010100rav,den,MaroLa00,pass_long,0,,,,,
player,201010100rav,den,MaroLa00,pass_rating,,,,,,
player,201010100rav,den,MaroLa00,rush_att,6,,,,,
player,201010100rav,den,MaroLa00,rush_yds,27,,,,,
player,201010100rav,den,MaroLa00,rush_td,0,,,,,
player,201010100rav,den,MaroLa00,rush_long,13,,,,,
player,201010100rav,den,MaroLa00,targets,0,,,,,
player,201010100rav,den,MaroLa00,rec,0,,,,,
player,201010100rav,den,MaroLa00,rec_yds,0,,,,,
player,201010100rav,den,MaroLa00,rec_td,0,,,,,
player,201010100rav,den,MaroLa00,rec_long,0,,,,,
player,201010100rav,den,MaroLa00,fumbles,0,,,,,
player,201010100rav,den,MaroLa00,fumbles_lost,,,,,,
player,201010100rav,den,BuckCo00,pass_cmp,0,,,,,
player,201010100rav,den,BuckCo00,pass_att,0,,,,,
player,201010100rav,den,BuckCo00,pass_yds,0,,,,,
player,201010100rav,den,BuckCo00,pass_td,0,,,,,
player,201010100rav,den,BuckCo00,pass_int,0,,,,,
player,201010100rav,den,BuckCo00,pass_sacked,,,,,,
player,201010100rav,den,BuckCo00,pass_sacked_yds,,,,,,
player,201010100rav,den,BuckCo00,pass_long,0,,,,,
player,201010100rav,den,BuckCo00,pass_rating,,,,,,
player,201010100rav,den,BuckCo00,rush_att,5,,,,,
player,201010100rav,den,BuckCo00,rush_yds,13,,,,,
player,201010100rav,den,BuckCo00,rush_td,0,,,,,
player,201010100rav,den,BuckCo00,rush_long,8,,,,,
