game,2010,6,20101017,201010170ram,sdg,"San Diego Chargers",17,ram,"St. Louis Rams",20
team,201010170ram,sdg,First Downs,22,,,,,,
team,201010170ram,ram,First Downs,20,,,,,,
team,201010170ram,sdg,Rush-Yds-TDs,17-79-1,,,,,,
team,201010170ram,ram,Rush-Yds-TDs,35-117-1,,,,,,
team,201010170ram,sdg,Cmp-Att-Yd-TD-INT,22-37-249-1-1,,,,,,
team,201010170ram,ram,Cmp-Att-Yd-TD-INT,18-31-198-1-0,,,,,,
team,201010170ram,sdg,Sacked-Yards,7-41,,,,,,
team,201010170ram,ram,Sacked-Yards,3-15,,,,,,
team,201010170ram,sdg,Net Pass Yards,208,,,,,,
team,201010170ram,ram,Net Pass Yards,183,,,,,,
team,201010170ram,sdg,Total Yards,287,,,,,,
team,201010170ram,ram,Total Yards,300,,,,,,
team,201010170ram,sdg,Fumbles-Lost,0-0,,,,,,
team,201010170ram,ram,Fumbles-Lost,1-0,,,,,,
team,201010170ram,sdg,Turnovers,1,,,,,,
team,201010170ram,ram,Turnovers,0,,,,,,
team,201010170ram,sdg,Penalties-Yards,6-31,,,,,,
team,201010170ram,ram,Penalties-Yards,6-35,,,,,,
team,201010170ram,sdg,Third Down Conv.,4-12,,,,,,
team,201010170ram,ram,Third Down Conv.,7-17,,,,,,
team,201010170ram,sdg,Fourth Down Conv.,0-0,,,,,,
team,201010170ram,ram,Fourth Down Conv.,0-0,,,,,,
team,201010170ram,sdg,Time of Possession,26:37,,,,,,
team,201010170ram,ram,Time of Possession,33:23,,,,,,
player,201010170ram,sdg,RivePh00,pass_cmp,22,,,,,
player,201010170ram,sdg,RivePh00,pass_att,37,,,,,
player,201010170ram,sdg,RivePh00,pass_yds,249,,,,,
player,201010170ram,sdg,RivePh00,pass_td,1,,,,,
player,201010170ram,sdg,RivePh00,pass_int,1,,,,,
player,201010170ram,sdg,RivePh00,pass_sacked,7,,,,,
player,201010170ram,sdg,RivePh00,pass_sacked_yds,41,,,,,
player,201010170ram,sdg,RivePh00,pass_long,29,,,,,
player,201010170ram,sdg,RivePh00,pass_rating,77.4,,,,,
player,201010170ram,sdg,RivePh00,rush_att,0,,,,,
player,201010170ram,sdg,RivePh00,rush_yds,0,,,,,
player,201010170ram,sdg,RivePh00,rush_td,0,,,,,
player,201010170ram,sdg,RivePh00,rush_long,0,,,,,
player,201010170ram,sdg,RivePh00,targets,0,,,,,
player,201010170ram,sdg,RivePh00,rec,0,,,,,
player,201010170ram,sdg,RivePh00,rec_yds,0,,,,,
player,201010170ram,sdg,RivePh00,rec_td,0,,,,,
player,201010170ram,sdg,RivePh00,rec_long,0,,,,,
player,201010170ram,sdg,RivePh00,fumbles,0,,,,,
player,201010170ram,sdg,RivePh00,fumbles_lost,,,,,,
player,201010170ram,sdg,MathRy00,pass_cmp,0,,,,,
player,201010170ram,sdg,MathRy00,pass_att,0,,,,,
player,201010170ram,sdg,MathRy00,pass_yds,0,,,,,
player,201010170ram,sdg,MathRy00,pass_td,0,,,,,
player,201010170ram,sdg,MathRy00,pass_int,0,,,,,
player,201010170ram,sdg,MathRy00,pass_sacked,,,,,,
player,201010170ram,sdg,MathRy00,pass_sacked_yds,,,,,,
player,201010170ram,sdg,MathRy00,pass_long,0,,,,,
player,201010170ram,sdg,MathRy00,pass_rating,,,,,,
player,201010170ram,sdg,MathRy00,rush_att,12,,,,,
player,201010170ram,sdg,MathRy00,rush_yds,64,,,,,
player,201010170ram,sdg,MathRy00,rush_td,0,,,,,
player,201010170ram,sdg,MathRy00,rush_long,19,,,,,
player,201010170ram,sdg,MathRy00,targets,4,,,,,
player,201010170ram,sdg,MathRy00,rec,3,,,,,
player,201010170ram,sdg,MathRy00,rec_yds,12,,,,,
player,201010170ram,sdg,MathRy00,rec_td,0,,,,,
player,201010170ram,sdg,MathRy00,rec_long,11,,,,,
player,201010170ram,sdg,MathRy00,fumbles,0,,,,,
player,201010170ram,sdg,MathRy00,fumbles_lost,,,,,,
player,201010170ram,sdg,SproDa00,pass_cmp,0,,,,,
player,201010170ram,sdg,SproDa00,pass_att,0,,,,,
player,201010170ram,sdg,SproDa00,pass_yds,0,,,,,
player,201010170ram,sdg,SproDa00,pass_td,0,,,,,
player,201010170ram,sdg,SproDa00,pass_int,0,,,,,
player,201010170ram,sdg,SproDa00,pass_sacked,,,,,,
player,201010170ram,sdg,SproDa00,pass_sacked_yds,,,,,,
player,201010170ram,sdg,SproDa00,pass_long,0,,,,,
player,201010170ram,sdg,SproDa00,pass_rating,,,,,,
player,201010170ram,sdg,SproDa00,rush_att,1,,,,,
player,201010170ram,sdg,SproDa00,rush_yds,9,,,,,
player,201010170ram,sdg,SproDa00,rush_td,0,,,,,
player,201010170ram,sdg,SproDa00,rush_long,9,,,,,
player,201010170ram,sdg,SproDa00,targets,6,,,,,
player,201010170ram,sdg,SproDa00,rec,5,,,,,
player,201010170ram,sdg,SproDa00,rec_yds,48,,,,,
player,201010170ram,sdg,SproDa00,rec_td,0,,,,,
player,201010170ram,sdg,SproDa00,rec_long,11,,,,,
player,201010170ram,sdg,SproDa00,fumbles,0,,,,,
player,201010170ram,sdg,SproDa00,fumbles_lost,,,,,,
player,201010170ram,sdg,HestJa00,pass_cmp,0,,,,,
player,201010170ram,sdg,HestJa00,pass_att,0,,,,,
player,201010170ram,sdg,HestJa00,pass_yds,0,,,,,
player,201010170ram,sdg,HestJa00,pass_td,0,,,,,
player,201010170ram,sdg,HestJa00,pass_int,0,,,,,
player,201010170ram,sdg,HestJa00,pass_sacked,,,,,,
player,201010170ram,sdg,HestJa00,pass_sacked_yds,,,,,,
player,201010170ram,sdg,HestJa00,pass_long,0,,,,,
player,201010170ram,sdg,HestJa00,pass_rating,,,,,,
player,201010170ram,sdg,HestJa00,rush_att,1,,,,,
player,201010170ram,sdg,HestJa00,rush_yds,3,,,,,
player,201010170ram,sdg,HestJa00,rush_td,0,,,,,
player,201010170ram,sdg,HestJa00,rush_long,3,,,,,
player,201010170ram,sdg,HestJa00,targets,1,,,,,
player,201010170ram,sdg,HestJa00,rec,1,,,,,
player,201010170ram,sdg,HestJa00,rec_yds,6,,,,,
player,201010170ram,sdg,HestJa00,rec_td,0,,,,,
player,201010170ram,sdg,HestJa00,rec_long,6,,,,,
player,201010170ram,sdg,HestJa00,fumbles,0,,,,,
player,201010170ram,sdg,HestJa00,fumbles_lost,,,,,,
player,201010170ram,sdg,TolbMi00,pass_cmp,0,,,,,
player,201010170ram,sdg,TolbMi00,pass_att,0,,,,,
player,201010170ram,sdg,TolbMi00,pass_yds,0,,,,,
player,201010170ram,sdg,TolbMi00,pass_td,0,,,,,
player,201010170ram,sdg,TolbMi00,pass_int,0,,,,,
player,201010170ram,sdg,TolbMi00,pass_sacked,,,,,,
player,201010170ram,sdg,TolbMi00,pass_sacked_yds,,,,,,
player,201010170ram,sdg,TolbMi00,pass_long,0,,,,,
player,201010170ram,sdg,TolbMi00,pass_rating,,,,,,
player,201010170ram,sdg,TolbMi00,rush_att,3,,,,,
player,201010170ram,sdg,TolbMi00,rush_yds,3,,,,,
player,201010170ram,sdg,TolbMi00,rush_td,1,,,,,
player,201010170ram,sdg,TolbMi00,rush_long,1,,,,,
player,201010170ram,sdg,TolbMi00,targets,0,,,,,
player,201010170ram,sdg,TolbMi00,rec,0,,,,,
player,201010170ram,sdg,TolbMi00,rec_yds,0,,,,,
player,201010170ram,sdg,TolbMi00,rec_td,0,,,,,
player,201010170ram,sdg,TolbMi00,rec_long,0,,,,,
player,201010170ram,sdg,TolbMi00,fumbles,0,,,,,
player,201010170ram,sdg,TolbMi00,fumbles_lost,,,,,,
player,201010170ram,sdg,CrayPa00,pass_cmp,0,,,,,
player,201010170ram,sdg,CrayPa00,pass_att,0,,,,,
player,201010170ram,sdg,CrayPa00,pass_yds,0,,,,,
player,201010170ram,sdg,CrayPa00,pass_td,0,,,,,
player,201010170ram,sdg,CrayPa00,pass_int,0,,,,,
player,201010170ram,sdg,CrayPa00,pass_sacked,0,,,,,
player,201010170ram,sdg,CrayPa00,pass_sacked_yds,,,,,,
player,201010170ram,sdg,CrayPa00,pass_long,0,,,,,
player,201010170ram,sdg,CrayPa00,pass_rating,,,,,,
player,201010170ram,sdg,CrayPa00,rush_att,0,,,,,
player,201010170ram,sdg,CrayPa00,rush_yds,0,,,,,
player,201010170ram,sdg,CrayPa00,rush_td,0,,,,,
player,201010170ram,sdg,CrayPa00,rush_long,0,,,,,
