game,2010,7,20101024,201010240atl,cin,"Cincinnati Bengals",32,atl,"Atlanta Falcons",39
team,201010240atl,cin,First Downs,28,,,,,,
team,201010240atl,atl,First Downs,22,,,,,,
team,201010240atl,cin,Rush-Yds-TDs,21-84-0,,,,,,
team,201010240atl,atl,Rush-Yds-TDs,30-153-2,,,,,,
team,201010240atl,cin,Cmp-Att-Yd-TD-INT,36-50-412-3-0,,,,,,
team,201010240atl,atl,Cmp-Att-Yd-TD-INT,24-33-299-3-1,,,,,,
team,201010240atl,cin,Sacked-Yards,3-27,,,,,,
team,201010240atl,atl,Sacked-Yards,0-0,,,,,,
team,201010240atl,cin,Net Pass Yards,385,,,,,,
team,201010240atl,atl,Net Pass Yards,299,,,,,,
team,201010240atl,cin,Total Yards,469,,,,,,
team,201010240atl,atl,Total Yards,452,,,,,,
team,201010240atl,cin,Fumbles-Lost,2-1,,,,,,
team,201010240atl,atl,Fumbles-Lost,1-1,,,,,,
team,201010240atl,cin,Turnovers,1,,,,,,
team,201010240atl,atl,Turnovers,2,,,,,,
team,201010240atl,cin,Penalties-Yards,7-36,,,,,,
team,201010240atl,atl,Penalties-Yards,3-41,,,,,,
team,201010240atl,cin,Third Down Conv.,7-12,,,,,,
team,201010240atl,atl,Third Down Conv.,7-13,,,,,,
team,201010240atl,cin,Fourth Down Conv.,0-0,,,,,,
team,201010240atl,atl,Fourth Down Conv.,1-1,,,,,,
team,201010240atl,cin,Time of Possession,30:22,,,,,,
team,201010240atl,atl,Time of Possession,29:38,,,,,,
player,201010240atl,cin,PalmCa00,pass_cmp,36,,,,,
player,201010240atl,cin,PalmCa00,pass_att,50,,,,,
player,201010240atl,cin,PalmCa00,pass_yds,412,,,,,
player,201010240atl,cin,PalmCa00,pass_td,3,,,,,
player,201010240atl,cin,PalmCa00,pass_int,0,,,,,
player,201010240atl,cin,PalmCa00,pass_sacked,3,,,,,
player,201010240atl,cin,PalmCa00,pass_sacked_yds,27,,,,,
player,201010240atl,cin,PalmCa00,pass_long,64,,,,,
player,201010240atl,cin,PalmCa00,pass_rating,116.4,,,,,
