game,2010,7,20101024,201010240den,rai,"Oakland Raiders",59,den,"Denver Broncos",14
team,201010240den,rai,First Downs,29,,,,,,
team,201010240den,den,First Downs,11,,,,,,
team,201010240den,rai,Rush-Yds-TDs,52-328-5,,,,,,
team,201010240den,den,Rush-Yds-TDs,17-75-0,,,,,,
team,201010240den,rai,Cmp-Att-Yd-TD-INT,12-20-204-2-0,,,,,,
team,201010240den,den,Cmp-Att-Yd-TD-INT,12-29-198-2-1,,,,,,
team,201010240den,rai,Sacked-Yards,2-24,,,,,,
team,201010240den,den,Sacked-Yards,4-33,,,,,,
team,201010240den,rai,Net Pass Yards,180,,,,,,
team,201010240den,den,Net Pass Yards,165,,,,,,
team,201010240den,rai,Total Yards,508,,,,,,
team,201010240den,den,Total Yards,240,,,,,,
team,201010240den,rai,Fumbles-Lost,1-0,,,,,,
team,201010240den,den,Fumbles-Lost,5-2,,,,,,
team,201010240den,rai,Turnovers,0,,,,,,
team,201010240den,den,Turnovers,3,,,,,,
team,201010240den,rai,Penalties-Yards,10-94,,,,,,
team,201010240den,den,Penalties-Yards,5-64,,,,,,
team,201010240den,rai,Third Down Conv.,6-13,,,,,,
team,201010240den,den,Third Down Conv.,2-11,,,,,,
team,201010240den,rai,Fourth Down Conv.,1-1,,,,,,
team,201010240den,den,Fourth Down Conv.,0-2,,,,,,
team,201010240den,rai,Time of Possession,38:39,,,,,,
team,201010240den,den,Time of Possession,21:21,,,,,,
player,201010240den,rai,CampJa00,pass_cmp,12,,,,,
player,201010240den,rai,CampJa00,pass_att,20,,,,,
player,201010240den,rai,CampJa00,pass_yds,204,,,,,
player,201010240den,rai,CampJa00,pass_td,2,,,,,
player,201010240den,rai,CampJa00,pass_int,0,,,,,
player,201010240den,rai,CampJa00,pass_sacked,2,,,,,
player,201010240den,rai,CampJa00,pass_sacked_yds,24,,,,,
player,201010240den,rai,CampJa00,pass_long,43,,,,,
player,201010240den,rai,CampJa00,pass_rating,127.9,,,,,
player,201010240den,rai,CampJa00,rush_att,1,,,,,
player,201010240den,rai,CampJa00,rush_yds,15,,,,,
player,201010240den,rai,CampJa00,rush_td,0,,,,,
player,201010240den,rai,CampJa00,rush_long,15,,,,,
player,201010240den,rai,CampJa00,targets,0,,,,,
player,201010240den,rai,CampJa00,rec,0,,,,,
player,201010240den,rai,CampJa00,rec_yds,0,,,,,
player,201010240den,rai,CampJa00,rec_td,0,,,,,
player,201010240den,rai,CampJa00,rec_long,0,,,,,
player,201010240den,rai,CampJa00,fumbles,0,,,,,
player,201010240den,rai,CampJa00,fumbles_lost,,,,,,
player,201010240den,rai,McFaDa00,pass_cmp,0,,,,,
player,201010240den,rai,McFaDa00,pass_att,0,,,,,
player,201010240den,rai,McFaDa00,pass_yds,0,,,,,
player,201010240den,rai,McFaDa00,pass_td,0,,,,,
player,201010240den,rai,McFaDa00,pass_int,0,,,,,
player,201010240den,rai,McFaDa00,pass_sacked,,,,,,
player,201010240den,rai,McFaDa00,pass_sacked_yds,,,,,,
player,201010240den,rai,McFaDa00,pass_long,0,,,,,
player,201010240den,rai,McFaDa00,pass_rating,,,,,,
player,201010240den,rai,McFaDa00,rush_att,16,,,,,
player,201010240den,rai,McFaDa00,rush_yds,165,,,,,
player,201010240den,rai,McFaDa00,rush_td,3,,,,,
player,201010240den,rai,McFaDa00,rush_long,57,,,,,
player,201010240den,rai,McFaDa00,targets,2,,,,,
player,201010240den,rai,McFaDa00,rec,2,,,,,
player,201010240den,rai,McFaDa00,rec_yds,31,,,,,
player,201010240den,rai,McFaDa00,rec_td,1,,,,,
player,201010240den,rai,McFaDa00,rec_long,19,,,,,
player,201010240den,rai,McFaDa00,fumbles,0,,,,,
player,201010240den,rai,McFaDa00,fumbles_lost,,,,,,
player,201010240den,rai,BushMi00,pass_cmp,0,,,,,
player,201010240den,rai,BushMi00,pass_att,0,,,,,
player,201010240den,rai,BushMi00,pass_yds,0,,,,,
player,201010240den,rai,BushMi00,pass_td,0,,,,,
player,201010240den,rai,BushMi00,pass_int,0,,,,,
player,201010240den,rai,BushMi00,pass_sacked,,,,,,
player,201010240den,rai,BushMi00,pass_sacked_yds,,,,,,
player,201010240den,rai,BushMi00,pass_long,0,,,,,
player,201010240den,rai,BushMi00,pass_rating,,,,,,
player,201010240den,rai,BushMi00,rush_att,15,,,,,
player,201010240den,rai,BushMi00,rush_yds,52,,,,,
player,201010240den,rai,BushMi00,rush_td,1,,,,,
player,201010240den,rai,BushMi00,rush_long,9,,,,,
player,201010240den,rai,BushMi00,targets,1,,,,,
player,201010240den,rai,BushMi00,rec,1,,,,,
player,201010240den,rai,BushMi00,rec_yds,13,,,,,
player,201010240den,rai,BushMi00,rec_td,0,,,,,
player,201010240den,rai,BushMi00,rec_long,13,,,,,
player,201010240den,rai,BushMi00,fumbles,0,,,,,
player,201010240den,rai,BushMi00,fumbles_lost,,,,,,
player,201010240den,rai,ReecMa00,pass_cmp,0,,,,,
player,201010240den,rai,ReecMa00,pass_att,0,,,,,
player,201010240den,rai,ReecMa00,pass_yds,0,,,,,
player,201010240den,rai,ReecMa00,pass_td,0,,,,,
player,201010240den,rai,ReecMa00,pass_int,0,,,,,
player,201010240den,rai,ReecMa00,pass_sacked,,,,,,
player,201010240den,rai,ReecMa00,pass_sacked_yds,,,,,,
player,201010240den,rai,ReecMa00,pass_long,0,,,,,
player,201010240den,rai,ReecMa00,pass_rating,,,,,,
player,201010240den,rai,ReecMa00,rush_att,7,,,,,
player,201010240den,rai,ReecMa00,rush_yds,39,,,,,
player,201010240den,rai,ReecMa00,rush_td,1,,,,,
player,201010240den,rai,ReecMa00,rush_long,14,,,,,
player,201010240den,rai,ReecMa00,targets,3,,,,,
player,201010240den,rai,ReecMa00,rec,1,,,,,
player,201010240den,rai,ReecMa00,rec_yds,19,,,,,
player,201010240den,rai,ReecMa00,rec_td,0,,,,,
player,201010240den,rai,ReecMa00,rec_long,19,,,,,
player,201010240den,rai,ReecMa00,fumbles,0,,,,,
player,201010240den,rai,ReecMa00,fumbles_lost,,,,,,
player,201010240den,rai,FordJa01,pass_cmp,0,,,,,
player,201010240den,rai,FordJa01,pass_att,0,,,,,
player,201010240den,rai,FordJa01,pass_yds,0,,,,,
player,201010240den,rai,FordJa01,pass_td,0,,,,,
player,201010240den,rai,FordJa01,pass_int,0,,,,,
player,201010240den,rai,FordJa01,pass_sacked,,,,,,
player,201010240den,rai,FordJa01,pass_sacked_yds,,,,,,
