game,2010,7,20101024,201010240nor,cle,"Cleveland Browns",30,nor,"New Orleans Saints",17
team,201010240nor,cle,First Downs,12,,,,,,
team,201010240nor,nor,First Downs,25,,,,,,
team,201010240nor,cle,Rush-Yds-TDs,28-125-1,,,,,,
team,201010240nor,nor,Rush-Yds-TDs,18-58-0,,,,,,
team,201010240nor,cle,Cmp-Att-Yd-TD-INT,10-17-87-0-0,,,,,,
team,201010240nor,nor,Cmp-Att-Yd-TD-INT,37-56-356-2-4,,,,,,
team,201010240nor,cle,Sacked-Yards,1-2,,,,,,
team,201010240nor,nor,Sacked-Yards,3-20,,,,,,
team,201010240nor,cle,Net Pass Yards,85,,,,,,
team,201010240nor,nor,Net Pass Yards,336,,,,,,
team,201010240nor,cle,Total Yards,210,,,,,,
team,201010240nor,nor,Total Yards,394,,,,,,
team,201010240nor,cle,Fumbles-Lost,1-0,,,,,,
team,201010240nor,nor,Fumbles-Lost,2-0,,,,,,
team,201010240nor,cle,Turnovers,0,,,,,,
team,201010240nor,nor,Turnovers,4,,,,,,
team,201010240nor,cle,Penalties-Yards,4-30,,,,,,
team,201010240nor,nor,Penalties-Yards,7-98,,,,,,
team,201010240nor,cle,Third Down Conv.,2-11,,,,,,
team,201010240nor,nor,Third Down Conv.,5-15,,,,,,
team,201010240nor,cle,Fourth Down Conv.,1-1,,,,,,
team,201010240nor,nor,Fourth Down Conv.,3-3,,,,,,
team,201010240nor,cle,Time of Possession,24:26,,,,,,
team,201010240nor,nor,Time of Possession,35:34,,,,,,
player,201010240nor,cle,McCoCo00,pass_cmp,9,,,,,
player,201010240nor,cle,McCoCo00,pass_att,16,,,,,
player,201010240nor,cle,McCoCo00,pass_yds,74,,,,,
player,201010240nor,cle,McCoCo00,pass_td,0,,,,,
player,201010240nor,cle,McCoCo00,pass_int,0,,,,,
player,201010240nor,cle,McCoCo00,pass_sacked,1,,,,,
player,201010240nor,cle,McCoCo00,pass_sacked_yds,2,,,,,
player,201010240nor,cle,McCoCo00,pass_long,18,,,,,
player,201010240nor,cle,McCoCo00,pass_rating,68.2,,,,,
player,201010240nor,cle,McCoCo00,rush_att,5,,,,,
player,201010240nor,cle,McCoCo00,rush_yds,-5,,,,,
player,201010240nor,cle,McCoCo00,rush_td,0,,,,,
player,201010240nor,cle,McCoCo00,rush_long,-1,,,,,
player,201010240nor,cle,McCoCo00,targets,1,,,,,
player,201010240nor,cle,McCoCo00,rec,1,,,,,
player,201010240nor,cle,McCoCo00,rec_yds,13,,,,,
player,201010240nor,cle,McCoCo00,rec_td,0,,,,,
player,201010240nor,cle,McCoCo00,rec_long,13,,,,,
