game,2010,7,20101024,201010240oti,phi,"Philadelphia Eagles",19,oti,"Tennessee Titans",37
team,201010240oti,phi,First Downs,21,,,,,,
team,201010240oti,oti,First Downs,15,,,,,,
team,201010240oti,phi,Rush-Yds-TDs,24-99-0,,,,,,
team,201010240oti,oti,Rush-Yds-TDs,26-75-0,,,,,,
team,201010240oti,phi,Cmp-Att-Yd-TD-INT,26-48-231-1-2,,,,,,
team,201010240oti,oti,Cmp-Att-Yd-TD-INT,17-31-276-3-2,,,,,,
team,201010240oti,phi,Sacked-Yards,1-4,,,,,,
team,201010240oti,oti,Sacked-Yards,3-23,,,,,,
team,201010240oti,phi,Net Pass Yards,227,,,,,,
team,201010240oti,oti,Net Pass Yards,253,,,,,,
team,201010240oti,phi,Total Yards,326,,,,,,
team,201010240oti,oti,Total Yards,328,,,,,,
team,201010240oti,phi,Fumbles-Lost,2-2,,,,,,
team,201010240oti,oti,Fumbles-Lost,1-1,,,,,,
team,201010240oti,phi,Turnovers,4,,,,,,
team,201010240oti,oti,Turnovers,3,,,,,,
team,201010240oti,phi,Penalties-Yards,10-100,,,,,,
team,201010240oti,oti,Penalties-Yards,6-37,,,,,,
team,201010240oti,phi,Third Down Conv.,10-18,,,,,,
team,201010240oti,oti,Third Down Conv.,4-13,,,,,,
team,201010240oti,phi,Fourth Down Conv.,0-0,,,,,,
team,201010240oti,oti,Fourth Down Conv.,0-0,,,,,,
team,201010240oti,phi,Time of Possession,33:24,,,,,,
team,201010240oti,oti,Time of Possession,26:36,,,,,,
player,201010240oti,phi,KolbKe00,pass_cmp,26,,,,,
player,201010240oti,phi,KolbKe00,pass_att,48,,,,,
player,201010240oti,phi,KolbKe00,pass_yds,231,,,,,
player,201010240oti,phi,KolbKe00,pass_td,1,,,,,
player,201010240oti,phi,KolbKe00,pass_int,2,,,,,
player,201010240oti,phi,KolbKe00,pass_sacked,1,,,,,
player,201010240oti,phi,KolbKe00,pass_sacked_yds,4,,,,,
player,201010240oti,phi,KolbKe00,pass_long,37,,,,,
player,201010240oti,phi,KolbKe00,pass_rating,56.9,,,,,
player,201010240oti,phi,KolbKe00,rush_att,3,,,,,
player,201010240oti,phi,KolbKe00,rush_yds,18,,,,,
player,201010240oti,phi,KolbKe00,rush_td,0,,,,,
player,201010240oti,phi,KolbKe00,rush_long,15,,,,,
player,201010240oti,phi,KolbKe00,targets,0,,,,,
player,201010240oti,phi,KolbKe00,rec,0,,,,,
player,201010240oti,phi,KolbKe00,rec_yds,0,,,,,
player,201010240oti,phi,KolbKe00,rec_td,0,,,,,
player,201010240oti,phi,KolbKe00,rec_long,0,,,,,
player,201010240oti,phi,KolbKe00,fumbles,1,,,,,
player,201010240oti,phi,KolbKe00,fumbles_lost,1,,,,,
player,201010240oti,phi,McCoLe01,pass_cmp,0,,,,,
player,201010240oti,phi,McCoLe01,pass_att,0,,,,,
player,201010240oti,phi,McCoLe01,pass_yds,0,,,,,
player,201010240oti,phi,McCoLe01,pass_td,0,,,,,
player,201010240oti,phi,McCoLe01,pass_int,0,,,,,
player,201010240oti,phi,McCoLe01,pass_sacked,,,,,,
player,201010240oti,phi,McCoLe01,pass_sacked_yds,,,,,,
player,201010240oti,phi,McCoLe01,pass_long,0,,,,,
player,201010240oti,phi,McCoLe01,pass_rating,,,,,,
player,201010240oti,phi,McCoLe01,rush_att,16,,,,,
player,201010240oti,phi,McCoLe01,rush_yds,48,,,,,
player,201010240oti,phi,McCoLe01,rush_td,0,,,,,
player,201010240oti,phi,McCoLe01,rush_long,8,,,,,
player,201010240oti,phi,McCoLe01,targets,7,,,,,
player,201010240oti,phi,McCoLe01,rec,6,,,,,
player,201010240oti,phi,McCoLe01,rec_yds,54,,,,,
player,201010240oti,phi,McCoLe01,rec_td,0,,,,,
player,201010240oti,phi,McCoLe01,rec_long,11,,,,,
player,201010240oti,phi,McCoLe01,fumbles,0,,,,,
player,201010240oti,phi,McCoLe01,fumbles_lost,,,,,,
player,201010240oti,phi,HallCh00,pass_cmp,0,,,,,
player,201010240oti,phi,HallCh00,pass_att,0,,,,,
player,201010240oti,phi,HallCh00,pass_yds,0,,,,,
player,201010240oti,phi,HallCh00,pass_td,0,,,,,
player,201010240oti,phi,HallCh00,pass_int,0,,,,,
player,201010240oti,phi,HallCh00,pass_sacked,,,,,,
player,201010240oti,phi,HallCh00,pass_sacked_yds,,,,,,
