game,2010,8,20101031,201010310cin,mia,"Miami Dolphins",22,cin,"Cincinnati Bengals",14
team,201010310cin,mia,First Downs,20,,,,,,
team,201010310cin,cin,First Downs,16,,,,,,
team,201010310cin,mia,Rush-Yds-TDs,31-137-1,,,,,,
team,201010310cin,cin,Rush-Yds-TDs,26-106-0,,,,,,
team,201010310cin,mia,Cmp-Att-Yd-TD-INT,24-37-217-0-1,,,,,,
team,201010310cin,cin,Cmp-Att-Yd-TD-INT,17-38-156-2-1,,,,,,
team,201010310cin,mia,Sacked-Yards,0-0,,,,,,
team,201010310cin,cin,Sacked-Yards,0-0,,,,,,
team,201010310cin,mia,Net Pass Yards,217,,,,,,
team,201010310cin,cin,Net Pass Yards,156,,,,,,
team,201010310cin,mia,Total Yards,354,,,,,,
team,201010310cin,cin,Total Yards,262,,,,,,
team,201010310cin,mia,Fumbles-Lost,1-1,,,,,,
team,201010310cin,cin,Fumbles-Lost,0-0,,,,,,
team,201010310cin,mia,Turnovers,2,,,,,,
team,201010310cin,cin,Turnovers,1,,,,,,
team,201010310cin,mia,Penalties-Yards,4-42,,,,,,
team,201010310cin,cin,Penalties-Yards,4-36,,,,,,
team,201010310cin,mia,Third Down Conv.,5-15,,,,,,
team,201010310cin,cin,Third Down Conv.,6-16,,,,,,
team,201010310cin,mia,Fourth Down Conv.,0-0,,,,,,
team,201010310cin,cin,Fourth Down Conv.,1-1,,,,,,
team,201010310cin,mia,Time of Possession,33:29,,,,,,
team,201010310cin,cin,Time of Possession,26:31,,,,,,
player,201010310cin,mia,HennCh01,pass_cmp,24,,,,,
player,201010310cin,mia,HennCh01,pass_att,37,,,,,
player,201010310cin,mia,HennCh01,pass_yds,217,,,,,
player,201010310cin,mia,HennCh01,pass_td,0,,,,,
player,201010310cin,mia,HennCh01,pass_int,1,,,,,
player,201010310cin,mia,HennCh01,pass_sacked,0,,,,,
player,201010310cin,mia,HennCh01,pass_sacked_yds,0,,,,,
player,201010310cin,mia,HennCh01,pass_long,25,,,,,
player,201010310cin,mia,HennCh01,pass_rating,69.3,,,,,
player,201010310cin,mia,HennCh01,rush_att,3,,,,,
player,201010310cin,mia,HennCh01,rush_yds,-7,,,,,
player,201010310cin,mia,HennCh01,rush_td,0,,,,,
player,201010310cin,mia,HennCh01,rush_long,-2,,,,,
player,201010310cin,mia,HennCh01,targets,0,,,,,
player,201010310cin,mia,HennCh01,rec,0,,,,,
player,201010310cin,mia,HennCh01,rec_yds,0,,,,,
player,201010310cin,mia,HennCh01,rec_td,0,,,,,
player,201010310cin,mia,HennCh01,rec_long,0,,,,,
player,201010310cin,mia,HennCh01,fumbles,0,,,,,
player,201010310cin,mia,HennCh01,fumbles_lost,,,,,,
player,201010310cin,mia,BrowRo05,pass_cmp,0,,,,,
player,201010310cin,mia,BrowRo05,pass_att,0,,,,,
player,201010310cin,mia,BrowRo05,pass_yds,0,,,,,
player,201010310cin,mia,BrowRo05,pass_td,0,,,,,
player,201010310cin,mia,BrowRo05,pass_int,0,,,,,
player,201010310cin,mia,BrowRo05,pass_sacked,0,,,,,
player,201010310cin,mia,BrowRo05,pass_sacked_yds,,,,,,
player,201010310cin,mia,BrowRo05,pass_long,0,,,,,
player,201010310cin,mia,BrowRo05,pass_rating,,,,,,
player,201010310cin,mia,BrowRo05,rush_att,16,,,,,
player,201010310cin,mia,BrowRo05,rush_yds,61,,,,,
player,201010310cin,mia,BrowRo05,rush_td,0,,,,,
player,201010310cin,mia,BrowRo05,rush_long,13,,,,,
player,201010310cin,mia,BrowRo05,targets,2,,,,,
player,201010310cin,mia,BrowRo05,rec,1,,,,,
player,201010310cin,mia,BrowRo05,rec_yds,7,,,,,
player,201010310cin,mia,BrowRo05,rec_td,0,,,,,
player,201010310cin,mia,BrowRo05,rec_long,7,,,,,
player,201010310cin,mia,BrowRo05,fumbles,0,,,,,
player,201010310cin,mia,BrowRo05,fumbles_lost,,,,,,
player,201010310cin,mia,WillRi00,pass_cmp,0,,,,,
player,201010310cin,mia,WillRi00,pass_att,0,,,,,
player,201010310cin,mia,WillRi00,pass_yds,0,,,,,
player,201010310cin,mia,WillRi00,pass_td,0,,,,,
player,201010310cin,mia,WillRi00,pass_int,0,,,,,
player,201010310cin,mia,WillRi00,pass_sacked,,,,,,
player,201010310cin,mia,WillRi00,pass_sacked_yds,,,,,,
player,201010310cin,mia,WillRi00,pass_long,0,,,,,
player,201010310cin,mia,WillRi00,pass_rating,,,,,,
player,201010310cin,mia,WillRi00,rush_att,9,,,,,
player,201010310cin,mia,WillRi00,rush_yds,47,,,,,
player,201010310cin,mia,WillRi00,rush_td,1,,,,,
player,201010310cin,mia,WillRi00,rush_long,18,,,,,
