game,2010,8,20101031,201010310dal,jax,"Jacksonville Jaguars",35,dal,"Dallas Cowboys",17
team,201010310dal,jax,First Downs,20,,,,,,
team,201010310dal,dal,First Downs,25,,,,,,
team,201010310dal,jax,Rush-Yds-TDs,34-149-1,,,,,,
team,201010310dal,dal,Rush-Yds-TDs,22-50-1,,,,,,
team,201010310dal,jax,Cmp-Att-Yd-TD-INT,17-21-260-4-0,,,,,,
team,201010310dal,dal,Cmp-Att-Yd-TD-INT,34-49-379-1-4,,,,,,
team,201010310dal,jax,Sacked-Yards,3-22,,,,,,
team,201010310dal,dal,Sacked-Yards,2-14,,,,,,
team,201010310dal,jax,Net Pass Yards,238,,,,,,
team,201010310dal,dal,Net Pass Yards,365,,,,,,
team,201010310dal,jax,Total Yards,387,,,,,,
team,201010310dal,dal,Total Yards,415,,,,,,
team,201010310dal,jax,Fumbles-Lost,1-1,,,,,,
team,201010310dal,dal,Fumbles-Lost,1-0,,,,,,
team,201010310dal,jax,Turnovers,1,,,,,,
team,201010310dal,dal,Turnovers,4,,,,,,
team,201010310dal,jax,Penalties-Yards,6-36,,,,,,
team,201010310dal,dal,Penalties-Yards,3-20,,,,,,
team,201010310dal,jax,Third Down Conv.,6-12,,,,,,
team,201010310dal,dal,Third Down Conv.,6-13,,,,,,
team,201010310dal,jax,Fourth Down Conv.,0-0,,,,,,
team,201010310dal,dal,Fourth Down Conv.,2-3,,,,,,
team,201010310dal,jax,Time of Possession,32:35,,,,,,
team,201010310dal,dal,Time of Possession,27:25,,,,,,
player,201010310dal,jax,GarrDa00,pass_cmp,17,,,,,
player,201010310dal,jax,GarrDa00,pass_att,21,,,,,
player,201010310dal,jax,GarrDa00,pass_yds,260,,,,,
player,201010310dal,jax,GarrDa00,pass_td,4,,,,,
player,201010310dal,jax,GarrDa00,pass_int,0,,,,,
player,201010310dal,jax,GarrDa00,pass_sacked,3,,,,,
player,201010310dal,jax,GarrDa00,pass_sacked_yds,22,,,,,
player,201010310dal,jax,GarrDa00,pass_long,42,,,,,
player,201010310dal,jax,GarrDa00,pass_rating,157.8,,,,,
player,201010310dal,jax,GarrDa00,rush_att,2,,,,,
player,201010310dal,jax,GarrDa00,rush_yds,2,,,,,
player,201010310dal,jax,GarrDa00,rush_td,1,,,,,
player,201010310dal,jax,GarrDa00,rush_long,2,,,,,
player,201010310dal,jax,GarrDa00,targets,0,,,,,
player,201010310dal,jax,GarrDa00,rec,0,,,,,
player,201010310dal,jax,GarrDa00,rec_yds,0,,,,,
player,201010310dal,jax,GarrDa00,rec_td,0,,,,,
player,201010310dal,jax,GarrDa00,rec_long,0,,,,,
player,201010310dal,jax,GarrDa00,fumbles,1,,,,,
player,201010310dal,jax,GarrDa00,fumbles_lost,1,,,,,
player,201010310dal,jax,DrewMa00,pass_cmp,0,,,,,
player,201010310dal,jax,DrewMa00,pass_att,0,,,,,
player,201010310dal,jax,DrewMa00,pass_yds,0,,,,,
player,201010310dal,jax,DrewMa00,pass_td,0,,,,,
player,201010310dal,jax,DrewMa00,pass_int,0,,,,,
player,201010310dal,jax,DrewMa00,pass_sacked,0,,,,,
player,201010310dal,jax,DrewMa00,pass_sacked_yds,,,,,,
player,201010310dal,jax,DrewMa00,pass_long,0,,,,,
player,201010310dal,jax,DrewMa00,pass_rating,,,,,,
player,201010310dal,jax,DrewMa00,rush_att,27,,,,,
player,201010310dal,jax,DrewMa00,rush_yds,135,,,,,
player,201010310dal,jax,DrewMa00,rush_td,0,,,,,
player,201010310dal,jax,DrewMa00,rush_long,24,,,,,
player,201010310dal,jax,DrewMa00,targets,3,,,,,
player,201010310dal,jax,DrewMa00,rec,2,,,,,
player,201010310dal,jax,DrewMa00,rec_yds,13,,,,,
player,201010310dal,jax,DrewMa00,rec_td,0,,,,,
player,201010310dal,jax,DrewMa00,rec_long,10,,,,,
player,201010310dal,jax,DrewMa00,fumbles,0,,,,,
player,201010310dal,jax,DrewMa00,fumbles_lost,,,,,,
player,201010310dal,jax,ThomMi01,pass_cmp,0,,,,,
player,201010310dal,jax,ThomMi01,pass_att,0,,,,,
player,201010310dal,jax,ThomMi01,pass_yds,0,,,,,
player,201010310dal,jax,ThomMi01,pass_td,0,,,,,
player,201010310dal,jax,ThomMi01,pass_int,0,,,,,
player,201010310dal,jax,ThomMi01,pass_sacked,,,,,,
player,201010310dal,jax,ThomMi01,pass_sacked_yds,,,,,,
player,201010310dal,jax,ThomMi01,pass_long,0,,,,,
player,201010310dal,jax,ThomMi01,pass_rating,,,,,,
player,201010310dal,jax,ThomMi01,rush_att,1,,,,,
player,201010310dal,jax,ThomMi01,rush_yds,9,,,,,
player,201010310dal,jax,ThomMi01,rush_td,0,,,,,
player,201010310dal,jax,ThomMi01,rush_long,9,,,,,
player,201010310dal,jax,ThomMi01,targets,4,,,,,
player,201010310dal,jax,ThomMi01,rec,4,,,,,
player,201010310dal,jax,ThomMi01,rec_yds,41,,,,,
player,201010310dal,jax,ThomMi01,rec_td,1,,,,,
player,201010310dal,jax,ThomMi01,rec_long,15,,,,,
player,201010310dal,jax,ThomMi01,fumbles,0,,,,,
player,201010310dal,jax,ThomMi01,fumbles_lost,,,,,,
player,201010310dal,jax,KariDe00,pass_cmp,0,,,,,
player,201010310dal,jax,KariDe00,pass_att,0,,,,,
player,201010310dal,jax,KariDe00,pass_yds,0,,,,,
player,201010310dal,jax,KariDe00,pass_td,0,,,,,
player,201010310dal,jax,KariDe00,pass_int,0,,,,,
player,201010310dal,jax,KariDe00,pass_sacked,,,,,,
player,201010310dal,jax,KariDe00,pass_sacked_yds,,,,,,
player,201010310dal,jax,KariDe00,pass_long,0,,,,,
player,201010310dal,jax,KariDe00,pass_rating,,,,,,
player,201010310dal,jax,KariDe00,rush_att,4,,,,,
player,201010310dal,jax,KariDe00,rush_yds,3,,,,,
player,201010310dal,jax,KariDe00,rush_td,0,,,,,
player,201010310dal,jax,KariDe00,rush_long,2,,,,,
player,201010310dal,jax,KariDe00,targets,0,,,,,
player,201010310dal,jax,KariDe00,rec,0,,,,,
player,201010310dal,jax,KariDe00,rec_yds,0,,,,,
player,201010310dal,jax,KariDe00,rec_td,0,,,,,
