game,2010,8,20101101,201011010clt,htx,"Houston Texans",17,clt,"Indianapolis Colts",30
team,201011010clt,htx,First Downs,19,,,,,,
team,201011010clt,clt,First Downs,24,,,,,,
team,201011010clt,htx,Rush-Yds-TDs,18-108-1,,,,,,
team,201011010clt,clt,Rush-Yds-TDs,28-107-0,,,,,,
team,201011010clt,htx,Cmp-Att-Yd-TD-INT,22-38-201-1-1,,,,,,
team,201011010clt,clt,Cmp-Att-Yd-TD-INT,26-45-268-2-0,,,,,,
team,201011010clt,htx,Sacked-Yards,3-18,,,,,,
team,201011010clt,clt,Sacked-Yards,1-9,,,,,,
team,201011010clt,htx,Net Pass Yards,183,,,,,,
team,201011010clt,clt,Net Pass Yards,259,,,,,,
team,201011010clt,htx,Total Yards,291,,,,,,
team,201011010clt,clt,Total Yards,366,,,,,,
team,201011010clt,htx,Fumbles-Lost,2-1,,,,,,
team,201011010clt,clt,Fumbles-Lost,0-0,,,,,,
team,201011010clt,htx,Turnovers,2,,,,,,
team,201011010clt,clt,Turnovers,0,,,,,,
team,201011010clt,htx,Penalties-Yards,5-30,,,,,,
team,201011010clt,clt,Penalties-Yards,9-69,,,,,,
team,201011010clt,htx,Third Down Conv.,3-11,,,,,,
team,201011010clt,clt,Third Down Conv.,7-15,,,,,,
team,201011010clt,htx,Fourth Down Conv.,0-1,,,,,,
team,201011010clt,clt,Fourth Down Conv.,1-1,,,,,,
team,201011010clt,htx,Time of Possession,23:35,,,,,,
team,201011010clt,clt,Time of Possession,36:25,,,,,,
player,201011010clt,htx,SchaMa00,pass_cmp,22,,,,,
player,201011010clt,htx,SchaMa00,pass_att,38,,,,,
player,201011010clt,htx,SchaMa00,pass_yds,201,,,,,
player,201011010clt,htx,SchaMa00,pass_td,1,,,,,
player,201011010clt,htx,SchaMa00,pass_int,1,,,,,
player,201011010clt,htx,SchaMa00,pass_sacked,3,,,,,
player,201011010clt,htx,SchaMa00,pass_sacked_yds,18,,,,,
player,201011010clt,htx,SchaMa00,pass_long,28,,,,,
