game,2010,9,20101107,201011070rai,kan,"Kansas City Chiefs",20,rai,"Oakland Raiders",23
team,201011070rai,kan,First Downs,21,,,,,,
team,201011070rai,rai,First Downs,17,,,,,,
team,201011070rai,kan,Rush-Yds-TDs,34-104-0,,,,,,
team,201011070rai,rai,Rush-Yds-TDs,26-112-0,,,,,,
team,201011070rai,kan,Cmp-Att-Yd-TD-INT,20-35-216-2-1,,,,,,
team,201011070rai,rai,Cmp-Att-Yd-TD-INT,19-34-229-1-1,,,,,,
team,201011070rai,kan,Sacked-Yards,3-16,,,,,,
team,201011070rai,rai,Sacked-Yards,4-20,,,,,,
team,201011070rai,kan,Net Pass Yards,200,,,,,,
team,201011070rai,rai,Net Pass Yards,209,,,,,,
team,201011070rai,kan,Total Yards,304,,,,,,
team,201011070rai,rai,Total Yards,321,,,,,,
team,201011070rai,kan,Fumbles-Lost,2-1,,,,,,
team,201011070rai,rai,Fumbles-Lost,4-2,,,,,,
team,201011070rai,kan,Turnovers,2,,,,,,
team,201011070rai,rai,Turnovers,3,,,,,,
team,201011070rai,kan,Penalties-Yards,12-100,,,,,,
team,201011070rai,rai,Penalties-Yards,15-140,,,,,,
team,201011070rai,kan,Third Down Conv.,3-15,,,,,,
team,201011070rai,rai,Third Down Conv.,3-12,,,,,,
team,201011070rai,kan,Fourth Down Conv.,0-1,,,,,,
team,201011070rai,rai,Fourth Down Conv.,0-1,,,,,,
team,201011070rai,kan,Time of Possession,33:10,,,,,,
team,201011070rai,rai,Time of Possession,29:43,,,,,,
player,201011070rai,kan,CassMa00,pass_cmp,20,,,,,
player,201011070rai,kan,CassMa00,pass_att,35,,,,,
player,201011070rai,kan,CassMa00,pass_yds,216,,,,,
player,201011070rai,kan,CassMa00,pass_td,2,,,,,
player,201011070rai,kan,CassMa00,pass_int,1,,,,,
player,201011070rai,kan,CassMa00,pass_sacked,3,,,,,
player,201011070rai,kan,CassMa00,pass_sacked_yds,16,,,,,
player,201011070rai,kan,CassMa00,pass_long,23,,,,,
player,201011070rai,kan,CassMa00,pass_rating,82.6,,,,,
player,201011070rai,kan,CassMa00,rush_att,3,,,,,
player,201011070rai,kan,CassMa00,rush_yds,14,,,,,
player,201011070rai,kan,CassMa00,rush_td,0,,,,,
player,201011070rai,kan,CassMa00,rush_long,9,,,,,
player,201011070rai,kan,CassMa00,targets,0,,,,,
player,201011070rai,kan,CassMa00,rec,0,,,,,
player,201011070rai,kan,CassMa00,rec_yds,0,,,,,
player,201011070rai,kan,CassMa00,rec_td,0,,,,,
player,201011070rai,kan,CassMa00,rec_long,0,,,,,
player,201011070rai,kan,CassMa00,fumbles,0,,,,,
player,201011070rai,kan,CassMa00,fumbles_lost,,,,,,
player,201011070rai,kan,CharJa00,pass_cmp,0,,,,,
player,201011070rai,kan,CharJa00,pass_att,0,,,,,
player,201011070rai,kan,CharJa00,pass_yds,0,,,,,
player,201011070rai,kan,CharJa00,pass_td,0,,,,,
player,201011070rai,kan,CharJa00,pass_int,0,,,,,
player,201011070rai,kan,CharJa00,pass_sacked,,,,,,
player,201011070rai,kan,CharJa00,pass_sacked_yds,,,,,,
player,201011070rai,kan,CharJa00,pass_long,0,,,,,
player,201011070rai,kan,CharJa00,pass_rating,,,,,,
player,201011070rai,kan,CharJa00,rush_att,10,,,,,
player,201011070rai,kan,CharJa00,rush_yds,53,,,,,
player,201011070rai,kan,CharJa00,rush_td,0,,,,,
player,201011070rai,kan,CharJa00,rush_long,13,,,,,
player,201011070rai,kan,CharJa00,targets,8,,,,,
player,201011070rai,kan,CharJa00,rec,5,,,,,
player,201011070rai,kan,CharJa00,rec_yds,47,,,,,
player,201011070rai,kan,CharJa00,rec_td,0,,,,,
player,201011070rai,kan,CharJa00,rec_long,14,,,,,
player,201011070rai,kan,CharJa00,fumbles,0,,,,,
player,201011070rai,kan,CharJa00,fumbles_lost,,,,,,
player,201011070rai,kan,JoneTh00,pass_cmp,0,,,,,
player,201011070rai,kan,JoneTh00,pass_att,0,,,,,
player,201011070rai,kan,JoneTh00,pass_yds,0,,,,,
player,201011070rai,kan,JoneTh00,pass_td,0,,,,,
player,201011070rai,kan,JoneTh00,pass_int,0,,,,,
player,201011070rai,kan,JoneTh00,pass_sacked,,,,,,
player,201011070rai,kan,JoneTh00,pass_sacked_yds,,,,,,
player,201011070rai,kan,JoneTh00,pass_long,0,,,,,
player,201011070rai,kan,JoneTh00,pass_rating,,,,,,
player,201011070rai,kan,JoneTh00,rush_att,19,,,,,
player,201011070rai,kan,JoneTh00,rush_yds,32,,,,,
player,201011070rai,kan,JoneTh00,rush_td,0,,,,,
player,201011070rai,kan,JoneTh00,rush_long,7,,,,,
player,201011070rai,kan,JoneTh00,targets,0,,,,,
player,201011070rai,kan,JoneTh00,rec,0,,,,,
player,201011070rai,kan,JoneTh00,rec_yds,0,,,,,
player,201011070rai,kan,JoneTh00,rec_td,0,,,,,
player,201011070rai,kan,JoneTh00,rec_long,0,,,,,
player,201011070rai,kan,JoneTh00,fumbles,1,,,,,
player,201011070rai,kan,JoneTh00,fumbles_lost,0,,,,,
player,201011070rai,kan,ArenJa99,pass_cmp,0,,,,,
player,201011070rai,kan,ArenJa99,pass_att,0,,,,,
player,201011070rai,kan,ArenJa99,pass_yds,0,,,,,
player,201011070rai,kan,ArenJa99,pass_td,0,,,,,
player,201011070rai,kan,ArenJa99,pass_int,0,,,,,
player,201011070rai,kan,ArenJa99,pass_sacked,,,,,,
player,201011070rai,kan,ArenJa99,pass_sacked_yds,,,,,,
player,201011070rai,kan,ArenJa99,pass_long,0,,,,,
player,201011070rai,kan,ArenJa99,pass_rating,,,,,,
player,201011070rai,kan,ArenJa99,rush_att,1,,,,,
player,201011070rai,kan,ArenJa99,rush_yds,5,,,,,
player,201011070rai,kan,ArenJa99,rush_td,0,,,,,
player,201011070rai,kan,ArenJa99,rush_long,5,,,,,
player,201011070rai,kan,ArenJa99,targets,0,,,,,
player,201011070rai,kan,ArenJa99,rec,0,,,,,
player,201011070rai,kan,ArenJa99,rec_yds,0,,,,,
player,201011070rai,kan,ArenJa99,rec_td,0,,,,,
player,201011070rai,kan,ArenJa99,rec_long,0,,,,,
player,201011070rai,kan,ArenJa99,fumbles,1,,,,,
player,201011070rai,kan,ArenJa99,fumbles_lost,1,,,,,
player,201011070rai,kan,MoeaTo00,pass_cmp,0,,,,,
player,201011070rai,kan,MoeaTo00,pass_att,0,,,,,
player,201011070rai,kan,MoeaTo00,pass_yds,0,,,,,
player,201011070rai,kan,MoeaTo00,pass_td,0,,,,,
player,201011070rai,kan,MoeaTo00,pass_int,0,,,,,
player,201011070rai,kan,MoeaTo00,pass_sacked,,,,,,
player,201011070rai,kan,MoeaTo00,pass_sacked_yds,,,,,,
player,201011070rai,kan,MoeaTo00,pass_long,0,,,,,
player,201011070rai,kan,MoeaTo00,pass_rating,,,,,,
player,201011070rai,kan,MoeaTo00,rush_att,0,,,,,
player,201011070rai,kan,MoeaTo00,rush_yds,0,,,,,
player,201011070rai,kan,MoeaTo00,rush_td,0,,,,,
player,201011070rai,kan,MoeaTo00,rush_long,0,,,,,
player,201011070rai,kan,MoeaTo00,targets,9,,,,,
player,201011070rai,kan,MoeaTo00,rec,6,,,,,
player,201011070rai,kan,MoeaTo00,rec_yds,63,,,,,
player,201011070rai,kan,MoeaTo00,rec_td,0,,,,,
player,201011070rai,kan,MoeaTo00,rec_long,23,,,,,
player,201011070rai,kan,MoeaTo00,fumbles,0,,,,,
player,201011070rai,kan,MoeaTo00,fumbles_lost,,,,,,
player,201011070rai,kan,BoweDw00,pass_cmp,0,,,,,
player,201011070rai,kan,BoweDw00,pass_att,0,,,,,
player,201011070rai,kan,BoweDw00,pass_yds,0,,,,,
player,201011070rai,kan,BoweDw00,pass_td,0,,,,,
player,201011070rai,kan,BoweDw00,pass_int,0,,,,,
player,201011070rai,kan,BoweDw00,pass_sacked,,,,,,
player,201011070rai,kan,BoweDw00,pass_sacked_yds,,,,,,
player,201011070rai,kan,BoweDw00,pass_long,0,,,,,
player,201011070rai,kan,BoweDw00,pass_rating,,,,,,
player,201011070rai,kan,BoweDw00,rush_att,0,,,,,
player,201011070rai,kan,BoweDw00,rush_yds,0,,,,,
player,201011070rai,kan,BoweDw00,rush_td,0,,,,,
player,201011070rai,kan,BoweDw00,rush_long,0,,,,,
player,201011070rai,kan,BoweDw00,targets,12,,,,,
player,201011070rai,kan,BoweDw00,rec,5,,,,,
player,201011070rai,kan,BoweDw00,rec_yds,63,,,,,
player,201011070rai,kan,BoweDw00,rec_td,1,,,,,
player,201011070rai,kan,BoweDw00,rec_long,20,,,,,
player,201011070rai,kan,BoweDw00,fumbles,0,,,,,
player,201011070rai,kan,BoweDw00,fumbles_lost,,,,,,
player,201011070rai,kan,CoppTe00,pass_cmp,0,,,,,
player,201011070rai,kan,CoppTe00,pass_att,0,,,,,
player,201011070rai,kan,CoppTe00,pass_yds,0,,,,,
player,201011070rai,kan,CoppTe00,pass_td,0,,,,,
player,201011070rai,kan,CoppTe00,pass_int,0,,,,,
player,201011070rai,kan,CoppTe00,pass_sacked,,,,,,
player,201011070rai,kan,CoppTe00,pass_sacked_yds,,,,,,
player,201011070rai,kan,CoppTe00,pass_long,0,,,,,
player,201011070rai,kan,CoppTe00,pass_rating,,,,,,
player,201011070rai,kan,CoppTe00,rush_att,0,,,,,
player,201011070rai,kan,CoppTe00,rush_yds,0,,,,,
player,201011070rai,kan,CoppTe00,rush_td,0,,,,,
player,201011070rai,kan,CoppTe00,rush_long,0,,,,,
player,201011070rai,kan,CoppTe00,targets,2,,,,,
player,201011070rai,kan,CoppTe00,rec,2,,,,,
player,201011070rai,kan,CoppTe00,rec_yds,26,,,,,
player,201011070rai,kan,CoppTe00,rec_td,0,,,,,
player,201011070rai,kan,CoppTe00,rec_long,20,,,,,
player,201011070rai,kan,CoppTe00,fumbles,0,,,,,
player,201011070rai,kan,CoppTe00,fumbles_lost,,,,,,
player,201011070rai,kan,TuckVe00,pass_cmp,0,,,,,
player,201011070rai,kan,TuckVe00,pass_att,0,,,,,
player,201011070rai,kan,TuckVe00,pass_yds,0,,,,,
player,201011070rai,kan,TuckVe00,pass_td,0,,,,,
player,201011070rai,kan,TuckVe00,pass_int,0,,,,,
player,201011070rai,kan,TuckVe00,pass_sacked,,,,,,
player,201011070rai,kan,TuckVe00,pass_sacked_yds,,,,,,
player,201011070rai,kan,TuckVe00,pass_long,0,,,,,
player,201011070rai,kan,TuckVe00,pass_rating,,,,,,
player,201011070rai,kan,TuckVe00,rush_att,0,,,,,
player,201011070rai,kan,TuckVe00,rush_yds,0,,,,,
player,201011070rai,kan,TuckVe00,rush_td,0,,,,,
player,201011070rai,kan,TuckVe00,rush_long,0,,,,,
player,201011070rai,kan,TuckVe00,targets,1,,,,,
player,201011070rai,kan,TuckVe00,rec,1,,,,,
player,201011070rai,kan,TuckVe00,rec_yds,11,,,,,
player,201011070rai,kan,TuckVe00,rec_td,1,,,,,
player,201011070rai,kan,TuckVe00,rec_long,11,,,,,
player,201011070rai,kan,TuckVe00,fumbles,0,,,,,
player,201011070rai,kan,TuckVe00,fumbles_lost,,,,,,
player,201011070rai,kan,ChamCh00,pass_cmp,0,,,,,
player,201011070rai,kan,ChamCh00,pass_att,0,,,,,
player,201011070rai,kan,ChamCh00,pass_yds,0,,,,,
player,201011070rai,kan,ChamCh00,pass_td,0,,,,,
player,201011070rai,kan,ChamCh00,pass_int,0,,,,,
player,201011070rai,kan,ChamCh00,pass_sacked,,,,,,
player,201011070rai,kan,ChamCh00,pass_sacked_yds,,,,,,
player,201011070rai,kan,ChamCh00,pass_long,0,,,,,
player,201011070rai,kan,ChamCh00,pass_rating,,,,,,
player,201011070rai,kan,ChamCh00,rush_att,0,,,,,
player,201011070rai,kan,ChamCh00,rush_yds,0,,,,,
player,201011070rai,kan,ChamCh00,rush_td,0,,,,,
player,201011070rai,kan,ChamCh00,rush_long,0,,,,,
player,201011070rai,kan,ChamCh00,targets,2,,,,,
player,201011070rai,kan,ChamCh00,rec,1,,,,,
player,201011070rai,kan,ChamCh00,rec_yds,6,,,,,
player,201011070rai,kan,ChamCh00,rec_td,0,,,,,
player,201011070rai,kan,ChamCh00,rec_long,6,,,,,
player,201011070rai,kan,ChamCh00,fumbles,0,,,,,
player,201011070rai,kan,ChamCh00,fumbles_lost,,,,,,
player,201011070rai,kan,CastTi20,pass_cmp,0,,,,,
player,201011070rai,kan,CastTi20,pass_att,0,,,,,
player,201011070rai,kan,CastTi20,pass_yds,0,,,,,
player,201011070rai,kan,CastTi20,pass_td,0,,,,,
player,201011070rai,kan,CastTi20,pass_int,0,,,,,
player,201011070rai,kan,CastTi20,pass_sacked,,,,,,
player,201011070rai,kan,CastTi20,pass_sacked_yds,,,,,,
player,201011070rai,kan,CastTi20,pass_long,0,,,,,
player,201011070rai,kan,CastTi20,pass_rating,,,,,,
player,201011070rai,kan,CastTi20,rush_att,1,,,,,
player,201011070rai,kan,CastTi20,rush_yds,0,,,,,
player,201011070rai,kan,CastTi20,rush_td,0,,,,,
player,201011070rai,kan,CastTi20,rush_long,0,,,,,
player,201011070rai,kan,CastTi20,targets,0,,,,,
player,201011070rai,kan,CastTi20,rec,0,,,,,
player,201011070rai,kan,CastTi20,rec_yds,0,,,,,
player,201011070rai,kan,CastTi20,rec_td,0,,,,,
player,201011070rai,kan,CastTi20,rec_long,0,,,,,
player,201011070rai,kan,CastTi20,fumbles,0,,,,,
player,201011070rai,kan,CastTi20,fumbles_lost,,,,,,
player,201011070rai,kan,PopeLe00,pass_cmp,,,,,,
player,201011070rai,kan,PopeLe00,pass_att,,,,,,
player,201011070rai,kan,PopeLe00,pass_yds,,,,,,
player,201011070rai,kan,PopeLe00,pass_td,,,,,,
player,201011070rai,kan,PopeLe00,pass_int,,,,,,
player,201011070rai,kan,PopeLe00,pass_sacked,,,,,,
player,201011070rai,kan,PopeLe00,pass_sacked_yds,,,,,,
player,201011070rai,kan,PopeLe00,pass_long,,,,,,
player,201011070rai,kan,PopeLe00,pass_rating,,,,,,
player,201011070rai,kan,PopeLe00,rush_att,,,,,,
player,201011070rai,kan,PopeLe00,rush_yds,,,,,,
player,201011070rai,kan,PopeLe00,rush_td,,,,,,
player,201011070rai,kan,PopeLe00,rush_long,,,,,,
player,201011070rai,kan,PopeLe00,targets,1,,,,,
player,201011070rai,kan,PopeLe00,rec,0,,,,,
player,201011070rai,kan,PopeLe00,rec_yds,0,,,,,
player,201011070rai,kan,PopeLe00,rec_td,0,,,,,
player,201011070rai,kan,PopeLe00,rec_long,,,,,,
player,201011070rai,kan,PopeLe00,fumbles,,,,,,
player,201011070rai,kan,PopeLe00,fumbles_lost,,,,,,
player,201011070rai,rai,CampJa00,pass_cmp,19,,,,,
player,201011070rai,rai,CampJa00,pass_att,33,,,,,
player,201011070rai,rai,CampJa00,pass_yds,229,,,,,
player,201011070rai,rai,CampJa00,pass_td,1,,,,,
player,201011070rai,rai,CampJa00,pass_int,1,,,,,
player,201011070rai,rai,CampJa00,pass_sacked,4,,,,,
player,201011070rai,rai,CampJa00,pass_sacked_yds,20,,,,,
player,201011070rai,rai,CampJa00,pass_long,47,,,,,
player,201011070rai,rai,CampJa00,pass_rating,76.5,,,,,
player,201011070rai,rai,CampJa00,rush_att,2,,,,,
player,201011070rai,rai,CampJa00,rush_yds,0,,,,,
player,201011070rai,rai,CampJa00,rush_td,0,,,,,
player,201011070rai,rai,CampJa00,rush_long,0,,,,,
player,201011070rai,rai,CampJa00,targets,0,,,,,
player,201011070rai,rai,CampJa00,rec,0,,,,,
player,201011070rai,rai,CampJa00,rec_yds,0,,,,,
player,201011070rai,rai,CampJa00,rec_td,0,,,,,
player,201011070rai,rai,CampJa00,rec_long,0,,,,,
player,201011070rai,rai,CampJa00,fumbles,1,,,,,
player,201011070rai,rai,CampJa00,fumbles_lost,0,,,,,
player,201011070rai,rai,McFaDa00,pass_cmp,0,,,,,
player,201011070rai,rai,McFaDa00,pass_att,1,,,,,
player,201011070rai,rai,McFaDa00,pass_yds,0,,,,,
player,201011070rai,rai,McFaDa00,pass_td,0,,,,,
player,201011070rai,rai,McFaDa00,pass_int,0,,,,,
player,201011070rai,rai,McFaDa00,pass_sacked,0,,,,,
player,201011070rai,rai,McFaDa00,pass_sacked_yds,0,,,,,
player,201011070rai,rai,McFaDa00,pass_long,0,,,,,
player,201011070rai,rai,McFaDa00,pass_rating,39.6,,,,,
player,201011070rai,rai,McFaDa00,rush_att,17,,,,,
player,201011070rai,rai,McFaDa00,rush_yds,89,,,,,
player,201011070rai,rai,McFaDa00,rush_td,0,,,,,
player,201011070rai,rai,McFaDa00,rush_long,34,,,,,
player,201011070rai,rai,McFaDa00,targets,4,,,,,
player,201011070rai,rai,McFaDa00,rec,4,,,,,
player,201011070rai,rai,McFaDa00,rec_yds,25,,,,,
player,201011070rai,rai,McFaDa00,rec_td,0,,,,,
player,201011070rai,rai,McFaDa00,rec_long,16,,,,,
player,201011070rai,rai,McFaDa00,fumbles,1,,,,,
player,201011070rai,rai,McFaDa00,fumbles_lost,1,,,,,
player,201011070rai,rai,BushMi00,pass_cmp,0,,,,,
player,201011070rai,rai,BushMi00,pass_att,0,,,,,
player,201011070rai,rai,BushMi00,pass_yds,0,,,,,
player,201011070rai,rai,BushMi00,pass_td,0,,,,,
player,201011070rai,rai,BushMi00,pass_int,0,,,,,
player,201011070rai,rai,BushMi00,pass_sacked,,,,,,
player,201011070rai,rai,BushMi00,pass_sacked_yds,,,,,,
player,201011070rai,rai,BushMi00,pass_long,0,,,,,
player,201011070rai,rai,BushMi00,pass_rating,,,,,,
player,201011070rai,rai,BushMi00,rush_att,5,,,,,
player,201011070rai,rai,BushMi00,rush_yds,17,,,,,
player,201011070rai,rai,BushMi00,rush_td,0,,,,,
player,201011070rai,rai,BushMi00,rush_long,7,,,,,
player,201011070rai,rai,BushMi00,targets,0,,,,,
player,201011070rai,rai,BushMi00,rec,0,,,,,
player,201011070rai,rai,BushMi00,rec_yds,0,,,,,
player,201011070rai,rai,BushMi00,rec_td,0,,,,,
player,201011070rai,rai,BushMi00,rec_long,0,,,,,
player,201011070rai,rai,BushMi00,fumbles,0,,,,,
player,201011070rai,rai,BushMi00,fumbles_lost,,,,,,
player,201011070rai,rai,ReecMa00,pass_cmp,0,,,,,
player,201011070rai,rai,ReecMa00,pass_att,0,,,,,
player,201011070rai,rai,ReecMa00,pass_yds,0,,,,,
player,201011070rai,rai,ReecMa00,pass_td,0,,,,,
player,201011070rai,rai,ReecMa00,pass_int,0,,,,,
player,201011070rai,rai,ReecMa00,pass_sacked,,,,,,
player,201011070rai,rai,ReecMa00,pass_sacked_yds,,,,,,
player,201011070rai,rai,ReecMa00,pass_long,0,,,,,
player,201011070rai,rai,ReecMa00,pass_rating,,,,,,
player,201011070rai,rai,ReecMa00,rush_att,1,,,,,
player,201011070rai,rai,ReecMa00,rush_yds,4,,,,,
player,201011070rai,rai,ReecMa00,rush_td,0,,,,,
player,201011070rai,rai,ReecMa00,rush_long,4,,,,,
player,201011070rai,rai,ReecMa00,targets,3,,,,,
player,201011070rai,rai,ReecMa00,rec,2,,,,,
player,201011070rai,rai,ReecMa00,rec_yds,8,,,,,
player,201011070rai,rai,ReecMa00,rec_td,0,,,,,
player,201011070rai,rai,ReecMa00,rec_long,7,,,,,
player,201011070rai,rai,ReecMa00,fumbles,0,,,,,
player,201011070rai,rai,ReecMa00,fumbles_lost,,,,,,
player,201011070rai,rai,CartRo01,pass_cmp,0,,,,,
player,201011070rai,rai,CartRo01,pass_att,0,,,,,
player,201011070rai,rai,CartRo01,pass_yds,0,,,,,
player,201011070rai,rai,CartRo01,pass_td,0,,,,,
player,201011070rai,rai,CartRo01,pass_int,0,,,,,
player,201011070rai,rai,CartRo01,pass_sacked,,,,,,
player,201011070rai,rai,CartRo01,pass_sacked_yds,,,,,,
player,201011070rai,rai,CartRo01,pass_long,0,,,,,
player,201011070rai,rai,CartRo01,pass_rating,,,,,,
player,201011070rai,rai,CartRo01,rush_att,1,,,,,
player,201011070rai,rai,CartRo01,rush_yds,2,,,,,
player,201011070rai,rai,CartRo01,rush_td,0,,,,,
player,201011070rai,rai,CartRo01,rush_long,2,,,,,
player,201011070rai,rai,CartRo01,targets,0,,,,,
player,201011070rai,rai,CartRo01,rec,0,,,,,
player,201011070rai,rai,CartRo01,rec_yds,0,,,,,
player,201011070rai,rai,CartRo01,rec_td,0,,,,,
player,201011070rai,rai,CartRo01,rec_long,0,,,,,
player,201011070rai,rai,CartRo01,fumbles,0,,,,,
player,201011070rai,rai,CartRo01,fumbles_lost,,,,,,
player,201011070rai,rai,FordJa01,pass_cmp,0,,,,,
player,201011070rai,rai,FordJa01,pass_att,0,,,,,
player,201011070rai,rai,FordJa01,pass_yds,0,,,,,
player,201011070rai,rai,FordJa01,pass_td,0,,,,,
player,201011070rai,rai,FordJa01,pass_int,0,,,,,
player,201011070rai,rai,FordJa01,pass_sacked,,,,,,
player,201011070rai,rai,FordJa01,pass_sacked_yds,,,,,,
player,201011070rai,rai,FordJa01,pass_long,0,,,,,
player,201011070rai,rai,FordJa01,pass_rating,,,,,,
player,201011070rai,rai,FordJa01,rush_att,0,,,,,
player,201011070rai,rai,FordJa01,rush_yds,0,,,,,
player,201011070rai,rai,FordJa01,rush_td,0,,,,,
player,201011070rai,rai,FordJa01,rush_long,0,,,,,
player,201011070rai,rai,FordJa01,targets,9,,,,,
player,201011070rai,rai,FordJa01,rec,6,,,,,
player,201011070rai,rai,FordJa01,rec_yds,148,,,,,
player,201011070rai,rai,FordJa01,rec_td,0,,,,,
player,201011070rai,rai,FordJa01,rec_long,47,,,,,
player,201011070rai,rai,FordJa01,fumbles,0,,,,,
player,201011070rai,rai,FordJa01,fumbles_lost,,,,,,
player,201011070rai,rai,HiggJo00,pass_cmp,0,,,,,
player,201011070rai,rai,HiggJo00,pass_att,0,,,,,
player,201011070rai,rai,HiggJo00,pass_yds,0,,,,,
player,201011070rai,rai,HiggJo00,pass_td,0,,,,,
player,201011070rai,rai,HiggJo00,pass_int,0,,,,,
player,201011070rai,rai,HiggJo00,pass_sacked,,,,,,
player,201011070rai,rai,HiggJo00,pass_sacked_yds,,,,,,
player,201011070rai,rai,HiggJo00,pass_long,0,,,,,
player,201011070rai,rai,HiggJo00,pass_rating,,,,,,
player,201011070rai,rai,HiggJo00,rush_att,0,,,,,
player,201011070rai,rai,HiggJo00,rush_yds,0,,,,,
player,201011070rai,rai,HiggJo00,rush_td,0,,,,,
player,201011070rai,rai,HiggJo00,rush_long,0,,,,,
player,201011070rai,rai,HiggJo00,targets,7,,,,,
player,201011070rai,rai,HiggJo00,rec,3,,,,,
player,201011070rai,rai,HiggJo00,rec_yds,26,,,,,
player,201011070rai,rai,HiggJo00,rec_td,0,,,,,
player,201011070rai,rai,HiggJo00,rec_long,12,,,,,
player,201011070rai,rai,HiggJo00,fumbles,0,,,,,
player,201011070rai,rai,HiggJo00,fumbles_lost,,,,,,
player,201011070rai,rai,MyerBr00,pass_cmp,0,,,,,
player,201011070rai,rai,MyerBr00,pass_att,0,,,,,
player,201011070rai,rai,MyerBr00,pass_yds,0,,,,,
player,201011070rai,rai,MyerBr00,pass_td,0,,,,,
player,201011070rai,rai,MyerBr00,pass_int,0,,,,,
player,201011070rai,rai,MyerBr00,pass_sacked,,,,,,
player,201011070rai,rai,MyerBr00,pass_sacked_yds,,,,,,
player,201011070rai,rai,MyerBr00,pass_long,0,,,,,
player,201011070rai,rai,MyerBr00,pass_rating,,,,,,
player,201011070rai,rai,MyerBr00,rush_att,0,,,,,
player,201011070rai,rai,MyerBr00,rush_yds,0,,,,,
player,201011070rai,rai,MyerBr00,rush_td,0,,,,,
player,201011070rai,rai,MyerBr00,rush_long,0,,,,,
