game,2010,10,20101114,201011140mia,oti,"Tennessee Titans",17,mia,"Miami Dolphins",29
team,201011140mia,oti,First Downs,15,,,,,,
team,201011140mia,mia,First Downs,21,,,,,,
team,201011140mia,oti,Rush-Yds-TDs,25-135-1,,,,,,
team,201011140mia,mia,Rush-Yds-TDs,30-88-1,,,,,,
team,201011140mia,oti,Cmp-Att-Yd-TD-INT,18-38-143-1-1,,,,,,
team,201011140mia,mia,Cmp-Att-Yd-TD-INT,24-37-323-2-1,,,,,,
team,201011140mia,oti,Sacked-Yards,2-19,,,,,,
team,201011140mia,mia,Sacked-Yards,1-7,,,,,,
team,201011140mia,oti,Net Pass Yards,124,,,,,,
team,201011140mia,mia,Net Pass Yards,316,,,,,,
team,201011140mia,oti,Total Yards,259,,,,,,
team,201011140mia,mia,Total Yards,404,,,,,,
team,201011140mia,oti,Fumbles-Lost,2-2,,,,,,
team,201011140mia,mia,Fumbles-Lost,1-0,,,,,,
team,201011140mia,oti,Turnovers,3,,,,,,
team,201011140mia,mia,Turnovers,1,,,,,,
team,201011140mia,oti,Penalties-Yards,5-55,,,,,,
team,201011140mia,mia,Penalties-Yards,4-63,,,,,,
team,201011140mia,oti,Third Down Conv.,5-16,,,,,,
team,201011140mia,mia,Third Down Conv.,9-17,,,,,,
team,201011140mia,oti,Fourth Down Conv.,0-1,,,,,,
team,201011140mia,mia,Fourth Down Conv.,0-1,,,,,,
team,201011140mia,oti,Time of Possession,26:56,,,,,,
team,201011140mia,mia,Time of Possession,33:04,,,,,,
player,201011140mia,oti,CollKe00,pass_cmp,9,,,,,
player,201011140mia,oti,CollKe00,pass_att,20,,,,,
player,201011140mia,oti,CollKe00,pass_yds,51,,,,,
player,201011140mia,oti,CollKe00,pass_td,0,,,,,
player,201011140mia,oti,CollKe00,pass_int,0,,,,,
player,201011140mia,oti,CollKe00,pass_sacked,0,,,,,
player,201011140mia,oti,CollKe00,pass_sacked_yds,0,,,,,
player,201011140mia,oti,CollKe00,pass_long,11,,,,,
player,201011140mia,oti,CollKe00,pass_rating,52.1,,,,,
player,201011140mia,oti,CollKe00,rush_att,0,,,,,
player,201011140mia,oti,CollKe00,rush_yds,0,,,,,
player,201011140mia,oti,CollKe00,rush_td,0,,,,,
player,201011140mia,oti,CollKe00,rush_long,0,,,,,
player,201011140mia,oti,CollKe00,targets,0,,,,,
player,201011140mia,oti,CollKe00,rec,0,,,,,
player,201011140mia,oti,CollKe00,rec_yds,0,,,,,
player,201011140mia,oti,CollKe00,rec_td,0,,,,,
player,201011140mia,oti,CollKe00,rec_long,0,,,,,
player,201011140mia,oti,CollKe00,fumbles,0,,,,,
player,201011140mia,oti,CollKe00,fumbles_lost,,,,,,
player,201011140mia,oti,YounVi00,pass_cmp,9,,,,,
player,201011140mia,oti,YounVi00,pass_att,18,,,,,
player,201011140mia,oti,YounVi00,pass_yds,92,,,,,
player,201011140mia,oti,YounVi00,pass_td,1,,,,,
player,201011140mia,oti,YounVi00,pass_int,1,,,,,
player,201011140mia,oti,YounVi00,pass_sacked,2,,,,,
player,201011140mia,oti,YounVi00,pass_sacked_yds,19,,,,,
player,201011140mia,oti,YounVi00,pass_long,26,,,,,
player,201011140mia,oti,YounVi00,pass_rating,60.4,,,,,
player,201011140mia,oti,YounVi00,rush_att,2,,,,,
player,201011140mia,oti,YounVi00,rush_yds,14,,,,,
player,201011140mia,oti,YounVi00,rush_td,0,,,,,
player,201011140mia,oti,YounVi00,rush_long,8,,,,,
player,201011140mia,oti,YounVi00,targets,0,,,,,
player,201011140mia,oti,YounVi00,rec,0,,,,,
player,201011140mia,oti,YounVi00,rec_yds,0,,,,,
player,201011140mia,oti,YounVi00,rec_td,0,,,,,
player,201011140mia,oti,YounVi00,rec_long,0,,,,,
player,201011140mia,oti,YounVi00,fumbles,1,,,,,
player,201011140mia,oti,YounVi00,fumbles_lost,1,,,,,
player,201011140mia,oti,JohnCh04,pass_cmp,0,,,,,
player,201011140mia,oti,JohnCh04,pass_att,0,,,,,
player,201011140mia,oti,JohnCh04,pass_yds,0,,,,,
player,201011140mia,oti,JohnCh04,pass_td,0,,,,,
player,201011140mia,oti,JohnCh04,pass_int,0,,,,,
player,201011140mia,oti,JohnCh04,pass_sacked,,,,,,
player,201011140mia,oti,JohnCh04,pass_sacked_yds,,,,,,
player,201011140mia,oti,JohnCh04,pass_long,0,,,,,
player,201011140mia,oti,JohnCh04,pass_rating,,,,,,
player,201011140mia,oti,JohnCh04,rush_att,17,,,,,
player,201011140mia,oti,JohnCh04,rush_yds,117,,,,,
player,201011140mia,oti,JohnCh04,rush_td,1,,,,,
player,201011140mia,oti,JohnCh04,rush_long,30,,,,,
player,201011140mia,oti,JohnCh04,targets,3,,,,,
player,201011140mia,oti,JohnCh04,rec,1,,,,,
player,201011140mia,oti,JohnCh04,rec_yds,7,,,,,
player,201011140mia,oti,JohnCh04,rec_td,0,,,,,
player,201011140mia,oti,JohnCh04,rec_long,7,,,,,
player,201011140mia,oti,JohnCh04,fumbles,0,,,,,
player,201011140mia,oti,JohnCh04,fumbles_lost,,,,,,
player,201011140mia,oti,RingJa00,pass_cmp,0,,,,,
player,201011140mia,oti,RingJa00,pass_att,0,,,,,
player,201011140mia,oti,RingJa00,pass_yds,0,,,,,
player,201011140mia,oti,RingJa00,pass_td,0,,,,,
player,201011140mia,oti,RingJa00,pass_int,0,,,,,
player,201011140mia,oti,RingJa00,pass_sacked,,,,,,
player,201011140mia,oti,RingJa00,pass_sacked_yds,,,,,,
player,201011140mia,oti,RingJa00,pass_long,0,,,,,
player,201011140mia,oti,RingJa00,pass_rating,,,,,,
player,201011140mia,oti,RingJa00,rush_att,6,,,,,
player,201011140mia,oti,RingJa00,rush_yds,4,,,,,
player,201011140mia,oti,RingJa00,rush_td,0,,,,,
player,201011140mia,oti,RingJa00,rush_long,3,,,,,
player,201011140mia,oti,RingJa00,targets,1,,,,,
player,201011140mia,oti,RingJa00,rec,1,,,,,
player,201011140mia,oti,RingJa00,rec_yds,4,,,,,
player,201011140mia,oti,RingJa00,rec_td,0,,,,,
player,201011140mia,oti,RingJa00,rec_long,4,,,,,
player,201011140mia,oti,RingJa00,fumbles,0,,,,,
player,201011140mia,oti,RingJa00,fumbles_lost,,,,,,
player,201011140mia,oti,ScaiBo00,pass_cmp,0,,,,,
player,201011140mia,oti,ScaiBo00,pass_att,0,,,,,
player,201011140mia,oti,ScaiBo00,pass_yds,0,,,,,
player,201011140mia,oti,ScaiBo00,pass_td,0,,,,,
player,201011140mia,oti,ScaiBo00,pass_int,0,,,,,
player,201011140mia,oti,ScaiBo00,pass_sacked,,,,,,
player,201011140mia,oti,ScaiBo00,pass_sacked_yds,,,,,,
player,201011140mia,oti,ScaiBo00,pass_long,0,,,,,
player,201011140mia,oti,ScaiBo00,pass_rating,,,,,,
player,201011140mia,oti,ScaiBo00,rush_att,0,,,,,
player,201011140mia,oti,ScaiBo00,rush_yds,0,,,,,
player,201011140mia,oti,ScaiBo00,rush_td,0,,,,,
player,201011140mia,oti,ScaiBo00,rush_long,0,,,,,
