game,2010,10,20101114,201011140sfo,ram,"St. Louis Rams",20,sfo,"San Francisco 49ers",23
team,201011140sfo,ram,First Downs,22,,,,,,
team,201011140sfo,sfo,First Downs,19,,,,,,
team,201011140sfo,ram,Rush-Yds-TDs,24-104-1,,,,,,
team,201011140sfo,sfo,Rush-Yds-TDs,26-98-1,,,,,,
team,201011140sfo,ram,Cmp-Att-Yd-TD-INT,30-42-251-1-0,,,,,,
team,201011140sfo,sfo,Cmp-Att-Yd-TD-INT,17-28-356-1-0,,,,,,
team,201011140sfo,ram,Sacked-Yards,3-23,,,,,,
team,201011140sfo,sfo,Sacked-Yards,5-33,,,,,,
team,201011140sfo,ram,Net Pass Yards,228,,,,,,
team,201011140sfo,sfo,Net Pass Yards,323,,,,,,
team,201011140sfo,ram,Total Yards,332,,,,,,
team,201011140sfo,sfo,Total Yards,421,,,,,,
team,201011140sfo,ram,Fumbles-Lost,1-0,,,,,,
team,201011140sfo,sfo,Fumbles-Lost,1-0,,,,,,
team,201011140sfo,ram,Turnovers,0,,,,,,
team,201011140sfo,sfo,Turnovers,0,,,,,,
team,201011140sfo,ram,Penalties-Yards,12-135,,,,,,
team,201011140sfo,sfo,Penalties-Yards,14-105,,,,,,
team,201011140sfo,ram,Third Down Conv.,2-14,,,,,,
team,201011140sfo,sfo,Third Down Conv.,0-11,,,,,,
team,201011140sfo,ram,Fourth Down Conv.,0-0,,,,,,
team,201011140sfo,sfo,Fourth Down Conv.,1-1,,,,,,
team,201011140sfo,ram,Time of Possession,35:03,,,,,,
team,201011140sfo,sfo,Time of Possession,30:18,,,,,,
player,201011140sfo,ram,BradSa00,pass_cmp,30,,,,,
player,201011140sfo,ram,BradSa00,pass_att,42,,,,,
player,201011140sfo,ram,BradSa00,pass_yds,251,,,,,
player,201011140sfo,ram,BradSa00,pass_td,1,,,,,
player,201011140sfo,ram,BradSa00,pass_int,0,,,,,
player,201011140sfo,ram,BradSa00,pass_sacked,3,,,,,
player,201011140sfo,ram,BradSa00,pass_sacked_yds,23,,,,,
player,201011140sfo,ram,BradSa00,pass_long,25,,,,,
player,201011140sfo,ram,BradSa00,pass_rating,94.4,,,,,
player,201011140sfo,ram,BradSa00,rush_att,2,,,,,
player,201011140sfo,ram,BradSa00,rush_yds,11,,,,,
player,201011140sfo,ram,BradSa00,rush_td,0,,,,,
player,201011140sfo,ram,BradSa00,rush_long,6,,,,,
player,201011140sfo,ram,BradSa00,targets,0,,,,,
player,201011140sfo,ram,BradSa00,rec,0,,,,,
player,201011140sfo,ram,BradSa00,rec_yds,0,,,,,
player,201011140sfo,ram,BradSa00,rec_td,0,,,,,
player,201011140sfo,ram,BradSa00,rec_long,0,,,,,
player,201011140sfo,ram,BradSa00,fumbles,1,,,,,
player,201011140sfo,ram,BradSa00,fumbles_lost,0,,,,,
player,201011140sfo,ram,JackSt00,pass_cmp,0,,,,,
player,201011140sfo,ram,JackSt00,pass_att,0,,,,,
player,201011140sfo,ram,JackSt00,pass_yds,0,,,,,
player,201011140sfo,ram,JackSt00,pass_td,0,,,,,
player,201011140sfo,ram,JackSt00,pass_int,0,,,,,
player,201011140sfo,ram,JackSt00,pass_sacked,,,,,,
player,201011140sfo,ram,JackSt00,pass_sacked_yds,,,,,,
player,201011140sfo,ram,JackSt00,pass_long,0,,,,,
player,201011140sfo,ram,JackSt00,pass_rating,,,,,,
player,201011140sfo,ram,JackSt00,rush_att,20,,,,,
player,201011140sfo,ram,JackSt00,rush_yds,81,,,,,
player,201011140sfo,ram,JackSt00,rush_td,1,,,,,
player,201011140sfo,ram,JackSt00,rush_long,26,,,,,
player,201011140sfo,ram,JackSt00,targets,9,,,,,
player,201011140sfo,ram,JackSt00,rec,8,,,,,
player,201011140sfo,ram,JackSt00,rec_yds,67,,,,,
player,201011140sfo,ram,JackSt00,rec_td,0,,,,,
player,201011140sfo,ram,JackSt00,rec_long,25,,,,,
player,201011140sfo,ram,JackSt00,fumbles,0,,,,,
player,201011140sfo,ram,JackSt00,fumbles_lost,,,,,,
player,201011140sfo,ram,AmenDa00,pass_cmp,0,,,,,
player,201011140sfo,ram,AmenDa00,pass_att,0,,,,,
player,201011140sfo,ram,AmenDa00,pass_yds,0,,,,,
player,201011140sfo,ram,AmenDa00,pass_td,0,,,,,
player,201011140sfo,ram,AmenDa00,pass_int,0,,,,,
player,201011140sfo,ram,AmenDa00,pass_sacked,,,,,,
player,201011140sfo,ram,AmenDa00,pass_sacked_yds,,,,,,
