game,2010,11,20101121,201011210kan,crd,"Arizona Cardinals",13,kan,"Kansas City Chiefs",31
team,201011210kan,crd,First Downs,19,,,,,,
team,201011210kan,kan,First Downs,17,,,,,,
team,201011210kan,crd,Rush-Yds-TDs,20-101-0,,,,,,
team,201011210kan,kan,Rush-Yds-TDs,29-159-2,,,,,,
team,201011210kan,crd,Cmp-Att-Yd-TD-INT,25-46-295-1-0,,,,,,
team,201011210kan,kan,Cmp-Att-Yd-TD-INT,15-24-193-2-0,,,,,,
team,201011210kan,crd,Sacked-Yards,2-14,,,,,,
team,201011210kan,kan,Sacked-Yards,0-0,,,,,,
team,201011210kan,crd,Net Pass Yards,281,,,,,,
team,201011210kan,kan,Net Pass Yards,193,,,,,,
team,201011210kan,crd,Total Yards,382,,,,,,
team,201011210kan,kan,Total Yards,352,,,,,,
team,201011210kan,crd,Fumbles-Lost,0-0,,,,,,
team,201011210kan,kan,Fumbles-Lost,0-0,,,,,,
team,201011210kan,crd,Turnovers,0,,,,,,
team,201011210kan,kan,Turnovers,0,,,,,,
team,201011210kan,crd,Penalties-Yards,11-96,,,,,,
team,201011210kan,kan,Penalties-Yards,5-23,,,,,,
team,201011210kan,crd,Third Down Conv.,4-15,,,,,,
team,201011210kan,kan,Third Down Conv.,4-11,,,,,,
team,201011210kan,crd,Fourth Down Conv.,1-2,,,,,,
team,201011210kan,kan,Fourth Down Conv.,0-1,,,,,,
team,201011210kan,crd,Time of Possession,32:22,,,,,,
team,201011210kan,kan,Time of Possession,27:38,,,,,,
player,201011210kan,crd,AndeDe00,pass_cmp,25,,,,,
player,201011210kan,crd,AndeDe00,pass_att,46,,,,,
player,201011210kan,crd,AndeDe00,pass_yds,295,,,,,
player,201011210kan,crd,AndeDe00,pass_td,1,,,,,
player,201011210kan,crd,AndeDe00,pass_int,0,,,,,
player,201011210kan,crd,AndeDe00,pass_sacked,2,,,,,
player,201011210kan,crd,AndeDe00,pass_sacked_yds,14,,,,,
player,201011210kan,crd,AndeDe00,pass_long,27,,,,,
player,201011210kan,crd,AndeDe00,pass_rating,81.3,,,,,
player,201011210kan,crd,AndeDe00,rush_att,0,,,,,
player,201011210kan,crd,AndeDe00,rush_yds,0,,,,,
player,201011210kan,crd,AndeDe00,rush_td,0,,,,,
player,201011210kan,crd,AndeDe00,rush_long,0,,,,,
player,201011210kan,crd,AndeDe00,targets,0,,,,,
player,201011210kan,crd,AndeDe00,rec,0,,,,,
player,201011210kan,crd,AndeDe00,rec_yds,0,,,,,
player,201011210kan,crd,AndeDe00,rec_td,0,,,,,
player,201011210kan,crd,AndeDe00,rec_long,0,,,,,
player,201011210kan,crd,AndeDe00,fumbles,0,,,,,
player,201011210kan,crd,AndeDe00,fumbles_lost,,,,,,
player,201011210kan,crd,HighTi00,pass_cmp,0,,,,,
player,201011210kan,crd,HighTi00,pass_att,0,,,,,
player,201011210kan,crd,HighTi00,pass_yds,0,,,,,
player,201011210kan,crd,HighTi00,pass_td,0,,,,,
player,201011210kan,crd,HighTi00,pass_int,0,,,,,
player,201011210kan,crd,HighTi00,pass_sacked,0,,,,,
player,201011210kan,crd,HighTi00,pass_sacked_yds,0,,,,,
player,201011210kan,crd,HighTi00,pass_long,0,,,,,
player,201011210kan,crd,HighTi00,pass_rating,,,,,,
player,201011210kan,crd,HighTi00,rush_att,12,,,,,
player,201011210kan,crd,HighTi00,rush_yds,62,,,,,
player,201011210kan,crd,HighTi00,rush_td,0,,,,,
player,201011210kan,crd,HighTi00,rush_long,16,,,,,
player,201011210kan,crd,HighTi00,targets,4,,,,,
player,201011210kan,crd,HighTi00,rec,3,,,,,
player,201011210kan,crd,HighTi00,rec_yds,24,,,,,
player,201011210kan,crd,HighTi00,rec_td,0,,,,,
player,201011210kan,crd,HighTi00,rec_long,9,,,,,
player,201011210kan,crd,HighTi00,fumbles,0,,,,,
player,201011210kan,crd,HighTi00,fumbles_lost,,,,,,
player,201011210kan,crd,WellCh00,pass_cmp,0,,,,,
player,201011210kan,crd,WellCh00,pass_att,0,,,,,
player,201011210kan,crd,WellCh00,pass_yds,0,,,,,
player,201011210kan,crd,WellCh00,pass_td,0,,,,,
player,201011210kan,crd,WellCh00,pass_int,0,,,,,
player,201011210kan,crd,WellCh00,pass_sacked,0,,,,,
player,201011210kan,crd,WellCh00,pass_sacked_yds,0,,,,,
player,201011210kan,crd,WellCh00,pass_long,0,,,,,
player,201011210kan,crd,WellCh00,pass_rating,,,,,,
player,201011210kan,crd,WellCh00,rush_att,8,,,,,
player,201011210kan,crd,WellCh00,rush_yds,39,,,,,
player,201011210kan,crd,WellCh00,rush_td,0,,,,,
player,201011210kan,crd,WellCh00,rush_long,12,,,,,
player,201011210kan,crd,WellCh00,targets,0,,,,,
player,201011210kan,crd,WellCh00,rec,0,,,,,
player,201011210kan,crd,WellCh00,rec_yds,0,,,,,
player,201011210kan,crd,WellCh00,rec_td,0,,,,,
player,201011210kan,crd,WellCh00,rec_long,0,,,,,
player,201011210kan,crd,WellCh00,fumbles,0,,,,,
player,201011210kan,crd,WellCh00,fumbles_lost,,,,,,
player,201011210kan,crd,BreaSt00,pass_cmp,0,,,,,
player,201011210kan,crd,BreaSt00,pass_att,0,,,,,
player,201011210kan,crd,BreaSt00,pass_yds,0,,,,,
player,201011210kan,crd,BreaSt00,pass_td,0,,,,,
player,201011210kan,crd,BreaSt00,pass_int,0,,,,,
player,201011210kan,crd,BreaSt00,pass_sacked,0,,,,,
player,201011210kan,crd,BreaSt00,pass_sacked_yds,0,,,,,
player,201011210kan,crd,BreaSt00,pass_long,0,,,,,
player,201011210kan,crd,BreaSt00,pass_rating,,,,,,
player,201011210kan,crd,BreaSt00,rush_att,0,,,,,
