game,2010,11,20101121,201011210nor,sea,"Seattle Seahawks",19,nor,"New Orleans Saints",34
team,201011210nor,sea,First Downs,21,,,,,,
team,201011210nor,nor,First Downs,26,,,,,,
team,201011210nor,sea,Rush-Yds-TDs,17-58-0,,,,,,
team,201011210nor,nor,Rush-Yds-TDs,29-112-1,,,,,,
team,201011210nor,sea,Cmp-Att-Yd-TD-INT,32-44-366-1-0,,,,,,
team,201011210nor,nor,Cmp-Att-Yd-TD-INT,29-43-382-4-2,,,,,,
team,201011210nor,sea,Sacked-Yards,0-0,,,,,,
team,201011210nor,nor,Sacked-Yards,0-0,,,,,,
team,201011210nor,sea,Net Pass Yards,366,,,,,,
team,201011210nor,nor,Net Pass Yards,382,,,,,,
team,201011210nor,sea,Total Yards,424,,,,,,
team,201011210nor,nor,Total Yards,494,,,,,,
team,201011210nor,sea,Fumbles-Lost,2-2,,,,,,
team,201011210nor,nor,Fumbles-Lost,0-0,,,,,,
team,201011210nor,sea,Turnovers,2,,,,,,
team,201011210nor,nor,Turnovers,2,,,,,,
team,201011210nor,sea,Penalties-Yards,8-79,,,,,,
team,201011210nor,nor,Penalties-Yards,3-24,,,,,,
team,201011210nor,sea,Third Down Conv.,7-12,,,,,,
team,201011210nor,nor,Third Down Conv.,11-15,,,,,,
team,201011210nor,sea,Fourth Down Conv.,0-0,,,,,,
team,201011210nor,nor,Fourth Down Conv.,0-1,,,,,,
team,201011210nor,sea,Time of Possession,26:15,,,,,,
team,201011210nor,nor,Time of Possession,33:45,,,,,,
player,201011210nor,sea,HassMa00,pass_cmp,32,,,,,
player,201011210nor,sea,HassMa00,pass_att,44,,,,,
player,201011210nor,sea,HassMa00,pass_yds,366,,,,,
player,201011210nor,sea,HassMa00,pass_td,1,,,,,
player,201011210nor,sea,HassMa00,pass_int,0,,,,,
player,201011210nor,sea,HassMa00,pass_sacked,0,,,,,
player,201011210nor,sea,HassMa00,pass_sacked_yds,0,,,,,
player,201011210nor,sea,HassMa00,pass_long,68,,,,,
player,201011210nor,sea,HassMa00,pass_rating,104.9,,,,,
player,201011210nor,sea,HassMa00,rush_att,1,,,,,
player,201011210nor,sea,HassMa00,rush_yds,12,,,,,
player,201011210nor,sea,HassMa00,rush_td,0,,,,,
player,201011210nor,sea,HassMa00,rush_long,12,,,,,
player,201011210nor,sea,HassMa00,targets,0,,,,,
player,201011210nor,sea,HassMa00,rec,0,,,,,
player,201011210nor,sea,HassMa00,rec_yds,0,,,,,
player,201011210nor,sea,HassMa00,rec_td,0,,,,,
player,201011210nor,sea,HassMa00,rec_long,0,,,,,
player,201011210nor,sea,HassMa00,fumbles,0,,,,,
player,201011210nor,sea,HassMa00,fumbles_lost,,,,,,
player,201011210nor,sea,LyncMa00,pass_cmp,0,,,,,
player,201011210nor,sea,LyncMa00,pass_att,0,,,,,
player,201011210nor,sea,LyncMa00,pass_yds,0,,,,,
player,201011210nor,sea,LyncMa00,pass_td,0,,,,,
player,201011210nor,sea,LyncMa00,pass_int,0,,,,,
player,201011210nor,sea,LyncMa00,pass_sacked,,,,,,
player,201011210nor,sea,LyncMa00,pass_sacked_yds,,,,,,
player,201011210nor,sea,LyncMa00,pass_long,0,,,,,
player,201011210nor,sea,LyncMa00,pass_rating,,,,,,
player,201011210nor,sea,LyncMa00,rush_att,7,,,,,
player,201011210nor,sea,LyncMa00,rush_yds,36,,,,,
player,201011210nor,sea,LyncMa00,rush_td,0,,,,,
player,201011210nor,sea,LyncMa00,rush_long,17,,,,,
player,201011210nor,sea,LyncMa00,targets,6,,,,,
player,201011210nor,sea,LyncMa00,rec,4,,,,,
player,201011210nor,sea,LyncMa00,rec_yds,19,,,,,
player,201011210nor,sea,LyncMa00,rec_td,0,,,,,
player,201011210nor,sea,LyncMa00,rec_long,8,,,,,
player,201011210nor,sea,LyncMa00,fumbles,2,,,,,
