game,2010,11,20101121,201011210sfo,tam,"Tampa Bay Buccaneers",21,sfo,"San Francisco 49ers",0
team,201011210sfo,tam,First Downs,20,,,,,,
team,201011210sfo,sfo,First Downs,11,,,,,,
team,201011210sfo,tam,Rush-Yds-TDs,42-162-1,,,,,,
team,201011210sfo,sfo,Rush-Yds-TDs,18-71-0,,,,,,
team,201011210sfo,tam,Cmp-Att-Yd-TD-INT,14-22-143-2-0,,,,,,
team,201011210sfo,sfo,Cmp-Att-Yd-TD-INT,16-31-148-0-1,,,,,,
team,201011210sfo,tam,Sacked-Yards,2-6,,,,,,
team,201011210sfo,sfo,Sacked-Yards,6-30,,,,,,
team,201011210sfo,tam,Net Pass Yards,137,,,,,,
team,201011210sfo,sfo,Net Pass Yards,118,,,,,,
team,201011210sfo,tam,Total Yards,299,,,,,,
team,201011210sfo,sfo,Total Yards,189,,,,,,
team,201011210sfo,tam,Fumbles-Lost,0-0,,,,,,
team,201011210sfo,sfo,Fumbles-Lost,1-1,,,,,,
team,201011210sfo,tam,Turnovers,0,,,,,,
team,201011210sfo,sfo,Turnovers,2,,,,,,
team,201011210sfo,tam,Penalties-Yards,3-35,,,,,,
team,201011210sfo,sfo,Penalties-Yards,3-18,,,,,,
team,201011210sfo,tam,Third Down Conv.,7-14,,,,,,
team,201011210sfo,sfo,Third Down Conv.,3-12,,,,,,
team,201011210sfo,tam,Fourth Down Conv.,0-1,,,,,,
team,201011210sfo,sfo,Fourth Down Conv.,0-3,,,,,,
team,201011210sfo,tam,Time of Possession,36:24,,,,,,
team,201011210sfo,sfo,Time of Possession,23:36,,,,,,
player,201011210sfo,tam,FreeJo00,pass_cmp,13,,,,,
player,201011210sfo,tam,FreeJo00,pass_att,20,,,,,
player,201011210sfo,tam,FreeJo00,pass_yds,136,,,,,
player,201011210sfo,tam,FreeJo00,pass_td,2,,,,,
player,201011210sfo,tam,FreeJo00,pass_int,0,,,,,
player,201011210sfo,tam,FreeJo00,pass_sacked,2,,,,,
player,201011210sfo,tam,FreeJo00,pass_sacked_yds,6,,,,,
player,201011210sfo,tam,FreeJo00,pass_long,33,,,,,
player,201011210sfo,tam,FreeJo00,pass_rating,117.9,,,,,
player,201011210sfo,tam,FreeJo00,rush_att,5,,,,,
player,201011210sfo,tam,FreeJo00,rush_yds,15,,,,,
player,201011210sfo,tam,FreeJo00,rush_td,0,,,,,
player,201011210sfo,tam,FreeJo00,rush_long,8,,,,,
player,201011210sfo,tam,FreeJo00,targets,0,,,,,
player,201011210sfo,tam,FreeJo00,rec,0,,,,,
player,201011210sfo,tam,FreeJo00,rec_yds,0,,,,,
player,201011210sfo,tam,FreeJo00,rec_td,0,,,,,
player,201011210sfo,tam,FreeJo00,rec_long,0,,,,,
player,201011210sfo,tam,FreeJo00,fumbles,0,,,,,
player,201011210sfo,tam,FreeJo00,fumbles_lost,,,,,,
player,201011210sfo,tam,JohnJo05,pass_cmp,1,,,,,
player,201011210sfo,tam,JohnJo05,pass_att,1,,,,,
player,201011210sfo,tam,JohnJo05,pass_yds,7,,,,,
player,201011210sfo,tam,JohnJo05,pass_td,0,,,,,
player,201011210sfo,tam,JohnJo05,pass_int,0,,,,,
player,201011210sfo,tam,JohnJo05,pass_sacked,0,,,,,
player,201011210sfo,tam,JohnJo05,pass_sacked_yds,0,,,,,
player,201011210sfo,tam,JohnJo05,pass_long,7,,,,,
player,201011210sfo,tam,JohnJo05,pass_rating,95.8,,,,,
player,201011210sfo,tam,JohnJo05,rush_att,1,,,,,
player,201011210sfo,tam,JohnJo05,rush_yds,7,,,,,
player,201011210sfo,tam,JohnJo05,rush_td,0,,,,,
player,201011210sfo,tam,JohnJo05,rush_long,7,,,,,
player,201011210sfo,tam,JohnJo05,targets,0,,,,,
player,201011210sfo,tam,JohnJo05,rec,0,,,,,
player,201011210sfo,tam,JohnJo05,rec_yds,0,,,,,
player,201011210sfo,tam,JohnJo05,rec_td,0,,,,,
player,201011210sfo,tam,JohnJo05,rec_long,0,,,,,
player,201011210sfo,tam,JohnJo05,fumbles,0,,,,,
player,201011210sfo,tam,JohnJo05,fumbles_lost,,,,,,
player,201011210sfo,tam,SpurMi00,pass_cmp,0,,,,,
player,201011210sfo,tam,SpurMi00,pass_att,1,,,,,
player,201011210sfo,tam,SpurMi00,pass_yds,0,,,,,
player,201011210sfo,tam,SpurMi00,pass_td,0,,,,,
player,201011210sfo,tam,SpurMi00,pass_int,0,,,,,
player,201011210sfo,tam,SpurMi00,pass_sacked,0,,,,,
player,201011210sfo,tam,SpurMi00,pass_sacked_yds,0,,,,,
player,201011210sfo,tam,SpurMi00,pass_long,0,,,,,
player,201011210sfo,tam,SpurMi00,pass_rating,39.6,,,,,
player,201011210sfo,tam,SpurMi00,rush_att,0,,,,,
player,201011210sfo,tam,SpurMi00,rush_yds,0,,,,,
player,201011210sfo,tam,SpurMi00,rush_td,0,,,,,
player,201011210sfo,tam,SpurMi00,rush_long,0,,,,,
player,201011210sfo,tam,SpurMi00,targets,0,,,,,
player,201011210sfo,tam,SpurMi00,rec,0,,,,,
player,201011210sfo,tam,SpurMi00,rec_yds,0,,,,,
player,201011210sfo,tam,SpurMi00,rec_td,0,,,,,
player,201011210sfo,tam,SpurMi00,rec_long,0,,,,,
player,201011210sfo,tam,SpurMi00,fumbles,0,,,,,
player,201011210sfo,tam,SpurMi00,fumbles_lost,,,,,,
player,201011210sfo,tam,BlouLe00,pass_cmp,0,,,,,
player,201011210sfo,tam,BlouLe00,pass_att,0,,,,,
player,201011210sfo,tam,BlouLe00,pass_yds,0,,,,,
player,201011210sfo,tam,BlouLe00,pass_td,0,,,,,
player,201011210sfo,tam,BlouLe00,pass_int,0,,,,,
player,201011210sfo,tam,BlouLe00,pass_sacked,,,,,,
player,201011210sfo,tam,BlouLe00,pass_sacked_yds,,,,,,
player,201011210sfo,tam,BlouLe00,pass_long,0,,,,,
player,201011210sfo,tam,BlouLe00,pass_rating,,,,,,
player,201011210sfo,tam,BlouLe00,rush_att,26,,,,,
player,201011210sfo,tam,BlouLe00,rush_yds,82,,,,,
player,201011210sfo,tam,BlouLe00,rush_td,0,,,,,
player,201011210sfo,tam,BlouLe00,rush_long,16,,,,,
player,201011210sfo,tam,BlouLe00,targets,0,,,,,
player,201011210sfo,tam,BlouLe00,rec,0,,,,,
player,201011210sfo,tam,BlouLe00,rec_yds,0,,,,,
player,201011210sfo,tam,BlouLe00,rec_td,0,,,,,
player,201011210sfo,tam,BlouLe00,rec_long,0,,,,,
player,201011210sfo,tam,BlouLe00,fumbles,0,,,,,
player,201011210sfo,tam,BlouLe00,fumbles_lost,,,,,,
player,201011210sfo,tam,WillCa02,pass_cmp,0,,,,,
player,201011210sfo,tam,WillCa02,pass_att,0,,,,,
player,201011210sfo,tam,WillCa02,pass_yds,0,,,,,
player,201011210sfo,tam,WillCa02,pass_td,0,,,,,
player,201011210sfo,tam,WillCa02,pass_int,0,,,,,
player,201011210sfo,tam,WillCa02,pass_sacked,,,,,,
player,201011210sfo,tam,WillCa02,pass_sacked_yds,,,,,,
player,201011210sfo,tam,WillCa02,pass_long,0,,,,,
player,201011210sfo,tam,WillCa02,pass_rating,,,,,,
player,201011210sfo,tam,WillCa02,rush_att,7,,,,,
player,201011210sfo,tam,WillCa02,rush_yds,51,,,,,
player,201011210sfo,tam,WillCa02,rush_td,1,,,,,
player,201011210sfo,tam,WillCa02,rush_long,26,,,,,
player,201011210sfo,tam,WillCa02,targets,1,,,,,
player,201011210sfo,tam,WillCa02,rec,1,,,,,
player,201011210sfo,tam,WillCa02,rec_yds,7,,,,,
player,201011210sfo,tam,WillCa02,rec_td,0,,,,,
player,201011210sfo,tam,WillCa02,rec_long,7,,,,,
player,201011210sfo,tam,WillCa02,fumbles,0,,,,,
player,201011210sfo,tam,WillCa02,fumbles_lost,,,,,,
player,201011210sfo,tam,GrahEa00,pass_cmp,0,,,,,
player,201011210sfo,tam,GrahEa00,pass_att,0,,,,,
player,201011210sfo,tam,GrahEa00,pass_yds,0,,,,,
player,201011210sfo,tam,GrahEa00,pass_td,0,,,,,
player,201011210sfo,tam,GrahEa00,pass_int,0,,,,,
player,201011210sfo,tam,GrahEa00,pass_sacked,0,,,,,
player,201011210sfo,tam,GrahEa00,pass_sacked_yds,,,,,,
player,201011210sfo,tam,GrahEa00,pass_long,0,,,,,
player,201011210sfo,tam,GrahEa00,pass_rating,,,,,,
player,201011210sfo,tam,GrahEa00,rush_att,3,,,,,
player,201011210sfo,tam,GrahEa00,rush_yds,7,,,,,
player,201011210sfo,tam,GrahEa00,rush_td,0,,,,,
player,201011210sfo,tam,GrahEa00,rush_long,3,,,,,
player,201011210sfo,tam,GrahEa00,targets,1,,,,,
player,201011210sfo,tam,GrahEa00,rec,0,,,,,
player,201011210sfo,tam,GrahEa00,rec_yds,0,,,,,
player,201011210sfo,tam,GrahEa00,rec_td,0,,,,,
player,201011210sfo,tam,GrahEa00,rec_long,0,,,,,
player,201011210sfo,tam,GrahEa00,fumbles,0,,,,,
player,201011210sfo,tam,GrahEa00,fumbles_lost,,,,,,
player,201011210sfo,tam,WillMi04,pass_cmp,0,,,,,
player,201011210sfo,tam,WillMi04,pass_att,0,,,,,
player,201011210sfo,tam,WillMi04,pass_yds,0,,,,,
player,201011210sfo,tam,WillMi04,pass_td,0,,,,,
player,201011210sfo,tam,WillMi04,pass_int,0,,,,,
player,201011210sfo,tam,WillMi04,pass_sacked,,,,,,
player,201011210sfo,tam,WillMi04,pass_sacked_yds,,,,,,
player,201011210sfo,tam,WillMi04,pass_long,0,,,,,
player,201011210sfo,tam,WillMi04,pass_rating,,,,,,
player,201011210sfo,tam,WillMi04,rush_att,0,,,,,
player,201011210sfo,tam,WillMi04,rush_yds,0,,,,,
player,201011210sfo,tam,WillMi04,rush_td,0,,,,,
player,201011210sfo,tam,WillMi04,rush_long,0,,,,,
player,201011210sfo,tam,WillMi04,targets,3,,,,,
player,201011210sfo,tam,WillMi04,rec,3,,,,,
player,201011210sfo,tam,WillMi04,rec_yds,54,,,,,
player,201011210sfo,tam,WillMi04,rec_td,1,,,,,
player,201011210sfo,tam,WillMi04,rec_long,33,,,,,
player,201011210sfo,tam,WillMi04,fumbles,0,,,,,
player,201011210sfo,tam,WillMi04,fumbles_lost,,,,,,
player,201011210sfo,tam,WinsKe01,pass_cmp,0,,,,,
player,201011210sfo,tam,WinsKe01,pass_att,0,,,,,
player,201011210sfo,tam,WinsKe01,pass_yds,0,,,,,
player,201011210sfo,tam,WinsKe01,pass_td,0,,,,,
player,201011210sfo,tam,WinsKe01,pass_int,0,,,,,
player,201011210sfo,tam,WinsKe01,pass_sacked,,,,,,
player,201011210sfo,tam,WinsKe01,pass_sacked_yds,,,,,,
player,201011210sfo,tam,WinsKe01,pass_long,0,,,,,
player,201011210sfo,tam,WinsKe01,pass_rating,,,,,,
player,201011210sfo,tam,WinsKe01,rush_att,0,,,,,
player,201011210sfo,tam,WinsKe01,rush_yds,0,,,,,
player,201011210sfo,tam,WinsKe01,rush_td,0,,,,,
player,201011210sfo,tam,WinsKe01,rush_long,0,,,,,
player,201011210sfo,tam,WinsKe01,targets,8,,,,,
player,201011210sfo,tam,WinsKe01,rec,4,,,,,
player,201011210sfo,tam,WinsKe01,rec_yds,34,,,,,
player,201011210sfo,tam,WinsKe01,rec_td,0,,,,,
player,201011210sfo,tam,WinsKe01,rec_long,11,,,,,
player,201011210sfo,tam,WinsKe01,fumbles,0,,,,,
player,201011210sfo,tam,WinsKe01,fumbles_lost,,,,,,
player,201011210sfo,tam,StovMa00,pass_cmp,0,,,,,
player,201011210sfo,tam,StovMa00,pass_att,0,,,,,
player,201011210sfo,tam,StovMa00,pass_yds,0,,,,,
player,201011210sfo,tam,StovMa00,pass_td,0,,,,,
player,201011210sfo,tam,StovMa00,pass_int,0,,,,,
player,201011210sfo,tam,StovMa00,pass_sacked,,,,,,
player,201011210sfo,tam,StovMa00,pass_sacked_yds,,,,,,
player,201011210sfo,tam,StovMa00,pass_long,0,,,,,
player,201011210sfo,tam,StovMa00,pass_rating,,,,,,
player,201011210sfo,tam,StovMa00,rush_att,0,,,,,
player,201011210sfo,tam,StovMa00,rush_yds,0,,,,,
player,201011210sfo,tam,StovMa00,rush_td,0,,,,,
player,201011210sfo,tam,StovMa00,rush_long,0,,,,,
player,201011210sfo,tam,StovMa00,targets,2,,,,,
player,201011210sfo,tam,StovMa00,rec,1,,,,,
player,201011210sfo,tam,StovMa00,rec_yds,22,,,,,
player,201011210sfo,tam,StovMa00,rec_td,0,,,,,
player,201011210sfo,tam,StovMa00,rec_long,22,,,,,
player,201011210sfo,tam,StovMa00,fumbles,0,,,,,
player,201011210sfo,tam,StovMa00,fumbles_lost,,,,,,
player,201011210sfo,tam,BennAr00,pass_cmp,0,,,,,
player,201011210sfo,tam,BennAr00,pass_att,0,,,,,
player,201011210sfo,tam,BennAr00,pass_yds,0,,,,,
player,201011210sfo,tam,BennAr00,pass_td,0,,,,,
player,201011210sfo,tam,BennAr00,pass_int,0,,,,,
player,201011210sfo,tam,BennAr00,pass_sacked,,,,,,
player,201011210sfo,tam,BennAr00,pass_sacked_yds,,,,,,
player,201011210sfo,tam,BennAr00,pass_long,0,,,,,
player,201011210sfo,tam,BennAr00,pass_rating,,,,,,
player,201011210sfo,tam,BennAr00,rush_att,0,,,,,
player,201011210sfo,tam,BennAr00,rush_yds,0,,,,,
player,201011210sfo,tam,BennAr00,rush_td,0,,,,,
player,201011210sfo,tam,BennAr00,rush_long,0,,,,,
player,201011210sfo,tam,BennAr00,targets,3,,,,,
player,201011210sfo,tam,BennAr00,rec,2,,,,,
player,201011210sfo,tam,BennAr00,rec_yds,14,,,,,
player,201011210sfo,tam,BennAr00,rec_td,0,,,,,
player,201011210sfo,tam,BennAr00,rec_long,7,,,,,
player,201011210sfo,tam,BennAr00,fumbles,0,,,,,
player,201011210sfo,tam,BennAr00,fumbles_lost,,,,,,
player,201011210sfo,tam,StroSa00,pass_cmp,0,,,,,
player,201011210sfo,tam,StroSa00,pass_att,0,,,,,
player,201011210sfo,tam,StroSa00,pass_yds,0,,,,,
player,201011210sfo,tam,StroSa00,pass_td,0,,,,,
player,201011210sfo,tam,StroSa00,pass_int,0,,,,,
player,201011210sfo,tam,StroSa00,pass_sacked,,,,,,
player,201011210sfo,tam,StroSa00,pass_sacked_yds,,,,,,
player,201011210sfo,tam,StroSa00,pass_long,0,,,,,
player,201011210sfo,tam,StroSa00,pass_rating,,,,,,
player,201011210sfo,tam,StroSa00,rush_att,0,,,,,
player,201011210sfo,tam,StroSa00,rush_yds,0,,,,,
player,201011210sfo,tam,StroSa00,rush_td,0,,,,,
player,201011210sfo,tam,StroSa00,rush_long,0,,,,,
player,201011210sfo,tam,StroSa00,targets,3,,,,,
player,201011210sfo,tam,StroSa00,rec,2,,,,,
player,201011210sfo,tam,StroSa00,rec_yds,11,,,,,
player,201011210sfo,tam,StroSa00,rec_td,0,,,,,
player,201011210sfo,tam,StroSa00,rec_long,7,,,,,
player,201011210sfo,tam,StroSa00,fumbles,0,,,,,
player,201011210sfo,tam,StroSa00,fumbles_lost,,,,,,
player,201011210sfo,tam,PennDo20,pass_cmp,0,,,,,
player,201011210sfo,tam,PennDo20,pass_att,0,,,,,
player,201011210sfo,tam,PennDo20,pass_yds,0,,,,,
player,201011210sfo,tam,PennDo20,pass_td,0,,,,,
player,201011210sfo,tam,PennDo20,pass_int,0,,,,,
player,201011210sfo,tam,PennDo20,pass_sacked,,,,,,
player,201011210sfo,tam,PennDo20,pass_sacked_yds,,,,,,
player,201011210sfo,tam,PennDo20,pass_long,0,,,,,
player,201011210sfo,tam,PennDo20,pass_rating,,,,,,
player,201011210sfo,tam,PennDo20,rush_att,0,,,,,
player,201011210sfo,tam,PennDo20,rush_yds,0,,,,,
player,201011210sfo,tam,PennDo20,rush_td,0,,,,,
player,201011210sfo,tam,PennDo20,rush_long,0,,,,,
player,201011210sfo,tam,PennDo20,targets,1,,,,,
player,201011210sfo,tam,PennDo20,rec,1,,,,,
player,201011210sfo,tam,PennDo20,rec_yds,1,,,,,
player,201011210sfo,tam,PennDo20,rec_td,1,,,,,
player,201011210sfo,tam,PennDo20,rec_long,1,,,,,
player,201011210sfo,tam,PennDo20,fumbles,0,,,,,
player,201011210sfo,tam,PennDo20,fumbles_lost,,,,,,
player,201011210sfo,sfo,SmitTr02,pass_cmp,16,,,,,
player,201011210sfo,sfo,SmitTr02,pass_att,31,,,,,
player,201011210sfo,sfo,SmitTr02,pass_yds,148,,,,,
player,201011210sfo,sfo,SmitTr02,pass_td,0,,,,,
player,201011210sfo,sfo,SmitTr02,pass_int,1,,,,,
player,201011210sfo,sfo,SmitTr02,pass_sacked,6,,,,,
player,201011210sfo,sfo,SmitTr02,pass_sacked_yds,30,,,,,
player,201011210sfo,sfo,SmitTr02,pass_long,23,,,,,
player,201011210sfo,sfo,SmitTr02,pass_rating,51.5,,,,,
player,201011210sfo,sfo,SmitTr02,rush_att,5,,,,,
player,201011210sfo,sfo,SmitTr02,rush_yds,45,,,,,
player,201011210sfo,sfo,SmitTr02,rush_td,0,,,,,
player,201011210sfo,sfo,SmitTr02,rush_long,15,,,,,
player,201011210sfo,sfo,SmitTr02,targets,0,,,,,
player,201011210sfo,sfo,SmitTr02,rec,0,,,,,
player,201011210sfo,sfo,SmitTr02,rec_yds,0,,,,,
player,201011210sfo,sfo,SmitTr02,rec_td,0,,,,,
player,201011210sfo,sfo,SmitTr02,rec_long,0,,,,,
player,201011210sfo,sfo,SmitTr02,fumbles,0,,,,,
player,201011210sfo,sfo,SmitTr02,fumbles_lost,,,,,,
player,201011210sfo,sfo,GoreFr00,pass_cmp,0,,,,,
player,201011210sfo,sfo,GoreFr00,pass_att,0,,,,,
player,201011210sfo,sfo,GoreFr00,pass_yds,0,,,,,
player,201011210sfo,sfo,GoreFr00,pass_td,0,,,,,
player,201011210sfo,sfo,GoreFr00,pass_int,0,,,,,
player,201011210sfo,sfo,GoreFr00,pass_sacked,,,,,,
player,201011210sfo,sfo,GoreFr00,pass_sacked_yds,,,,,,
player,201011210sfo,sfo,GoreFr00,pass_long,0,,,,,
player,201011210sfo,sfo,GoreFr00,pass_rating,,,,,,
player,201011210sfo,sfo,GoreFr00,rush_att,12,,,,,
player,201011210sfo,sfo,GoreFr00,rush_yds,23,,,,,
player,201011210sfo,sfo,GoreFr00,rush_td,0,,,,,
player,201011210sfo,sfo,GoreFr00,rush_long,6,,,,,
player,201011210sfo,sfo,GoreFr00,targets,8,,,,,
player,201011210sfo,sfo,GoreFr00,rec,5,,,,,
player,201011210sfo,sfo,GoreFr00,rec_yds,37,,,,,
player,201011210sfo,sfo,GoreFr00,rec_td,0,,,,,
player,201011210sfo,sfo,GoreFr00,rec_long,14,,,,,
player,201011210sfo,sfo,GoreFr00,fumbles,0,,,,,
player,201011210sfo,sfo,GoreFr00,fumbles_lost,,,,,,
player,201011210sfo,sfo,WalkHu00,pass_cmp,0,,,,,
player,201011210sfo,sfo,WalkHu00,pass_att,0,,,,,
player,201011210sfo,sfo,WalkHu00,pass_yds,0,,,,,
player,201011210sfo,sfo,WalkHu00,pass_td,0,,,,,
player,201011210sfo,sfo,WalkHu00,pass_int,0,,,,,
player,201011210sfo,sfo,WalkHu00,pass_sacked,,,,,,
player,201011210sfo,sfo,WalkHu00,pass_sacked_yds,,,,,,
player,201011210sfo,sfo,WalkHu00,pass_long,0,,,,,
player,201011210sfo,sfo,WalkHu00,pass_rating,,,,,,
player,201011210sfo,sfo,WalkHu00,rush_att,1,,,,,
player,201011210sfo,sfo,WalkHu00,rush_yds,3,,,,,
player,201011210sfo,sfo,WalkHu00,rush_td,0,,,,,
player,201011210sfo,sfo,WalkHu00,rush_long,3,,,,,
player,201011210sfo,sfo,WalkHu00,targets,4,,,,,
player,201011210sfo,sfo,WalkHu00,rec,3,,,,,
player,201011210sfo,sfo,WalkHu00,rec_yds,27,,,,,
