game,2010,12,20101128,201011280den,ram,"St. Louis Rams",36,den,"Denver Broncos",33
team,201011280den,ram,First Downs,24,,,,,,
team,201011280den,den,First Downs,24,,,,,,
team,201011280den,ram,Rush-Yds-TDs,35-123-1,,,,,,
team,201011280den,den,Rush-Yds-TDs,18-119-1,,,,,,
team,201011280den,ram,Cmp-Att-Yd-TD-INT,22-37-308-3-0,,,,,,
team,201011280den,den,Cmp-Att-Yd-TD-INT,24-41-347-3-0,,,,,,
team,201011280den,ram,Sacked-Yards,2-0,,,,,,
team,201011280den,den,Sacked-Yards,3-17,,,,,,
team,201011280den,ram,Net Pass Yards,308,,,,,,
team,201011280den,den,Net Pass Yards,330,,,,,,
team,201011280den,ram,Total Yards,431,,,,,,
team,201011280den,den,Total Yards,449,,,,,,
team,201011280den,ram,Fumbles-Lost,0-0,,,,,,
team,201011280den,den,Fumbles-Lost,2-2,,,,,,
team,201011280den,ram,Turnovers,0,,,,,,
team,201011280den,den,Turnovers,2,,,,,,
team,201011280den,ram,Penalties-Yards,4-30,,,,,,
team,201011280den,den,Penalties-Yards,6-60,,,,,,
team,201011280den,ram,Third Down Conv.,6-16,,,,,,
team,201011280den,den,Third Down Conv.,1-9,,,,,,
team,201011280den,ram,Fourth Down Conv.,1-1,,,,,,
team,201011280den,den,Fourth Down Conv.,1-2,,,,,,
team,201011280den,ram,Time of Possession,34:17,,,,,,
team,201011280den,den,Time of Possession,25:43,,,,,,
player,201011280den,ram,BradSa00,pass_cmp,22,,,,,
player,201011280den,ram,BradSa00,pass_att,37,,,,,
player,201011280den,ram,BradSa00,pass_yds,308,,,,,
player,201011280den,ram,BradSa00,pass_td,3,,,,,
player,201011280den,ram,BradSa00,pass_int,0,,,,,
player,201011280den,ram,BradSa00,pass_sacked,2,,,,,
player,201011280den,ram,BradSa00,pass_sacked_yds,0,,,,,
player,201011280den,ram,BradSa00,pass_long,45,,,,,
player,201011280den,ram,BradSa00,pass_rating,113.3,,,,,
player,201011280den,ram,BradSa00,rush_att,1,,,,,
player,201011280den,ram,BradSa00,rush_yds,-1,,,,,
player,201011280den,ram,BradSa00,rush_td,0,,,,,
player,201011280den,ram,BradSa00,rush_long,-1,,,,,
player,201011280den,ram,BradSa00,targets,0,,,,,
player,201011280den,ram,BradSa00,rec,0,,,,,
player,201011280den,ram,BradSa00,rec_yds,0,,,,,
player,201011280den,ram,BradSa00,rec_td,0,,,,,
player,201011280den,ram,BradSa00,rec_long,0,,,,,
player,201011280den,ram,BradSa00,fumbles,0,,,,,
player,201011280den,ram,BradSa00,fumbles_lost,,,,,,
player,201011280den,ram,JackSt00,pass_cmp,0,,,,,
player,201011280den,ram,JackSt00,pass_att,0,,,,,
player,201011280den,ram,JackSt00,pass_yds,0,,,,,
player,201011280den,ram,JackSt00,pass_td,0,,,,,
player,201011280den,ram,JackSt00,pass_int,0,,,,,
player,201011280den,ram,JackSt00,pass_sacked,,,,,,
player,201011280den,ram,JackSt00,pass_sacked_yds,,,,,,
player,201011280den,ram,JackSt00,pass_long,0,,,,,
player,201011280den,ram,JackSt00,pass_rating,,,,,,
player,201011280den,ram,JackSt00,rush_att,29,,,,,
player,201011280den,ram,JackSt00,rush_yds,72,,,,,
player,201011280den,ram,JackSt00,rush_td,0,,,,,
player,201011280den,ram,JackSt00,rush_long,20,,,,,
player,201011280den,ram,JackSt00,targets,3,,,,,
player,201011280den,ram,JackSt00,rec,1,,,,,
player,201011280den,ram,JackSt00,rec_yds,-6,,,,,
player,201011280den,ram,JackSt00,rec_td,0,,,,,
player,201011280den,ram,JackSt00,rec_long,-6,,,,,
player,201011280den,ram,JackSt00,fumbles,0,,,,,
player,201011280den,ram,JackSt00,fumbles_lost,,,,,,
player,201011280den,ram,AmenDa00,pass_cmp,0,,,,,
player,201011280den,ram,AmenDa00,pass_att,0,,,,,
player,201011280den,ram,AmenDa00,pass_yds,0,,,,,
player,201011280den,ram,AmenDa00,pass_td,0,,,,,
player,201011280den,ram,AmenDa00,pass_int,0,,,,,
player,201011280den,ram,AmenDa00,pass_sacked,,,,,,
player,201011280den,ram,AmenDa00,pass_sacked_yds,,,,,,
player,201011280den,ram,AmenDa00,pass_long,0,,,,,
player,201011280den,ram,AmenDa00,pass_rating,,,,,,
player,201011280den,ram,AmenDa00,rush_att,3,,,,,
player,201011280den,ram,AmenDa00,rush_yds,48,,,,,
player,201011280den,ram,AmenDa00,rush_td,0,,,,,
player,201011280den,ram,AmenDa00,rush_long,30,,,,,
player,201011280den,ram,AmenDa00,targets,7,,,,,
player,201011280den,ram,AmenDa00,rec,4,,,,,
player,201011280den,ram,AmenDa00,rec_yds,41,,,,,
player,201011280den,ram,AmenDa00,rec_td,0,,,,,
player,201011280den,ram,AmenDa00,rec_long,17,,,,,
player,201011280den,ram,AmenDa00,fumbles,0,,,,,
player,201011280den,ram,AmenDa00,fumbles_lost,,,,,,
player,201011280den,ram,DarbKe00,pass_cmp,0,,,,,
player,201011280den,ram,DarbKe00,pass_att,0,,,,,
player,201011280den,ram,DarbKe00,pass_yds,0,,,,,
player,201011280den,ram,DarbKe00,pass_td,0,,,,,
player,201011280den,ram,DarbKe00,pass_int,0,,,,,
player,201011280den,ram,DarbKe00,pass_sacked,,,,,,
player,201011280den,ram,DarbKe00,pass_sacked_yds,,,,,,
player,201011280den,ram,DarbKe00,pass_long,0,,,,,
player,201011280den,ram,DarbKe00,pass_rating,,,,,,
player,201011280den,ram,DarbKe00,rush_att,2,,,,,
player,201011280den,ram,DarbKe00,rush_yds,4,,,,,
player,201011280den,ram,DarbKe00,rush_td,1,,,,,
player,201011280den,ram,DarbKe00,rush_long,3,,,,,
player,201011280den,ram,DarbKe00,targets,1,,,,,
player,201011280den,ram,DarbKe00,rec,0,,,,,
player,201011280den,ram,DarbKe00,rec_yds,0,,,,,
player,201011280den,ram,DarbKe00,rec_td,0,,,,,
player,201011280den,ram,DarbKe00,rec_long,0,,,,,
player,201011280den,ram,DarbKe00,fumbles,0,,,,,
player,201011280den,ram,DarbKe00,fumbles_lost,,,,,,
player,201011280den,ram,AlexDa00,pass_cmp,0,,,,,
player,201011280den,ram,AlexDa00,pass_att,0,,,,,
player,201011280den,ram,AlexDa00,pass_yds,0,,,,,
player,201011280den,ram,AlexDa00,pass_td,0,,,,,
player,201011280den,ram,AlexDa00,pass_int,0,,,,,
player,201011280den,ram,AlexDa00,pass_sacked,,,,,,
player,201011280den,ram,AlexDa00,pass_sacked_yds,,,,,,
player,201011280den,ram,AlexDa00,pass_long,0,,,,,
player,201011280den,ram,AlexDa00,pass_rating,,,,,,
player,201011280den,ram,AlexDa00,rush_att,0,,,,,
player,201011280den,ram,AlexDa00,rush_yds,0,,,,,
player,201011280den,ram,AlexDa00,rush_td,0,,,,,
player,201011280den,ram,AlexDa00,rush_long,0,,,,,
player,201011280den,ram,AlexDa00,targets,6,,,,,
player,201011280den,ram,AlexDa00,rec,4,,,,,
player,201011280den,ram,AlexDa00,rec_yds,95,,,,,
player,201011280den,ram,AlexDa00,rec_td,0,,,,,
player,201011280den,ram,AlexDa00,rec_long,45,,,,,
player,201011280den,ram,AlexDa00,fumbles,0,,,,,
player,201011280den,ram,AlexDa00,fumbles_lost,,,,,,
player,201011280den,ram,RobiLa01,pass_cmp,0,,,,,
player,201011280den,ram,RobiLa01,pass_att,0,,,,,
player,201011280den,ram,RobiLa01,pass_yds,0,,,,,
player,201011280den,ram,RobiLa01,pass_td,0,,,,,
player,201011280den,ram,RobiLa01,pass_int,0,,,,,
player,201011280den,ram,RobiLa01,pass_sacked,,,,,,
player,201011280den,ram,RobiLa01,pass_sacked_yds,,,,,,
player,201011280den,ram,RobiLa01,pass_long,0,,,,,
player,201011280den,ram,RobiLa01,pass_rating,,,,,,
player,201011280den,ram,RobiLa01,rush_att,0,,,,,
player,201011280den,ram,RobiLa01,rush_yds,0,,,,,
player,201011280den,ram,RobiLa01,rush_td,0,,,,,
player,201011280den,ram,RobiLa01,rush_long,0,,,,,
player,201011280den,ram,RobiLa01,targets,6,,,,,
player,201011280den,ram,RobiLa01,rec,4,,,,,
player,201011280den,ram,RobiLa01,rec_yds,58,,,,,
player,201011280den,ram,RobiLa01,rec_td,0,,,,,
player,201011280den,ram,RobiLa01,rec_long,23,,,,,
player,201011280den,ram,RobiLa01,fumbles,0,,,,,
player,201011280den,ram,RobiLa01,fumbles_lost,,,,,,
player,201011280den,ram,HoomMi00,pass_cmp,0,,,,,
player,201011280den,ram,HoomMi00,pass_att,0,,,,,
player,201011280den,ram,HoomMi00,pass_yds,0,,,,,
player,201011280den,ram,HoomMi00,pass_td,0,,,,,
player,201011280den,ram,HoomMi00,pass_int,0,,,,,
player,201011280den,ram,HoomMi00,pass_sacked,,,,,,
player,201011280den,ram,HoomMi00,pass_sacked_yds,,,,,,
player,201011280den,ram,HoomMi00,pass_long,0,,,,,
player,201011280den,ram,HoomMi00,pass_rating,,,,,,
player,201011280den,ram,HoomMi00,rush_att,0,,,,,
player,201011280den,ram,HoomMi00,rush_yds,0,,,,,
player,201011280den,ram,HoomMi00,rush_td,0,,,,,
player,201011280den,ram,HoomMi00,rush_long,0,,,,,
player,201011280den,ram,HoomMi00,targets,1,,,,,
player,201011280den,ram,HoomMi00,rec,1,,,,,
player,201011280den,ram,HoomMi00,rec_yds,36,,,,,
player,201011280den,ram,HoomMi00,rec_td,1,,,,,
player,201011280den,ram,HoomMi00,rec_long,36,,,,,
player,201011280den,ram,HoomMi00,fumbles,0,,,,,
player,201011280den,ram,HoomMi00,fumbles_lost,,,,,,
player,201011280den,ram,BajeBi00,pass_cmp,0,,,,,
player,201011280den,ram,BajeBi00,pass_att,0,,,,,
player,201011280den,ram,BajeBi00,pass_yds,0,,,,,
player,201011280den,ram,BajeBi00,pass_td,0,,,,,
player,201011280den,ram,BajeBi00,pass_int,0,,,,,
player,201011280den,ram,BajeBi00,pass_sacked,,,,,,
player,201011280den,ram,BajeBi00,pass_sacked_yds,,,,,,
player,201011280den,ram,BajeBi00,pass_long,0,,,,,
player,201011280den,ram,BajeBi00,pass_rating,,,,,,
player,201011280den,ram,BajeBi00,rush_att,0,,,,,
player,201011280den,ram,BajeBi00,rush_yds,0,,,,,
player,201011280den,ram,BajeBi00,rush_td,0,,,,,
player,201011280den,ram,BajeBi00,rush_long,0,,,,,
player,201011280den,ram,BajeBi00,targets,5,,,,,
player,201011280den,ram,BajeBi00,rec,3,,,,,
player,201011280den,ram,BajeBi00,rec_yds,32,,,,,
player,201011280den,ram,BajeBi00,rec_td,2,,,,,
player,201011280den,ram,BajeBi00,rec_long,26,,,,,
player,201011280den,ram,BajeBi00,fumbles,0,,,,,
player,201011280den,ram,BajeBi00,fumbles_lost,,,,,,
player,201011280den,ram,GibsBr00,pass_cmp,0,,,,,
player,201011280den,ram,GibsBr00,pass_att,0,,,,,
player,201011280den,ram,GibsBr00,pass_yds,0,,,,,
player,201011280den,ram,GibsBr00,pass_td,0,,,,,
player,201011280den,ram,GibsBr00,pass_int,0,,,,,
player,201011280den,ram,GibsBr00,pass_sacked,,,,,,
player,201011280den,ram,GibsBr00,pass_sacked_yds,,,,,,
player,201011280den,ram,GibsBr00,pass_long,0,,,,,
player,201011280den,ram,GibsBr00,pass_rating,,,,,,
player,201011280den,ram,GibsBr00,rush_att,0,,,,,
player,201011280den,ram,GibsBr00,rush_yds,0,,,,,
player,201011280den,ram,GibsBr00,rush_td,0,,,,,
player,201011280den,ram,GibsBr00,rush_long,0,,,,,
player,201011280den,ram,GibsBr00,targets,5,,,,,
player,201011280den,ram,GibsBr00,rec,3,,,,,
player,201011280den,ram,GibsBr00,rec_yds,29,,,,,
player,201011280den,ram,GibsBr00,rec_td,0,,,,,
player,201011280den,ram,GibsBr00,rec_long,14,,,,,
player,201011280den,ram,GibsBr00,fumbles,0,,,,,
player,201011280den,ram,GibsBr00,fumbles_lost,,,,,,
player,201011280den,ram,FellDa00,pass_cmp,0,,,,,
player,201011280den,ram,FellDa00,pass_att,0,,,,,
player,201011280den,ram,FellDa00,pass_yds,0,,,,,
player,201011280den,ram,FellDa00,pass_td,0,,,,,
player,201011280den,ram,FellDa00,pass_int,0,,,,,
player,201011280den,ram,FellDa00,pass_sacked,,,,,,
player,201011280den,ram,FellDa00,pass_sacked_yds,,,,,,
player,201011280den,ram,FellDa00,pass_long,0,,,,,
player,201011280den,ram,FellDa00,pass_rating,,,,,,
player,201011280den,ram,FellDa00,rush_att,0,,,,,
player,201011280den,ram,FellDa00,rush_yds,0,,,,,
player,201011280den,ram,FellDa00,rush_td,0,,,,,
player,201011280den,ram,FellDa00,rush_long,0,,,,,
player,201011280den,ram,FellDa00,targets,3,,,,,
player,201011280den,ram,FellDa00,rec,2,,,,,
player,201011280den,ram,FellDa00,rec_yds,23,,,,,
player,201011280den,ram,FellDa00,rec_td,0,,,,,
player,201011280den,ram,FellDa00,rec_long,13,,,,,
player,201011280den,ram,FellDa00,fumbles,0,,,,,
player,201011280den,ram,FellDa00,fumbles_lost,,,,,,
player,201011280den,den,OrtoKy00,pass_cmp,24,,,,,
player,201011280den,den,OrtoKy00,pass_att,41,,,,,
player,201011280den,den,OrtoKy00,pass_yds,347,,,,,
player,201011280den,den,OrtoKy00,pass_td,3,,,,,
player,201011280den,den,OrtoKy00,pass_int,0,,,,,
player,201011280den,den,OrtoKy00,pass_sacked,3,,,,,
player,201011280den,den,OrtoKy00,pass_sacked_yds,17,,,,,
player,201011280den,den,OrtoKy00,pass_long,41,,,,,
player,201011280den,den,OrtoKy00,pass_rating,110.5,,,,,
player,201011280den,den,OrtoKy00,rush_att,0,,,,,
player,201011280den,den,OrtoKy00,rush_yds,0,,,,,
player,201011280den,den,OrtoKy00,rush_td,0,,,,,
player,201011280den,den,OrtoKy00,rush_long,0,,,,,
player,201011280den,den,OrtoKy00,targets,0,,,,,
player,201011280den,den,OrtoKy00,rec,0,,,,,
player,201011280den,den,OrtoKy00,rec_yds,0,,,,,
player,201011280den,den,OrtoKy00,rec_td,0,,,,,
player,201011280den,den,OrtoKy00,rec_long,0,,,,,
player,201011280den,den,OrtoKy00,fumbles,0,,,,,
player,201011280den,den,OrtoKy00,fumbles_lost,,,,,,
player,201011280den,den,MoreKn00,pass_cmp,0,,,,,
player,201011280den,den,MoreKn00,pass_att,0,,,,,
player,201011280den,den,MoreKn00,pass_yds,0,,,,,
player,201011280den,den,MoreKn00,pass_td,0,,,,,
player,201011280den,den,MoreKn00,pass_int,0,,,,,
player,201011280den,den,MoreKn00,pass_sacked,,,,,,
player,201011280den,den,MoreKn00,pass_sacked_yds,,,,,,
player,201011280den,den,MoreKn00,pass_long,0,,,,,
player,201011280den,den,MoreKn00,pass_rating,,,,,,
player,201011280den,den,MoreKn00,rush_att,12,,,,,
player,201011280den,den,MoreKn00,rush_yds,56,,,,,
player,201011280den,den,MoreKn00,rush_td,1,,,,,
player,201011280den,den,MoreKn00,rush_long,16,,,,,
player,201011280den,den,MoreKn00,targets,9,,,,,
player,201011280den,den,MoreKn00,rec,6,,,,,
player,201011280den,den,MoreKn00,rec_yds,62,,,,,
player,201011280den,den,MoreKn00,rec_td,0,,,,,
player,201011280den,den,MoreKn00,rec_long,31,,,,,
player,201011280den,den,MoreKn00,fumbles,1,,,,,
player,201011280den,den,MoreKn00,fumbles_lost,1,,,,,
player,201011280den,den,BallLa00,pass_cmp,0,,,,,
player,201011280den,den,BallLa00,pass_att,0,,,,,
player,201011280den,den,BallLa00,pass_yds,0,,,,,
player,201011280den,den,BallLa00,pass_td,0,,,,,
player,201011280den,den,BallLa00,pass_int,0,,,,,
player,201011280den,den,BallLa00,pass_sacked,,,,,,
player,201011280den,den,BallLa00,pass_sacked_yds,,,,,,
player,201011280den,den,BallLa00,pass_long,0,,,,,
player,201011280den,den,BallLa00,pass_rating,,,,,,
player,201011280den,den,BallLa00,rush_att,4,,,,,
player,201011280den,den,BallLa00,rush_yds,31,,,,,
player,201011280den,den,BallLa00,rush_td,0,,,,,
player,201011280den,den,BallLa00,rush_long,17,,,,,
player,201011280den,den,BallLa00,targets,0,,,,,
player,201011280den,den,BallLa00,rec,0,,,,,
player,201011280den,den,BallLa00,rec_yds,0,,,,,
player,201011280den,den,BallLa00,rec_td,0,,,,,
player,201011280den,den,BallLa00,rec_long,0,,,,,
player,201011280den,den,BallLa00,fumbles,0,,,,,
player,201011280den,den,BallLa00,fumbles_lost,,,,,,
player,201011280den,den,RoyaEd00,pass_cmp,0,,,,,
player,201011280den,den,RoyaEd00,pass_att,0,,,,,
player,201011280den,den,RoyaEd00,pass_yds,0,,,,,
player,201011280den,den,RoyaEd00,pass_td,0,,,,,
player,201011280den,den,RoyaEd00,pass_int,0,,,,,
player,201011280den,den,RoyaEd00,pass_sacked,,,,,,
player,201011280den,den,RoyaEd00,pass_sacked_yds,,,,,,
player,201011280den,den,RoyaEd00,pass_long,0,,,,,
player,201011280den,den,RoyaEd00,pass_rating,,,,,,
player,201011280den,den,RoyaEd00,rush_att,1,,,,,
player,201011280den,den,RoyaEd00,rush_yds,20,,,,,
player,201011280den,den,RoyaEd00,rush_td,0,,,,,
player,201011280den,den,RoyaEd00,rush_long,20,,,,,
player,201011280den,den,RoyaEd00,targets,9,,,,,
player,201011280den,den,RoyaEd00,rec,6,,,,,
player,201011280den,den,RoyaEd00,rec_yds,74,,,,,
player,201011280den,den,RoyaEd00,rec_td,1,,,,,
player,201011280den,den,RoyaEd00,rec_long,24,,,,,
player,201011280den,den,RoyaEd00,fumbles,1,,,,,
player,201011280den,den,RoyaEd00,fumbles_lost,1,,,,,
player,201011280den,den,BuckCo00,pass_cmp,0,,,,,
player,201011280den,den,BuckCo00,pass_att,0,,,,,
player,201011280den,den,BuckCo00,pass_yds,0,,,,,
player,201011280den,den,BuckCo00,pass_td,0,,,,,
player,201011280den,den,BuckCo00,pass_int,0,,,,,
player,201011280den,den,BuckCo00,pass_sacked,,,,,,
player,201011280den,den,BuckCo00,pass_sacked_yds,,,,,,
player,201011280den,den,BuckCo00,pass_long,0,,,,,
player,201011280den,den,BuckCo00,pass_rating,,,,,,
player,201011280den,den,BuckCo00,rush_att,1,,,,,
player,201011280den,den,BuckCo00,rush_yds,12,,,,,
player,201011280den,den,BuckCo00,rush_td,0,,,,,
player,201011280den,den,BuckCo00,rush_long,12,,,,,
player,201011280den,den,BuckCo00,targets,1,,,,,
player,201011280den,den,BuckCo00,rec,0,,,,,
player,201011280den,den,BuckCo00,rec_yds,0,,,,,
player,201011280den,den,BuckCo00,rec_td,0,,,,,
player,201011280den,den,BuckCo00,rec_long,0,,,,,
player,201011280den,den,BuckCo00,fumbles,0,,,,,
player,201011280den,den,BuckCo00,fumbles_lost,,,,,,
player,201011280den,den,LloyBr00,pass_cmp,0,,,,,
player,201011280den,den,LloyBr00,pass_att,0,,,,,
player,201011280den,den,LloyBr00,pass_yds,0,,,,,
player,201011280den,den,LloyBr00,pass_td,0,,,,,
player,201011280den,den,LloyBr00,pass_int,0,,,,,
player,201011280den,den,LloyBr00,pass_sacked,,,,,,
player,201011280den,den,LloyBr00,pass_sacked_yds,,,,,,
player,201011280den,den,LloyBr00,pass_long,0,,,,,
player,201011280den,den,LloyBr00,pass_rating,,,,,,
player,201011280den,den,LloyBr00,rush_att,0,,,,,
player,201011280den,den,LloyBr00,rush_yds,0,,,,,
player,201011280den,den,LloyBr00,rush_td,0,,,,,
player,201011280den,den,LloyBr00,rush_long,0,,,,,
player,201011280den,den,LloyBr00,targets,10,,,,,
player,201011280den,den,LloyBr00,rec,4,,,,,
player,201011280den,den,LloyBr00,rec_yds,76,,,,,
player,201011280den,den,LloyBr00,rec_td,2,,,,,
player,201011280den,den,LloyBr00,rec_long,41,,,,,
player,201011280den,den,LloyBr00,fumbles,0,,,,,
player,201011280den,den,LloyBr00,fumbles_lost,,,,,,
player,201011280den,den,GaffJa00,pass_cmp,0,,,,,
player,201011280den,den,GaffJa00,pass_att,0,,,,,
player,201011280den,den,GaffJa00,pass_yds,0,,,,,
player,201011280den,den,GaffJa00,pass_td,0,,,,,
player,201011280den,den,GaffJa00,pass_int,0,,,,,
player,201011280den,den,GaffJa00,pass_sacked,,,,,,
player,201011280den,den,GaffJa00,pass_sacked_yds,,,,,,
player,201011280den,den,GaffJa00,pass_long,0,,,,,
player,201011280den,den,GaffJa00,pass_rating,,,,,,
player,201011280den,den,GaffJa00,rush_att,0,,,,,
player,201011280den,den,GaffJa00,rush_yds,0,,,,,
player,201011280den,den,GaffJa00,rush_td,0,,,,,
player,201011280den,den,GaffJa00,rush_long,0,,,,,
player,201011280den,den,GaffJa00,targets,6,,,,,
player,201011280den,den,GaffJa00,rec,3,,,,,
player,201011280den,den,GaffJa00,rec_yds,59,,,,,
