game,2010,12,20101128,201011280was,min,"Minnesota Vikings",17,was,"Washington Redskins",13
team,201011280was,min,First Downs,17,,,,,,
team,201011280was,was,First Downs,10,,,,,,
team,201011280was,min,Rush-Yds-TDs,38-137-2,,,,,,
team,201011280was,was,Rush-Yds-TDs,13-29-0,,,,,,
team,201011280was,min,Cmp-Att-Yd-TD-INT,15-23-172-0-0,,,,,,
team,201011280was,was,Cmp-Att-Yd-TD-INT,21-35-211-1-1,,,,,,
team,201011280was,min,Sacked-Yards,2-10,,,,,,
team,201011280was,was,Sacked-Yards,4-24,,,,,,
team,201011280was,min,Net Pass Yards,162,,,,,,
team,201011280was,was,Net Pass Yards,187,,,,,,
team,201011280was,min,Total Yards,299,,,,,,
team,201011280was,was,Total Yards,216,,,,,,
team,201011280was,min,Fumbles-Lost,0-0,,,,,,
team,201011280was,was,Fumbles-Lost,1-0,,,,,,
team,201011280was,min,Turnovers,0,,,,,,
team,201011280was,was,Turnovers,1,,,,,,
team,201011280was,min,Penalties-Yards,3-15,,,,,,
team,201011280was,was,Penalties-Yards,6-35,,,,,,
team,201011280was,min,Third Down Conv.,6-15,,,,,,
team,201011280was,was,Third Down Conv.,7-15,,,,,,
team,201011280was,min,Fourth Down Conv.,0-0,,,,,,
team,201011280was,was,Fourth Down Conv.,0-0,,,,,,
team,201011280was,min,Time of Possession,33:05,,,,,,
team,201011280was,was,Time of Possession,26:55,,,,,,
player,201011280was,min,FavrBr00,pass_cmp,15,,,,,
player,201011280was,min,FavrBr00,pass_att,23,,,,,
player,201011280was,min,FavrBr00,pass_yds,172,,,,,
player,201011280was,min,FavrBr00,pass_td,0,,,,,
player,201011280was,min,FavrBr00,pass_int,0,,,,,
player,201011280was,min,FavrBr00,pass_sacked,2,,,,,
player,201011280was,min,FavrBr00,pass_sacked_yds,10,,,,,
player,201011280was,min,FavrBr00,pass_long,34,,,,,
player,201011280was,min,FavrBr00,pass_rating,87.6,,,,,
player,201011280was,min,FavrBr00,rush_att,5,,,,,
player,201011280was,min,FavrBr00,rush_yds,9,,,,,
player,201011280was,min,FavrBr00,rush_td,0,,,,,
player,201011280was,min,FavrBr00,rush_long,10,,,,,
player,201011280was,min,FavrBr00,targets,0,,,,,
player,201011280was,min,FavrBr00,rec,0,,,,,
player,201011280was,min,FavrBr00,rec_yds,0,,,,,
player,201011280was,min,FavrBr00,rec_td,0,,,,,
player,201011280was,min,FavrBr00,rec_long,0,,,,,
player,201011280was,min,FavrBr00,fumbles,0,,,,,
player,201011280was,min,FavrBr00,fumbles_lost,,,,,,
player,201011280was,min,GerhTo00,pass_cmp,0,,,,,
player,201011280was,min,GerhTo00,pass_att,0,,,,,
player,201011280was,min,GerhTo00,pass_yds,0,,,,,
player,201011280was,min,GerhTo00,pass_td,0,,,,,
player,201011280was,min,GerhTo00,pass_int,0,,,,,
player,201011280was,min,GerhTo00,pass_sacked,,,,,,
player,201011280was,min,GerhTo00,pass_sacked_yds,,,,,,
player,201011280was,min,GerhTo00,pass_long,0,,,,,
player,201011280was,min,GerhTo00,pass_rating,,,,,,
player,201011280was,min,GerhTo00,rush_att,22,,,,,
player,201011280was,min,GerhTo00,rush_yds,76,,,,,
player,201011280was,min,GerhTo00,rush_td,1,,,,,
player,201011280was,min,GerhTo00,rush_long,6,,,,,
player,201011280was,min,GerhTo00,targets,2,,,,,
player,201011280was,min,GerhTo00,rec,2,,,,,
player,201011280was,min,GerhTo00,rec_yds,5,,,,,
player,201011280was,min,GerhTo00,rec_td,0,,,,,
player,201011280was,min,GerhTo00,rec_long,8,,,,,
player,201011280was,min,GerhTo00,fumbles,0,,,,,
player,201011280was,min,GerhTo00,fumbles_lost,,,,,,
player,201011280was,min,PeteAd01,pass_cmp,0,,,,,
player,201011280was,min,PeteAd01,pass_att,0,,,,,
player,201011280was,min,PeteAd01,pass_yds,0,,,,,
