game,2010,14,20101212,201012120jax,rai,"Oakland Raiders",31,jax,"Jacksonville Jaguars",38
team,201012120jax,rai,First Downs,21,,,,,,
team,201012120jax,jax,First Downs,19,,,,,,
team,201012120jax,rai,Rush-Yds-TDs,25-153-2,,,,,,
team,201012120jax,jax,Rush-Yds-TDs,34-234-2,,,,,,
team,201012120jax,rai,Cmp-Att-Yd-TD-INT,22-33-344-2-1,,,,,,
team,201012120jax,jax,Cmp-Att-Yd-TD-INT,11-22-159-3-1,,,,,,
team,201012120jax,rai,Sacked-Yards,3-21,,,,,,
team,201012120jax,jax,Sacked-Yards,2-8,,,,,,
team,201012120jax,rai,Net Pass Yards,323,,,,,,
team,201012120jax,jax,Net Pass Yards,151,,,,,,
team,201012120jax,rai,Total Yards,476,,,,,,
team,201012120jax,jax,Total Yards,385,,,,,,
team,201012120jax,rai,Fumbles-Lost,1-1,,,,,,
team,201012120jax,jax,Fumbles-Lost,0-0,,,,,,
team,201012120jax,rai,Turnovers,2,,,,,,
team,201012120jax,jax,Turnovers,1,,,,,,
team,201012120jax,rai,Penalties-Yards,4-25,,,,,,
team,201012120jax,jax,Penalties-Yards,6-52,,,,,,
team,201012120jax,rai,Third Down Conv.,6-13,,,,,,
team,201012120jax,jax,Third Down Conv.,5-12,,,,,,
team,201012120jax,rai,Fourth Down Conv.,0-1,,,,,,
team,201012120jax,jax,Fourth Down Conv.,0-0,,,,,,
team,201012120jax,rai,Time of Possession,30:05,,,,,,
team,201012120jax,jax,Time of Possession,29:55,,,,,,
player,201012120jax,rai,CampJa00,pass_cmp,21,,,,,
player,201012120jax,rai,CampJa00,pass_att,30,,,,,
player,201012120jax,rai,CampJa00,pass_yds,324,,,,,
player,201012120jax,rai,CampJa00,pass_td,2,,,,,
player,201012120jax,rai,CampJa00,pass_int,0,,,,,
player,201012120jax,rai,CampJa00,pass_sacked,3,,,,,
player,201012120jax,rai,CampJa00,pass_sacked_yds,21,,,,,
player,201012120jax,rai,CampJa00,pass_long,67,,,,,
player,201012120jax,rai,CampJa00,pass_rating,127.6,,,,,
player,201012120jax,rai,CampJa00,rush_att,0,,,,,
player,201012120jax,rai,CampJa00,rush_yds,0,,,,,
player,201012120jax,rai,CampJa00,rush_td,0,,,,,
player,201012120jax,rai,CampJa00,rush_long,0,,,,,
player,201012120jax,rai,CampJa00,targets,0,,,,,
player,201012120jax,rai,CampJa00,rec,0,,,,,
player,201012120jax,rai,CampJa00,rec_yds,0,,,,,
player,201012120jax,rai,CampJa00,rec_td,0,,,,,
player,201012120jax,rai,CampJa00,rec_long,0,,,,,
player,201012120jax,rai,CampJa00,fumbles,0,,,,,
player,201012120jax,rai,CampJa00,fumbles_lost,,,,,,
player,201012120jax,rai,BollKy00,pass_cmp,1,,,,,
player,201012120jax,rai,BollKy00,pass_att,3,,,,,
player,201012120jax,rai,BollKy00,pass_yds,20,,,,,
player,201012120jax,rai,BollKy00,pass_td,0,,,,,
player,201012120jax,rai,BollKy00,pass_int,1,,,,,
player,201012120jax,rai,BollKy00,pass_sacked,0,,,,,
player,201012120jax,rai,BollKy00,pass_sacked_yds,0,,,,,
player,201012120jax,rai,BollKy00,pass_long,20,,,,,
player,201012120jax,rai,BollKy00,pass_rating,18.1,,,,,
player,201012120jax,rai,BollKy00,rush_att,1,,,,,
player,201012120jax,rai,BollKy00,rush_yds,7,,,,,
player,201012120jax,rai,BollKy00,rush_td,0,,,,,
player,201012120jax,rai,BollKy00,rush_long,7,,,,,
player,201012120jax,rai,BollKy00,targets,0,,,,,
player,201012120jax,rai,BollKy00,rec,0,,,,,
player,201012120jax,rai,BollKy00,rec_yds,0,,,,,
player,201012120jax,rai,BollKy00,rec_td,0,,,,,
player,201012120jax,rai,BollKy00,rec_long,0,,,,,
player,201012120jax,rai,BollKy00,fumbles,0,,,,,
player,201012120jax,rai,BollKy00,fumbles_lost,,,,,,
player,201012120jax,rai,McFaDa00,pass_cmp,0,,,,,
