game,2010,15,20101219,201012190cin,cle,"Cleveland Browns",17,cin,"Cincinnati Bengals",19
team,201012190cin,cle,First Downs,14,,,,,,
team,201012190cin,cin,First Downs,22,,,,,,
team,201012190cin,cle,Rush-Yds-TDs,14-59-0,,,,,,
team,201012190cin,cin,Rush-Yds-TDs,45-188-1,,,,,,
team,201012190cin,cle,Cmp-Att-Yd-TD-INT,19-25-243-2-0,,,,,,
team,201012190cin,cin,Cmp-Att-Yd-TD-INT,14-23-209-0-0,,,,,,
team,201012190cin,cle,Sacked-Yards,4-24,,,,,,
team,201012190cin,cin,Sacked-Yards,0-0,,,,,,
team,201012190cin,cle,Net Pass Yards,219,,,,,,
team,201012190cin,cin,Net Pass Yards,209,,,,,,
team,201012190cin,cle,Total Yards,278,,,,,,
team,201012190cin,cin,Total Yards,397,,,,,,
team,201012190cin,cle,Fumbles-Lost,1-0,,,,,,
team,201012190cin,cin,Fumbles-Lost,0-0,,,,,,
team,201012190cin,cle,Turnovers,0,,,,,,
team,201012190cin,cin,Turnovers,0,,,,,,
team,201012190cin,cle,Penalties-Yards,3-25,,,,,,
team,201012190cin,cin,Penalties-Yards,6-55,,,,,,
team,201012190cin,cle,Third Down Conv.,2-8,,,,,,
team,201012190cin,cin,Third Down Conv.,6-13,,,,,,
team,201012190cin,cle,Fourth Down Conv.,0-0,,,,,,
team,201012190cin,cin,Fourth Down Conv.,0-1,,,,,,
team,201012190cin,cle,Time of Possession,21:57,,,,,,
team,201012190cin,cin,Time of Possession,38:03,,,,,,
player,201012190cin,cle,McCoCo00,pass_cmp,19,,,,,
player,201012190cin,cle,McCoCo00,pass_att,25,,,,,
player,201012190cin,cle,McCoCo00,pass_yds,243,,,,,
player,201012190cin,cle,McCoCo00,pass_td,2,,,,,
player,201012190cin,cle,McCoCo00,pass_int,0,,,,,
player,201012190cin,cle,McCoCo00,pass_sacked,4,,,,,
player,201012190cin,cle,McCoCo00,pass_sacked_yds,24,,,,,
player,201012190cin,cle,McCoCo00,pass_long,46,,,,,
player,201012190cin,cle,McCoCo00,pass_rating,132.6,,,,,
player,201012190cin,cle,McCoCo00,rush_att,0,,,,,
player,201012190cin,cle,McCoCo00,rush_yds,0,,,,,
player,201012190cin,cle,McCoCo00,rush_td,0,,,,,
player,201012190cin,cle,McCoCo00,rush_long,0,,,,,
player,201012190cin,cle,McCoCo00,targets,0,,,,,
player,201012190cin,cle,McCoCo00,rec,0,,,,,
player,201012190cin,cle,McCoCo00,rec_yds,0,,,,,
player,201012190cin,cle,McCoCo00,rec_td,0,,,,,
player,201012190cin,cle,McCoCo00,rec_long,0,,,,,
player,201012190cin,cle,McCoCo00,fumbles,0,,,,,
player,201012190cin,cle,McCoCo00,fumbles_lost,,,,,,
player,201012190cin,cle,HillPe00,pass_cmp,0,,,,,
player,201012190cin,cle,HillPe00,pass_att,0,,,,,
player,201012190cin,cle,HillPe00,pass_yds,0,,,,,
player,201012190cin,cle,HillPe00,pass_td,0,,,,,
player,201012190cin,cle,HillPe00,pass_int,0,,,,,
player,201012190cin,cle,HillPe00,pass_sacked,0,,,,,
player,201012190cin,cle,HillPe00,pass_sacked_yds,,,,,,
player,201012190cin,cle,HillPe00,pass_long,0,,,,,
player,201012190cin,cle,HillPe00,pass_rating,,,,,,
player,201012190cin,cle,HillPe00,rush_att,14,,,,,
player,201012190cin,cle,HillPe00,rush_yds,59,,,,,
player,201012190cin,cle,HillPe00,rush_td,0,,,,,
player,201012190cin,cle,HillPe00,rush_long,18,,,,,
player,201012190cin,cle,HillPe00,targets,3,,,,,
player,201012190cin,cle,HillPe00,rec,2,,,,,
player,201012190cin,cle,HillPe00,rec_yds,23,,,,,
player,201012190cin,cle,HillPe00,rec_td,0,,,,,
player,201012190cin,cle,HillPe00,rec_long,12,,,,,
player,201012190cin,cle,HillPe00,fumbles,0,,,,,
player,201012190cin,cle,HillPe00,fumbles_lost,,,,,,
player,201012190cin,cle,WatsBe00,pass_cmp,0,,,,,
player,201012190cin,cle,WatsBe00,pass_att,0,,,,,
player,201012190cin,cle,WatsBe00,pass_yds,0,,,,,
player,201012190cin,cle,WatsBe00,pass_td,0,,,,,
player,201012190cin,cle,WatsBe00,pass_int,0,,,,,
player,201012190cin,cle,WatsBe00,pass_sacked,,,,,,
player,201012190cin,cle,WatsBe00,pass_sacked_yds,,,,,,
player,201012190cin,cle,WatsBe00,pass_long,0,,,,,
player,201012190cin,cle,WatsBe00,pass_rating,,,,,,
player,201012190cin,cle,WatsBe00,rush_att,0,,,,,
player,201012190cin,cle,WatsBe00,rush_yds,0,,,,,
player,201012190cin,cle,WatsBe00,rush_td,0,,,,,
player,201012190cin,cle,WatsBe00,rush_long,0,,,,,
player,201012190cin,cle,WatsBe00,targets,7,,,,,
player,201012190cin,cle,WatsBe00,rec,7,,,,,
player,201012190cin,cle,WatsBe00,rec_yds,92,,,,,
player,201012190cin,cle,WatsBe00,rec_td,0,,,,,
player,201012190cin,cle,WatsBe00,rec_long,25,,,,,
player,201012190cin,cle,WatsBe00,fumbles,0,,,,,
player,201012190cin,cle,WatsBe00,fumbles_lost,,,,,,
player,201012190cin,cle,RobiBr00,pass_cmp,0,,,,,
player,201012190cin,cle,RobiBr00,pass_att,0,,,,,
player,201012190cin,cle,RobiBr00,pass_yds,0,,,,,
player,201012190cin,cle,RobiBr00,pass_td,0,,,,,
player,201012190cin,cle,RobiBr00,pass_int,0,,,,,
player,201012190cin,cle,RobiBr00,pass_sacked,,,,,,
player,201012190cin,cle,RobiBr00,pass_sacked_yds,,,,,,
player,201012190cin,cle,RobiBr00,pass_long,0,,,,,
player,201012190cin,cle,RobiBr00,pass_rating,,,,,,
player,201012190cin,cle,RobiBr00,rush_att,0,,,,,
player,201012190cin,cle,RobiBr00,rush_yds,0,,,,,
player,201012190cin,cle,RobiBr00,rush_td,0,,,,,
player,201012190cin,cle,RobiBr00,rush_long,0,,,,,
player,201012190cin,cle,RobiBr00,targets,6,,,,,
player,201012190cin,cle,RobiBr00,rec,5,,,,,
player,201012190cin,cle,RobiBr00,rec_yds,82,,,,,
player,201012190cin,cle,RobiBr00,rec_td,1,,,,,
player,201012190cin,cle,RobiBr00,rec_long,46,,,,,
player,201012190cin,cle,RobiBr00,fumbles,0,,,,,
player,201012190cin,cle,RobiBr00,fumbles_lost,,,,,,
player,201012190cin,cle,RoyaRo00,pass_cmp,0,,,,,
player,201012190cin,cle,RoyaRo00,pass_att,0,,,,,
player,201012190cin,cle,RoyaRo00,pass_yds,0,,,,,
player,201012190cin,cle,RoyaRo00,pass_td,0,,,,,
player,201012190cin,cle,RoyaRo00,pass_int,0,,,,,
player,201012190cin,cle,RoyaRo00,pass_sacked,,,,,,
player,201012190cin,cle,RoyaRo00,pass_sacked_yds,,,,,,
player,201012190cin,cle,RoyaRo00,pass_long,0,,,,,
player,201012190cin,cle,RoyaRo00,pass_rating,,,,,,
player,201012190cin,cle,RoyaRo00,rush_att,0,,,,,
player,201012190cin,cle,RoyaRo00,rush_yds,0,,,,,
player,201012190cin,cle,RoyaRo00,rush_td,0,,,,,
player,201012190cin,cle,RoyaRo00,rush_long,0,,,,,
player,201012190cin,cle,RoyaRo00,targets,2,,,,,
player,201012190cin,cle,RoyaRo00,rec,2,,,,,
player,201012190cin,cle,RoyaRo00,rec_yds,29,,,,,
player,201012190cin,cle,RoyaRo00,rec_td,1,,,,,
player,201012190cin,cle,RoyaRo00,rec_long,20,,,,,
player,201012190cin,cle,RoyaRo00,fumbles,0,,,,,
player,201012190cin,cle,RoyaRo00,fumbles_lost,,,,,,
player,201012190cin,cle,MassMo00,pass_cmp,0,,,,,
player,201012190cin,cle,MassMo00,pass_att,0,,,,,
player,201012190cin,cle,MassMo00,pass_yds,0,,,,,
player,201012190cin,cle,MassMo00,pass_td,0,,,,,
player,201012190cin,cle,MassMo00,pass_int,0,,,,,
player,201012190cin,cle,MassMo00,pass_sacked,0,,,,,
player,201012190cin,cle,MassMo00,pass_sacked_yds,,,,,,
player,201012190cin,cle,MassMo00,pass_long,0,,,,,
player,201012190cin,cle,MassMo00,pass_rating,,,,,,
player,201012190cin,cle,MassMo00,rush_att,0,,,,,
