game,2010,15,20101219,201012190nwe,gnb,"Green Bay Packers",27,nwe,"New England Patriots",31
team,201012190nwe,gnb,First Downs,26,,,,,,
team,201012190nwe,nwe,First Downs,14,,,,,,
team,201012190nwe,gnb,Rush-Yds-TDs,38-143-0,,,,,,
team,201012190nwe,nwe,Rush-Yds-TDs,16-113-1,,,,,,
team,201012190nwe,gnb,Cmp-Att-Yd-TD-INT,24-37-251-3-1,,,,,,
team,201012190nwe,nwe,Cmp-Att-Yd-TD-INT,15-24-163-2-0,,,,,,
team,201012190nwe,gnb,Sacked-Yards,5-25,,,,,,
team,201012190nwe,nwe,Sacked-Yards,3-27,,,,,,
team,201012190nwe,gnb,Net Pass Yards,226,,,,,,
team,201012190nwe,nwe,Net Pass Yards,136,,,,,,
team,201012190nwe,gnb,Total Yards,369,,,,,,
team,201012190nwe,nwe,Total Yards,249,,,,,,
team,201012190nwe,gnb,Fumbles-Lost,1-1,,,,,,
team,201012190nwe,nwe,Fumbles-Lost,2-0,,,,,,
team,201012190nwe,gnb,Turnovers,2,,,,,,
team,201012190nwe,nwe,Turnovers,0,,,,,,
team,201012190nwe,gnb,Penalties-Yards,2-15,,,,,,
team,201012190nwe,nwe,Penalties-Yards,7-52,,,,,,
team,201012190nwe,gnb,Third Down Conv.,11-19,,,,,,
team,201012190nwe,nwe,Third Down Conv.,4-10,,,,,,
team,201012190nwe,gnb,Fourth Down Conv.,0-1,,,,,,
team,201012190nwe,nwe,Fourth Down Conv.,0-0,,,,,,
team,201012190nwe,gnb,Time of Possession,40:48,,,,,,
team,201012190nwe,nwe,Time of Possession,19:12,,,,,,
player,201012190nwe,gnb,FlynMa00,pass_cmp,24,,,,,
player,201012190nwe,gnb,FlynMa00,pass_att,37,,,,,
player,201012190nwe,gnb,FlynMa00,pass_yds,251,,,,,
player,201012190nwe,gnb,FlynMa00,pass_td,3,,,,,
player,201012190nwe,gnb,FlynMa00,pass_int,1,,,,,
player,201012190nwe,gnb,FlynMa00,pass_sacked,5,,,,,
player,201012190nwe,gnb,FlynMa00,pass_sacked_yds,25,,,,,
player,201012190nwe,gnb,FlynMa00,pass_long,66,,,,,
player,201012190nwe,gnb,FlynMa00,pass_rating,100.2,,,,,
player,201012190nwe,gnb,FlynMa00,rush_att,3,,,,,
player,201012190nwe,gnb,FlynMa00,rush_yds,13,,,,,
player,201012190nwe,gnb,FlynMa00,rush_td,0,,,,,
player,201012190nwe,gnb,FlynMa00,rush_long,9,,,,,
player,201012190nwe,gnb,FlynMa00,targets,0,,,,,
player,201012190nwe,gnb,FlynMa00,rec,0,,,,,
player,201012190nwe,gnb,FlynMa00,rec_yds,0,,,,,
player,201012190nwe,gnb,FlynMa00,rec_td,0,,,,,
player,201012190nwe,gnb,FlynMa00,rec_long,0,,,,,
player,201012190nwe,gnb,FlynMa00,fumbles,1,,,,,
player,201012190nwe,gnb,FlynMa00,fumbles_lost,1,,,,,
player,201012190nwe,gnb,JackBr00,pass_cmp,0,,,,,
