game,2010,15,20101219,201012190tam,det,"Detroit Lions",23,tam,"Tampa Bay Buccaneers",20
team,201012190tam,det,First Downs,26,,,,,,
team,201012190tam,tam,First Downs,22,,,,,,
team,201012190tam,det,Rush-Yds-TDs,28-181-1,,,,,,
team,201012190tam,tam,Rush-Yds-TDs,28-176-1,,,,,,
team,201012190tam,det,Cmp-Att-Yd-TD-INT,23-38-252-1-0,,,,,,
team,201012190tam,tam,Cmp-Att-Yd-TD-INT,22-33-252-1-0,,,,,,
team,201012190tam,det,Sacked-Yards,0-0,,,,,,
team,201012190tam,tam,Sacked-Yards,3-25,,,,,,
team,201012190tam,det,Net Pass Yards,252,,,,,,
team,201012190tam,tam,Net Pass Yards,227,,,,,,
team,201012190tam,det,Total Yards,433,,,,,,
team,201012190tam,tam,Total Yards,403,,,,,,
team,201012190tam,det,Fumbles-Lost,0-0,,,,,,
team,201012190tam,tam,Fumbles-Lost,0-0,,,,,,
team,201012190tam,det,Turnovers,0,,,,,,
team,201012190tam,tam,Turnovers,0,,,,,,
team,201012190tam,det,Penalties-Yards,7-57,,,,,,
team,201012190tam,tam,Penalties-Yards,9-65,,,,,,
team,201012190tam,det,Third Down Conv.,6-12,,,,,,
team,201012190tam,tam,Third Down Conv.,5-12,,,,,,
team,201012190tam,det,Fourth Down Conv.,0-0,,,,,,
team,201012190tam,tam,Fourth Down Conv.,2-2,,,,,,
team,201012190tam,det,Time of Possession,33:05,,,,,,
team,201012190tam,tam,Time of Possession,32:04,,,,,,
player,201012190tam,det,StanDr00,pass_cmp,23,,,,,
player,201012190tam,det,StanDr00,pass_att,37,,,,,
player,201012190tam,det,StanDr00,pass_yds,252,,,,,
player,201012190tam,det,StanDr00,pass_td,1,,,,,
player,201012190tam,det,StanDr00,pass_int,0,,,,,
player,201012190tam,det,StanDr00,pass_sacked,0,,,,,
player,201012190tam,det,StanDr00,pass_sacked_yds,0,,,,,
player,201012190tam,det,StanDr00,pass_long,30,,,,,
player,201012190tam,det,StanDr00,pass_rating,91.3,,,,,
player,201012190tam,det,StanDr00,rush_att,2,,,,,
player,201012190tam,det,StanDr00,rush_yds,24,,,,,
player,201012190tam,det,StanDr00,rush_td,0,,,,,
player,201012190tam,det,StanDr00,rush_long,15,,,,,
player,201012190tam,det,StanDr00,targets,0,,,,,
player,201012190tam,det,StanDr00,rec,0,,,,,
player,201012190tam,det,StanDr00,rec_yds,0,,,,,
player,201012190tam,det,StanDr00,rec_td,0,,,,,
player,201012190tam,det,StanDr00,rec_long,0,,,,,
player,201012190tam,det,StanDr00,fumbles,0,,,,,
player,201012190tam,det,StanDr00,fumbles_lost,,,,,,
player,201012190tam,det,LogaSt00,pass_cmp,0,,,,,
player,201012190tam,det,LogaSt00,pass_att,1,,,,,
player,201012190tam,det,LogaSt00,pass_yds,0,,,,,
player,201012190tam,det,LogaSt00,pass_td,0,,,,,
player,201012190tam,det,LogaSt00,pass_int,0,,,,,
player,201012190tam,det,LogaSt00,pass_sacked,0,,,,,
player,201012190tam,det,LogaSt00,pass_sacked_yds,0,,,,,
player,201012190tam,det,LogaSt00,pass_long,0,,,,,
player,201012190tam,det,LogaSt00,pass_rating,39.6,,,,,
player,201012190tam,det,LogaSt00,rush_att,4,,,,,
player,201012190tam,det,LogaSt00,rush_yds,11,,,,,
player,201012190tam,det,LogaSt00,rush_td,0,,,,,
player,201012190tam,det,LogaSt00,rush_long,13,,,,,
player,201012190tam,det,LogaSt00,targets,0,,,,,
player,201012190tam,det,LogaSt00,rec,0,,,,,
player,201012190tam,det,LogaSt00,rec_yds,0,,,,,
player,201012190tam,det,LogaSt00,rec_td,0,,,,,
player,201012190tam,det,LogaSt00,rec_long,0,,,,,
player,201012190tam,det,LogaSt00,fumbles,0,,,,,
player,201012190tam,det,LogaSt00,fumbles_lost,,,,,,
player,201012190tam,det,MorrMa00,pass_cmp,0,,,,,
player,201012190tam,det,MorrMa00,pass_att,0,,,,,
player,201012190tam,det,MorrMa00,pass_yds,0,,,,,
player,201012190tam,det,MorrMa00,pass_td,0,,,,,
player,201012190tam,det,MorrMa00,pass_int,0,,,,,
player,201012190tam,det,MorrMa00,pass_sacked,,,,,,
player,201012190tam,det,MorrMa00,pass_sacked_yds,,,,,,
player,201012190tam,det,MorrMa00,pass_long,0,,,,,
player,201012190tam,det,MorrMa00,pass_rating,,,,,,
player,201012190tam,det,MorrMa00,rush_att,15,,,,,
player,201012190tam,det,MorrMa00,rush_yds,109,,,,,
player,201012190tam,det,MorrMa00,rush_td,1,,,,,
player,201012190tam,det,MorrMa00,rush_long,26,,,,,
player,201012190tam,det,MorrMa00,targets,4,,,,,
player,201012190tam,det,MorrMa00,rec,3,,,,,
player,201012190tam,det,MorrMa00,rec_yds,10,,,,,
player,201012190tam,det,MorrMa00,rec_td,0,,,,,
player,201012190tam,det,MorrMa00,rec_long,9,,,,,
player,201012190tam,det,MorrMa00,fumbles,0,,,,,
player,201012190tam,det,MorrMa00,fumbles_lost,,,,,,
player,201012190tam,det,BurlNa00,pass_cmp,0,,,,,
player,201012190tam,det,BurlNa00,pass_att,0,,,,,
player,201012190tam,det,BurlNa00,pass_yds,0,,,,,
player,201012190tam,det,BurlNa00,pass_td,0,,,,,
player,201012190tam,det,BurlNa00,pass_int,0,,,,,
player,201012190tam,det,BurlNa00,pass_sacked,,,,,,
player,201012190tam,det,BurlNa00,pass_sacked_yds,,,,,,
player,201012190tam,det,BurlNa00,pass_long,0,,,,,
player,201012190tam,det,BurlNa00,pass_rating,,,,,,
player,201012190tam,det,BurlNa00,rush_att,1,,,,,
player,201012190tam,det,BurlNa00,rush_yds,25,,,,,
player,201012190tam,det,BurlNa00,rush_td,0,,,,,
player,201012190tam,det,BurlNa00,rush_long,25,,,,,
player,201012190tam,det,BurlNa00,targets,6,,,,,
player,201012190tam,det,BurlNa00,rec,4,,,,,
player,201012190tam,det,BurlNa00,rec_yds,28,,,,,
player,201012190tam,det,BurlNa00,rec_td,1,,,,,
player,201012190tam,det,BurlNa00,rec_long,11,,,,,
player,201012190tam,det,BurlNa00,fumbles,0,,,,,
player,201012190tam,det,BurlNa00,fumbles_lost,,,,,,
player,201012190tam,det,BestJa00,pass_cmp,0,,,,,
player,201012190tam,det,BestJa00,pass_att,0,,,,,
player,201012190tam,det,BestJa00,pass_yds,0,,,,,
player,201012190tam,det,BestJa00,pass_td,0,,,,,
player,201012190tam,det,BestJa00,pass_int,0,,,,,
player,201012190tam,det,BestJa00,pass_sacked,0,,,,,
player,201012190tam,det,BestJa00,pass_sacked_yds,,,,,,
player,201012190tam,det,BestJa00,pass_long,0,,,,,
player,201012190tam,det,BestJa00,pass_rating,,,,,,
player,201012190tam,det,BestJa00,rush_att,6,,,,,
player,201012190tam,det,BestJa00,rush_yds,12,,,,,
player,201012190tam,det,BestJa00,rush_td,0,,,,,
player,201012190tam,det,BestJa00,rush_long,14,,,,,
player,201012190tam,det,BestJa00,targets,1,,,,,
player,201012190tam,det,BestJa00,rec,0,,,,,
player,201012190tam,det,BestJa00,rec_yds,0,,,,,
player,201012190tam,det,BestJa00,rec_td,0,,,,,
player,201012190tam,det,BestJa00,rec_long,0,,,,,
player,201012190tam,det,BestJa00,fumbles,0,,,,,
player,201012190tam,det,BestJa00,fumbles_lost,,,,,,
player,201012190tam,det,JohnCa00,pass_cmp,0,,,,,
player,201012190tam,det,JohnCa00,pass_att,0,,,,,
player,201012190tam,det,JohnCa00,pass_yds,0,,,,,
player,201012190tam,det,JohnCa00,pass_td,0,,,,,
player,201012190tam,det,JohnCa00,pass_int,0,,,,,
player,201012190tam,det,JohnCa00,pass_sacked,,,,,,
player,201012190tam,det,JohnCa00,pass_sacked_yds,,,,,,
player,201012190tam,det,JohnCa00,pass_long,0,,,,,
player,201012190tam,det,JohnCa00,pass_rating,,,,,,
player,201012190tam,det,JohnCa00,rush_att,0,,,,,
player,201012190tam,det,JohnCa00,rush_yds,0,,,,,
player,201012190tam,det,JohnCa00,rush_td,0,,,,,
player,201012190tam,det,JohnCa00,rush_long,0,,,,,
player,201012190tam,det,JohnCa00,targets,12,,,,,
player,201012190tam,det,JohnCa00,rec,10,,,,,
player,201012190tam,det,JohnCa00,rec_yds,152,,,,,
player,201012190tam,det,JohnCa00,rec_td,0,,,,,
player,201012190tam,det,JohnCa00,rec_long,30,,,,,
player,201012190tam,det,JohnCa00,fumbles,0,,,,,
player,201012190tam,det,JohnCa00,fumbles_lost,,,,,,
player,201012190tam,det,PettBr00,pass_cmp,0,,,,,
player,201012190tam,det,PettBr00,pass_att,0,,,,,
player,201012190tam,det,PettBr00,pass_yds,0,,,,,
player,201012190tam,det,PettBr00,pass_td,0,,,,,
player,201012190tam,det,PettBr00,pass_int,0,,,,,
player,201012190tam,det,PettBr00,pass_sacked,,,,,,
player,201012190tam,det,PettBr00,pass_sacked_yds,,,,,,
player,201012190tam,det,PettBr00,pass_long,0,,,,,
player,201012190tam,det,PettBr00,pass_rating,,,,,,
player,201012190tam,det,PettBr00,rush_att,0,,,,,
player,201012190tam,det,PettBr00,rush_yds,0,,,,,
player,201012190tam,det,PettBr00,rush_td,0,,,,,
player,201012190tam,det,PettBr00,rush_long,0,,,,,
player,201012190tam,det,PettBr00,targets,3,,,,,
player,201012190tam,det,PettBr00,rec,2,,,,,
player,201012190tam,det,PettBr00,rec_yds,25,,,,,
player,201012190tam,det,PettBr00,rec_td,0,,,,,
player,201012190tam,det,PettBr00,rec_long,13,,,,,
player,201012190tam,det,PettBr00,fumbles,0,,,,,
player,201012190tam,det,PettBr00,fumbles_lost,,,,,,
player,201012190tam,det,JohnBr02,pass_cmp,0,,,,,
player,201012190tam,det,JohnBr02,pass_att,0,,,,,
player,201012190tam,det,JohnBr02,pass_yds,0,,,,,
player,201012190tam,det,JohnBr02,pass_td,0,,,,,
player,201012190tam,det,JohnBr02,pass_int,0,,,,,
player,201012190tam,det,JohnBr02,pass_sacked,,,,,,
player,201012190tam,det,JohnBr02,pass_sacked_yds,,,,,,
player,201012190tam,det,JohnBr02,pass_long,0,,,,,
player,201012190tam,det,JohnBr02,pass_rating,,,,,,
player,201012190tam,det,JohnBr02,rush_att,0,,,,,
player,201012190tam,det,JohnBr02,rush_yds,0,,,,,
player,201012190tam,det,JohnBr02,rush_td,0,,,,,
player,201012190tam,det,JohnBr02,rush_long,0,,,,,
player,201012190tam,det,JohnBr02,targets,6,,,,,
player,201012190tam,det,JohnBr02,rec,1,,,,,
player,201012190tam,det,JohnBr02,rec_yds,19,,,,,
player,201012190tam,det,JohnBr02,rec_td,0,,,,,
player,201012190tam,det,JohnBr02,rec_long,19,,,,,
player,201012190tam,det,JohnBr02,fumbles,0,,,,,
player,201012190tam,det,JohnBr02,fumbles_lost,,,,,,
player,201012190tam,det,ScheTo00,pass_cmp,0,,,,,
player,201012190tam,det,ScheTo00,pass_att,0,,,,,
player,201012190tam,det,ScheTo00,pass_yds,0,,,,,
player,201012190tam,det,ScheTo00,pass_td,0,,,,,
player,201012190tam,det,ScheTo00,pass_int,0,,,,,
