game,2010,16,20101226,201012260gnb,nyg,"New York Giants",17,gnb,"Green Bay Packers",45
team,201012260gnb,nyg,First Downs,16,,,,,,
team,201012260gnb,gnb,First Downs,27,,,,,,
team,201012260gnb,nyg,Rush-Yds-TDs,21-90-0,,,,,,
team,201012260gnb,gnb,Rush-Yds-TDs,35-119-2,,,,,,
team,201012260gnb,nyg,Cmp-Att-Yd-TD-INT,17-33-301-2-4,,,,,,
team,201012260gnb,gnb,Cmp-Att-Yd-TD-INT,25-37-404-4-0,,,,,,
team,201012260gnb,nyg,Sacked-Yards,1-5,,,,,,
team,201012260gnb,gnb,Sacked-Yards,2-8,,,,,,
team,201012260gnb,nyg,Net Pass Yards,296,,,,,,
team,201012260gnb,gnb,Net Pass Yards,396,,,,,,
team,201012260gnb,nyg,Total Yards,386,,,,,,
team,201012260gnb,gnb,Total Yards,515,,,,,,
team,201012260gnb,nyg,Fumbles-Lost,2-2,,,,,,
team,201012260gnb,gnb,Fumbles-Lost,2-1,,,,,,
team,201012260gnb,nyg,Turnovers,6,,,,,,
team,201012260gnb,gnb,Turnovers,1,,,,,,
team,201012260gnb,nyg,Penalties-Yards,5-45,,,,,,
team,201012260gnb,gnb,Penalties-Yards,3-31,,,,,,
team,201012260gnb,nyg,Third Down Conv.,4-12,,,,,,
team,201012260gnb,gnb,Third Down Conv.,6-13,,,,,,
team,201012260gnb,nyg,Fourth Down Conv.,1-1,,,,,,
team,201012260gnb,gnb,Fourth Down Conv.,0-0,,,,,,
team,201012260gnb,nyg,Time of Possession,22:59,,,,,,
team,201012260gnb,gnb,Time of Possession,37:01,,,,,,
player,201012260gnb,nyg,MannEl00,pass_cmp,17,,,,,
player,201012260gnb,nyg,MannEl00,pass_att,33,,,,,
player,201012260gnb,nyg,MannEl00,pass_yds,301,,,,,
player,201012260gnb,nyg,MannEl00,pass_td,2,,,,,
player,201012260gnb,nyg,MannEl00,pass_int,4,,,,,
player,201012260gnb,nyg,MannEl00,pass_sacked,1,,,,,
player,201012260gnb,nyg,MannEl00,pass_sacked_yds,5,,,,,
player,201012260gnb,nyg,MannEl00,pass_long,85,,,,,
player,201012260gnb,nyg,MannEl00,pass_rating,63.6,,,,,
player,201012260gnb,nyg,MannEl00,rush_att,1,,,,,
player,201012260gnb,nyg,MannEl00,rush_yds,12,,,,,
player,201012260gnb,nyg,MannEl00,rush_td,0,,,,,
player,201012260gnb,nyg,MannEl00,rush_long,12,,,,,
player,201012260gnb,nyg,MannEl00,targets,0,,,,,
player,201012260gnb,nyg,MannEl00,rec,0,,,,,
player,201012260gnb,nyg,MannEl00,rec_yds,0,,,,,
player,201012260gnb,nyg,MannEl00,rec_td,0,,,,,
player,201012260gnb,nyg,MannEl00,rec_long,0,,,,,
player,201012260gnb,nyg,MannEl00,fumbles,0,,,,,
player,201012260gnb,nyg,MannEl00,fumbles_lost,,,,,,
player,201012260gnb,nyg,JacoBr00,pass_cmp,0,,,,,
player,201012260gnb,nyg,JacoBr00,pass_att,0,,,,,
player,201012260gnb,nyg,JacoBr00,pass_yds,0,,,,,
player,201012260gnb,nyg,JacoBr00,pass_td,0,,,,,
player,201012260gnb,nyg,JacoBr00,pass_int,0,,,,,
player,201012260gnb,nyg,JacoBr00,pass_sacked,,,,,,
player,201012260gnb,nyg,JacoBr00,pass_sacked_yds,,,,,,
player,201012260gnb,nyg,JacoBr00,pass_long,0,,,,,
player,201012260gnb,nyg,JacoBr00,pass_rating,,,,,,
player,201012260gnb,nyg,JacoBr00,rush_att,8,,,,,
player,201012260gnb,nyg,JacoBr00,rush_yds,47,,,,,
player,201012260gnb,nyg,JacoBr00,rush_td,0,,,,,
player,201012260gnb,nyg,JacoBr00,rush_long,21,,,,,
player,201012260gnb,nyg,JacoBr00,targets,0,,,,,
player,201012260gnb,nyg,JacoBr00,rec,0,,,,,
player,201012260gnb,nyg,JacoBr00,rec_yds,0,,,,,
player,201012260gnb,nyg,JacoBr00,rec_td,0,,,,,
player,201012260gnb,nyg,JacoBr00,rec_long,0,,,,,
player,201012260gnb,nyg,JacoBr00,fumbles,1,,,,,
player,201012260gnb,nyg,JacoBr00,fumbles_lost,1,,,,,
player,201012260gnb,nyg,BradAh00,pass_cmp,0,,,,,
player,201012260gnb,nyg,BradAh00,pass_att,0,,,,,
player,201012260gnb,nyg,BradAh00,pass_yds,0,,,,,
player,201012260gnb,nyg,BradAh00,pass_td,0,,,,,
player,201012260gnb,nyg,BradAh00,pass_int,0,,,,,
player,201012260gnb,nyg,BradAh00,pass_sacked,,,,,,
player,201012260gnb,nyg,BradAh00,pass_sacked_yds,,,,,,
player,201012260gnb,nyg,BradAh00,pass_long,0,,,,,
player,201012260gnb,nyg,BradAh00,pass_rating,,,,,,
player,201012260gnb,nyg,BradAh00,rush_att,12,,,,,
player,201012260gnb,nyg,BradAh00,rush_yds,31,,,,,
player,201012260gnb,nyg,BradAh00,rush_td,0,,,,,
player,201012260gnb,nyg,BradAh00,rush_long,7,,,,,
player,201012260gnb,nyg,BradAh00,targets,6,,,,,
player,201012260gnb,nyg,BradAh00,rec,5,,,,,
player,201012260gnb,nyg,BradAh00,rec_yds,41,,,,,
player,201012260gnb,nyg,BradAh00,rec_td,0,,,,,
player,201012260gnb,nyg,BradAh00,rec_long,13,,,,,
player,201012260gnb,nyg,BradAh00,fumbles,1,,,,,
player,201012260gnb,nyg,BradAh00,fumbles_lost,1,,,,,
player,201012260gnb,nyg,MannMa01,pass_cmp,0,,,,,
player,201012260gnb,nyg,MannMa01,pass_att,0,,,,,
player,201012260gnb,nyg,MannMa01,pass_yds,0,,,,,
player,201012260gnb,nyg,MannMa01,pass_td,0,,,,,
player,201012260gnb,nyg,MannMa01,pass_int,0,,,,,
player,201012260gnb,nyg,MannMa01,pass_sacked,,,,,,
player,201012260gnb,nyg,MannMa01,pass_sacked_yds,,,,,,
player,201012260gnb,nyg,MannMa01,pass_long,0,,,,,
player,201012260gnb,nyg,MannMa01,pass_rating,,,,,,
player,201012260gnb,nyg,MannMa01,rush_att,0,,,,,
player,201012260gnb,nyg,MannMa01,rush_yds,0,,,,,
player,201012260gnb,nyg,MannMa01,rush_td,0,,,,,
player,201012260gnb,nyg,MannMa01,rush_long,0,,,,,
player,201012260gnb,nyg,MannMa01,targets,6,,,,,
player,201012260gnb,nyg,MannMa01,rec,4,,,,,
player,201012260gnb,nyg,MannMa01,rec_yds,132,,,,,
player,201012260gnb,nyg,MannMa01,rec_td,1,,,,,
player,201012260gnb,nyg,MannMa01,rec_long,85,,,,,
player,201012260gnb,nyg,MannMa01,fumbles,0,,,,,
player,201012260gnb,nyg,MannMa01,fumbles_lost,,,,,,
player,201012260gnb,nyg,NickHa01,pass_cmp,0,,,,,
player,201012260gnb,nyg,NickHa01,pass_att,0,,,,,
player,201012260gnb,nyg,NickHa01,pass_yds,0,,,,,
player,201012260gnb,nyg,NickHa01,pass_td,0,,,,,
player,201012260gnb,nyg,NickHa01,pass_int,0,,,,,
player,201012260gnb,nyg,NickHa01,pass_sacked,,,,,,
player,201012260gnb,nyg,NickHa01,pass_sacked_yds,,,,,,
player,201012260gnb,nyg,NickHa01,pass_long,0,,,,,
player,201012260gnb,nyg,NickHa01,pass_rating,,,,,,
player,201012260gnb,nyg,NickHa01,rush_att,0,,,,,
player,201012260gnb,nyg,NickHa01,rush_yds,0,,,,,
player,201012260gnb,nyg,NickHa01,rush_td,0,,,,,
player,201012260gnb,nyg,NickHa01,rush_long,0,,,,,
player,201012260gnb,nyg,NickHa01,targets,9,,,,,
player,201012260gnb,nyg,NickHa01,rec,4,,,,,
player,201012260gnb,nyg,NickHa01,rec_yds,93,,,,,
player,201012260gnb,nyg,NickHa01,rec_td,1,,,,,
player,201012260gnb,nyg,NickHa01,rec_long,36,,,,,
player,201012260gnb,nyg,NickHa01,fumbles,0,,,,,
player,201012260gnb,nyg,NickHa01,fumbles_lost,,,,,,
player,201012260gnb,nyg,WareDa00,pass_cmp,0,,,,,
player,201012260gnb,nyg,WareDa00,pass_att,0,,,,,
player,201012260gnb,nyg,WareDa00,pass_yds,0,,,,,
player,201012260gnb,nyg,WareDa00,pass_td,0,,,,,
player,201012260gnb,nyg,WareDa00,pass_int,0,,,,,
player,201012260gnb,nyg,WareDa00,pass_sacked,,,,,,
player,201012260gnb,nyg,WareDa00,pass_sacked_yds,,,,,,
player,201012260gnb,nyg,WareDa00,pass_long,0,,,,,
player,201012260gnb,nyg,WareDa00,pass_rating,,,,,,
player,201012260gnb,nyg,WareDa00,rush_att,0,,,,,
player,201012260gnb,nyg,WareDa00,rush_yds,0,,,,,
player,201012260gnb,nyg,WareDa00,rush_td,0,,,,,
player,201012260gnb,nyg,WareDa00,rush_long,0,,,,,
player,201012260gnb,nyg,WareDa00,targets,4,,,,,
player,201012260gnb,nyg,WareDa00,rec,2,,,,,
player,201012260gnb,nyg,WareDa00,rec_yds,24,,,,,
player,201012260gnb,nyg,WareDa00,rec_td,0,,,,,
player,201012260gnb,nyg,WareDa00,rec_long,18,,,,,
player,201012260gnb,nyg,WareDa00,fumbles,0,,,,,
player,201012260gnb,nyg,WareDa00,fumbles_lost,,,,,,
player,201012260gnb,nyg,HagaDe00,pass_cmp,0,,,,,
player,201012260gnb,nyg,HagaDe00,pass_att,0,,,,,
player,201012260gnb,nyg,HagaDe00,pass_yds,0,,,,,
player,201012260gnb,nyg,HagaDe00,pass_td,0,,,,,
player,201012260gnb,nyg,HagaDe00,pass_int,0,,,,,
player,201012260gnb,nyg,HagaDe00,pass_sacked,,,,,,
player,201012260gnb,nyg,HagaDe00,pass_sacked_yds,,,,,,
player,201012260gnb,nyg,HagaDe00,pass_long,0,,,,,
player,201012260gnb,nyg,HagaDe00,pass_rating,,,,,,
player,201012260gnb,nyg,HagaDe00,rush_att,0,,,,,
player,201012260gnb,nyg,HagaDe00,rush_yds,0,,,,,
player,201012260gnb,nyg,HagaDe00,rush_td,0,,,,,
player,201012260gnb,nyg,HagaDe00,rush_long,0,,,,,
player,201012260gnb,nyg,HagaDe00,targets,4,,,,,
player,201012260gnb,nyg,HagaDe00,rec,2,,,,,
player,201012260gnb,nyg,HagaDe00,rec_yds,11,,,,,
