game,2010,16,20101226,201012260kan,oti,"Tennessee Titans",14,kan,"Kansas City Chiefs",34
team,201012260kan,oti,First Downs,16,,,,,,
team,201012260kan,kan,First Downs,23,,,,,,
team,201012260kan,oti,Rush-Yds-TDs,16-57-0,,,,,,
team,201012260kan,kan,Rush-Yds-TDs,40-152-0,,,,,,
team,201012260kan,oti,Cmp-Att-Yd-TD-INT,14-37-235-2-2,,,,,,
team,201012260kan,kan,Cmp-Att-Yd-TD-INT,25-36-312-3-1,,,,,,
team,201012260kan,oti,Sacked-Yards,3-22,,,,,,
team,201012260kan,kan,Sacked-Yards,1-6,,,,,,
team,201012260kan,oti,Net Pass Yards,213,,,,,,
team,201012260kan,kan,Net Pass Yards,306,,,,,,
team,201012260kan,oti,Total Yards,270,,,,,,
team,201012260kan,kan,Total Yards,458,,,,,,
team,201012260kan,oti,Fumbles-Lost,1-0,,,,,,
team,201012260kan,kan,Fumbles-Lost,3-1,,,,,,
team,201012260kan,oti,Turnovers,2,,,,,,
team,201012260kan,kan,Turnovers,2,,,,,,
team,201012260kan,oti,Penalties-Yards,9-74,,,,,,
team,201012260kan,kan,Penalties-Yards,7-84,,,,,,
team,201012260kan,oti,Third Down Conv.,3-12,,,,,,
team,201012260kan,kan,Third Down Conv.,9-18,,,,,,
team,201012260kan,oti,Fourth Down Conv.,0-1,,,,,,
team,201012260kan,kan,Fourth Down Conv.,0-0,,,,,,
team,201012260kan,oti,Time of Possession,20:56,,,,,,
team,201012260kan,kan,Time of Possession,39:04,,,,,,
player,201012260kan,oti,CollKe00,pass_cmp,14,,,,,
player,201012260kan,oti,CollKe00,pass_att,37,,,,,
player,201012260kan,oti,CollKe00,pass_yds,235,,,,,
player,201012260kan,oti,CollKe00,pass_td,2,,,,,
player,201012260kan,oti,CollKe00,pass_int,2,,,,,
player,201012260kan,oti,CollKe00,pass_sacked,3,,,,,
player,201012260kan,oti,CollKe00,pass_sacked_yds,22,,,,,
player,201012260kan,oti,CollKe00,pass_long,53,,,,,
player,201012260kan,oti,CollKe00,pass_rating,55.6,,,,,
player,201012260kan,oti,CollKe00,rush_att,2,,,,,
player,201012260kan,oti,CollKe00,rush_yds,-1,,,,,
player,201012260kan,oti,CollKe00,rush_td,0,,,,,
player,201012260kan,oti,CollKe00,rush_long,0,,,,,
player,201012260kan,oti,CollKe00,targets,0,,,,,
player,201012260kan,oti,CollKe00,rec,0,,,,,
player,201012260kan,oti,CollKe00,rec_yds,0,,,,,
player,201012260kan,oti,CollKe00,rec_td,0,,,,,
player,201012260kan,oti,CollKe00,rec_long,0,,,,,
player,201012260kan,oti,CollKe00,fumbles,1,,,,,
player,201012260kan,oti,CollKe00,fumbles_lost,0,,,,,
player,201012260kan,oti,JohnCh04,pass_cmp,0,,,,,
player,201012260kan,oti,JohnCh04,pass_att,0,,,,,
player,201012260kan,oti,JohnCh04,pass_yds,0,,,,,
player,201012260kan,oti,JohnCh04,pass_td,0,,,,,
player,201012260kan,oti,JohnCh04,pass_int,0,,,,,
player,201012260kan,oti,JohnCh04,pass_sacked,,,,,,
player,201012260kan,oti,JohnCh04,pass_sacked_yds,,,,,,
player,201012260kan,oti,JohnCh04,pass_long,0,,,,,
player,201012260kan,oti,JohnCh04,pass_rating,,,,,,
player,201012260kan,oti,JohnCh04,rush_att,14,,,,,
player,201012260kan,oti,JohnCh04,rush_yds,58,,,,,
player,201012260kan,oti,JohnCh04,rush_td,0,,,,,
player,201012260kan,oti,JohnCh04,rush_long,17,,,,,
player,201012260kan,oti,JohnCh04,targets,2,,,,,
player,201012260kan,oti,JohnCh04,rec,0,,,,,
player,201012260kan,oti,JohnCh04,rec_yds,0,,,,,
player,201012260kan,oti,JohnCh04,rec_td,0,,,,,
player,201012260kan,oti,JohnCh04,rec_long,0,,,,,
player,201012260kan,oti,JohnCh04,fumbles,0,,,,,
player,201012260kan,oti,JohnCh04,fumbles_lost,,,,,,
player,201012260kan,oti,CookJa02,pass_cmp,0,,,,,
player,201012260kan,oti,CookJa02,pass_att,0,,,,,
player,201012260kan,oti,CookJa02,pass_yds,0,,,,,
player,201012260kan,oti,CookJa02,pass_td,0,,,,,
player,201012260kan,oti,CookJa02,pass_int,0,,,,,
player,201012260kan,oti,CookJa02,pass_sacked,,,,,,
player,201012260kan,oti,CookJa02,pass_sacked_yds,,,,,,
player,201012260kan,oti,CookJa02,pass_long,0,,,,,
player,201012260kan,oti,CookJa02,pass_rating,,,,,,
player,201012260kan,oti,CookJa02,rush_att,0,,,,,
player,201012260kan,oti,CookJa02,rush_yds,0,,,,,
player,201012260kan,oti,CookJa02,rush_td,0,,,,,
player,201012260kan,oti,CookJa02,rush_long,0,,,,,
player,201012260kan,oti,CookJa02,targets,9,,,,,
player,201012260kan,oti,CookJa02,rec,5,,,,,
player,201012260kan,oti,CookJa02,rec_yds,96,,,,,
player,201012260kan,oti,CookJa02,rec_td,1,,,,,
player,201012260kan,oti,CookJa02,rec_long,28,,,,,
