game,2010,16,20101226,201012260tam,sea,"Seattle Seahawks",15,tam,"Tampa Bay Buccaneers",38
team,201012260tam,sea,First Downs,10,,,,,,
team,201012260tam,tam,First Downs,22,,,,,,
team,201012260tam,sea,Rush-Yds-TDs,28-90-2,,,,,,
team,201012260tam,tam,Rush-Yds-TDs,26-208-0,,,,,,
team,201012260tam,sea,Cmp-Att-Yd-TD-INT,14-22-90-0-0,,,,,,
team,201012260tam,tam,Cmp-Att-Yd-TD-INT,23-28-252-5-0,,,,,,
team,201012260tam,sea,Sacked-Yards,3-6,,,,,,
team,201012260tam,tam,Sacked-Yards,2-21,,,,,,
team,201012260tam,sea,Net Pass Yards,84,,,,,,
team,201012260tam,tam,Net Pass Yards,231,,,,,,
team,201012260tam,sea,Total Yards,174,,,,,,
team,201012260tam,tam,Total Yards,439,,,,,,
team,201012260tam,sea,Fumbles-Lost,0-0,,,,,,
team,201012260tam,tam,Fumbles-Lost,4-0,,,,,,
team,201012260tam,sea,Turnovers,0,,,,,,
team,201012260tam,tam,Turnovers,0,,,,,,
team,201012260tam,sea,Penalties-Yards,1-10,,,,,,
team,201012260tam,tam,Penalties-Yards,3-22,,,,,,
team,201012260tam,sea,Third Down Conv.,5-15,,,,,,
team,201012260tam,tam,Third Down Conv.,6-11,,,,,,
team,201012260tam,sea,Fourth Down Conv.,2-2,,,,,,
team,201012260tam,tam,Fourth Down Conv.,0-0,,,,,,
team,201012260tam,sea,Time of Possession,28:32,,,,,,
team,201012260tam,tam,Time of Possession,31:28,,,,,,
player,201012260tam,sea,WhitCh02,pass_cmp,11,,,,,
player,201012260tam,sea,WhitCh02,pass_att,18,,,,,
player,201012260tam,sea,WhitCh02,pass_yds,66,,,,,
player,201012260tam,sea,WhitCh02,pass_td,0,,,,,
player,201012260tam,sea,WhitCh02,pass_int,0,,,,,
player,201012260tam,sea,WhitCh02,pass_sacked,3,,,,,
player,201012260tam,sea,WhitCh02,pass_sacked_yds,6,,,,,
player,201012260tam,sea,WhitCh02,pass_long,14,,,,,
player,201012260tam,sea,WhitCh02,pass_rating,68.3,,,,,
player,201012260tam,sea,WhitCh02,rush_att,3,,,,,
player,201012260tam,sea,WhitCh02,rush_yds,5,,,,,
player,201012260tam,sea,WhitCh02,rush_td,0,,,,,
player,201012260tam,sea,WhitCh02,rush_long,5,,,,,
player,201012260tam,sea,WhitCh02,targets,0,,,,,
player,201012260tam,sea,WhitCh02,rec,0,,,,,
player,201012260tam,sea,WhitCh02,rec_yds,0,,,,,
player,201012260tam,sea,WhitCh02,rec_td,0,,,,,
player,201012260tam,sea,WhitCh02,rec_long,0,,,,,
player,201012260tam,sea,WhitCh02,fumbles,0,,,,,
player,201012260tam,sea,WhitCh02,fumbles_lost,,,,,,
player,201012260tam,sea,HassMa00,pass_cmp,3,,,,,
player,201012260tam,sea,HassMa00,pass_att,4,,,,,
player,201012260tam,sea,HassMa00,pass_yds,24,,,,,
player,201012260tam,sea,HassMa00,pass_td,0,,,,,
player,201012260tam,sea,HassMa00,pass_int,0,,,,,
player,201012260tam,sea,HassMa00,pass_sacked,0,,,,,
player,201012260tam,sea,HassMa00,pass_sacked_yds,0,,,,,
player,201012260tam,sea,HassMa00,pass_long,9,,,,,
player,201012260tam,sea,HassMa00,pass_rating,89.6,,,,,
player,201012260tam,sea,HassMa00,rush_att,1,,,,,
player,201012260tam,sea,HassMa00,rush_yds,1,,,,,
player,201012260tam,sea,HassMa00,rush_td,1,,,,,
player,201012260tam,sea,HassMa00,rush_long,1,,,,,
player,201012260tam,sea,HassMa00,targets,0,,,,,
player,201012260tam,sea,HassMa00,rec,0,,,,,
player,201012260tam,sea,HassMa00,rec_yds,0,,,,,
player,201012260tam,sea,HassMa00,rec_td,0,,,,,
player,201012260tam,sea,HassMa00,rec_long,0,,,,,
player,201012260tam,sea,HassMa00,fumbles,0,,,,,
player,201012260tam,sea,HassMa00,fumbles_lost,,,,,,
player,201012260tam,sea,LyncMa00,pass_cmp,0,,,,,
player,201012260tam,sea,LyncMa00,pass_att,0,,,,,
player,201012260tam,sea,LyncMa00,pass_yds,0,,,,,
player,201012260tam,sea,LyncMa00,pass_td,0,,,,,
player,201012260tam,sea,LyncMa00,pass_int,0,,,,,
player,201012260tam,sea,LyncMa00,pass_sacked,,,,,,
player,201012260tam,sea,LyncMa00,pass_sacked_yds,,,,,,
player,201012260tam,sea,LyncMa00,pass_long,0,,,,,
player,201012260tam,sea,LyncMa00,pass_rating,,,,,,
player,201012260tam,sea,LyncMa00,rush_att,14,,,,,
player,201012260tam,sea,LyncMa00,rush_yds,53,,,,,
player,201012260tam,sea,LyncMa00,rush_td,0,,,,,
player,201012260tam,sea,LyncMa00,rush_long,29,,,,,
player,201012260tam,sea,LyncMa00,targets,1,,,,,
player,201012260tam,sea,LyncMa00,rec,0,,,,,
player,201012260tam,sea,LyncMa00,rec_yds,0,,,,,
player,201012260tam,sea,LyncMa00,rec_td,0,,,,,
player,201012260tam,sea,LyncMa00,rec_long,0,,,,,
player,201012260tam,sea,LyncMa00,fumbles,0,,,,,
player,201012260tam,sea,LyncMa00,fumbles_lost,,,,,,
player,201012260tam,sea,WashLe00,pass_cmp,0,,,,,
player,201012260tam,sea,WashLe00,pass_att,0,,,,,
player,201012260tam,sea,WashLe00,pass_yds,0,,,,,
player,201012260tam,sea,WashLe00,pass_td,0,,,,,
player,201012260tam,sea,WashLe00,pass_int,0,,,,,
player,201012260tam,sea,WashLe00,pass_sacked,0,,,,,
player,201012260tam,sea,WashLe00,pass_sacked_yds,,,,,,
player,201012260tam,sea,WashLe00,pass_long,0,,,,,
player,201012260tam,sea,WashLe00,pass_rating,,,,,,
player,201012260tam,sea,WashLe00,rush_att,1,,,,,
player,201012260tam,sea,WashLe00,rush_yds,16,,,,,
player,201012260tam,sea,WashLe00,rush_td,1,,,,,
player,201012260tam,sea,WashLe00,rush_long,16,,,,,
player,201012260tam,sea,WashLe00,targets,0,,,,,
player,201012260tam,sea,WashLe00,rec,0,,,,,
player,201012260tam,sea,WashLe00,rec_yds,0,,,,,
player,201012260tam,sea,WashLe00,rec_td,0,,,,,
player,201012260tam,sea,WashLe00,rec_long,0,,,,,
player,201012260tam,sea,WashLe00,fumbles,0,,,,,
player,201012260tam,sea,WashLe00,fumbles_lost,,,,,,
player,201012260tam,sea,ForsJu00,pass_cmp,0,,,,,
player,201012260tam,sea,ForsJu00,pass_att,0,,,,,
player,201012260tam,sea,ForsJu00,pass_yds,0,,,,,
player,201012260tam,sea,ForsJu00,pass_td,0,,,,,
player,201012260tam,sea,ForsJu00,pass_int,0,,,,,
player,201012260tam,sea,ForsJu00,pass_sacked,,,,,,
player,201012260tam,sea,ForsJu00,pass_sacked_yds,,,,,,
player,201012260tam,sea,ForsJu00,pass_long,0,,,,,
player,201012260tam,sea,ForsJu00,pass_rating,,,,,,
player,201012260tam,sea,ForsJu00,rush_att,8,,,,,
player,201012260tam,sea,ForsJu00,rush_yds,12,,,,,
player,201012260tam,sea,ForsJu00,rush_td,0,,,,,
player,201012260tam,sea,ForsJu00,rush_long,5,,,,,
player,201012260tam,sea,ForsJu00,targets,2,,,,,
player,201012260tam,sea,ForsJu00,rec,2,,,,,
player,201012260tam,sea,ForsJu00,rec_yds,5,,,,,
player,201012260tam,sea,ForsJu00,rec_td,0,,,,,
player,201012260tam,sea,ForsJu00,rec_long,9,,,,,
player,201012260tam,sea,ForsJu00,fumbles,0,,,,,
player,201012260tam,sea,ForsJu00,fumbles_lost,,,,,,
player,201012260tam,sea,RobiMi00,pass_cmp,0,,,,,
player,201012260tam,sea,RobiMi00,pass_att,0,,,,,
player,201012260tam,sea,RobiMi00,pass_yds,0,,,,,
player,201012260tam,sea,RobiMi00,pass_td,0,,,,,
player,201012260tam,sea,RobiMi00,pass_int,0,,,,,
player,201012260tam,sea,RobiMi00,pass_sacked,0,,,,,
player,201012260tam,sea,RobiMi00,pass_sacked_yds,,,,,,
player,201012260tam,sea,RobiMi00,pass_long,0,,,,,
player,201012260tam,sea,RobiMi00,pass_rating,,,,,,
player,201012260tam,sea,RobiMi00,rush_att,1,,,,,
player,201012260tam,sea,RobiMi00,rush_yds,3,,,,,
player,201012260tam,sea,RobiMi00,rush_td,0,,,,,
player,201012260tam,sea,RobiMi00,rush_long,3,,,,,
player,201012260tam,sea,RobiMi00,targets,0,,,,,
player,201012260tam,sea,RobiMi00,rec,0,,,,,
player,201012260tam,sea,RobiMi00,rec_yds,0,,,,,
player,201012260tam,sea,RobiMi00,rec_td,0,,,,,
player,201012260tam,sea,RobiMi00,rec_long,0,,,,,
player,201012260tam,sea,RobiMi00,fumbles,0,,,,,
player,201012260tam,sea,RobiMi00,fumbles_lost,,,,,,
player,201012260tam,sea,CarlJo00,pass_cmp,0,,,,,
player,201012260tam,sea,CarlJo00,pass_att,0,,,,,
player,201012260tam,sea,CarlJo00,pass_yds,0,,,,,
player,201012260tam,sea,CarlJo00,pass_td,0,,,,,
player,201012260tam,sea,CarlJo00,pass_int,0,,,,,
player,201012260tam,sea,CarlJo00,pass_sacked,,,,,,
player,201012260tam,sea,CarlJo00,pass_sacked_yds,,,,,,
player,201012260tam,sea,CarlJo00,pass_long,0,,,,,
player,201012260tam,sea,CarlJo00,pass_rating,,,,,,
player,201012260tam,sea,CarlJo00,rush_att,0,,,,,
player,201012260tam,sea,CarlJo00,rush_yds,0,,,,,
