game,2010,17,20110102,201101020den,sdg,"San Diego Chargers",33,den,"Denver Broncos",28
team,201101020den,sdg,First Downs,20,,,,,,
team,201101020den,den,First Downs,18,,,,,,
team,201101020den,sdg,Rush-Yds-TDs,31-164-3,,,,,,
team,201101020den,den,Rush-Yds-TDs,29-146-1,,,,,,
team,201101020den,sdg,Cmp-Att-Yd-TD-INT,21-37-313-0-1,,,,,,
team,201101020den,den,Cmp-Att-Yd-TD-INT,16-36-205-2-2,,,,,,
team,201101020den,sdg,Sacked-Yards,5-30,,,,,,
team,201101020den,den,Sacked-Yards,3-14,,,,,,
team,201101020den,sdg,Net Pass Yards,283,,,,,,
team,201101020den,den,Net Pass Yards,191,,,,,,
team,201101020den,sdg,Total Yards,447,,,,,,
team,201101020den,den,Total Yards,337,,,,,,
team,201101020den,sdg,Fumbles-Lost,3-0,,,,,,
team,201101020den,den,Fumbles-Lost,0-0,,,,,,
team,201101020den,sdg,Turnovers,1,,,,,,
team,201101020den,den,Turnovers,2,,,,,,
team,201101020den,sdg,Penalties-Yards,3-32,,,,,,
team,201101020den,den,Penalties-Yards,5-45,,,,,,
team,201101020den,sdg,Third Down Conv.,7-18,,,,,,
team,201101020den,den,Third Down Conv.,5-14,,,,,,
team,201101020den,sdg,Fourth Down Conv.,1-1,,,,,,
team,201101020den,den,Fourth Down Conv.,1-3,,,,,,
team,201101020den,sdg,Time of Possession,34:22,,,,,,
team,201101020den,den,Time of Possession,25:38,,,,,,
player,201101020den,sdg,RivePh00,pass_cmp,21,,,,,
player,201101020den,sdg,RivePh00,pass_att,37,,,,,
player,201101020den,sdg,RivePh00,pass_yds,313,,,,,
player,201101020den,sdg,RivePh00,pass_td,0,,,,,
player,201101020den,sdg,RivePh00,pass_int,1,,,,,
player,201101020den,sdg,RivePh00,pass_sacked,5,,,,,
player,201101020den,sdg,RivePh00,pass_sacked_yds,30,,,,,
player,201101020den,sdg,RivePh00,pass_long,41,,,,,
player,201101020den,sdg,RivePh00,pass_rating,73.4,,,,,
player,201101020den,sdg,RivePh00,rush_att,1,,,,,
player,201101020den,sdg,RivePh00,rush_yds,1,,,,,
player,201101020den,sdg,RivePh00,rush_td,0,,,,,
player,201101020den,sdg,RivePh00,rush_long,1,,,,,
player,201101020den,sdg,RivePh00,targets,0,,,,,
player,201101020den,sdg,RivePh00,rec,0,,,,,
player,201101020den,sdg,RivePh00,rec_yds,0,,,,,
player,201101020den,sdg,RivePh00,rec_td,0,,,,,
player,201101020den,sdg,RivePh00,rec_long,0,,,,,
player,201101020den,sdg,RivePh00,fumbles,0,,,,,
player,201101020den,sdg,RivePh00,fumbles_lost,,,,,,
player,201101020den,sdg,MathRy00,pass_cmp,0,,,,,
player,201101020den,sdg,MathRy00,pass_att,0,,,,,
player,201101020den,sdg,MathRy00,pass_yds,0,,,,,
player,201101020den,sdg,MathRy00,pass_td,0,,,,,
player,201101020den,sdg,MathRy00,pass_int,0,,,,,
player,201101020den,sdg,MathRy00,pass_sacked,,,,,,
player,201101020den,sdg,MathRy00,pass_sacked_yds,,,,,,
player,201101020den,sdg,MathRy00,pass_long,0,,,,,
player,201101020den,sdg,MathRy00,pass_rating,,,,,,
player,201101020den,sdg,MathRy00,rush_att,26,,,,,
player,201101020den,sdg,MathRy00,rush_yds,120,,,,,
player,201101020den,sdg,MathRy00,rush_td,3,,,,,
player,201101020den,sdg,MathRy00,rush_long,31,,,,,
player,201101020den,sdg,MathRy00,targets,3,,,,,
player,201101020den,sdg,MathRy00,rec,3,,,,,
player,201101020den,sdg,MathRy00,rec_yds,19,,,,,
player,201101020den,sdg,MathRy00,rec_td,0,,,,,
player,201101020den,sdg,MathRy00,rec_long,16,,,,,
player,201101020den,sdg,MathRy00,fumbles,2,,,,,
player,201101020den,sdg,MathRy00,fumbles_lost,0,,,,,
player,201101020den,sdg,SproDa00,pass_cmp,0,,,,,
player,201101020den,sdg,SproDa00,pass_att,0,,,,,
player,201101020den,sdg,SproDa00,pass_yds,0,,,,,
player,201101020den,sdg,SproDa00,pass_td,0,,,,,
player,201101020den,sdg,SproDa00,pass_int,0,,,,,
player,201101020den,sdg,SproDa00,pass_sacked,,,,,,
player,201101020den,sdg,SproDa00,pass_sacked_yds,,,,,,
player,201101020den,sdg,SproDa00,pass_long,0,,,,,
player,201101020den,sdg,SproDa00,pass_rating,,,,,,
player,201101020den,sdg,SproDa00,rush_att,4,,,,,
player,201101020den,sdg,SproDa00,rush_yds,43,,,,,
player,201101020den,sdg,SproDa00,rush_td,0,,,,,
player,201101020den,sdg,SproDa00,rush_long,27,,,,,
player,201101020den,sdg,SproDa00,targets,2,,,,,
player,201101020den,sdg,SproDa00,rec,2,,,,,
player,201101020den,sdg,SproDa00,rec_yds,26,,,,,
player,201101020den,sdg,SproDa00,rec_td,0,,,,,
player,201101020den,sdg,SproDa00,rec_long,15,,,,,
player,201101020den,sdg,SproDa00,fumbles,0,,,,,
player,201101020den,sdg,SproDa00,fumbles_lost,1,,,,,
player,201101020den,sdg,NaanLe00,pass_cmp,0,,,,,
player,201101020den,sdg,NaanLe00,pass_att,0,,,,,
player,201101020den,sdg,NaanLe00,pass_yds,0,,,,,
player,201101020den,sdg,NaanLe00,pass_td,0,,,,,
player,201101020den,sdg,NaanLe00,pass_int,0,,,,,
player,201101020den,sdg,NaanLe00,pass_sacked,,,,,,
player,201101020den,sdg,NaanLe00,pass_sacked_yds,,,,,,
player,201101020den,sdg,NaanLe00,pass_long,0,,,,,
player,201101020den,sdg,NaanLe00,pass_rating,,,,,,
player,201101020den,sdg,NaanLe00,rush_att,0,,,,,
player,201101020den,sdg,NaanLe00,rush_yds,0,,,,,
player,201101020den,sdg,NaanLe00,rush_td,0,,,,,
player,201101020den,sdg,NaanLe00,rush_long,0,,,,,
player,201101020den,sdg,NaanLe00,targets,9,,,,,
player,201101020den,sdg,NaanLe00,rec,4,,,,,
player,201101020den,sdg,NaanLe00,rec_yds,79,,,,,
player,201101020den,sdg,NaanLe00,rec_td,0,,,,,
player,201101020den,sdg,NaanLe00,rec_long,26,,,,,
player,201101020den,sdg,NaanLe00,fumbles,0,,,,,
player,201101020den,sdg,NaanLe00,fumbles_lost,,,,,,
player,201101020den,sdg,FloyMa00,pass_cmp,0,,,,,
player,201101020den,sdg,FloyMa00,pass_att,0,,,,,
player,201101020den,sdg,FloyMa00,pass_yds,0,,,,,
player,201101020den,sdg,FloyMa00,pass_td,0,,,,,
player,201101020den,sdg,FloyMa00,pass_int,0,,,,,
player,201101020den,sdg,FloyMa00,pass_sacked,,,,,,
player,201101020den,sdg,FloyMa00,pass_sacked_yds,,,,,,
player,201101020den,sdg,FloyMa00,pass_long,0,,,,,
player,201101020den,sdg,FloyMa00,pass_rating,,,,,,
player,201101020den,sdg,FloyMa00,rush_att,0,,,,,
player,201101020den,sdg,FloyMa00,rush_yds,0,,,,,
player,201101020den,sdg,FloyMa00,rush_td,0,,,,,
player,201101020den,sdg,FloyMa00,rush_long,0,,,,,
player,201101020den,sdg,FloyMa00,targets,9,,,,,
player,201101020den,sdg,FloyMa00,rec,2,,,,,
player,201101020den,sdg,FloyMa00,rec_yds,57,,,,,
player,201101020den,sdg,FloyMa00,rec_td,0,,,,,
player,201101020den,sdg,FloyMa00,rec_long,41,,,,,
player,201101020den,sdg,FloyMa00,fumbles,0,,,,,
player,201101020den,sdg,FloyMa00,fumbles_lost,,,,,,
player,201101020den,sdg,JackVi00,pass_cmp,0,,,,,
player,201101020den,sdg,JackVi00,pass_att,0,,,,,
player,201101020den,sdg,JackVi00,pass_yds,0,,,,,
player,201101020den,sdg,JackVi00,pass_td,0,,,,,
player,201101020den,sdg,JackVi00,pass_int,0,,,,,
player,201101020den,sdg,JackVi00,pass_sacked,,,,,,
player,201101020den,sdg,JackVi00,pass_sacked_yds,,,,,,
player,201101020den,sdg,JackVi00,pass_long,0,,,,,
player,201101020den,sdg,JackVi00,pass_rating,,,,,,
player,201101020den,sdg,JackVi00,rush_att,0,,,,,
player,201101020den,sdg,JackVi00,rush_yds,0,,,,,
player,201101020den,sdg,JackVi00,rush_td,0,,,,,
player,201101020den,sdg,JackVi00,rush_long,0,,,,,
player,201101020den,sdg,JackVi00,targets,5,,,,,
player,201101020den,sdg,JackVi00,rec,3,,,,,
player,201101020den,sdg,JackVi00,rec_yds,53,,,,,
player,201101020den,sdg,JackVi00,rec_td,0,,,,,
player,201101020den,sdg,JackVi00,rec_long,26,,,,,
