game,2010,17,20110102,201101020gnb,chi,"Chicago Bears",3,gnb,"Green Bay Packers",10
team,201101020gnb,chi,First Downs,13,,,,,,
team,201101020gnb,gnb,First Downs,14,,,,,,
team,201101020gnb,chi,Rush-Yds-TDs,20-110-0,,,,,,
team,201101020gnb,gnb,Rush-Yds-TDs,23-60-0,,,,,,
team,201101020gnb,chi,Cmp-Att-Yd-TD-INT,21-39-168-0-2,,,,,,
team,201101020gnb,gnb,Cmp-Att-Yd-TD-INT,19-28-229-1-1,,,,,,
team,201101020gnb,chi,Sacked-Yards,6-51,,,,,,
team,201101020gnb,gnb,Sacked-Yards,2-5,,,,,,
team,201101020gnb,chi,Net Pass Yards,117,,,,,,
team,201101020gnb,gnb,Net Pass Yards,224,,,,,,
team,201101020gnb,chi,Total Yards,227,,,,,,
team,201101020gnb,gnb,Total Yards,284,,,,,,
team,201101020gnb,chi,Fumbles-Lost,0-0,,,,,,
team,201101020gnb,gnb,Fumbles-Lost,2-1,,,,,,
team,201101020gnb,chi,Turnovers,2,,,,,,
team,201101020gnb,gnb,Turnovers,2,,,,,,
team,201101020gnb,chi,Penalties-Yards,6-46,,,,,,
team,201101020gnb,gnb,Penalties-Yards,4-30,,,,,,
team,201101020gnb,chi,Third Down Conv.,5-16,,,,,,
team,201101020gnb,gnb,Third Down Conv.,2-11,,,,,,
team,201101020gnb,chi,Fourth Down Conv.,0-1,,,,,,
team,201101020gnb,gnb,Fourth Down Conv.,0-0,,,,,,
team,201101020gnb,chi,Time of Possession,30:40,,,,,,
team,201101020gnb,gnb,Time of Possession,29:20,,,,,,
player,201101020gnb,chi,CutlJa00,pass_cmp,21,,,,,
player,201101020gnb,chi,CutlJa00,pass_att,39,,,,,
player,201101020gnb,chi,CutlJa00,pass_yds,168,,,,,
player,201101020gnb,chi,CutlJa00,pass_td,0,,,,,
player,201101020gnb,chi,CutlJa00,pass_int,2,,,,,
player,201101020gnb,chi,CutlJa00,pass_sacked,6,,,,,
player,201101020gnb,chi,CutlJa00,pass_sacked_yds,51,,,,,
player,201101020gnb,chi,CutlJa00,pass_long,27,,,,,
player,201101020gnb,chi,CutlJa00,pass_rating,43.5,,,,,
player,201101020gnb,chi,CutlJa00,rush_att,2,,,,,
player,201101020gnb,chi,CutlJa00,rush_yds,8,,,,,
player,201101020gnb,chi,CutlJa00,rush_td,0,,,,,
player,201101020gnb,chi,CutlJa00,rush_long,7,,,,,
player,201101020gnb,chi,CutlJa00,targets,0,,,,,
player,201101020gnb,chi,CutlJa00,rec,0,,,,,
player,201101020gnb,chi,CutlJa00,rec_yds,0,,,,,
player,201101020gnb,chi,CutlJa00,rec_td,0,,,,,
player,201101020gnb,chi,CutlJa00,rec_long,0,,,,,
player,201101020gnb,chi,CutlJa00,fumbles,0,,,,,
player,201101020gnb,chi,CutlJa00,fumbles_lost,,,,,,
player,201101020gnb,chi,FortMa00,pass_cmp,0,,,,,
player,201101020gnb,chi,FortMa00,pass_att,0,,,,,
player,201101020gnb,chi,FortMa00,pass_yds,0,,,,,
player,201101020gnb,chi,FortMa00,pass_td,0,,,,,
player,201101020gnb,chi,FortMa00,pass_int,0,,,,,
player,201101020gnb,chi,FortMa00,pass_sacked,,,,,,
player,201101020gnb,chi,FortMa00,pass_sacked_yds,,,,,,
player,201101020gnb,chi,FortMa00,pass_long,0,,,,,
player,201101020gnb,chi,FortMa00,pass_rating,,,,,,
player,201101020gnb,chi,FortMa00,rush_att,15,,,,,
player,201101020gnb,chi,FortMa00,rush_yds,91,,,,,
player,201101020gnb,chi,FortMa00,rush_td,0,,,,,
player,201101020gnb,chi,FortMa00,rush_long,25,,,,,
player,201101020gnb,chi,FortMa00,targets,8,,,,,
player,201101020gnb,chi,FortMa00,rec,8,,,,,
player,201101020gnb,chi,FortMa00,rec_yds,60,,,,,
player,201101020gnb,chi,FortMa00,rec_td,0,,,,,
player,201101020gnb,chi,FortMa00,rec_long,27,,,,,
player,201101020gnb,chi,FortMa00,fumbles,0,,,,,
player,201101020gnb,chi,FortMa00,fumbles_lost,,,,,,
player,201101020gnb,chi,TaylCh01,pass_cmp,0,,,,,
player,201101020gnb,chi,TaylCh01,pass_att,0,,,,,
player,201101020gnb,chi,TaylCh01,pass_yds,0,,,,,
player,201101020gnb,chi,TaylCh01,pass_td,0,,,,,
player,201101020gnb,chi,TaylCh01,pass_int,0,,,,,
player,201101020gnb,chi,TaylCh01,pass_sacked,,,,,,
player,201101020gnb,chi,TaylCh01,pass_sacked_yds,,,,,,
player,201101020gnb,chi,TaylCh01,pass_long,0,,,,,
player,201101020gnb,chi,TaylCh01,pass_rating,,,,,,
player,201101020gnb,chi,TaylCh01,rush_att,3,,,,,
player,201101020gnb,chi,TaylCh01,rush_yds,11,,,,,
player,201101020gnb,chi,TaylCh01,rush_td,0,,,,,
player,201101020gnb,chi,TaylCh01,rush_long,5,,,,,
player,201101020gnb,chi,TaylCh01,targets,0,,,,,
player,201101020gnb,chi,TaylCh01,rec,0,,,,,
player,201101020gnb,chi,TaylCh01,rec_yds,0,,,,,
player,201101020gnb,chi,TaylCh01,rec_td,0,,,,,
player,201101020gnb,chi,TaylCh01,rec_long,0,,,,,
player,201101020gnb,chi,TaylCh01,fumbles,0,,,,,
player,201101020gnb,chi,TaylCh01,fumbles_lost,,,,,,
player,201101020gnb,chi,DaviRa00,pass_cmp,0,,,,,
player,201101020gnb,chi,DaviRa00,pass_att,0,,,,,
player,201101020gnb,chi,DaviRa00,pass_yds,0,,,,,
player,201101020gnb,chi,DaviRa00,pass_td,0,,,,,
player,201101020gnb,chi,DaviRa00,pass_int,0,,,,,
player,201101020gnb,chi,DaviRa00,pass_sacked,,,,,,
player,201101020gnb,chi,DaviRa00,pass_sacked_yds,,,,,,
player,201101020gnb,chi,DaviRa00,pass_long,0,,,,,
player,201101020gnb,chi,DaviRa00,pass_rating,,,,,,
player,201101020gnb,chi,DaviRa00,rush_att,0,,,,,
player,201101020gnb,chi,DaviRa00,rush_yds,0,,,,,
player,201101020gnb,chi,DaviRa00,rush_td,0,,,,,
player,201101020gnb,chi,DaviRa00,rush_long,0,,,,,
player,201101020gnb,chi,DaviRa00,targets,10,,,,,
player,201101020gnb,chi,DaviRa00,rec,7,,,,,
player,201101020gnb,chi,DaviRa00,rec_yds,63,,,,,
player,201101020gnb,chi,DaviRa00,rec_td,0,,,,,
player,201101020gnb,chi,DaviRa00,rec_long,21,,,,,
player,201101020gnb,chi,DaviRa00,fumbles,0,,,,,
player,201101020gnb,chi,DaviRa00,fumbles_lost,,,,,,
player,201101020gnb,chi,OlseGr00,pass_cmp,0,,,,,
player,201101020gnb,chi,OlseGr00,pass_att,0,,,,,
player,201101020gnb,chi,OlseGr00,pass_yds,0,,,,,
player,201101020gnb,chi,OlseGr00,pass_td,0,,,,,
player,201101020gnb,chi,OlseGr00,pass_int,0,,,,,
player,201101020gnb,chi,OlseGr00,pass_sacked,,,,,,
player,201101020gnb,chi,OlseGr00,pass_sacked_yds,,,,,,
player,201101020gnb,chi,OlseGr00,pass_long,0,,,,,
player,201101020gnb,chi,OlseGr00,pass_rating,,,,,,
player,201101020gnb,chi,OlseGr00,rush_att,0,,,,,
player,201101020gnb,chi,OlseGr00,rush_yds,0,,,,,
player,201101020gnb,chi,OlseGr00,rush_td,0,,,,,
player,201101020gnb,chi,OlseGr00,rush_long,0,,,,,
player,201101020gnb,chi,OlseGr00,targets,6,,,,,
player,201101020gnb,chi,OlseGr00,rec,5,,,,,
player,201101020gnb,chi,OlseGr00,rec_yds,29,,,,,
player,201101020gnb,chi,OlseGr00,rec_td,0,,,,,
player,201101020gnb,chi,OlseGr00,rec_long,7,,,,,
player,201101020gnb,chi,OlseGr00,fumbles,0,,,,,
player,201101020gnb,chi,OlseGr00,fumbles_lost,,,,,,
player,201101020gnb,chi,HestDe99,pass_cmp,0,,,,,
player,201101020gnb,chi,HestDe99,pass_att,0,,,,,
player,201101020gnb,chi,HestDe99,pass_yds,0,,,,,
player,201101020gnb,chi,HestDe99,pass_td,0,,,,,
player,201101020gnb,chi,HestDe99,pass_int,0,,,,,
player,201101020gnb,chi,HestDe99,pass_sacked,,,,,,
player,201101020gnb,chi,HestDe99,pass_sacked_yds,,,,,,
player,201101020gnb,chi,HestDe99,pass_long,0,,,,,
player,201101020gnb,chi,HestDe99,pass_rating,,,,,,
player,201101020gnb,chi,HestDe99,rush_att,0,,,,,
player,201101020gnb,chi,HestDe99,rush_yds,0,,,,,
player,201101020gnb,chi,HestDe99,rush_td,0,,,,,
player,201101020gnb,chi,HestDe99,rush_long,0,,,,,
player,201101020gnb,chi,HestDe99,targets,5,,,,,
player,201101020gnb,chi,HestDe99,rec,1,,,,,
player,201101020gnb,chi,HestDe99,rec_yds,16,,,,,
player,201101020gnb,chi,HestDe99,rec_td,0,,,,,
player,201101020gnb,chi,HestDe99,rec_long,16,,,,,
player,201101020gnb,chi,HestDe99,fumbles,0,,,,,
player,201101020gnb,chi,HestDe99,fumbles_lost,,,,,,
player,201101020gnb,chi,ManuBr00,pass_cmp,,,,,,
player,201101020gnb,chi,ManuBr00,pass_att,,,,,,
player,201101020gnb,chi,ManuBr00,pass_yds,,,,,,
player,201101020gnb,chi,ManuBr00,pass_td,,,,,,
player,201101020gnb,chi,ManuBr00,pass_int,,,,,,
player,201101020gnb,chi,ManuBr00,pass_sacked,,,,,,
player,201101020gnb,chi,ManuBr00,pass_sacked_yds,,,,,,
player,201101020gnb,chi,ManuBr00,pass_long,,,,,,
player,201101020gnb,chi,ManuBr00,pass_rating,,,,,,
player,201101020gnb,chi,ManuBr00,rush_att,,,,,,
player,201101020gnb,chi,ManuBr00,rush_yds,,,,,,
player,201101020gnb,chi,ManuBr00,rush_td,,,,,,
player,201101020gnb,chi,ManuBr00,rush_long,,,,,,
player,201101020gnb,chi,ManuBr00,targets,1,,,,,
player,201101020gnb,chi,ManuBr00,rec,0,,,,,
player,201101020gnb,chi,ManuBr00,rec_yds,0,,,,,
player,201101020gnb,chi,ManuBr00,rec_td,0,,,,,
player,201101020gnb,chi,ManuBr00,rec_long,,,,,,
player,201101020gnb,chi,ManuBr00,fumbles,,,,,,
player,201101020gnb,chi,ManuBr00,fumbles_lost,,,,,,
player,201101020gnb,chi,KnoxJo00,pass_cmp,,,,,,
player,201101020gnb,chi,KnoxJo00,pass_att,,,,,,
player,201101020gnb,chi,KnoxJo00,pass_yds,,,,,,
player,201101020gnb,chi,KnoxJo00,pass_td,,,,,,
player,201101020gnb,chi,KnoxJo00,pass_int,,,,,,
player,201101020gnb,chi,KnoxJo00,pass_sacked,,,,,,
player,201101020gnb,chi,KnoxJo00,pass_sacked_yds,,,,,,
player,201101020gnb,chi,KnoxJo00,pass_long,,,,,,
player,201101020gnb,chi,KnoxJo00,pass_rating,,,,,,
player,201101020gnb,chi,KnoxJo00,rush_att,,,,,,
player,201101020gnb,chi,KnoxJo00,rush_yds,,,,,,
player,201101020gnb,chi,KnoxJo00,rush_td,,,,,,
player,201101020gnb,chi,KnoxJo00,rush_long,,,,,,
player,201101020gnb,chi,KnoxJo00,targets,8,,,,,
player,201101020gnb,chi,KnoxJo00,rec,0,,,,,
player,201101020gnb,chi,KnoxJo00,rec_yds,0,,,,,
player,201101020gnb,chi,KnoxJo00,rec_td,0,,,,,
player,201101020gnb,chi,KnoxJo00,rec_long,,,,,,
player,201101020gnb,chi,KnoxJo00,fumbles,,,,,,
player,201101020gnb,chi,KnoxJo00,fumbles_lost,,,,,,
player,201101020gnb,chi,AromDe00,pass_cmp,,,,,,
player,201101020gnb,chi,AromDe00,pass_att,,,,,,
player,201101020gnb,chi,AromDe00,pass_yds,,,,,,
player,201101020gnb,chi,AromDe00,pass_td,,,,,,
player,201101020gnb,chi,AromDe00,pass_int,,,,,,
player,201101020gnb,chi,AromDe00,pass_sacked,,,,,,
player,201101020gnb,chi,AromDe00,pass_sacked_yds,,,,,,
player,201101020gnb,chi,AromDe00,pass_long,,,,,,
player,201101020gnb,chi,AromDe00,pass_rating,,,,,,
player,201101020gnb,chi,AromDe00,rush_att,,,,,,
player,201101020gnb,chi,AromDe00,rush_yds,,,,,,
player,201101020gnb,chi,AromDe00,rush_td,,,,,,
player,201101020gnb,chi,AromDe00,rush_long,,,,,,
player,201101020gnb,chi,AromDe00,targets,1,,,,,
player,201101020gnb,chi,AromDe00,rec,0,,,,,
player,201101020gnb,chi,AromDe00,rec_yds,0,,,,,
player,201101020gnb,chi,AromDe00,rec_td,0,,,,,
player,201101020gnb,chi,AromDe00,rec_long,,,,,,
player,201101020gnb,chi,AromDe00,fumbles,,,,,,
player,201101020gnb,chi,AromDe00,fumbles_lost,,,,,,
player,201101020gnb,gnb,RodgAa00,pass_cmp,19,,,,,
player,201101020gnb,gnb,RodgAa00,pass_att,28,,,,,
player,201101020gnb,gnb,RodgAa00,pass_yds,229,,,,,
player,201101020gnb,gnb,RodgAa00,pass_td,1,,,,,
player,201101020gnb,gnb,RodgAa00,pass_int,1,,,,,
player,201101020gnb,gnb,RodgAa00,pass_sacked,2,,,,,
player,201101020gnb,gnb,RodgAa00,pass_sacked_yds,5,,,,,
player,201101020gnb,gnb,RodgAa00,pass_long,46,,,,,
player,201101020gnb,gnb,RodgAa00,pass_rating,89.7,,,,,
player,201101020gnb,gnb,RodgAa00,rush_att,7,,,,,
player,201101020gnb,gnb,RodgAa00,rush_yds,21,,,,,
player,201101020gnb,gnb,RodgAa00,rush_td,0,,,,,
player,201101020gnb,gnb,RodgAa00,rush_long,7,,,,,
player,201101020gnb,gnb,RodgAa00,targets,0,,,,,
player,201101020gnb,gnb,RodgAa00,rec,0,,,,,
player,201101020gnb,gnb,RodgAa00,rec_yds,0,,,,,
player,201101020gnb,gnb,RodgAa00,rec_td,0,,,,,
player,201101020gnb,gnb,RodgAa00,rec_long,0,,,,,
player,201101020gnb,gnb,RodgAa00,fumbles,1,,,,,
player,201101020gnb,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201101020gnb,gnb,StarJa00,pass_cmp,0,,,,,
player,201101020gnb,gnb,StarJa00,pass_att,0,,,,,
player,201101020gnb,gnb,StarJa00,pass_yds,0,,,,,
player,201101020gnb,gnb,StarJa00,pass_td,0,,,,,
player,201101020gnb,gnb,StarJa00,pass_int,0,,,,,
player,201101020gnb,gnb,StarJa00,pass_sacked,,,,,,
player,201101020gnb,gnb,StarJa00,pass_sacked_yds,,,,,,
player,201101020gnb,gnb,StarJa00,pass_long,0,,,,,
player,201101020gnb,gnb,StarJa00,pass_rating,,,,,,
player,201101020gnb,gnb,StarJa00,rush_att,5,,,,,
player,201101020gnb,gnb,StarJa00,rush_yds,20,,,,,
player,201101020gnb,gnb,StarJa00,rush_td,0,,,,,
player,201101020gnb,gnb,StarJa00,rush_long,6,,,,,
player,201101020gnb,gnb,StarJa00,targets,3,,,,,
player,201101020gnb,gnb,StarJa00,rec,2,,,,,
player,201101020gnb,gnb,StarJa00,rec_yds,15,,,,,
player,201101020gnb,gnb,StarJa00,rec_td,0,,,,,
player,201101020gnb,gnb,StarJa00,rec_long,12,,,,,
player,201101020gnb,gnb,StarJa00,fumbles,0,,,,,
player,201101020gnb,gnb,StarJa00,fumbles_lost,,,,,,
player,201101020gnb,gnb,JackBr00,pass_cmp,0,,,,,
player,201101020gnb,gnb,JackBr00,pass_att,0,,,,,
player,201101020gnb,gnb,JackBr00,pass_yds,0,,,,,
player,201101020gnb,gnb,JackBr00,pass_td,0,,,,,
player,201101020gnb,gnb,JackBr00,pass_int,0,,,,,
player,201101020gnb,gnb,JackBr00,pass_sacked,,,,,,
player,201101020gnb,gnb,JackBr00,pass_sacked_yds,,,,,,
player,201101020gnb,gnb,JackBr00,pass_long,0,,,,,
player,201101020gnb,gnb,JackBr00,pass_rating,,,,,,
player,201101020gnb,gnb,JackBr00,rush_att,7,,,,,
player,201101020gnb,gnb,JackBr00,rush_yds,19,,,,,
player,201101020gnb,gnb,JackBr00,rush_td,0,,,,,
player,201101020gnb,gnb,JackBr00,rush_long,8,,,,,
player,201101020gnb,gnb,JackBr00,targets,3,,,,,
player,201101020gnb,gnb,JackBr00,rec,2,,,,,
player,201101020gnb,gnb,JackBr00,rec_yds,16,,,,,
player,201101020gnb,gnb,JackBr00,rec_td,0,,,,,
player,201101020gnb,gnb,JackBr00,rec_long,10,,,,,
player,201101020gnb,gnb,JackBr00,fumbles,0,,,,,
player,201101020gnb,gnb,JackBr00,fumbles_lost,,,,,,
player,201101020gnb,gnb,JennGr00,pass_cmp,0,,,,,
player,201101020gnb,gnb,JennGr00,pass_att,0,,,,,
player,201101020gnb,gnb,JennGr00,pass_yds,0,,,,,
player,201101020gnb,gnb,JennGr00,pass_td,0,,,,,
player,201101020gnb,gnb,JennGr00,pass_int,0,,,,,
player,201101020gnb,gnb,JennGr00,pass_sacked,,,,,,
player,201101020gnb,gnb,JennGr00,pass_sacked_yds,,,,,,
player,201101020gnb,gnb,JennGr00,pass_long,0,,,,,
player,201101020gnb,gnb,JennGr00,pass_rating,,,,,,
player,201101020gnb,gnb,JennGr00,rush_att,0,,,,,
player,201101020gnb,gnb,JennGr00,rush_yds,0,,,,,
player,201101020gnb,gnb,JennGr00,rush_td,0,,,,,
player,201101020gnb,gnb,JennGr00,rush_long,0,,,,,
player,201101020gnb,gnb,JennGr00,targets,10,,,,,
player,201101020gnb,gnb,JennGr00,rec,4,,,,,
player,201101020gnb,gnb,JennGr00,rec_yds,97,,,,,
player,201101020gnb,gnb,JennGr00,rec_td,0,,,,,
player,201101020gnb,gnb,JennGr00,rec_long,46,,,,,
player,201101020gnb,gnb,JennGr00,fumbles,0,,,,,
player,201101020gnb,gnb,JennGr00,fumbles_lost,,,,,,
player,201101020gnb,gnb,DrivDo00,pass_cmp,0,,,,,
player,201101020gnb,gnb,DrivDo00,pass_att,0,,,,,
player,201101020gnb,gnb,DrivDo00,pass_yds,0,,,,,
player,201101020gnb,gnb,DrivDo00,pass_td,0,,,,,
player,201101020gnb,gnb,DrivDo00,pass_int,0,,,,,
player,201101020gnb,gnb,DrivDo00,pass_sacked,,,,,,
player,201101020gnb,gnb,DrivDo00,pass_sacked_yds,,,,,,
player,201101020gnb,gnb,DrivDo00,pass_long,0,,,,,
player,201101020gnb,gnb,DrivDo00,pass_rating,,,,,,
player,201101020gnb,gnb,DrivDo00,rush_att,0,,,,,
player,201101020gnb,gnb,DrivDo00,rush_yds,0,,,,,
player,201101020gnb,gnb,DrivDo00,rush_td,0,,,,,
player,201101020gnb,gnb,DrivDo00,rush_long,0,,,,,
player,201101020gnb,gnb,DrivDo00,targets,5,,,,,
player,201101020gnb,gnb,DrivDo00,rec,5,,,,,
player,201101020gnb,gnb,DrivDo00,rec_yds,41,,,,,
player,201101020gnb,gnb,DrivDo00,rec_td,0,,,,,
player,201101020gnb,gnb,DrivDo00,rec_long,21,,,,,
player,201101020gnb,gnb,DrivDo00,fumbles,1,,,,,
player,201101020gnb,gnb,DrivDo00,fumbles_lost,1,,,,,
player,201101020gnb,gnb,NelsJo00,pass_cmp,0,,,,,
player,201101020gnb,gnb,NelsJo00,pass_att,0,,,,,
player,201101020gnb,gnb,NelsJo00,pass_yds,0,,,,,
player,201101020gnb,gnb,NelsJo00,pass_td,0,,,,,
player,201101020gnb,gnb,NelsJo00,pass_int,0,,,,,
player,201101020gnb,gnb,NelsJo00,pass_sacked,,,,,,
player,201101020gnb,gnb,NelsJo00,pass_sacked_yds,,,,,,
player,201101020gnb,gnb,NelsJo00,pass_long,0,,,,,
player,201101020gnb,gnb,NelsJo00,pass_rating,,,,,,
player,201101020gnb,gnb,NelsJo00,rush_att,0,,,,,
