game,2010,17,20110102,201101020phi,dal,"Dallas Cowboys",14,phi,"Philadelphia Eagles",13
team,201101020phi,dal,First Downs,14,,,,,,
team,201101020phi,phi,First Downs,14,,,,,,
team,201101020phi,dal,Rush-Yds-TDs,34-159-0,,,,,,
team,201101020phi,phi,Rush-Yds-TDs,28-121-0,,,,,,
team,201101020phi,dal,Cmp-Att-Yd-TD-INT,11-27-127-1-0,,,,,,
team,201101020phi,phi,Cmp-Att-Yd-TD-INT,18-36-162-1-3,,,,,,
team,201101020phi,dal,Sacked-Yards,2-14,,,,,,
team,201101020phi,phi,Sacked-Yards,5-39,,,,,,
team,201101020phi,dal,Net Pass Yards,113,,,,,,
team,201101020phi,phi,Net Pass Yards,123,,,,,,
team,201101020phi,dal,Total Yards,272,,,,,,
team,201101020phi,phi,Total Yards,244,,,,,,
team,201101020phi,dal,Fumbles-Lost,1-1,,,,,,
team,201101020phi,phi,Fumbles-Lost,2-1,,,,,,
team,201101020phi,dal,Turnovers,1,,,,,,
team,201101020phi,phi,Turnovers,4,,,,,,
team,201101020phi,dal,Penalties-Yards,6-45,,,,,,
team,201101020phi,phi,Penalties-Yards,4-40,,,,,,
team,201101020phi,dal,Third Down Conv.,5-16,,,,,,
team,201101020phi,phi,Third Down Conv.,4-16,,,,,,
team,201101020phi,dal,Fourth Down Conv.,1-2,,,,,,
team,201101020phi,phi,Fourth Down Conv.,0-1,,,,,,
team,201101020phi,dal,Time of Possession,29:10,,,,,,
team,201101020phi,phi,Time of Possession,30:50,,,,,,
player,201101020phi,dal,McGeSt00,pass_cmp,11,,,,,
player,201101020phi,dal,McGeSt00,pass_att,27,,,,,
player,201101020phi,dal,McGeSt00,pass_yds,127,,,,,
player,201101020phi,dal,McGeSt00,pass_td,1,,,,,
player,201101020phi,dal,McGeSt00,pass_int,0,,,,,
player,201101020phi,dal,McGeSt00,pass_sacked,2,,,,,
player,201101020phi,dal,McGeSt00,pass_sacked_yds,14,,,,,
player,201101020phi,dal,McGeSt00,pass_long,33,,,,,
player,201101020phi,dal,McGeSt00,pass_rating,68.0,,,,,
player,201101020phi,dal,McGeSt00,rush_att,9,,,,,
player,201101020phi,dal,McGeSt00,rush_yds,55,,,,,
player,201101020phi,dal,McGeSt00,rush_td,0,,,,,
player,201101020phi,dal,McGeSt00,rush_long,14,,,,,
player,201101020phi,dal,McGeSt00,targets,0,,,,,
player,201101020phi,dal,McGeSt00,rec,0,,,,,
player,201101020phi,dal,McGeSt00,rec_yds,0,,,,,
player,201101020phi,dal,McGeSt00,rec_td,0,,,,,
player,201101020phi,dal,McGeSt00,rec_long,0,,,,,
player,201101020phi,dal,McGeSt00,fumbles,0,,,,,
player,201101020phi,dal,McGeSt00,fumbles_lost,,,,,,
player,201101020phi,dal,JoneFe00,pass_cmp,0,,,,,
player,201101020phi,dal,JoneFe00,pass_att,0,,,,,
player,201101020phi,dal,JoneFe00,pass_yds,0,,,,,
player,201101020phi,dal,JoneFe00,pass_td,0,,,,,
player,201101020phi,dal,JoneFe00,pass_int,0,,,,,
player,201101020phi,dal,JoneFe00,pass_sacked,,,,,,
player,201101020phi,dal,JoneFe00,pass_sacked_yds,,,,,,
player,201101020phi,dal,JoneFe00,pass_long,0,,,,,
player,201101020phi,dal,JoneFe00,pass_rating,,,,,,
player,201101020phi,dal,JoneFe00,rush_att,11,,,,,
player,201101020phi,dal,JoneFe00,rush_yds,81,,,,,
player,201101020phi,dal,JoneFe00,rush_td,0,,,,,
player,201101020phi,dal,JoneFe00,rush_long,20,,,,,
player,201101020phi,dal,JoneFe00,targets,1,,,,,
player,201101020phi,dal,JoneFe00,rec,1,,,,,
player,201101020phi,dal,JoneFe00,rec_yds,-4,,,,,
player,201101020phi,dal,JoneFe00,rec_td,0,,,,,
player,201101020phi,dal,JoneFe00,rec_long,-4,,,,,
player,201101020phi,dal,JoneFe00,fumbles,0,,,,,
player,201101020phi,dal,JoneFe00,fumbles_lost,,,,,,
player,201101020phi,dal,ChoiTa00,pass_cmp,0,,,,,
player,201101020phi,dal,ChoiTa00,pass_att,0,,,,,
player,201101020phi,dal,ChoiTa00,pass_yds,0,,,,,
player,201101020phi,dal,ChoiTa00,pass_td,0,,,,,
player,201101020phi,dal,ChoiTa00,pass_int,0,,,,,
player,201101020phi,dal,ChoiTa00,pass_sacked,,,,,,
player,201101020phi,dal,ChoiTa00,pass_sacked_yds,,,,,,
player,201101020phi,dal,ChoiTa00,pass_long,0,,,,,
player,201101020phi,dal,ChoiTa00,pass_rating,,,,,,
player,201101020phi,dal,ChoiTa00,rush_att,7,,,,,
player,201101020phi,dal,ChoiTa00,rush_yds,20,,,,,
player,201101020phi,dal,ChoiTa00,rush_td,0,,,,,
player,201101020phi,dal,ChoiTa00,rush_long,5,,,,,
player,201101020phi,dal,ChoiTa00,targets,2,,,,,
player,201101020phi,dal,ChoiTa00,rec,0,,,,,
player,201101020phi,dal,ChoiTa00,rec_yds,0,,,,,
player,201101020phi,dal,ChoiTa00,rec_td,0,,,,,
player,201101020phi,dal,ChoiTa00,rec_long,0,,,,,
player,201101020phi,dal,ChoiTa00,fumbles,0,,,,,
player,201101020phi,dal,ChoiTa00,fumbles_lost,,,,,,
player,201101020phi,dal,GronCh00,pass_cmp,0,,,,,
player,201101020phi,dal,GronCh00,pass_att,0,,,,,
player,201101020phi,dal,GronCh00,pass_yds,0,,,,,
player,201101020phi,dal,GronCh00,pass_td,0,,,,,
player,201101020phi,dal,GronCh00,pass_int,0,,,,,
player,201101020phi,dal,GronCh00,pass_sacked,,,,,,
player,201101020phi,dal,GronCh00,pass_sacked_yds,,,,,,
player,201101020phi,dal,GronCh00,pass_long,0,,,,,
player,201101020phi,dal,GronCh00,pass_rating,,,,,,
player,201101020phi,dal,GronCh00,rush_att,3,,,,,
player,201101020phi,dal,GronCh00,rush_yds,9,,,,,
player,201101020phi,dal,GronCh00,rush_td,0,,,,,
player,201101020phi,dal,GronCh00,rush_long,5,,,,,
player,201101020phi,dal,GronCh00,targets,0,,,,,
player,201101020phi,dal,GronCh00,rec,0,,,,,
player,201101020phi,dal,GronCh00,rec_yds,0,,,,,
player,201101020phi,dal,GronCh00,rec_td,0,,,,,
player,201101020phi,dal,GronCh00,rec_long,0,,,,,
player,201101020phi,dal,GronCh00,fumbles,0,,,,,
player,201101020phi,dal,GronCh00,fumbles_lost,,,,,,
player,201101020phi,dal,BarbMa01,pass_cmp,0,,,,,
player,201101020phi,dal,BarbMa01,pass_att,0,,,,,
player,201101020phi,dal,BarbMa01,pass_yds,0,,,,,
player,201101020phi,dal,BarbMa01,pass_td,0,,,,,
