game,2011,3,20110925,201109250oti,den,"Denver Broncos",14,oti,"Tennessee Titans",17
team,201109250oti,den,First Downs,19,,,,,,
team,201109250oti,oti,First Downs,17,,,,,,
team,201109250oti,den,Rush-Yds-TDs,23-59-0,,,,,,
team,201109250oti,oti,Rush-Yds-TDs,23-38-0,,,,,,
team,201109250oti,den,Cmp-Att-Yd-TD-INT,24-39-173-2-2,,,,,,
team,201109250oti,oti,Cmp-Att-Yd-TD-INT,27-36-311-2-0,,,,,,
team,201109250oti,den,Sacked-Yards,1-1,,,,,,
team,201109250oti,oti,Sacked-Yards,2-16,,,,,,
team,201109250oti,den,Net Pass Yards,172,,,,,,
team,201109250oti,oti,Net Pass Yards,295,,,,,,
team,201109250oti,den,Total Yards,231,,,,,,
team,201109250oti,oti,Total Yards,333,,,,,,
team,201109250oti,den,Fumbles-Lost,0-0,,,,,,
team,201109250oti,oti,Fumbles-Lost,3-2,,,,,,
team,201109250oti,den,Turnovers,2,,,,,,
team,201109250oti,oti,Turnovers,2,,,,,,
team,201109250oti,den,Penalties-Yards,1-15,,,,,,
team,201109250oti,oti,Penalties-Yards,11-80,,,,,,
team,201109250oti,den,Third Down Conv.,8-15,,,,,,
team,201109250oti,oti,Third Down Conv.,8-15,,,,,,
team,201109250oti,den,Fourth Down Conv.,0-1,,,,,,
team,201109250oti,oti,Fourth Down Conv.,1-1,,,,,,
team,201109250oti,den,Time of Possession,29:06,,,,,,
team,201109250oti,oti,Time of Possession,30:54,,,,,,
player,201109250oti,den,OrtoKy00,pass_cmp,24,,,,,
player,201109250oti,den,OrtoKy00,pass_att,39,,,,,
player,201109250oti,den,OrtoKy00,pass_yds,173,,,,,
player,201109250oti,den,OrtoKy00,pass_td,2,,,,,
player,201109250oti,den,OrtoKy00,pass_int,2,,,,,
player,201109250oti,den,OrtoKy00,pass_sacked,1,,,,,
player,201109250oti,den,OrtoKy00,pass_sacked_yds,1,,,,,
player,201109250oti,den,OrtoKy00,pass_long,32,,,,,
player,201109250oti,den,OrtoKy00,pass_rating,67.6,,,,,
player,201109250oti,den,OrtoKy00,rush_att,0,,,,,
player,201109250oti,den,OrtoKy00,rush_yds,0,,,,,
player,201109250oti,den,OrtoKy00,rush_td,0,,,,,
player,201109250oti,den,OrtoKy00,rush_long,0,,,,,
player,201109250oti,den,OrtoKy00,targets,0,,,,,
player,201109250oti,den,OrtoKy00,rec,0,,,,,
player,201109250oti,den,OrtoKy00,rec_yds,0,,,,,
player,201109250oti,den,OrtoKy00,rec_td,0,,,,,
player,201109250oti,den,OrtoKy00,rec_long,0,,,,,
player,201109250oti,den,OrtoKy00,fumbles,0,,,,,
player,201109250oti,den,OrtoKy00,fumbles_lost,,,,,,
player,201109250oti,den,McGaWi00,pass_cmp,0,,,,,
player,201109250oti,den,McGaWi00,pass_att,0,,,,,
player,201109250oti,den,McGaWi00,pass_yds,0,,,,,
player,201109250oti,den,McGaWi00,pass_td,0,,,,,
player,201109250oti,den,McGaWi00,pass_int,0,,,,,
player,201109250oti,den,McGaWi00,pass_sacked,0,,,,,
player,201109250oti,den,McGaWi00,pass_sacked_yds,0,,,,,
player,201109250oti,den,McGaWi00,pass_long,0,,,,,
player,201109250oti,den,McGaWi00,pass_rating,,,,,,
player,201109250oti,den,McGaWi00,rush_att,22,,,,,
player,201109250oti,den,McGaWi00,rush_yds,52,,,,,
player,201109250oti,den,McGaWi00,rush_td,0,,,,,
player,201109250oti,den,McGaWi00,rush_long,10,,,,,
player,201109250oti,den,McGaWi00,targets,5,,,,,
player,201109250oti,den,McGaWi00,rec,3,,,,,
player,201109250oti,den,McGaWi00,rec_yds,2,,,,,
player,201109250oti,den,McGaWi00,rec_td,1,,,,,
player,201109250oti,den,McGaWi00,rec_long,5,,,,,
player,201109250oti,den,McGaWi00,fumbles,0,,,,,
player,201109250oti,den,McGaWi00,fumbles_lost,,,,,,
player,201109250oti,den,BallLa00,pass_cmp,0,,,,,
player,201109250oti,den,BallLa00,pass_att,0,,,,,
player,201109250oti,den,BallLa00,pass_yds,0,,,,,
player,201109250oti,den,BallLa00,pass_td,0,,,,,
player,201109250oti,den,BallLa00,pass_int,0,,,,,
player,201109250oti,den,BallLa00,pass_sacked,0,,,,,
player,201109250oti,den,BallLa00,pass_sacked_yds,0,,,,,
player,201109250oti,den,BallLa00,pass_long,0,,,,,
player,201109250oti,den,BallLa00,pass_rating,,,,,,
player,201109250oti,den,BallLa00,rush_att,1,,,,,
player,201109250oti,den,BallLa00,rush_yds,7,,,,,
player,201109250oti,den,BallLa00,rush_td,0,,,,,
player,201109250oti,den,BallLa00,rush_long,7,,,,,
player,201109250oti,den,BallLa00,targets,5,,,,,
player,201109250oti,den,BallLa00,rec,3,,,,,
player,201109250oti,den,BallLa00,rec_yds,11,,,,,
player,201109250oti,den,BallLa00,rec_td,0,,,,,
player,201109250oti,den,BallLa00,rec_long,7,,,,,
player,201109250oti,den,BallLa00,fumbles,0,,,,,
player,201109250oti,den,BallLa00,fumbles_lost,,,,,,
player,201109250oti,den,DeckEr00,pass_cmp,0,,,,,
player,201109250oti,den,DeckEr00,pass_att,0,,,,,
player,201109250oti,den,DeckEr00,pass_yds,0,,,,,
player,201109250oti,den,DeckEr00,pass_td,0,,,,,
player,201109250oti,den,DeckEr00,pass_int,0,,,,,
player,201109250oti,den,DeckEr00,pass_sacked,0,,,,,
player,201109250oti,den,DeckEr00,pass_sacked_yds,0,,,,,
player,201109250oti,den,DeckEr00,pass_long,0,,,,,
player,201109250oti,den,DeckEr00,pass_rating,,,,,,
player,201109250oti,den,DeckEr00,rush_att,0,,,,,
player,201109250oti,den,DeckEr00,rush_yds,0,,,,,
player,201109250oti,den,DeckEr00,rush_td,0,,,,,
player,201109250oti,den,DeckEr00,rush_long,0,,,,,
player,201109250oti,den,DeckEr00,targets,13,,,,,
player,201109250oti,den,DeckEr00,rec,7,,,,,
player,201109250oti,den,DeckEr00,rec_yds,48,,,,,
player,201109250oti,den,DeckEr00,rec_td,0,,,,,
player,201109250oti,den,DeckEr00,rec_long,10,,,,,
player,201109250oti,den,DeckEr00,fumbles,0,,,,,
player,201109250oti,den,DeckEr00,fumbles_lost,,,,,,
player,201109250oti,den,FellDa00,pass_cmp,0,,,,,
player,201109250oti,den,FellDa00,pass_att,0,,,,,
player,201109250oti,den,FellDa00,pass_yds,0,,,,,
player,201109250oti,den,FellDa00,pass_td,0,,,,,
player,201109250oti,den,FellDa00,pass_int,0,,,,,
player,201109250oti,den,FellDa00,pass_sacked,0,,,,,
player,201109250oti,den,FellDa00,pass_sacked_yds,0,,,,,
player,201109250oti,den,FellDa00,pass_long,0,,,,,
player,201109250oti,den,FellDa00,pass_rating,,,,,,
player,201109250oti,den,FellDa00,rush_att,0,,,,,
player,201109250oti,den,FellDa00,rush_yds,0,,,,,
player,201109250oti,den,FellDa00,rush_td,0,,,,,
player,201109250oti,den,FellDa00,rush_long,0,,,,,
player,201109250oti,den,FellDa00,targets,4,,,,,
player,201109250oti,den,FellDa00,rec,2,,,,,
player,201109250oti,den,FellDa00,rec_yds,42,,,,,
player,201109250oti,den,FellDa00,rec_td,0,,,,,
player,201109250oti,den,FellDa00,rec_long,32,,,,,
player,201109250oti,den,FellDa00,fumbles,0,,,,,
player,201109250oti,den,FellDa00,fumbles_lost,,,,,,
player,201109250oti,den,LloyBr00,pass_cmp,0,,,,,
player,201109250oti,den,LloyBr00,pass_att,0,,,,,
player,201109250oti,den,LloyBr00,pass_yds,0,,,,,
player,201109250oti,den,LloyBr00,pass_td,0,,,,,
player,201109250oti,den,LloyBr00,pass_int,0,,,,,
player,201109250oti,den,LloyBr00,pass_sacked,0,,,,,
player,201109250oti,den,LloyBr00,pass_sacked_yds,0,,,,,
player,201109250oti,den,LloyBr00,pass_long,0,,,,,
player,201109250oti,den,LloyBr00,pass_rating,,,,,,
player,201109250oti,den,LloyBr00,rush_att,0,,,,,
player,201109250oti,den,LloyBr00,rush_yds,0,,,,,
player,201109250oti,den,LloyBr00,rush_td,0,,,,,
player,201109250oti,den,LloyBr00,rush_long,0,,,,,
player,201109250oti,den,LloyBr00,targets,6,,,,,
player,201109250oti,den,LloyBr00,rec,4,,,,,
player,201109250oti,den,LloyBr00,rec_yds,38,,,,,
player,201109250oti,den,LloyBr00,rec_td,0,,,,,
player,201109250oti,den,LloyBr00,rec_long,20,,,,,
player,201109250oti,den,LloyBr00,fumbles,0,,,,,
player,201109250oti,den,LloyBr00,fumbles_lost,,,,,,
player,201109250oti,den,WillMa00,pass_cmp,0,,,,,
player,201109250oti,den,WillMa00,pass_att,0,,,,,
player,201109250oti,den,WillMa00,pass_yds,0,,,,,
player,201109250oti,den,WillMa00,pass_td,0,,,,,
player,201109250oti,den,WillMa00,pass_int,0,,,,,
player,201109250oti,den,WillMa00,pass_sacked,0,,,,,
player,201109250oti,den,WillMa00,pass_sacked_yds,0,,,,,
player,201109250oti,den,WillMa00,pass_long,0,,,,,
player,201109250oti,den,WillMa00,pass_rating,,,,,,
player,201109250oti,den,WillMa00,rush_att,0,,,,,
player,201109250oti,den,WillMa00,rush_yds,0,,,,,
player,201109250oti,den,WillMa00,rush_td,0,,,,,
player,201109250oti,den,WillMa00,rush_long,0,,,,,
player,201109250oti,den,WillMa00,targets,3,,,,,
player,201109250oti,den,WillMa00,rec,2,,,,,
player,201109250oti,den,WillMa00,rec_yds,16,,,,,
player,201109250oti,den,WillMa00,rec_td,1,,,,,
player,201109250oti,den,WillMa00,rec_long,11,,,,,
player,201109250oti,den,WillMa00,fumbles,0,,,,,
player,201109250oti,den,WillMa00,fumbles_lost,,,,,,
player,201109250oti,den,LarsSp99,pass_cmp,0,,,,,
player,201109250oti,den,LarsSp99,pass_att,0,,,,,
player,201109250oti,den,LarsSp99,pass_yds,0,,,,,
player,201109250oti,den,LarsSp99,pass_td,0,,,,,
player,201109250oti,den,LarsSp99,pass_int,0,,,,,
player,201109250oti,den,LarsSp99,pass_sacked,0,,,,,
player,201109250oti,den,LarsSp99,pass_sacked_yds,0,,,,,
player,201109250oti,den,LarsSp99,pass_long,0,,,,,
player,201109250oti,den,LarsSp99,pass_rating,,,,,,
player,201109250oti,den,LarsSp99,rush_att,0,,,,,
player,201109250oti,den,LarsSp99,rush_yds,0,,,,,
player,201109250oti,den,LarsSp99,rush_td,0,,,,,
player,201109250oti,den,LarsSp99,rush_long,0,,,,,
player,201109250oti,den,LarsSp99,targets,2,,,,,
player,201109250oti,den,LarsSp99,rec,2,,,,,
