game,2011,4,20111002,201110020cle,oti,"Tennessee Titans",31,cle,"Cleveland Browns",13
team,201110020cle,oti,First Downs,13,,,,,,
team,201110020cle,cle,First Downs,25,,,,,,
team,201110020cle,oti,Rush-Yds-TDs,29-112-0,,,,,,
team,201110020cle,cle,Rush-Yds-TDs,22-84-0,,,,,,
team,201110020cle,oti,Cmp-Att-Yd-TD-INT,10-21-220-3-1,,,,,,
team,201110020cle,cle,Cmp-Att-Yd-TD-INT,40-61-350-1-1,,,,,,
team,201110020cle,oti,Sacked-Yards,0-0,,,,,,
team,201110020cle,cle,Sacked-Yards,4-18,,,,,,
team,201110020cle,oti,Net Pass Yards,220,,,,,,
team,201110020cle,cle,Net Pass Yards,332,,,,,,
team,201110020cle,oti,Total Yards,332,,,,,,
team,201110020cle,cle,Total Yards,416,,,,,,
team,201110020cle,oti,Fumbles-Lost,0-0,,,,,,
team,201110020cle,cle,Fumbles-Lost,1-0,,,,,,
team,201110020cle,oti,Turnovers,1,,,,,,
team,201110020cle,cle,Turnovers,1,,,,,,
team,201110020cle,oti,Penalties-Yards,5-45,,,,,,
team,201110020cle,cle,Penalties-Yards,5-40,,,,,,
team,201110020cle,oti,Third Down Conv.,4-12,,,,,,
team,201110020cle,cle,Third Down Conv.,8-20,,,,,,
team,201110020cle,oti,Fourth Down Conv.,0-0,,,,,,
team,201110020cle,cle,Fourth Down Conv.,2-5,,,,,,
team,201110020cle,oti,Time of Possession,23:07,,,,,,
team,201110020cle,cle,Time of Possession,36:53,,,,,,
player,201110020cle,oti,HassMa00,pass_cmp,10,,,,,
player,201110020cle,oti,HassMa00,pass_att,20,,,,,
player,201110020cle,oti,HassMa00,pass_yds,220,,,,,
player,201110020cle,oti,HassMa00,pass_td,3,,,,,
player,201110020cle,oti,HassMa00,pass_int,1,,,,,
player,201110020cle,oti,HassMa00,pass_sacked,0,,,,,
player,201110020cle,oti,HassMa00,pass_sacked_yds,0,,,,,
player,201110020cle,oti,HassMa00,pass_long,80,,,,,
player,201110020cle,oti,HassMa00,pass_rating,108.3,,,,,
player,201110020cle,oti,HassMa00,rush_att,1,,,,,
player,201110020cle,oti,HassMa00,rush_yds,5,,,,,
player,201110020cle,oti,HassMa00,rush_td,0,,,,,
player,201110020cle,oti,HassMa00,rush_long,5,,,,,
player,201110020cle,oti,HassMa00,targets,0,,,,,
player,201110020cle,oti,HassMa00,rec,0,,,,,
player,201110020cle,oti,HassMa00,rec_yds,0,,,,,
player,201110020cle,oti,HassMa00,rec_td,0,,,,,
player,201110020cle,oti,HassMa00,rec_long,0,,,,,
player,201110020cle,oti,HassMa00,fumbles,0,,,,,
player,201110020cle,oti,HassMa00,fumbles_lost,,,,,,
player,201110020cle,oti,LockJa00,pass_cmp,0,,,,,
player,201110020cle,oti,LockJa00,pass_att,1,,,,,
player,201110020cle,oti,LockJa00,pass_yds,0,,,,,
player,201110020cle,oti,LockJa00,pass_td,0,,,,,
player,201110020cle,oti,LockJa00,pass_int,0,,,,,
player,201110020cle,oti,LockJa00,pass_sacked,0,,,,,
player,201110020cle,oti,LockJa00,pass_sacked_yds,0,,,,,
player,201110020cle,oti,LockJa00,pass_long,0,,,,,
player,201110020cle,oti,LockJa00,pass_rating,39.6,,,,,
player,201110020cle,oti,LockJa00,rush_att,0,,,,,
player,201110020cle,oti,LockJa00,rush_yds,0,,,,,
player,201110020cle,oti,LockJa00,rush_td,0,,,,,
player,201110020cle,oti,LockJa00,rush_long,0,,,,,
player,201110020cle,oti,LockJa00,targets,0,,,,,
player,201110020cle,oti,LockJa00,rec,0,,,,,
player,201110020cle,oti,LockJa00,rec_yds,0,,,,,
player,201110020cle,oti,LockJa00,rec_td,0,,,,,
player,201110020cle,oti,LockJa00,rec_long,0,,,,,
player,201110020cle,oti,LockJa00,fumbles,0,,,,,
player,201110020cle,oti,LockJa00,fumbles_lost,,,,,,
player,201110020cle,oti,JohnCh04,pass_cmp,0,,,,,
player,201110020cle,oti,JohnCh04,pass_att,0,,,,,
player,201110020cle,oti,JohnCh04,pass_yds,0,,,,,
player,201110020cle,oti,JohnCh04,pass_td,0,,,,,
player,201110020cle,oti,JohnCh04,pass_int,0,,,,,
player,201110020cle,oti,JohnCh04,pass_sacked,0,,,,,
player,201110020cle,oti,JohnCh04,pass_sacked_yds,0,,,,,
player,201110020cle,oti,JohnCh04,pass_long,0,,,,,
player,201110020cle,oti,JohnCh04,pass_rating,,,,,,
player,201110020cle,oti,JohnCh04,rush_att,23,,,,,
player,201110020cle,oti,JohnCh04,rush_yds,101,,,,,
player,201110020cle,oti,JohnCh04,rush_td,0,,,,,
player,201110020cle,oti,JohnCh04,rush_long,25,,,,,
player,201110020cle,oti,JohnCh04,targets,2,,,,,
player,201110020cle,oti,JohnCh04,rec,2,,,,,
player,201110020cle,oti,JohnCh04,rec_yds,11,,,,,
player,201110020cle,oti,JohnCh04,rec_td,0,,,,,
player,201110020cle,oti,JohnCh04,rec_long,6,,,,,
player,201110020cle,oti,JohnCh04,fumbles,0,,,,,
player,201110020cle,oti,JohnCh04,fumbles_lost,,,,,,
player,201110020cle,oti,RingJa00,pass_cmp,0,,,,,
player,201110020cle,oti,RingJa00,pass_att,0,,,,,
player,201110020cle,oti,RingJa00,pass_yds,0,,,,,
player,201110020cle,oti,RingJa00,pass_td,0,,,,,
player,201110020cle,oti,RingJa00,pass_int,0,,,,,
player,201110020cle,oti,RingJa00,pass_sacked,0,,,,,
player,201110020cle,oti,RingJa00,pass_sacked_yds,0,,,,,
player,201110020cle,oti,RingJa00,pass_long,0,,,,,
player,201110020cle,oti,RingJa00,pass_rating,,,,,,
player,201110020cle,oti,RingJa00,rush_att,4,,,,,
player,201110020cle,oti,RingJa00,rush_yds,4,,,,,
player,201110020cle,oti,RingJa00,rush_td,0,,,,,
player,201110020cle,oti,RingJa00,rush_long,4,,,,,
player,201110020cle,oti,RingJa00,targets,0,,,,,
player,201110020cle,oti,RingJa00,rec,0,,,,,
player,201110020cle,oti,RingJa00,rec_yds,0,,,,,
player,201110020cle,oti,RingJa00,rec_td,0,,,,,
player,201110020cle,oti,RingJa00,rec_long,0,,,,,
player,201110020cle,oti,RingJa00,fumbles,0,,,,,
player,201110020cle,oti,RingJa00,fumbles_lost,,,,,,
player,201110020cle,oti,HarpJa01,pass_cmp,0,,,,,
player,201110020cle,oti,HarpJa01,pass_att,0,,,,,
player,201110020cle,oti,HarpJa01,pass_yds,0,,,,,
player,201110020cle,oti,HarpJa01,pass_td,0,,,,,
player,201110020cle,oti,HarpJa01,pass_int,0,,,,,
player,201110020cle,oti,HarpJa01,pass_sacked,0,,,,,
player,201110020cle,oti,HarpJa01,pass_sacked_yds,0,,,,,
player,201110020cle,oti,HarpJa01,pass_long,0,,,,,
player,201110020cle,oti,HarpJa01,pass_rating,,,,,,
player,201110020cle,oti,HarpJa01,rush_att,1,,,,,
