game,2011,4,20111002,201110020ram,was,"Washington Redskins",17,ram,"St. Louis Rams",10
team,201110020ram,was,First Downs,16,,,,,,
team,201110020ram,ram,First Downs,14,,,,,,
team,201110020ram,was,Rush-Yds-TDs,40-196-1,,,,,,
team,201110020ram,ram,Rush-Yds-TDs,17-45-0,,,,,,
team,201110020ram,was,Cmp-Att-Yd-TD-INT,15-29-143-1-2,,,,,,
team,201110020ram,ram,Cmp-Att-Yd-TD-INT,20-43-164-1-0,,,,,,
team,201110020ram,was,Sacked-Yards,0-0,,,,,,
team,201110020ram,ram,Sacked-Yards,7-37,,,,,,
team,201110020ram,was,Net Pass Yards,143,,,,,,
team,201110020ram,ram,Net Pass Yards,127,,,,,,
team,201110020ram,was,Total Yards,339,,,,,,
team,201110020ram,ram,Total Yards,172,,,,,,
team,201110020ram,was,Fumbles-Lost,3-0,,,,,,
team,201110020ram,ram,Fumbles-Lost,4-1,,,,,,
team,201110020ram,was,Turnovers,2,,,,,,
team,201110020ram,ram,Turnovers,1,,,,,,
team,201110020ram,was,Penalties-Yards,10-96,,,,,,
team,201110020ram,ram,Penalties-Yards,9-65,,,,,,
team,201110020ram,was,Third Down Conv.,9-18,,,,,,
team,201110020ram,ram,Third Down Conv.,6-18,,,,,,
team,201110020ram,was,Fourth Down Conv.,0-0,,,,,,
team,201110020ram,ram,Fourth Down Conv.,1-2,,,,,,
team,201110020ram,was,Time of Possession,35:10,,,,,,
team,201110020ram,ram,Time of Possession,24:50,,,,,,
player,201110020ram,was,GrosRe00,pass_cmp,15,,,,,
player,201110020ram,was,GrosRe00,pass_att,29,,,,,
player,201110020ram,was,GrosRe00,pass_yds,143,,,,,
player,201110020ram,was,GrosRe00,pass_td,1,,,,,
player,201110020ram,was,GrosRe00,pass_int,2,,,,,
player,201110020ram,was,GrosRe00,pass_sacked,0,,,,,
player,201110020ram,was,GrosRe00,pass_sacked_yds,0,,,,,
player,201110020ram,was,GrosRe00,pass_long,20,,,,,
player,201110020ram,was,GrosRe00,pass_rating,48.5,,,,,
player,201110020ram,was,GrosRe00,rush_att,5,,,,,
player,201110020ram,was,GrosRe00,rush_yds,2,,,,,
player,201110020ram,was,GrosRe00,rush_td,0,,,,,
player,201110020ram,was,GrosRe00,rush_long,2,,,,,
player,201110020ram,was,GrosRe00,targets,0,,,,,
