game,2011,5,20111009,201110090clt,kan,"Kansas City Chiefs",28,clt,"Indianapolis Colts",24
team,201110090clt,kan,First Downs,26,,,,,,
team,201110090clt,clt,First Downs,15,,,,,,
team,201110090clt,kan,Rush-Yds-TDs,38-194-0,,,,,,
team,201110090clt,clt,Rush-Yds-TDs,27-78-1,,,,,,
team,201110090clt,kan,Cmp-Att-Yd-TD-INT,21-29-257-4-0,,,,,,
team,201110090clt,clt,Cmp-Att-Yd-TD-INT,15-27-277-2-0,,,,,,
team,201110090clt,kan,Sacked-Yards,2-15,,,,,,
team,201110090clt,clt,Sacked-Yards,0-0,,,,,,
team,201110090clt,kan,Net Pass Yards,242,,,,,,
team,201110090clt,clt,Net Pass Yards,277,,,,,,
team,201110090clt,kan,Total Yards,436,,,,,,
team,201110090clt,clt,Total Yards,355,,,,,,
team,201110090clt,kan,Fumbles-Lost,1-0,,,,,,
team,201110090clt,clt,Fumbles-Lost,0-0,,,,,,
team,201110090clt,kan,Turnovers,0,,,,,,
team,201110090clt,clt,Turnovers,0,,,,,,
team,201110090clt,kan,Penalties-Yards,5-39,,,,,,
team,201110090clt,clt,Penalties-Yards,4-40,,,,,,
team,201110090clt,kan,Third Down Conv.,8-14,,,,,,
team,201110090clt,clt,Third Down Conv.,5-12,,,,,,
team,201110090clt,kan,Fourth Down Conv.,0-0,,,,,,
team,201110090clt,clt,Fourth Down Conv.,0-1,,,,,,
team,201110090clt,kan,Time of Possession,33:07,,,,,,
team,201110090clt,clt,Time of Possession,26:53,,,,,,
player,201110090clt,kan,CassMa00,pass_cmp,21,,,,,
player,201110090clt,kan,CassMa00,pass_att,29,,,,,
player,201110090clt,kan,CassMa00,pass_yds,257,,,,,
player,201110090clt,kan,CassMa00,pass_td,4,,,,,
player,201110090clt,kan,CassMa00,pass_int,0,,,,,
player,201110090clt,kan,CassMa00,pass_sacked,2,,,,,
player,201110090clt,kan,CassMa00,pass_sacked_yds,15,,,,,
player,201110090clt,kan,CassMa00,pass_long,41,,,,,
player,201110090clt,kan,CassMa00,pass_rating,138.9,,,,,
player,201110090clt,kan,CassMa00,rush_att,5,,,,,
player,201110090clt,kan,CassMa00,rush_yds,12,,,,,
player,201110090clt,kan,CassMa00,rush_td,0,,,,,
player,201110090clt,kan,CassMa00,rush_long,8,,,,,
player,201110090clt,kan,CassMa00,targets,0,,,,,
player,201110090clt,kan,CassMa00,rec,0,,,,,
player,201110090clt,kan,CassMa00,rec_yds,0,,,,,
player,201110090clt,kan,CassMa00,rec_td,0,,,,,
player,201110090clt,kan,CassMa00,rec_long,0,,,,,
player,201110090clt,kan,CassMa00,fumbles,0,,,,,
player,201110090clt,kan,CassMa00,fumbles_lost,,,,,,
player,201110090clt,kan,BattJa00,pass_cmp,0,,,,,
player,201110090clt,kan,BattJa00,pass_att,0,,,,,
player,201110090clt,kan,BattJa00,pass_yds,0,,,,,
player,201110090clt,kan,BattJa00,pass_td,0,,,,,
player,201110090clt,kan,BattJa00,pass_int,0,,,,,
player,201110090clt,kan,BattJa00,pass_sacked,0,,,,,
player,201110090clt,kan,BattJa00,pass_sacked_yds,0,,,,,
player,201110090clt,kan,BattJa00,pass_long,0,,,,,
player,201110090clt,kan,BattJa00,pass_rating,,,,,,
player,201110090clt,kan,BattJa00,rush_att,19,,,,,
player,201110090clt,kan,BattJa00,rush_yds,119,,,,,
player,201110090clt,kan,BattJa00,rush_td,0,,,,,
player,201110090clt,kan,BattJa00,rush_long,24,,,,,
player,201110090clt,kan,BattJa00,targets,2,,,,,
player,201110090clt,kan,BattJa00,rec,2,,,,,
player,201110090clt,kan,BattJa00,rec_yds,21,,,,,
player,201110090clt,kan,BattJa00,rec_td,0,,,,,
player,201110090clt,kan,BattJa00,rec_long,12,,,,,
player,201110090clt,kan,BattJa00,fumbles,0,,,,,
player,201110090clt,kan,BattJa00,fumbles_lost,,,,,,
player,201110090clt,kan,JoneTh00,pass_cmp,0,,,,,
player,201110090clt,kan,JoneTh00,pass_att,0,,,,,
player,201110090clt,kan,JoneTh00,pass_yds,0,,,,,
player,201110090clt,kan,JoneTh00,pass_td,0,,,,,
player,201110090clt,kan,JoneTh00,pass_int,0,,,,,
player,201110090clt,kan,JoneTh00,pass_sacked,0,,,,,
player,201110090clt,kan,JoneTh00,pass_sacked_yds,0,,,,,
player,201110090clt,kan,JoneTh00,pass_long,0,,,,,
player,201110090clt,kan,JoneTh00,pass_rating,,,,,,
player,201110090clt,kan,JoneTh00,rush_att,10,,,,,
player,201110090clt,kan,JoneTh00,rush_yds,55,,,,,
player,201110090clt,kan,JoneTh00,rush_td,0,,,,,
player,201110090clt,kan,JoneTh00,rush_long,21,,,,,
player,201110090clt,kan,JoneTh00,targets,3,,,,,
player,201110090clt,kan,JoneTh00,rec,2,,,,,
player,201110090clt,kan,JoneTh00,rec_yds,7,,,,,
player,201110090clt,kan,JoneTh00,rec_td,0,,,,,
player,201110090clt,kan,JoneTh00,rec_long,4,,,,,
player,201110090clt,kan,JoneTh00,fumbles,0,,,,,
player,201110090clt,kan,JoneTh00,fumbles_lost,,,,,,
player,201110090clt,kan,McClDe00,pass_cmp,0,,,,,
player,201110090clt,kan,McClDe00,pass_att,0,,,,,
player,201110090clt,kan,McClDe00,pass_yds,0,,,,,
player,201110090clt,kan,McClDe00,pass_td,0,,,,,
player,201110090clt,kan,McClDe00,pass_int,0,,,,,
player,201110090clt,kan,McClDe00,pass_sacked,0,,,,,
player,201110090clt,kan,McClDe00,pass_sacked_yds,0,,,,,
player,201110090clt,kan,McClDe00,pass_long,0,,,,,
player,201110090clt,kan,McClDe00,pass_rating,,,,,,
player,201110090clt,kan,McClDe00,rush_att,4,,,,,
player,201110090clt,kan,McClDe00,rush_yds,8,,,,,
player,201110090clt,kan,McClDe00,rush_td,0,,,,,
player,201110090clt,kan,McClDe00,rush_long,4,,,,,
player,201110090clt,kan,McClDe00,targets,2,,,,,
player,201110090clt,kan,McClDe00,rec,1,,,,,
player,201110090clt,kan,McClDe00,rec_yds,10,,,,,
player,201110090clt,kan,McClDe00,rec_td,0,,,,,
player,201110090clt,kan,McClDe00,rec_long,10,,,,,
player,201110090clt,kan,McClDe00,fumbles,0,,,,,
player,201110090clt,kan,McClDe00,fumbles_lost,,,,,,
player,201110090clt,kan,BoweDw00,pass_cmp,0,,,,,
player,201110090clt,kan,BoweDw00,pass_att,0,,,,,
player,201110090clt,kan,BoweDw00,pass_yds,0,,,,,
player,201110090clt,kan,BoweDw00,pass_td,0,,,,,
player,201110090clt,kan,BoweDw00,pass_int,0,,,,,
player,201110090clt,kan,BoweDw00,pass_sacked,0,,,,,
player,201110090clt,kan,BoweDw00,pass_sacked_yds,0,,,,,
player,201110090clt,kan,BoweDw00,pass_long,0,,,,,
player,201110090clt,kan,BoweDw00,pass_rating,,,,,,
player,201110090clt,kan,BoweDw00,rush_att,0,,,,,
player,201110090clt,kan,BoweDw00,rush_yds,0,,,,,
player,201110090clt,kan,BoweDw00,rush_td,0,,,,,
player,201110090clt,kan,BoweDw00,rush_long,0,,,,,
player,201110090clt,kan,BoweDw00,targets,11,,,,,
player,201110090clt,kan,BoweDw00,rec,7,,,,,
player,201110090clt,kan,BoweDw00,rec_yds,128,,,,,
player,201110090clt,kan,BoweDw00,rec_td,2,,,,,
player,201110090clt,kan,BoweDw00,rec_long,41,,,,,
player,201110090clt,kan,BoweDw00,fumbles,0,,,,,
player,201110090clt,kan,BoweDw00,fumbles_lost,,,,,,
player,201110090clt,kan,BreaSt00,pass_cmp,0,,,,,
player,201110090clt,kan,BreaSt00,pass_att,0,,,,,
player,201110090clt,kan,BreaSt00,pass_yds,0,,,,,
player,201110090clt,kan,BreaSt00,pass_td,0,,,,,
player,201110090clt,kan,BreaSt00,pass_int,0,,,,,
player,201110090clt,kan,BreaSt00,pass_sacked,0,,,,,
player,201110090clt,kan,BreaSt00,pass_sacked_yds,0,,,,,
player,201110090clt,kan,BreaSt00,pass_long,0,,,,,
player,201110090clt,kan,BreaSt00,pass_rating,,,,,,
player,201110090clt,kan,BreaSt00,rush_att,0,,,,,
player,201110090clt,kan,BreaSt00,rush_yds,0,,,,,
player,201110090clt,kan,BreaSt00,rush_td,0,,,,,
player,201110090clt,kan,BreaSt00,rush_long,0,,,,,
player,201110090clt,kan,BreaSt00,targets,5,,,,,
player,201110090clt,kan,BreaSt00,rec,4,,,,,
player,201110090clt,kan,BreaSt00,rec_yds,50,,,,,
player,201110090clt,kan,BreaSt00,rec_td,2,,,,,
player,201110090clt,kan,BreaSt00,rec_long,16,,,,,
player,201110090clt,kan,BreaSt00,fumbles,0,,,,,
player,201110090clt,kan,BreaSt00,fumbles_lost,,,,,,
player,201110090clt,kan,ColbKe00,pass_cmp,0,,,,,
player,201110090clt,kan,ColbKe00,pass_att,0,,,,,
player,201110090clt,kan,ColbKe00,pass_yds,0,,,,,
player,201110090clt,kan,ColbKe00,pass_td,0,,,,,
player,201110090clt,kan,ColbKe00,pass_int,0,,,,,
player,201110090clt,kan,ColbKe00,pass_sacked,0,,,,,
player,201110090clt,kan,ColbKe00,pass_sacked_yds,0,,,,,
player,201110090clt,kan,ColbKe00,pass_long,0,,,,,
player,201110090clt,kan,ColbKe00,pass_rating,,,,,,
player,201110090clt,kan,ColbKe00,rush_att,0,,,,,
player,201110090clt,kan,ColbKe00,rush_yds,0,,,,,
player,201110090clt,kan,ColbKe00,rush_td,0,,,,,
