game,2011,5,20111009,201110090jax,cin,"Cincinnati Bengals",30,jax,"Jacksonville Jaguars",20
team,201110090jax,cin,First Downs,13,,,,,,
team,201110090jax,jax,First Downs,12,,,,,,
team,201110090jax,cin,Rush-Yds-TDs,31-77-1,,,,,,
team,201110090jax,jax,Rush-Yds-TDs,27-96-1,,,,,,
team,201110090jax,cin,Cmp-Att-Yd-TD-INT,21-33-179-2-1,,,,,,
team,201110090jax,jax,Cmp-Att-Yd-TD-INT,15-28-221-1-0,,,,,,
team,201110090jax,cin,Sacked-Yards,2-17,,,,,,
team,201110090jax,jax,Sacked-Yards,3-21,,,,,,
team,201110090jax,cin,Net Pass Yards,162,,,,,,
team,201110090jax,jax,Net Pass Yards,200,,,,,,
team,201110090jax,cin,Total Yards,239,,,,,,
team,201110090jax,jax,Total Yards,296,,,,,,
team,201110090jax,cin,Fumbles-Lost,1-0,,,,,,
team,201110090jax,jax,Fumbles-Lost,4-2,,,,,,
team,201110090jax,cin,Turnovers,1,,,,,,
team,201110090jax,jax,Turnovers,2,,,,,,
team,201110090jax,cin,Penalties-Yards,4-33,,,,,,
team,201110090jax,jax,Penalties-Yards,2-15,,,,,,
team,201110090jax,cin,Third Down Conv.,8-19,,,,,,
team,201110090jax,jax,Third Down Conv.,6-16,,,,,,
team,201110090jax,cin,Fourth Down Conv.,2-3,,,,,,
team,201110090jax,jax,Fourth Down Conv.,0-0,,,,,,
team,201110090jax,cin,Time of Possession,32:33,,,,,,
team,201110090jax,jax,Time of Possession,27:27,,,,,,
player,201110090jax,cin,DaltAn00,pass_cmp,21,,,,,
player,201110090jax,cin,DaltAn00,pass_att,33,,,,,
player,201110090jax,cin,DaltAn00,pass_yds,179,,,,,
player,201110090jax,cin,DaltAn00,pass_td,2,,,,,
player,201110090jax,cin,DaltAn00,pass_int,1,,,,,
player,201110090jax,cin,DaltAn00,pass_sacked,2,,,,,
player,201110090jax,cin,DaltAn00,pass_sacked_yds,17,,,,,
player,201110090jax,cin,DaltAn00,pass_long,37,,,,,
player,201110090jax,cin,DaltAn00,pass_rating,85.3,,,,,
player,201110090jax,cin,DaltAn00,rush_att,0,,,,,
player,201110090jax,cin,DaltAn00,rush_yds,0,,,,,
player,201110090jax,cin,DaltAn00,rush_td,0,,,,,
player,201110090jax,cin,DaltAn00,rush_long,0,,,,,
player,201110090jax,cin,DaltAn00,targets,0,,,,,
player,201110090jax,cin,DaltAn00,rec,0,,,,,
player,201110090jax,cin,DaltAn00,rec_yds,0,,,,,
player,201110090jax,cin,DaltAn00,rec_td,0,,,,,
player,201110090jax,cin,DaltAn00,rec_long,0,,,,,
player,201110090jax,cin,DaltAn00,fumbles,0,,,,,
player,201110090jax,cin,DaltAn00,fumbles_lost,,,,,,
player,201110090jax,cin,BensCe00,pass_cmp,0,,,,,
player,201110090jax,cin,BensCe00,pass_att,0,,,,,
player,201110090jax,cin,BensCe00,pass_yds,0,,,,,
player,201110090jax,cin,BensCe00,pass_td,0,,,,,
player,201110090jax,cin,BensCe00,pass_int,0,,,,,
player,201110090jax,cin,BensCe00,pass_sacked,0,,,,,
player,201110090jax,cin,BensCe00,pass_sacked_yds,0,,,,,
player,201110090jax,cin,BensCe00,pass_long,0,,,,,
player,201110090jax,cin,BensCe00,pass_rating,,,,,,
player,201110090jax,cin,BensCe00,rush_att,24,,,,,
player,201110090jax,cin,BensCe00,rush_yds,53,,,,,
player,201110090jax,cin,BensCe00,rush_td,0,,,,,
player,201110090jax,cin,BensCe00,rush_long,8,,,,,
player,201110090jax,cin,BensCe00,targets,0,,,,,
player,201110090jax,cin,BensCe00,rec,0,,,,,
player,201110090jax,cin,BensCe00,rec_yds,0,,,,,
player,201110090jax,cin,BensCe00,rec_td,0,,,,,
player,201110090jax,cin,BensCe00,rec_long,0,,,,,
player,201110090jax,cin,BensCe00,fumbles,0,,,,,
player,201110090jax,cin,BensCe00,fumbles_lost,,,,,,
player,201110090jax,cin,ScotBe00,pass_cmp,0,,,,,
player,201110090jax,cin,ScotBe00,pass_att,0,,,,,
player,201110090jax,cin,ScotBe00,pass_yds,0,,,,,
player,201110090jax,cin,ScotBe00,pass_td,0,,,,,
player,201110090jax,cin,ScotBe00,pass_int,0,,,,,
player,201110090jax,cin,ScotBe00,pass_sacked,0,,,,,
player,201110090jax,cin,ScotBe00,pass_sacked_yds,0,,,,,
player,201110090jax,cin,ScotBe00,pass_long,0,,,,,
player,201110090jax,cin,ScotBe00,pass_rating,,,,,,
player,201110090jax,cin,ScotBe00,rush_att,6,,,,,
player,201110090jax,cin,ScotBe00,rush_yds,20,,,,,
player,201110090jax,cin,ScotBe00,rush_td,1,,,,,
player,201110090jax,cin,ScotBe00,rush_long,9,,,,,
player,201110090jax,cin,ScotBe00,targets,2,,,,,
player,201110090jax,cin,ScotBe00,rec,2,,,,,
player,201110090jax,cin,ScotBe00,rec_yds,-1,,,,,
player,201110090jax,cin,ScotBe00,rec_td,0,,,,,
player,201110090jax,cin,ScotBe00,rec_long,4,,,,,
player,201110090jax,cin,ScotBe00,fumbles,0,,,,,
player,201110090jax,cin,ScotBe00,fumbles_lost,,,,,,
player,201110090jax,cin,LeonBr00,pass_cmp,0,,,,,
player,201110090jax,cin,LeonBr00,pass_att,0,,,,,
player,201110090jax,cin,LeonBr00,pass_yds,0,,,,,
player,201110090jax,cin,LeonBr00,pass_td,0,,,,,
player,201110090jax,cin,LeonBr00,pass_int,0,,,,,
player,201110090jax,cin,LeonBr00,pass_sacked,0,,,,,
player,201110090jax,cin,LeonBr00,pass_sacked_yds,0,,,,,
player,201110090jax,cin,LeonBr00,pass_long,0,,,,,
player,201110090jax,cin,LeonBr00,pass_rating,,,,,,
player,201110090jax,cin,LeonBr00,rush_att,1,,,,,
player,201110090jax,cin,LeonBr00,rush_yds,4,,,,,
player,201110090jax,cin,LeonBr00,rush_td,0,,,,,
player,201110090jax,cin,LeonBr00,rush_long,4,,,,,
player,201110090jax,cin,LeonBr00,targets,3,,,,,
player,201110090jax,cin,LeonBr00,rec,1,,,,,
player,201110090jax,cin,LeonBr00,rec_yds,10,,,,,
player,201110090jax,cin,LeonBr00,rec_td,0,,,,,
player,201110090jax,cin,LeonBr00,rec_long,10,,,,,
player,201110090jax,cin,LeonBr00,fumbles,0,,,,,
player,201110090jax,cin,LeonBr00,fumbles_lost,,,,,,
player,201110090jax,cin,GreeA.00,pass_cmp,0,,,,,
player,201110090jax,cin,GreeA.00,pass_att,0,,,,,
player,201110090jax,cin,GreeA.00,pass_yds,0,,,,,
player,201110090jax,cin,GreeA.00,pass_td,0,,,,,
player,201110090jax,cin,GreeA.00,pass_int,0,,,,,
player,201110090jax,cin,GreeA.00,pass_sacked,0,,,,,
player,201110090jax,cin,GreeA.00,pass_sacked_yds,0,,,,,
player,201110090jax,cin,GreeA.00,pass_long,0,,,,,
player,201110090jax,cin,GreeA.00,pass_rating,,,,,,
player,201110090jax,cin,GreeA.00,rush_att,0,,,,,
player,201110090jax,cin,GreeA.00,rush_yds,0,,,,,
player,201110090jax,cin,GreeA.00,rush_td,0,,,,,
player,201110090jax,cin,GreeA.00,rush_long,0,,,,,
player,201110090jax,cin,GreeA.00,targets,8,,,,,
player,201110090jax,cin,GreeA.00,rec,5,,,,,
player,201110090jax,cin,GreeA.00,rec_yds,90,,,,,
player,201110090jax,cin,GreeA.00,rec_td,1,,,,,
player,201110090jax,cin,GreeA.00,rec_long,37,,,,,
player,201110090jax,cin,GreeA.00,fumbles,0,,,,,
player,201110090jax,cin,GreeA.00,fumbles_lost,,,,,,
player,201110090jax,cin,SimpJe00,pass_cmp,0,,,,,
