game,2011,5,20111009,201110090pit,oti,"Tennessee Titans",17,pit,"Pittsburgh Steelers",38
team,201110090pit,oti,First Downs,20,,,,,,
team,201110090pit,pit,First Downs,26,,,,,,
team,201110090pit,oti,Rush-Yds-TDs,18-66-1,,,,,,
team,201110090pit,pit,Rush-Yds-TDs,28-174-0,,,,,,
team,201110090pit,oti,Cmp-Att-Yd-TD-INT,29-49-262-1-1,,,,,,
team,201110090pit,pit,Cmp-Att-Yd-TD-INT,25-35-261-5-1,,,,,,
team,201110090pit,oti,Sacked-Yards,3-22,,,,,,
team,201110090pit,pit,Sacked-Yards,1-4,,,,,,
team,201110090pit,oti,Net Pass Yards,240,,,,,,
team,201110090pit,pit,Net Pass Yards,257,,,,,,
team,201110090pit,oti,Total Yards,306,,,,,,
team,201110090pit,pit,Total Yards,431,,,,,,
team,201110090pit,oti,Fumbles-Lost,1-0,,,,,,
team,201110090pit,pit,Fumbles-Lost,0-0,,,,,,
team,201110090pit,oti,Turnovers,1,,,,,,
team,201110090pit,pit,Turnovers,1,,,,,,
team,201110090pit,oti,Penalties-Yards,9-70,,,,,,
team,201110090pit,pit,Penalties-Yards,5-51,,,,,,
team,201110090pit,oti,Third Down Conv.,7-15,,,,,,
team,201110090pit,pit,Third Down Conv.,7-12,,,,,,
team,201110090pit,oti,Fourth Down Conv.,1-2,,,,,,
team,201110090pit,pit,Fourth Down Conv.,1-1,,,,,,
team,201110090pit,oti,Time of Possession,27:38,,,,,,
team,201110090pit,pit,Time of Possession,32:22,,,,,,
player,201110090pit,oti,HassMa00,pass_cmp,29,,,,,
player,201110090pit,oti,HassMa00,pass_att,49,,,,,
player,201110090pit,oti,HassMa00,pass_yds,262,,,,,
player,201110090pit,oti,HassMa00,pass_td,1,,,,,
player,201110090pit,oti,HassMa00,pass_int,1,,,,,
player,201110090pit,oti,HassMa00,pass_sacked,3,,,,,
player,201110090pit,oti,HassMa00,pass_sacked_yds,22,,,,,
player,201110090pit,oti,HassMa00,pass_long,25,,,,,
player,201110090pit,oti,HassMa00,pass_rating,72.0,,,,,
player,201110090pit,oti,HassMa00,rush_att,1,,,,,
player,201110090pit,oti,HassMa00,rush_yds,3,,,,,
player,201110090pit,oti,HassMa00,rush_td,0,,,,,
player,201110090pit,oti,HassMa00,rush_long,3,,,,,
player,201110090pit,oti,HassMa00,targets,0,,,,,
player,201110090pit,oti,HassMa00,rec,0,,,,,
player,201110090pit,oti,HassMa00,rec_yds,0,,,,,
player,201110090pit,oti,HassMa00,rec_td,0,,,,,
player,201110090pit,oti,HassMa00,rec_long,0,,,,,
player,201110090pit,oti,HassMa00,fumbles,1,,,,,
player,201110090pit,oti,HassMa00,fumbles_lost,0,,,,,
player,201110090pit,oti,JohnCh04,pass_cmp,0,,,,,
player,201110090pit,oti,JohnCh04,pass_att,0,,,,,
player,201110090pit,oti,JohnCh04,pass_yds,0,,,,,
player,201110090pit,oti,JohnCh04,pass_td,0,,,,,
player,201110090pit,oti,JohnCh04,pass_int,0,,,,,
player,201110090pit,oti,JohnCh04,pass_sacked,0,,,,,
player,201110090pit,oti,JohnCh04,pass_sacked_yds,0,,,,,
player,201110090pit,oti,JohnCh04,pass_long,0,,,,,
player,201110090pit,oti,JohnCh04,pass_rating,,,,,,
player,201110090pit,oti,JohnCh04,rush_att,14,,,,,
player,201110090pit,oti,JohnCh04,rush_yds,51,,,,,
player,201110090pit,oti,JohnCh04,rush_td,1,,,,,
player,201110090pit,oti,JohnCh04,rush_long,21,,,,,
player,201110090pit,oti,JohnCh04,targets,3,,,,,
player,201110090pit,oti,JohnCh04,rec,3,,,,,
player,201110090pit,oti,JohnCh04,rec_yds,14,,,,,
player,201110090pit,oti,JohnCh04,rec_td,0,,,,,
player,201110090pit,oti,JohnCh04,rec_long,9,,,,,
player,201110090pit,oti,JohnCh04,fumbles,0,,,,,
player,201110090pit,oti,JohnCh04,fumbles_lost,,,,,,
player,201110090pit,oti,RingJa00,pass_cmp,0,,,,,
player,201110090pit,oti,RingJa00,pass_att,0,,,,,
player,201110090pit,oti,RingJa00,pass_yds,0,,,,,
player,201110090pit,oti,RingJa00,pass_td,0,,,,,
player,201110090pit,oti,RingJa00,pass_int,0,,,,,
player,201110090pit,oti,RingJa00,pass_sacked,0,,,,,
player,201110090pit,oti,RingJa00,pass_sacked_yds,0,,,,,
player,201110090pit,oti,RingJa00,pass_long,0,,,,,
player,201110090pit,oti,RingJa00,pass_rating,,,,,,
player,201110090pit,oti,RingJa00,rush_att,3,,,,,
player,201110090pit,oti,RingJa00,rush_yds,12,,,,,
player,201110090pit,oti,RingJa00,rush_td,0,,,,,
player,201110090pit,oti,RingJa00,rush_long,5,,,,,
player,201110090pit,oti,RingJa00,targets,6,,,,,
player,201110090pit,oti,RingJa00,rec,6,,,,,
player,201110090pit,oti,RingJa00,rec_yds,16,,,,,
player,201110090pit,oti,RingJa00,rec_td,0,,,,,
player,201110090pit,oti,RingJa00,rec_long,8,,,,,
player,201110090pit,oti,RingJa00,fumbles,0,,,,,
player,201110090pit,oti,RingJa00,fumbles_lost,,,,,,
player,201110090pit,oti,WashNa00,pass_cmp,0,,,,,
player,201110090pit,oti,WashNa00,pass_att,0,,,,,
player,201110090pit,oti,WashNa00,pass_yds,0,,,,,
player,201110090pit,oti,WashNa00,pass_td,0,,,,,
player,201110090pit,oti,WashNa00,pass_int,0,,,,,
player,201110090pit,oti,WashNa00,pass_sacked,0,,,,,
player,201110090pit,oti,WashNa00,pass_sacked_yds,0,,,,,
player,201110090pit,oti,WashNa00,pass_long,0,,,,,
player,201110090pit,oti,WashNa00,pass_rating,,,,,,
player,201110090pit,oti,WashNa00,rush_att,0,,,,,
player,201110090pit,oti,WashNa00,rush_yds,0,,,,,
player,201110090pit,oti,WashNa00,rush_td,0,,,,,
player,201110090pit,oti,WashNa00,rush_long,0,,,,,
player,201110090pit,oti,WashNa00,targets,8,,,,,
player,201110090pit,oti,WashNa00,rec,5,,,,,
player,201110090pit,oti,WashNa00,rec_yds,69,,,,,
player,201110090pit,oti,WashNa00,rec_td,0,,,,,
player,201110090pit,oti,WashNa00,rec_long,25,,,,,
player,201110090pit,oti,WashNa00,fumbles,0,,,,,
player,201110090pit,oti,WashNa00,fumbles_lost,,,,,,
player,201110090pit,oti,WillDa04,pass_cmp,0,,,,,
player,201110090pit,oti,WillDa04,pass_att,0,,,,,
player,201110090pit,oti,WillDa04,pass_yds,0,,,,,
player,201110090pit,oti,WillDa04,pass_td,0,,,,,
player,201110090pit,oti,WillDa04,pass_int,0,,,,,
player,201110090pit,oti,WillDa04,pass_sacked,0,,,,,
player,201110090pit,oti,WillDa04,pass_sacked_yds,0,,,,,
player,201110090pit,oti,WillDa04,pass_long,0,,,,,
player,201110090pit,oti,WillDa04,pass_rating,,,,,,
player,201110090pit,oti,WillDa04,rush_att,0,,,,,
player,201110090pit,oti,WillDa04,rush_yds,0,,,,,
player,201110090pit,oti,WillDa04,rush_td,0,,,,,
player,201110090pit,oti,WillDa04,rush_long,0,,,,,
player,201110090pit,oti,WillDa04,targets,11,,,,,
player,201110090pit,oti,WillDa04,rec,6,,,,,
player,201110090pit,oti,WillDa04,rec_yds,66,,,,,
player,201110090pit,oti,WillDa04,rec_td,1,,,,,
player,201110090pit,oti,WillDa04,rec_long,19,,,,,
player,201110090pit,oti,WillDa04,fumbles,0,,,,,
player,201110090pit,oti,WillDa04,fumbles_lost,,,,,,
player,201110090pit,oti,CookJa02,pass_cmp,0,,,,,
player,201110090pit,oti,CookJa02,pass_att,0,,,,,
player,201110090pit,oti,CookJa02,pass_yds,0,,,,,
