game,2011,6,20111016,201110160nwe,dal,"Dallas Cowboys",16,nwe,"New England Patriots",20
team,201110160nwe,dal,First Downs,21,,,,,,
team,201110160nwe,nwe,First Downs,25,,,,,,
team,201110160nwe,dal,Rush-Yds-TDs,24-77-0,,,,,,
team,201110160nwe,nwe,Rush-Yds-TDs,25-101-0,,,,,,
team,201110160nwe,dal,Cmp-Att-Yd-TD-INT,27-41-317-1-1,,,,,,
team,201110160nwe,nwe,Cmp-Att-Yd-TD-INT,27-41-289-2-2,,,,,,
team,201110160nwe,dal,Sacked-Yards,2-17,,,,,,
team,201110160nwe,nwe,Sacked-Yards,3-19,,,,,,
team,201110160nwe,dal,Net Pass Yards,300,,,,,,
team,201110160nwe,nwe,Net Pass Yards,270,,,,,,
team,201110160nwe,dal,Total Yards,377,,,,,,
team,201110160nwe,nwe,Total Yards,371,,,,,,
team,201110160nwe,dal,Fumbles-Lost,1-1,,,,,,
team,201110160nwe,nwe,Fumbles-Lost,2-2,,,,,,
team,201110160nwe,dal,Turnovers,2,,,,,,
team,201110160nwe,nwe,Turnovers,4,,,,,,
team,201110160nwe,dal,Penalties-Yards,10-77,,,,,,
team,201110160nwe,nwe,Penalties-Yards,5-35,,,,,,
team,201110160nwe,dal,Third Down Conv.,4-12,,,,,,
team,201110160nwe,nwe,Third Down Conv.,8-13,,,,,,
team,201110160nwe,dal,Fourth Down Conv.,0-0,,,,,,
team,201110160nwe,nwe,Fourth Down Conv.,0-0,,,,,,
team,201110160nwe,dal,Time of Possession,32:49,,,,,,
team,201110160nwe,nwe,Time of Possession,27:11,,,,,,
player,201110160nwe,dal,RomoTo00,pass_cmp,27,,,,,
player,201110160nwe,dal,RomoTo00,pass_att,41,,,,,
player,201110160nwe,dal,RomoTo00,pass_yds,317,,,,,
player,201110160nwe,dal,RomoTo00,pass_td,1,,,,,
player,201110160nwe,dal,RomoTo00,pass_int,1,,,,,
player,201110160nwe,dal,RomoTo00,pass_sacked,2,,,,,
player,201110160nwe,dal,RomoTo00,pass_sacked_yds,17,,,,,
player,201110160nwe,dal,RomoTo00,pass_long,33,,,,,
player,201110160nwe,dal,RomoTo00,pass_rating,87.1,,,,,
player,201110160nwe,dal,RomoTo00,rush_att,1,,,,,
player,201110160nwe,dal,RomoTo00,rush_yds,17,,,,,
player,201110160nwe,dal,RomoTo00,rush_td,0,,,,,
player,201110160nwe,dal,RomoTo00,rush_long,17,,,,,
player,201110160nwe,dal,RomoTo00,targets,0,,,,,
player,201110160nwe,dal,RomoTo00,rec,0,,,,,
player,201110160nwe,dal,RomoTo00,rec_yds,0,,,,,
player,201110160nwe,dal,RomoTo00,rec_td,0,,,,,
player,201110160nwe,dal,RomoTo00,rec_long,0,,,,,
player,201110160nwe,dal,RomoTo00,fumbles,0,,,,,
player,201110160nwe,dal,RomoTo00,fumbles_lost,,,,,,
player,201110160nwe,dal,MurrDe00,pass_cmp,0,,,,,
player,201110160nwe,dal,MurrDe00,pass_att,0,,,,,
player,201110160nwe,dal,MurrDe00,pass_yds,0,,,,,
player,201110160nwe,dal,MurrDe00,pass_td,0,,,,,
player,201110160nwe,dal,MurrDe00,pass_int,0,,,,,
player,201110160nwe,dal,MurrDe00,pass_sacked,0,,,,,
player,201110160nwe,dal,MurrDe00,pass_sacked_yds,0,,,,,
player,201110160nwe,dal,MurrDe00,pass_long,0,,,,,
player,201110160nwe,dal,MurrDe00,pass_rating,,,,,,
player,201110160nwe,dal,MurrDe00,rush_att,11,,,,,
player,201110160nwe,dal,MurrDe00,rush_yds,34,,,,,
player,201110160nwe,dal,MurrDe00,rush_td,0,,,,,
player,201110160nwe,dal,MurrDe00,rush_long,8,,,,,
player,201110160nwe,dal,MurrDe00,targets,2,,,,,
player,201110160nwe,dal,MurrDe00,rec,1,,,,,
player,201110160nwe,dal,MurrDe00,rec_yds,7,,,,,
player,201110160nwe,dal,MurrDe00,rec_td,0,,,,,
player,201110160nwe,dal,MurrDe00,rec_long,7,,,,,
player,201110160nwe,dal,MurrDe00,fumbles,0,,,,,
player,201110160nwe,dal,MurrDe00,fumbles_lost,,,,,,
player,201110160nwe,dal,ChoiTa00,pass_cmp,0,,,,,
player,201110160nwe,dal,ChoiTa00,pass_att,0,,,,,
player,201110160nwe,dal,ChoiTa00,pass_yds,0,,,,,
player,201110160nwe,dal,ChoiTa00,pass_td,0,,,,,
player,201110160nwe,dal,ChoiTa00,pass_int,0,,,,,
player,201110160nwe,dal,ChoiTa00,pass_sacked,0,,,,,
player,201110160nwe,dal,ChoiTa00,pass_sacked_yds,0,,,,,
player,201110160nwe,dal,ChoiTa00,pass_long,0,,,,,
player,201110160nwe,dal,ChoiTa00,pass_rating,,,,,,
player,201110160nwe,dal,ChoiTa00,rush_att,5,,,,,
player,201110160nwe,dal,ChoiTa00,rush_yds,14,,,,,
player,201110160nwe,dal,ChoiTa00,rush_td,0,,,,,
player,201110160nwe,dal,ChoiTa00,rush_long,8,,,,,
player,201110160nwe,dal,ChoiTa00,targets,5,,,,,
player,201110160nwe,dal,ChoiTa00,rec,3,,,,,
player,201110160nwe,dal,ChoiTa00,rec_yds,16,,,,,
player,201110160nwe,dal,ChoiTa00,rec_td,0,,,,,
player,201110160nwe,dal,ChoiTa00,rec_long,14,,,,,
player,201110160nwe,dal,ChoiTa00,fumbles,1,,,,,
player,201110160nwe,dal,ChoiTa00,fumbles_lost,1,,,,,
player,201110160nwe,dal,JoneFe00,pass_cmp,0,,,,,
player,201110160nwe,dal,JoneFe00,pass_att,0,,,,,
player,201110160nwe,dal,JoneFe00,pass_yds,0,,,,,
player,201110160nwe,dal,JoneFe00,pass_td,0,,,,,
player,201110160nwe,dal,JoneFe00,pass_int,0,,,,,
player,201110160nwe,dal,JoneFe00,pass_sacked,0,,,,,
player,201110160nwe,dal,JoneFe00,pass_sacked_yds,0,,,,,
player,201110160nwe,dal,JoneFe00,pass_long,0,,,,,
player,201110160nwe,dal,JoneFe00,pass_rating,,,,,,
player,201110160nwe,dal,JoneFe00,rush_att,7,,,,,
player,201110160nwe,dal,JoneFe00,rush_yds,12,,,,,
player,201110160nwe,dal,JoneFe00,rush_td,0,,,,,
player,201110160nwe,dal,JoneFe00,rush_long,4,,,,,
player,201110160nwe,dal,JoneFe00,targets,4,,,,,
player,201110160nwe,dal,JoneFe00,rec,2,,,,,
player,201110160nwe,dal,JoneFe00,rec_yds,19,,,,,
player,201110160nwe,dal,JoneFe00,rec_td,0,,,,,
player,201110160nwe,dal,JoneFe00,rec_long,12,,,,,
player,201110160nwe,dal,JoneFe00,fumbles,0,,,,,
player,201110160nwe,dal,JoneFe00,fumbles_lost,,,,,,
player,201110160nwe,dal,BryaDe01,pass_cmp,0,,,,,
player,201110160nwe,dal,BryaDe01,pass_att,0,,,,,
player,201110160nwe,dal,BryaDe01,pass_yds,0,,,,,
player,201110160nwe,dal,BryaDe01,pass_td,0,,,,,
player,201110160nwe,dal,BryaDe01,pass_int,0,,,,,
player,201110160nwe,dal,BryaDe01,pass_sacked,0,,,,,
player,201110160nwe,dal,BryaDe01,pass_sacked_yds,0,,,,,
player,201110160nwe,dal,BryaDe01,pass_long,0,,,,,
player,201110160nwe,dal,BryaDe01,pass_rating,,,,,,
player,201110160nwe,dal,BryaDe01,rush_att,0,,,,,
player,201110160nwe,dal,BryaDe01,rush_yds,0,,,,,
player,201110160nwe,dal,BryaDe01,rush_td,0,,,,,
player,201110160nwe,dal,BryaDe01,rush_long,0,,,,,
player,201110160nwe,dal,BryaDe01,targets,8,,,,,
player,201110160nwe,dal,BryaDe01,rec,4,,,,,
player,201110160nwe,dal,BryaDe01,rec_yds,78,,,,,
player,201110160nwe,dal,BryaDe01,rec_td,0,,,,,
player,201110160nwe,dal,BryaDe01,rec_long,33,,,,,
