game,2011,7,20111023,201110230det,atl,"Atlanta Falcons",23,det,"Detroit Lions",16
team,201110230det,atl,First Downs,22,,,,,,
team,201110230det,det,First Downs,13,,,,,,
team,201110230det,atl,Rush-Yds-TDs,31-129-1,,,,,,
team,201110230det,det,Rush-Yds-TDs,20-104-0,,,,,,
team,201110230det,atl,Cmp-Att-Yd-TD-INT,20-35-218-1-2,,,,,,
team,201110230det,det,Cmp-Att-Yd-TD-INT,15-32-183-1-0,,,,,,
team,201110230det,atl,Sacked-Yards,3-19,,,,,,
team,201110230det,det,Sacked-Yards,3-24,,,,,,
team,201110230det,atl,Net Pass Yards,199,,,,,,
team,201110230det,det,Net Pass Yards,159,,,,,,
team,201110230det,atl,Total Yards,328,,,,,,
team,201110230det,det,Total Yards,263,,,,,,
team,201110230det,atl,Fumbles-Lost,0-0,,,,,,
team,201110230det,det,Fumbles-Lost,2-1,,,,,,
team,201110230det,atl,Turnovers,2,,,,,,
team,201110230det,det,Turnovers,1,,,,,,
team,201110230det,atl,Penalties-Yards,11-80,,,,,,
team,201110230det,det,Penalties-Yards,10-84,,,,,,
team,201110230det,atl,Third Down Conv.,7-17,,,,,,
team,201110230det,det,Third Down Conv.,1-12,,,,,,
team,201110230det,atl,Fourth Down Conv.,0-0,,,,,,
team,201110230det,det,Fourth Down Conv.,1-2,,,,,,
team,201110230det,atl,Time of Possession,34:57,,,,,,
team,201110230det,det,Time of Possession,25:03,,,,,,
player,201110230det,atl,RyanMa00,pass_cmp,20,,,,,
player,201110230det,atl,RyanMa00,pass_att,34,,,,,
player,201110230det,atl,RyanMa00,pass_yds,218,,,,,
player,201110230det,atl,RyanMa00,pass_td,1,,,,,
player,201110230det,atl,RyanMa00,pass_int,2,,,,,
player,201110230det,atl,RyanMa00,pass_sacked,3,,,,,
player,201110230det,atl,RyanMa00,pass_sacked_yds,19,,,,,
player,201110230det,atl,RyanMa00,pass_long,49,,,,,
player,201110230det,atl,RyanMa00,pass_rating,63.1,,,,,
player,201110230det,atl,RyanMa00,rush_att,3,,,,,
player,201110230det,atl,RyanMa00,rush_yds,2,,,,,
player,201110230det,atl,RyanMa00,rush_td,1,,,,,
player,201110230det,atl,RyanMa00,rush_long,2,,,,,
player,201110230det,atl,RyanMa00,targets,0,,,,,
player,201110230det,atl,RyanMa00,rec,0,,,,,
player,201110230det,atl,RyanMa00,rec_yds,0,,,,,
player,201110230det,atl,RyanMa00,rec_td,0,,,,,
player,201110230det,atl,RyanMa00,rec_long,0,,,,,
player,201110230det,atl,RyanMa00,fumbles,0,,,,,
player,201110230det,atl,RyanMa00,fumbles_lost,,,,,,
player,201110230det,atl,RedmCh00,pass_cmp,0,,,,,
player,201110230det,atl,RedmCh00,pass_att,1,,,,,
player,201110230det,atl,RedmCh00,pass_yds,0,,,,,
player,201110230det,atl,RedmCh00,pass_td,0,,,,,
player,201110230det,atl,RedmCh00,pass_int,0,,,,,
player,201110230det,atl,RedmCh00,pass_sacked,0,,,,,
player,201110230det,atl,RedmCh00,pass_sacked_yds,0,,,,,
player,201110230det,atl,RedmCh00,pass_long,0,,,,,
player,201110230det,atl,RedmCh00,pass_rating,39.6,,,,,
player,201110230det,atl,RedmCh00,rush_att,0,,,,,
player,201110230det,atl,RedmCh00,rush_yds,0,,,,,
player,201110230det,atl,RedmCh00,rush_td,0,,,,,
player,201110230det,atl,RedmCh00,rush_long,0,,,,,
player,201110230det,atl,RedmCh00,targets,0,,,,,
player,201110230det,atl,RedmCh00,rec,0,,,,,
player,201110230det,atl,RedmCh00,rec_yds,0,,,,,
player,201110230det,atl,RedmCh00,rec_td,0,,,,,
player,201110230det,atl,RedmCh00,rec_long,0,,,,,
player,201110230det,atl,RedmCh00,fumbles,0,,,,,
player,201110230det,atl,RedmCh00,fumbles_lost,,,,,,
player,201110230det,atl,TurnMi00,pass_cmp,0,,,,,
player,201110230det,atl,TurnMi00,pass_att,0,,,,,
player,201110230det,atl,TurnMi00,pass_yds,0,,,,,
player,201110230det,atl,TurnMi00,pass_td,0,,,,,
player,201110230det,atl,TurnMi00,pass_int,0,,,,,
player,201110230det,atl,TurnMi00,pass_sacked,0,,,,,
player,201110230det,atl,TurnMi00,pass_sacked_yds,0,,,,,
player,201110230det,atl,TurnMi00,pass_long,0,,,,,
player,201110230det,atl,TurnMi00,pass_rating,,,,,,
player,201110230det,atl,TurnMi00,rush_att,27,,,,,
player,201110230det,atl,TurnMi00,rush_yds,122,,,,,
player,201110230det,atl,TurnMi00,rush_td,0,,,,,
player,201110230det,atl,TurnMi00,rush_long,50,,,,,
player,201110230det,atl,TurnMi00,targets,1,,,,,
player,201110230det,atl,TurnMi00,rec,0,,,,,
player,201110230det,atl,TurnMi00,rec_yds,0,,,,,
player,201110230det,atl,TurnMi00,rec_td,0,,,,,
player,201110230det,atl,TurnMi00,rec_long,0,,,,,
player,201110230det,atl,TurnMi00,fumbles,0,,,,,
player,201110230det,atl,TurnMi00,fumbles_lost,,,,,,
player,201110230det,atl,RodgJa00,pass_cmp,0,,,,,
player,201110230det,atl,RodgJa00,pass_att,0,,,,,
player,201110230det,atl,RodgJa00,pass_yds,0,,,,,
player,201110230det,atl,RodgJa00,pass_td,0,,,,,
player,201110230det,atl,RodgJa00,pass_int,0,,,,,
player,201110230det,atl,RodgJa00,pass_sacked,0,,,,,
player,201110230det,atl,RodgJa00,pass_sacked_yds,0,,,,,
player,201110230det,atl,RodgJa00,pass_long,0,,,,,
player,201110230det,atl,RodgJa00,pass_rating,,,,,,
player,201110230det,atl,RodgJa00,rush_att,1,,,,,
player,201110230det,atl,RodgJa00,rush_yds,5,,,,,
player,201110230det,atl,RodgJa00,rush_td,0,,,,,
player,201110230det,atl,RodgJa00,rush_long,5,,,,,
player,201110230det,atl,RodgJa00,targets,4,,,,,
player,201110230det,atl,RodgJa00,rec,3,,,,,
player,201110230det,atl,RodgJa00,rec_yds,12,,,,,
player,201110230det,atl,RodgJa00,rec_td,0,,,,,
player,201110230det,atl,RodgJa00,rec_long,8,,,,,
player,201110230det,atl,RodgJa00,fumbles,0,,,,,
player,201110230det,atl,RodgJa00,fumbles_lost,,,,,,
player,201110230det,atl,DougHa00,pass_cmp,0,,,,,
player,201110230det,atl,DougHa00,pass_att,0,,,,,
player,201110230det,atl,DougHa00,pass_yds,0,,,,,
player,201110230det,atl,DougHa00,pass_td,0,,,,,
player,201110230det,atl,DougHa00,pass_int,0,,,,,
player,201110230det,atl,DougHa00,pass_sacked,0,,,,,
player,201110230det,atl,DougHa00,pass_sacked_yds,0,,,,,
player,201110230det,atl,DougHa00,pass_long,0,,,,,
player,201110230det,atl,DougHa00,pass_rating,,,,,,
player,201110230det,atl,DougHa00,rush_att,0,,,,,
player,201110230det,atl,DougHa00,rush_yds,0,,,,,
player,201110230det,atl,DougHa00,rush_td,0,,,,,
player,201110230det,atl,DougHa00,rush_long,0,,,,,
player,201110230det,atl,DougHa00,targets,7,,,,,
player,201110230det,atl,DougHa00,rec,4,,,,,
player,201110230det,atl,DougHa00,rec_yds,62,,,,,
player,201110230det,atl,DougHa00,rec_td,0,,,,,
player,201110230det,atl,DougHa00,rec_long,49,,,,,
player,201110230det,atl,DougHa00,fumbles,0,,,,,
player,201110230det,atl,DougHa00,fumbles_lost,,,,,,
player,201110230det,atl,GonzTo00,pass_cmp,0,,,,,
player,201110230det,atl,GonzTo00,pass_att,0,,,,,
player,201110230det,atl,GonzTo00,pass_yds,0,,,,,
player,201110230det,atl,GonzTo00,pass_td,0,,,,,
player,201110230det,atl,GonzTo00,pass_int,0,,,,,
player,201110230det,atl,GonzTo00,pass_sacked,0,,,,,
player,201110230det,atl,GonzTo00,pass_sacked_yds,0,,,,,
player,201110230det,atl,GonzTo00,pass_long,0,,,,,
player,201110230det,atl,GonzTo00,pass_rating,,,,,,
player,201110230det,atl,GonzTo00,rush_att,0,,,,,
