game,2011,8,20111030,201110300nyg,mia,"Miami Dolphins",17,nyg,"New York Giants",20
team,201110300nyg,mia,First Downs,18,,,,,,
team,201110300nyg,nyg,First Downs,21,,,,,,
team,201110300nyg,mia,Rush-Yds-TDs,26-145-2,,,,,,
team,201110300nyg,nyg,Rush-Yds-TDs,23-58-0,,,,,,
team,201110300nyg,mia,Cmp-Att-Yd-TD-INT,13-22-138-0-1,,,,,,
team,201110300nyg,nyg,Cmp-Att-Yd-TD-INT,31-45-349-2-0,,,,,,
team,201110300nyg,mia,Sacked-Yards,5-37,,,,,,
team,201110300nyg,nyg,Sacked-Yards,1-5,,,,,,
team,201110300nyg,mia,Net Pass Yards,101,,,,,,
team,201110300nyg,nyg,Net Pass Yards,344,,,,,,
team,201110300nyg,mia,Total Yards,246,,,,,,
team,201110300nyg,nyg,Total Yards,402,,,,,,
team,201110300nyg,mia,Fumbles-Lost,0-0,,,,,,
team,201110300nyg,nyg,Fumbles-Lost,1-0,,,,,,
team,201110300nyg,mia,Turnovers,1,,,,,,
team,201110300nyg,nyg,Turnovers,0,,,,,,
team,201110300nyg,mia,Penalties-Yards,4-30,,,,,,
team,201110300nyg,nyg,Penalties-Yards,7-46,,,,,,
team,201110300nyg,mia,Third Down Conv.,5-13,,,,,,
team,201110300nyg,nyg,Third Down Conv.,8-16,,,,,,
team,201110300nyg,mia,Fourth Down Conv.,1-2,,,,,,
team,201110300nyg,nyg,Fourth Down Conv.,0-1,,,,,,
team,201110300nyg,mia,Time of Possession,27:34,,,,,,
team,201110300nyg,nyg,Time of Possession,32:26,,,,,,
player,201110300nyg,mia,MoorMa01,pass_cmp,13,,,,,
player,201110300nyg,mia,MoorMa01,pass_att,22,,,,,
player,201110300nyg,mia,MoorMa01,pass_yds,138,,,,,
player,201110300nyg,mia,MoorMa01,pass_td,0,,,,,
player,201110300nyg,mia,MoorMa01,pass_int,1,,,,,
player,201110300nyg,mia,MoorMa01,pass_sacked,5,,,,,
player,201110300nyg,mia,MoorMa01,pass_sacked_yds,37,,,,,
