game,2011,9,20111106,201111060oti,cin,"Cincinnati Bengals",24,oti,"Tennessee Titans",17
team,201111060oti,cin,First Downs,20,,,,,,
team,201111060oti,oti,First Downs,19,,,,,,
team,201111060oti,cin,Rush-Yds-TDs,30-109-0,,,,,,
team,201111060oti,oti,Rush-Yds-TDs,20-78-0,,,,,,
team,201111060oti,cin,Cmp-Att-Yd-TD-INT,22-39-217-3-0,,,,,,
team,201111060oti,oti,Cmp-Att-Yd-TD-INT,24-41-272-2-0,,,,,,
team,201111060oti,cin,Sacked-Yards,1-7,,,,,,
team,201111060oti,oti,Sacked-Yards,2-22,,,,,,
team,201111060oti,cin,Net Pass Yards,210,,,,,,
team,201111060oti,oti,Net Pass Yards,250,,,,,,
team,201111060oti,cin,Total Yards,319,,,,,,
team,201111060oti,oti,Total Yards,328,,,,,,
team,201111060oti,cin,Fumbles-Lost,1-0,,,,,,
team,201111060oti,oti,Fumbles-Lost,3-1,,,,,,
team,201111060oti,cin,Turnovers,0,,,,,,
team,201111060oti,oti,Turnovers,1,,,,,,
team,201111060oti,cin,Penalties-Yards,9-87,,,,,,
team,201111060oti,oti,Penalties-Yards,7-100,,,,,,
team,201111060oti,cin,Third Down Conv.,8-16,,,,,,
team,201111060oti,oti,Third Down Conv.,5-14,,,,,,
team,201111060oti,cin,Fourth Down Conv.,0-0,,,,,,
team,201111060oti,oti,Fourth Down Conv.,1-1,,,,,,
team,201111060oti,cin,Time of Possession,32:55,,,,,,
team,201111060oti,oti,Time of Possession,27:05,,,,,,
player,201111060oti,cin,DaltAn00,pass_cmp,22,,,,,
player,201111060oti,cin,DaltAn00,pass_att,39,,,,,
player,201111060oti,cin,DaltAn00,pass_yds,217,,,,,
player,201111060oti,cin,DaltAn00,pass_td,3,,,,,
player,201111060oti,cin,DaltAn00,pass_int,0,,,,,
player,201111060oti,cin,DaltAn00,pass_sacked,1,,,,,
player,201111060oti,cin,DaltAn00,pass_sacked_yds,7,,,,,
player,201111060oti,cin,DaltAn00,pass_long,25,,,,,
player,201111060oti,cin,DaltAn00,pass_rating,97.9,,,,,
player,201111060oti,cin,DaltAn00,rush_att,3,,,,,
player,201111060oti,cin,DaltAn00,rush_yds,4,,,,,
player,201111060oti,cin,DaltAn00,rush_td,0,,,,,
player,201111060oti,cin,DaltAn00,rush_long,3,,,,,
player,201111060oti,cin,DaltAn00,targets,0,,,,,
player,201111060oti,cin,DaltAn00,rec,0,,,,,
player,201111060oti,cin,DaltAn00,rec_yds,0,,,,,
player,201111060oti,cin,DaltAn00,rec_td,0,,,,,
player,201111060oti,cin,DaltAn00,rec_long,0,,,,,
player,201111060oti,cin,DaltAn00,fumbles,0,,,,,
player,201111060oti,cin,DaltAn00,fumbles_lost,,,,,,
player,201111060oti,cin,BensCe00,pass_cmp,0,,,,,
player,201111060oti,cin,BensCe00,pass_att,0,,,,,
player,201111060oti,cin,BensCe00,pass_yds,0,,,,,
player,201111060oti,cin,BensCe00,pass_td,0,,,,,
player,201111060oti,cin,BensCe00,pass_int,0,,,,,
player,201111060oti,cin,BensCe00,pass_sacked,0,,,,,
player,201111060oti,cin,BensCe00,pass_sacked_yds,0,,,,,
player,201111060oti,cin,BensCe00,pass_long,0,,,,,
player,201111060oti,cin,BensCe00,pass_rating,,,,,,
player,201111060oti,cin,BensCe00,rush_att,20,,,,,
player,201111060oti,cin,BensCe00,rush_yds,78,,,,,
player,201111060oti,cin,BensCe00,rush_td,0,,,,,
player,201111060oti,cin,BensCe00,rush_long,16,,,,,
player,201111060oti,cin,BensCe00,targets,0,,,,,
player,201111060oti,cin,BensCe00,rec,0,,,,,
player,201111060oti,cin,BensCe00,rec_yds,0,,,,,
player,201111060oti,cin,BensCe00,rec_td,0,,,,,
player,201111060oti,cin,BensCe00,rec_long,0,,,,,
player,201111060oti,cin,BensCe00,fumbles,0,,,,,
player,201111060oti,cin,BensCe00,fumbles_lost,,,,,,
player,201111060oti,cin,ScotBe00,pass_cmp,0,,,,,
player,201111060oti,cin,ScotBe00,pass_att,0,,,,,
player,201111060oti,cin,ScotBe00,pass_yds,0,,,,,
player,201111060oti,cin,ScotBe00,pass_td,0,,,,,
player,201111060oti,cin,ScotBe00,pass_int,0,,,,,
player,201111060oti,cin,ScotBe00,pass_sacked,0,,,,,
player,201111060oti,cin,ScotBe00,pass_sacked_yds,0,,,,,
player,201111060oti,cin,ScotBe00,pass_long,0,,,,,
player,201111060oti,cin,ScotBe00,pass_rating,,,,,,
player,201111060oti,cin,ScotBe00,rush_att,6,,,,,
player,201111060oti,cin,ScotBe00,rush_yds,24,,,,,
player,201111060oti,cin,ScotBe00,rush_td,0,,,,,
player,201111060oti,cin,ScotBe00,rush_long,7,,,,,
player,201111060oti,cin,ScotBe00,targets,1,,,,,
player,201111060oti,cin,ScotBe00,rec,0,,,,,
player,201111060oti,cin,ScotBe00,rec_yds,0,,,,,
player,201111060oti,cin,ScotBe00,rec_td,0,,,,,
player,201111060oti,cin,ScotBe00,rec_long,0,,,,,
player,201111060oti,cin,ScotBe00,fumbles,0,,,,,
player,201111060oti,cin,ScotBe00,fumbles_lost,,,,,,
player,201111060oti,cin,LeonBr00,pass_cmp,0,,,,,
player,201111060oti,cin,LeonBr00,pass_att,0,,,,,
player,201111060oti,cin,LeonBr00,pass_yds,0,,,,,
player,201111060oti,cin,LeonBr00,pass_td,0,,,,,
player,201111060oti,cin,LeonBr00,pass_int,0,,,,,
player,201111060oti,cin,LeonBr00,pass_sacked,0,,,,,
player,201111060oti,cin,LeonBr00,pass_sacked_yds,0,,,,,
player,201111060oti,cin,LeonBr00,pass_long,0,,,,,
player,201111060oti,cin,LeonBr00,pass_rating,,,,,,
player,201111060oti,cin,LeonBr00,rush_att,1,,,,,
player,201111060oti,cin,LeonBr00,rush_yds,3,,,,,
player,201111060oti,cin,LeonBr00,rush_td,0,,,,,
player,201111060oti,cin,LeonBr00,rush_long,3,,,,,
player,201111060oti,cin,LeonBr00,targets,2,,,,,
player,201111060oti,cin,LeonBr00,rec,0,,,,,
player,201111060oti,cin,LeonBr00,rec_yds,0,,,,,
player,201111060oti,cin,LeonBr00,rec_td,0,,,,,
player,201111060oti,cin,LeonBr00,rec_long,0,,,,,
player,201111060oti,cin,LeonBr00,fumbles,0,,,,,
player,201111060oti,cin,LeonBr00,fumbles_lost,,,,,,
player,201111060oti,cin,GreeA.00,pass_cmp,0,,,,,
player,201111060oti,cin,GreeA.00,pass_att,0,,,,,
player,201111060oti,cin,GreeA.00,pass_yds,0,,,,,
player,201111060oti,cin,GreeA.00,pass_td,0,,,,,
player,201111060oti,cin,GreeA.00,pass_int,0,,,,,
player,201111060oti,cin,GreeA.00,pass_sacked,0,,,,,
player,201111060oti,cin,GreeA.00,pass_sacked_yds,0,,,,,
player,201111060oti,cin,GreeA.00,pass_long,0,,,,,
player,201111060oti,cin,GreeA.00,pass_rating,,,,,,
player,201111060oti,cin,GreeA.00,rush_att,0,,,,,
player,201111060oti,cin,GreeA.00,rush_yds,0,,,,,
player,201111060oti,cin,GreeA.00,rush_td,0,,,,,
player,201111060oti,cin,GreeA.00,rush_long,0,,,,,
player,201111060oti,cin,GreeA.00,targets,7,,,,,
player,201111060oti,cin,GreeA.00,rec,7,,,,,
player,201111060oti,cin,GreeA.00,rec_yds,83,,,,,
player,201111060oti,cin,GreeA.00,rec_td,0,,,,,
player,201111060oti,cin,GreeA.00,rec_long,23,,,,,
player,201111060oti,cin,GreeA.00,fumbles,0,,,,,
player,201111060oti,cin,GreeA.00,fumbles_lost,,,,,,
player,201111060oti,cin,LeexDo00,pass_cmp,0,,,,,
player,201111060oti,cin,LeexDo00,pass_att,0,,,,,
player,201111060oti,cin,LeexDo00,pass_yds,0,,,,,
player,201111060oti,cin,LeexDo00,pass_td,0,,,,,
player,201111060oti,cin,LeexDo00,pass_int,0,,,,,
player,201111060oti,cin,LeexDo00,pass_sacked,0,,,,,
player,201111060oti,cin,LeexDo00,pass_sacked_yds,0,,,,,
player,201111060oti,cin,LeexDo00,pass_long,0,,,,,
player,201111060oti,cin,LeexDo00,pass_rating,,,,,,
player,201111060oti,cin,LeexDo00,rush_att,0,,,,,
player,201111060oti,cin,LeexDo00,rush_yds,0,,,,,
player,201111060oti,cin,LeexDo00,rush_td,0,,,,,
player,201111060oti,cin,LeexDo00,rush_long,0,,,,,
player,201111060oti,cin,LeexDo00,targets,4,,,,,
player,201111060oti,cin,LeexDo00,rec,3,,,,,
player,201111060oti,cin,LeexDo00,rec_yds,49,,,,,
player,201111060oti,cin,LeexDo00,rec_td,0,,,,,
player,201111060oti,cin,LeexDo00,rec_long,25,,,,,
player,201111060oti,cin,LeexDo00,fumbles,0,,,,,
player,201111060oti,cin,LeexDo00,fumbles_lost,,,,,,
player,201111060oti,cin,SimpJe00,pass_cmp,0,,,,,
player,201111060oti,cin,SimpJe00,pass_att,0,,,,,
player,201111060oti,cin,SimpJe00,pass_yds,0,,,,,
player,201111060oti,cin,SimpJe00,pass_td,0,,,,,
player,201111060oti,cin,SimpJe00,pass_int,0,,,,,
player,201111060oti,cin,SimpJe00,pass_sacked,0,,,,,
player,201111060oti,cin,SimpJe00,pass_sacked_yds,0,,,,,
player,201111060oti,cin,SimpJe00,pass_long,0,,,,,
player,201111060oti,cin,SimpJe00,pass_rating,,,,,,
player,201111060oti,cin,SimpJe00,rush_att,0,,,,,
player,201111060oti,cin,SimpJe00,rush_yds,0,,,,,
player,201111060oti,cin,SimpJe00,rush_td,0,,,,,
player,201111060oti,cin,SimpJe00,rush_long,0,,,,,
player,201111060oti,cin,SimpJe00,targets,10,,,,,
player,201111060oti,cin,SimpJe00,rec,3,,,,,
player,201111060oti,cin,SimpJe00,rec_yds,43,,,,,
player,201111060oti,cin,SimpJe00,rec_td,1,,,,,
player,201111060oti,cin,SimpJe00,rec_long,18,,,,,
player,201111060oti,cin,SimpJe00,fumbles,0,,,,,
player,201111060oti,cin,SimpJe00,fumbles_lost,,,,,,
player,201111060oti,cin,CaldAn00,pass_cmp,0,,,,,
player,201111060oti,cin,CaldAn00,pass_att,0,,,,,
player,201111060oti,cin,CaldAn00,pass_yds,0,,,,,
player,201111060oti,cin,CaldAn00,pass_td,0,,,,,
player,201111060oti,cin,CaldAn00,pass_int,0,,,,,
player,201111060oti,cin,CaldAn00,pass_sacked,0,,,,,
