game,2011,10,20111113,201111130sfo,nyg,"New York Giants",20,sfo,"San Francisco 49ers",27
team,201111130sfo,nyg,First Downs,21,,,,,,
team,201111130sfo,sfo,First Downs,16,,,,,,
team,201111130sfo,nyg,Rush-Yds-TDs,29-93-0,,,,,,
team,201111130sfo,sfo,Rush-Yds-TDs,20-77-1,,,,,,
team,201111130sfo,nyg,Cmp-Att-Yd-TD-INT,26-40-311-2-2,,,,,,
team,201111130sfo,sfo,Cmp-Att-Yd-TD-INT,19-30-242-1-1,,,,,,
team,201111130sfo,nyg,Sacked-Yards,1-9,,,,,,
team,201111130sfo,sfo,Sacked-Yards,2-14,,,,,,
team,201111130sfo,nyg,Net Pass Yards,302,,,,,,
team,201111130sfo,sfo,Net Pass Yards,228,,,,,,
team,201111130sfo,nyg,Total Yards,395,,,,,,
team,201111130sfo,sfo,Total Yards,305,,,,,,
team,201111130sfo,nyg,Fumbles-Lost,0-0,,,,,,
team,201111130sfo,sfo,Fumbles-Lost,0-0,,,,,,
team,201111130sfo,nyg,Turnovers,2,,,,,,
team,201111130sfo,sfo,Turnovers,1,,,,,,
team,201111130sfo,nyg,Penalties-Yards,6-45,,,,,,
team,201111130sfo,sfo,Penalties-Yards,5-35,,,,,,
team,201111130sfo,nyg,Third Down Conv.,7-14,,,,,,
team,201111130sfo,sfo,Third Down Conv.,3-11,,,,,,
team,201111130sfo,nyg,Fourth Down Conv.,2-3,,,,,,
team,201111130sfo,sfo,Fourth Down Conv.,0-0,,,,,,
team,201111130sfo,nyg,Time of Possession,34:36,,,,,,
team,201111130sfo,sfo,Time of Possession,25:24,,,,,,
player,201111130sfo,nyg,MannEl00,pass_cmp,26,,,,,
player,201111130sfo,nyg,MannEl00,pass_att,40,,,,,
player,201111130sfo,nyg,MannEl00,pass_yds,311,,,,,
player,201111130sfo,nyg,MannEl00,pass_td,2,,,,,
player,201111130sfo,nyg,MannEl00,pass_int,2,,,,,
player,201111130sfo,nyg,MannEl00,pass_sacked,1,,,,,
player,201111130sfo,nyg,MannEl00,pass_sacked_yds,9,,,,,
player,201111130sfo,nyg,MannEl00,pass_long,36,,,,,
player,201111130sfo,nyg,MannEl00,pass_rating,84.5,,,,,
player,201111130sfo,nyg,MannEl00,rush_att,2,,,,,
player,201111130sfo,nyg,MannEl00,rush_yds,4,,,,,
player,201111130sfo,nyg,MannEl00,rush_td,0,,,,,
player,201111130sfo,nyg,MannEl00,rush_long,3,,,,,
player,201111130sfo,nyg,MannEl00,targets,0,,,,,
player,201111130sfo,nyg,MannEl00,rec,0,,,,,
player,201111130sfo,nyg,MannEl00,rec_yds,0,,,,,
player,201111130sfo,nyg,MannEl00,rec_td,0,,,,,
player,201111130sfo,nyg,MannEl00,rec_long,0,,,,,
player,201111130sfo,nyg,MannEl00,fumbles,0,,,,,
player,201111130sfo,nyg,MannEl00,fumbles_lost,,,,,,
player,201111130sfo,nyg,JacoBr00,pass_cmp,0,,,,,
player,201111130sfo,nyg,JacoBr00,pass_att,0,,,,,
player,201111130sfo,nyg,JacoBr00,pass_yds,0,,,,,
player,201111130sfo,nyg,JacoBr00,pass_td,0,,,,,
player,201111130sfo,nyg,JacoBr00,pass_int,0,,,,,
player,201111130sfo,nyg,JacoBr00,pass_sacked,0,,,,,
player,201111130sfo,nyg,JacoBr00,pass_sacked_yds,0,,,,,
player,201111130sfo,nyg,JacoBr00,pass_long,0,,,,,
player,201111130sfo,nyg,JacoBr00,pass_rating,,,,,,
player,201111130sfo,nyg,JacoBr00,rush_att,18,,,,,
player,201111130sfo,nyg,JacoBr00,rush_yds,55,,,,,
player,201111130sfo,nyg,JacoBr00,rush_td,0,,,,,
player,201111130sfo,nyg,JacoBr00,rush_long,15,,,,,
player,201111130sfo,nyg,JacoBr00,targets,2,,,,,
player,201111130sfo,nyg,JacoBr00,rec,2,,,,,
player,201111130sfo,nyg,JacoBr00,rec_yds,17,,,,,
player,201111130sfo,nyg,JacoBr00,rec_td,0,,,,,
player,201111130sfo,nyg,JacoBr00,rec_long,16,,,,,
player,201111130sfo,nyg,JacoBr00,fumbles,0,,,,,
player,201111130sfo,nyg,JacoBr00,fumbles_lost,,,,,,
player,201111130sfo,nyg,WareDa00,pass_cmp,0,,,,,
player,201111130sfo,nyg,WareDa00,pass_att,0,,,,,
player,201111130sfo,nyg,WareDa00,pass_yds,0,,,,,
player,201111130sfo,nyg,WareDa00,pass_td,0,,,,,
player,201111130sfo,nyg,WareDa00,pass_int,0,,,,,
player,201111130sfo,nyg,WareDa00,pass_sacked,0,,,,,
player,201111130sfo,nyg,WareDa00,pass_sacked_yds,0,,,,,
player,201111130sfo,nyg,WareDa00,pass_long,0,,,,,
player,201111130sfo,nyg,WareDa00,pass_rating,,,,,,
player,201111130sfo,nyg,WareDa00,rush_att,9,,,,,
player,201111130sfo,nyg,WareDa00,rush_yds,34,,,,,
player,201111130sfo,nyg,WareDa00,rush_td,0,,,,,
player,201111130sfo,nyg,WareDa00,rush_long,7,,,,,
player,201111130sfo,nyg,WareDa00,targets,6,,,,,
player,201111130sfo,nyg,WareDa00,rec,5,,,,,
player,201111130sfo,nyg,WareDa00,rec_yds,34,,,,,
player,201111130sfo,nyg,WareDa00,rec_td,0,,,,,
player,201111130sfo,nyg,WareDa00,rec_long,10,,,,,
player,201111130sfo,nyg,WareDa00,fumbles,0,,,,,
player,201111130sfo,nyg,WareDa00,fumbles_lost,,,,,,
player,201111130sfo,nyg,CruzVi00,pass_cmp,0,,,,,
player,201111130sfo,nyg,CruzVi00,pass_att,0,,,,,
player,201111130sfo,nyg,CruzVi00,pass_yds,0,,,,,
player,201111130sfo,nyg,CruzVi00,pass_td,0,,,,,
player,201111130sfo,nyg,CruzVi00,pass_int,0,,,,,
player,201111130sfo,nyg,CruzVi00,pass_sacked,0,,,,,
player,201111130sfo,nyg,CruzVi00,pass_sacked_yds,0,,,,,
player,201111130sfo,nyg,CruzVi00,pass_long,0,,,,,
player,201111130sfo,nyg,CruzVi00,pass_rating,,,,,,
player,201111130sfo,nyg,CruzVi00,rush_att,0,,,,,
player,201111130sfo,nyg,CruzVi00,rush_yds,0,,,,,
player,201111130sfo,nyg,CruzVi00,rush_td,0,,,,,
player,201111130sfo,nyg,CruzVi00,rush_long,0,,,,,
player,201111130sfo,nyg,CruzVi00,targets,11,,,,,
player,201111130sfo,nyg,CruzVi00,rec,6,,,,,
player,201111130sfo,nyg,CruzVi00,rec_yds,84,,,,,
player,201111130sfo,nyg,CruzVi00,rec_td,0,,,,,
player,201111130sfo,nyg,CruzVi00,rec_long,36,,,,,
