game,2011,11,20111120,201111200atl,oti,"Tennessee Titans",17,atl,"Atlanta Falcons",23
team,201111200atl,oti,First Downs,17,,,,,,
team,201111200atl,atl,First Downs,25,,,,,,
team,201111200atl,oti,Rush-Yds-TDs,14-41-0,,,,,,
team,201111200atl,atl,Rush-Yds-TDs,36-116-1,,,,,,
team,201111200atl,oti,Cmp-Att-Yd-TD-INT,22-44-264-2-1,,,,,,
team,201111200atl,atl,Cmp-Att-Yd-TD-INT,22-32-316-1-0,,,,,,
team,201111200atl,oti,Sacked-Yards,1-7,,,,,,
team,201111200atl,atl,Sacked-Yards,0-0,,,,,,
team,201111200atl,oti,Net Pass Yards,257,,,,,,
team,201111200atl,atl,Net Pass Yards,316,,,,,,
team,201111200atl,oti,Total Yards,298,,,,,,
team,201111200atl,atl,Total Yards,432,,,,,,
team,201111200atl,oti,Fumbles-Lost,0-0,,,,,,
team,201111200atl,atl,Fumbles-Lost,1-1,,,,,,
team,201111200atl,oti,Turnovers,1,,,,,,
team,201111200atl,atl,Turnovers,1,,,,,,
team,201111200atl,oti,Penalties-Yards,10-86,,,,,,
team,201111200atl,atl,Penalties-Yards,5-55,,,,,,
team,201111200atl,oti,Third Down Conv.,8-14,,,,,,
team,201111200atl,atl,Third Down Conv.,4-12,,,,,,
team,201111200atl,oti,Fourth Down Conv.,1-1,,,,,,
team,201111200atl,atl,Fourth Down Conv.,1-1,,,,,,
team,201111200atl,oti,Time of Possession,23:01,,,,,,
team,201111200atl,atl,Time of Possession,36:59,,,,,,
player,201111200atl,oti,HassMa00,pass_cmp,13,,,,,
player,201111200atl,oti,HassMa00,pass_att,25,,,,,
player,201111200atl,oti,HassMa00,pass_yds,124,,,,,
player,201111200atl,oti,HassMa00,pass_td,0,,,,,
player,201111200atl,oti,HassMa00,pass_int,1,,,,,
player,201111200atl,oti,HassMa00,pass_sacked,0,,,,,
player,201111200atl,oti,HassMa00,pass_sacked_yds,0,,,,,
player,201111200atl,oti,HassMa00,pass_long,20,,,,,
player,201111200atl,oti,HassMa00,pass_rating,49.4,,,,,
player,201111200atl,oti,HassMa00,rush_att,1,,,,,
player,201111200atl,oti,HassMa00,rush_yds,17,,,,,
player,201111200atl,oti,HassMa00,rush_td,0,,,,,
player,201111200atl,oti,HassMa00,rush_long,17,,,,,
player,201111200atl,oti,HassMa00,targets,0,,,,,
player,201111200atl,oti,HassMa00,rec,0,,,,,
player,201111200atl,oti,HassMa00,rec_yds,0,,,,,
player,201111200atl,oti,HassMa00,rec_td,0,,,,,
player,201111200atl,oti,HassMa00,rec_long,0,,,,,
player,201111200atl,oti,HassMa00,fumbles,0,,,,,
player,201111200atl,oti,HassMa00,fumbles_lost,,,,,,
player,201111200atl,oti,LockJa00,pass_cmp,9,,,,,
player,201111200atl,oti,LockJa00,pass_att,19,,,,,
player,201111200atl,oti,LockJa00,pass_yds,140,,,,,
player,201111200atl,oti,LockJa00,pass_td,2,,,,,
player,201111200atl,oti,LockJa00,pass_int,0,,,,,
player,201111200atl,oti,LockJa00,pass_sacked,1,,,,,
player,201111200atl,oti,LockJa00,pass_sacked_yds,7,,,,,
player,201111200atl,oti,LockJa00,pass_long,40,,,,,
player,201111200atl,oti,LockJa00,pass_rating,107.3,,,,,
player,201111200atl,oti,LockJa00,rush_att,1,,,,,
player,201111200atl,oti,LockJa00,rush_yds,11,,,,,
player,201111200atl,oti,LockJa00,rush_td,0,,,,,
player,201111200atl,oti,LockJa00,rush_long,11,,,,,
player,201111200atl,oti,LockJa00,targets,0,,,,,
player,201111200atl,oti,LockJa00,rec,0,,,,,
player,201111200atl,oti,LockJa00,rec_yds,0,,,,,
player,201111200atl,oti,LockJa00,rec_td,0,,,,,
player,201111200atl,oti,LockJa00,rec_long,0,,,,,
player,201111200atl,oti,LockJa00,fumbles,0,,,,,
player,201111200atl,oti,LockJa00,fumbles_lost,,,,,,
player,201111200atl,oti,JohnCh04,pass_cmp,0,,,,,
player,201111200atl,oti,JohnCh04,pass_att,0,,,,,
player,201111200atl,oti,JohnCh04,pass_yds,0,,,,,
player,201111200atl,oti,JohnCh04,pass_td,0,,,,,
player,201111200atl,oti,JohnCh04,pass_int,0,,,,,
player,201111200atl,oti,JohnCh04,pass_sacked,0,,,,,
player,201111200atl,oti,JohnCh04,pass_sacked_yds,0,,,,,
player,201111200atl,oti,JohnCh04,pass_long,0,,,,,
player,201111200atl,oti,JohnCh04,pass_rating,,,,,,
player,201111200atl,oti,JohnCh04,rush_att,12,,,,,
player,201111200atl,oti,JohnCh04,rush_yds,13,,,,,
player,201111200atl,oti,JohnCh04,rush_td,0,,,,,
player,201111200atl,oti,JohnCh04,rush_long,6,,,,,
player,201111200atl,oti,JohnCh04,targets,3,,,,,
player,201111200atl,oti,JohnCh04,rec,3,,,,,
player,201111200atl,oti,JohnCh04,rec_yds,15,,,,,
player,201111200atl,oti,JohnCh04,rec_td,0,,,,,
player,201111200atl,oti,JohnCh04,rec_long,6,,,,,
player,201111200atl,oti,JohnCh04,fumbles,0,,,,,
player,201111200atl,oti,JohnCh04,fumbles_lost,,,,,,
player,201111200atl,oti,WashNa00,pass_cmp,0,,,,,
player,201111200atl,oti,WashNa00,pass_att,0,,,,,
player,201111200atl,oti,WashNa00,pass_yds,0,,,,,
player,201111200atl,oti,WashNa00,pass_td,0,,,,,
player,201111200atl,oti,WashNa00,pass_int,0,,,,,
player,201111200atl,oti,WashNa00,pass_sacked,0,,,,,
player,201111200atl,oti,WashNa00,pass_sacked_yds,0,,,,,
player,201111200atl,oti,WashNa00,pass_long,0,,,,,
player,201111200atl,oti,WashNa00,pass_rating,,,,,,
player,201111200atl,oti,WashNa00,rush_att,0,,,,,
player,201111200atl,oti,WashNa00,rush_yds,0,,,,,
player,201111200atl,oti,WashNa00,rush_td,0,,,,,
player,201111200atl,oti,WashNa00,rush_long,0,,,,,
player,201111200atl,oti,WashNa00,targets,9,,,,,
player,201111200atl,oti,WashNa00,rec,9,,,,,
player,201111200atl,oti,WashNa00,rec_yds,115,,,,,
player,201111200atl,oti,WashNa00,rec_td,2,,,,,
player,201111200atl,oti,WashNa00,rec_long,40,,,,,
player,201111200atl,oti,WashNa00,fumbles,0,,,,,
player,201111200atl,oti,WashNa00,fumbles_lost,,,,,,
player,201111200atl,oti,CookJa02,pass_cmp,0,,,,,
player,201111200atl,oti,CookJa02,pass_att,0,,,,,
player,201111200atl,oti,CookJa02,pass_yds,0,,,,,
player,201111200atl,oti,CookJa02,pass_td,0,,,,,
player,201111200atl,oti,CookJa02,pass_int,0,,,,,
player,201111200atl,oti,CookJa02,pass_sacked,0,,,,,
player,201111200atl,oti,CookJa02,pass_sacked_yds,0,,,,,
player,201111200atl,oti,CookJa02,pass_long,0,,,,,
player,201111200atl,oti,CookJa02,pass_rating,,,,,,
player,201111200atl,oti,CookJa02,rush_att,0,,,,,
player,201111200atl,oti,CookJa02,rush_yds,0,,,,,
player,201111200atl,oti,CookJa02,rush_td,0,,,,,
player,201111200atl,oti,CookJa02,rush_long,0,,,,,
player,201111200atl,oti,CookJa02,targets,9,,,,,
player,201111200atl,oti,CookJa02,rec,5,,,,,
player,201111200atl,oti,CookJa02,rec_yds,51,,,,,
player,201111200atl,oti,CookJa02,rec_td,0,,,,,
player,201111200atl,oti,CookJa02,rec_long,22,,,,,
player,201111200atl,oti,CookJa02,fumbles,0,,,,,
player,201111200atl,oti,CookJa02,fumbles_lost,,,,,,
player,201111200atl,oti,RingJa00,pass_cmp,0,,,,,
player,201111200atl,oti,RingJa00,pass_att,0,,,,,
player,201111200atl,oti,RingJa00,pass_yds,0,,,,,
player,201111200atl,oti,RingJa00,pass_td,0,,,,,
player,201111200atl,oti,RingJa00,pass_int,0,,,,,
player,201111200atl,oti,RingJa00,pass_sacked,0,,,,,
player,201111200atl,oti,RingJa00,pass_sacked_yds,0,,,,,
player,201111200atl,oti,RingJa00,pass_long,0,,,,,
player,201111200atl,oti,RingJa00,pass_rating,,,,,,
player,201111200atl,oti,RingJa00,rush_att,0,,,,,
player,201111200atl,oti,RingJa00,rush_yds,0,,,,,
player,201111200atl,oti,RingJa00,rush_td,0,,,,,
player,201111200atl,oti,RingJa00,rush_long,0,,,,,
player,201111200atl,oti,RingJa00,targets,6,,,,,
player,201111200atl,oti,RingJa00,rec,3,,,,,
player,201111200atl,oti,RingJa00,rec_yds,35,,,,,
player,201111200atl,oti,RingJa00,rec_td,0,,,,,
player,201111200atl,oti,RingJa00,rec_long,15,,,,,
player,201111200atl,oti,RingJa00,fumbles,0,,,,,
player,201111200atl,oti,RingJa00,fumbles_lost,,,,,,
player,201111200atl,oti,HawkLa00,pass_cmp,0,,,,,
player,201111200atl,oti,HawkLa00,pass_att,0,,,,,
player,201111200atl,oti,HawkLa00,pass_yds,0,,,,,
player,201111200atl,oti,HawkLa00,pass_td,0,,,,,
player,201111200atl,oti,HawkLa00,pass_int,0,,,,,
player,201111200atl,oti,HawkLa00,pass_sacked,0,,,,,
player,201111200atl,oti,HawkLa00,pass_sacked_yds,0,,,,,
player,201111200atl,oti,HawkLa00,pass_long,0,,,,,
player,201111200atl,oti,HawkLa00,pass_rating,,,,,,
player,201111200atl,oti,HawkLa00,rush_att,0,,,,,
player,201111200atl,oti,HawkLa00,rush_yds,0,,,,,
player,201111200atl,oti,HawkLa00,rush_td,0,,,,,
player,201111200atl,oti,HawkLa00,rush_long,0,,,,,
player,201111200atl,oti,HawkLa00,targets,5,,,,,
player,201111200atl,oti,HawkLa00,rec,1,,,,,
player,201111200atl,oti,HawkLa00,rec_yds,32,,,,,
player,201111200atl,oti,HawkLa00,rec_td,0,,,,,
player,201111200atl,oti,HawkLa00,rec_long,32,,,,,
player,201111200atl,oti,HawkLa00,fumbles,0,,,,,
player,201111200atl,oti,HawkLa00,fumbles_lost,,,,,,
player,201111200atl,oti,WillDa04,pass_cmp,0,,,,,
player,201111200atl,oti,WillDa04,pass_att,0,,,,,
player,201111200atl,oti,WillDa04,pass_yds,0,,,,,
player,201111200atl,oti,WillDa04,pass_td,0,,,,,
player,201111200atl,oti,WillDa04,pass_int,0,,,,,
player,201111200atl,oti,WillDa04,pass_sacked,0,,,,,
player,201111200atl,oti,WillDa04,pass_sacked_yds,0,,,,,
player,201111200atl,oti,WillDa04,pass_long,0,,,,,
player,201111200atl,oti,WillDa04,pass_rating,,,,,,
player,201111200atl,oti,WillDa04,rush_att,0,,,,,
player,201111200atl,oti,WillDa04,rush_yds,0,,,,,
player,201111200atl,oti,WillDa04,rush_td,0,,,,,
player,201111200atl,oti,WillDa04,rush_long,0,,,,,
player,201111200atl,oti,WillDa04,targets,11,,,,,
player,201111200atl,oti,WillDa04,rec,1,,,,,
player,201111200atl,oti,WillDa04,rec_yds,16,,,,,
player,201111200atl,oti,WillDa04,rec_td,0,,,,,
player,201111200atl,oti,WillDa04,rec_long,16,,,,,
player,201111200atl,oti,WillDa04,fumbles,0,,,,,
player,201111200atl,oti,WillDa04,fumbles_lost,,,,,,
player,201111200atl,oti,MariMa00,pass_cmp,0,,,,,
player,201111200atl,oti,MariMa00,pass_att,0,,,,,
player,201111200atl,oti,MariMa00,pass_yds,0,,,,,
player,201111200atl,oti,MariMa00,pass_td,0,,,,,
player,201111200atl,oti,MariMa00,pass_int,0,,,,,
player,201111200atl,oti,MariMa00,pass_sacked,0,,,,,
player,201111200atl,oti,MariMa00,pass_sacked_yds,0,,,,,
player,201111200atl,oti,MariMa00,pass_long,0,,,,,
player,201111200atl,oti,MariMa00,pass_rating,,,,,,
player,201111200atl,oti,MariMa00,rush_att,0,,,,,
player,201111200atl,oti,MariMa00,rush_yds,0,,,,,
player,201111200atl,oti,MariMa00,rush_td,0,,,,,
player,201111200atl,oti,MariMa00,rush_long,0,,,,,
player,201111200atl,oti,MariMa00,targets,1,,,,,
player,201111200atl,oti,MariMa00,rec,0,,,,,
player,201111200atl,oti,MariMa00,rec_yds,0,,,,,
player,201111200atl,oti,MariMa00,rec_td,0,,,,,
player,201111200atl,oti,MariMa00,rec_long,0,,,,,
player,201111200atl,oti,MariMa00,fumbles,0,,,,,
player,201111200atl,oti,MariMa00,fumbles_lost,,,,,,
player,201111200atl,atl,RyanMa00,pass_cmp,22,,,,,
player,201111200atl,atl,RyanMa00,pass_att,32,,,,,
player,201111200atl,atl,RyanMa00,pass_yds,316,,,,,
player,201111200atl,atl,RyanMa00,pass_td,1,,,,,
player,201111200atl,atl,RyanMa00,pass_int,0,,,,,
player,201111200atl,atl,RyanMa00,pass_sacked,0,,,,,
player,201111200atl,atl,RyanMa00,pass_sacked_yds,0,,,,,
player,201111200atl,atl,RyanMa00,pass_long,43,,,,,
player,201111200atl,atl,RyanMa00,pass_rating,110.9,,,,,
player,201111200atl,atl,RyanMa00,rush_att,6,,,,,
player,201111200atl,atl,RyanMa00,rush_yds,3,,,,,
player,201111200atl,atl,RyanMa00,rush_td,0,,,,,
player,201111200atl,atl,RyanMa00,rush_long,7,,,,,
player,201111200atl,atl,RyanMa00,targets,0,,,,,
player,201111200atl,atl,RyanMa00,rec,0,,,,,
