game,2011,11,20111120,201111200cle,jax,"Jacksonville Jaguars",10,cle,"Cleveland Browns",14
team,201111200cle,jax,First Downs,23,,,,,,
team,201111200cle,cle,First Downs,20,,,,,,
team,201111200cle,jax,Rush-Yds-TDs,29-108-1,,,,,,
team,201111200cle,cle,Rush-Yds-TDs,28-148-1,,,,,,
team,201111200cle,jax,Cmp-Att-Yd-TD-INT,22-41-210-0-0,,,,,,
team,201111200cle,cle,Cmp-Att-Yd-TD-INT,17-24-199-1-1,,,,,,
team,201111200cle,jax,Sacked-Yards,1-15,,,,,,
team,201111200cle,cle,Sacked-Yards,2-13,,,,,,
team,201111200cle,jax,Net Pass Yards,195,,,,,,
team,201111200cle,cle,Net Pass Yards,186,,,,,,
team,201111200cle,jax,Total Yards,303,,,,,,
team,201111200cle,cle,Total Yards,334,,,,,,
team,201111200cle,jax,Fumbles-Lost,1-0,,,,,,
team,201111200cle,cle,Fumbles-Lost,0-0,,,,,,
team,201111200cle,jax,Turnovers,0,,,,,,
team,201111200cle,cle,Turnovers,1,,,,,,
team,201111200cle,jax,Penalties-Yards,9-81,,,,,,
team,201111200cle,cle,Penalties-Yards,9-70,,,,,,
team,201111200cle,jax,Third Down Conv.,7-15,,,,,,
team,201111200cle,cle,Third Down Conv.,4-10,,,,,,
team,201111200cle,jax,Fourth Down Conv.,0-0,,,,,,
team,201111200cle,cle,Fourth Down Conv.,0-0,,,,,,
team,201111200cle,jax,Time of Possession,30:53,,,,,,
team,201111200cle,cle,Time of Possession,29:07,,,,,,
player,201111200cle,jax,GabbBl00,pass_cmp,22,,,,,
player,201111200cle,jax,GabbBl00,pass_att,41,,,,,
player,201111200cle,jax,GabbBl00,pass_yds,210,,,,,
player,201111200cle,jax,GabbBl00,pass_td,0,,,,,
player,201111200cle,jax,GabbBl00,pass_int,0,,,,,
player,201111200cle,jax,GabbBl00,pass_sacked,1,,,,,
player,201111200cle,jax,GabbBl00,pass_sacked_yds,15,,,,,
player,201111200cle,jax,GabbBl00,pass_long,28,,,,,
player,201111200cle,jax,GabbBl00,pass_rating,68.1,,,,,
player,201111200cle,jax,GabbBl00,rush_att,2,,,,,
player,201111200cle,jax,GabbBl00,rush_yds,10,,,,,
player,201111200cle,jax,GabbBl00,rush_td,0,,,,,
player,201111200cle,jax,GabbBl00,rush_long,6,,,,,
player,201111200cle,jax,GabbBl00,targets,0,,,,,
player,201111200cle,jax,GabbBl00,rec,0,,,,,
player,201111200cle,jax,GabbBl00,rec_yds,0,,,,,
player,201111200cle,jax,GabbBl00,rec_td,0,,,,,
player,201111200cle,jax,GabbBl00,rec_long,0,,,,,
player,201111200cle,jax,GabbBl00,fumbles,1,,,,,
player,201111200cle,jax,GabbBl00,fumbles_lost,0,,,,,
player,201111200cle,jax,DrewMa00,pass_cmp,0,,,,,
player,201111200cle,jax,DrewMa00,pass_att,0,,,,,
player,201111200cle,jax,DrewMa00,pass_yds,0,,,,,
player,201111200cle,jax,DrewMa00,pass_td,0,,,,,
player,201111200cle,jax,DrewMa00,pass_int,0,,,,,
player,201111200cle,jax,DrewMa00,pass_sacked,0,,,,,
player,201111200cle,jax,DrewMa00,pass_sacked_yds,0,,,,,
player,201111200cle,jax,DrewMa00,pass_long,0,,,,,
player,201111200cle,jax,DrewMa00,pass_rating,,,,,,
player,201111200cle,jax,DrewMa00,rush_att,21,,,,,
player,201111200cle,jax,DrewMa00,rush_yds,87,,,,,
player,201111200cle,jax,DrewMa00,rush_td,1,,,,,
player,201111200cle,jax,DrewMa00,rush_long,14,,,,,
player,201111200cle,jax,DrewMa00,targets,6,,,,,
player,201111200cle,jax,DrewMa00,rec,4,,,,,
player,201111200cle,jax,DrewMa00,rec_yds,31,,,,,
player,201111200cle,jax,DrewMa00,rec_td,0,,,,,
player,201111200cle,jax,DrewMa00,rec_long,10,,,,,
player,201111200cle,jax,DrewMa00,fumbles,0,,,,,
player,201111200cle,jax,DrewMa00,fumbles_lost,,,,,,
player,201111200cle,jax,OwenMo01,pass_cmp,0,,,,,
player,201111200cle,jax,OwenMo01,pass_att,0,,,,,
player,201111200cle,jax,OwenMo01,pass_yds,0,,,,,
player,201111200cle,jax,OwenMo01,pass_td,0,,,,,
player,201111200cle,jax,OwenMo01,pass_int,0,,,,,
player,201111200cle,jax,OwenMo01,pass_sacked,0,,,,,
player,201111200cle,jax,OwenMo01,pass_sacked_yds,0,,,,,
player,201111200cle,jax,OwenMo01,pass_long,0,,,,,
player,201111200cle,jax,OwenMo01,pass_rating,,,,,,
player,201111200cle,jax,OwenMo01,rush_att,2,,,,,
player,201111200cle,jax,OwenMo01,rush_yds,10,,,,,
player,201111200cle,jax,OwenMo01,rush_td,0,,,,,
player,201111200cle,jax,OwenMo01,rush_long,8,,,,,
player,201111200cle,jax,OwenMo01,targets,0,,,,,
player,201111200cle,jax,OwenMo01,rec,0,,,,,
player,201111200cle,jax,OwenMo01,rec_yds,0,,,,,
player,201111200cle,jax,OwenMo01,rec_td,0,,,,,
player,201111200cle,jax,OwenMo01,rec_long,0,,,,,
player,201111200cle,jax,OwenMo01,fumbles,0,,,,,
player,201111200cle,jax,OwenMo01,fumbles_lost,,,,,,
player,201111200cle,jax,KariDe00,pass_cmp,0,,,,,
player,201111200cle,jax,KariDe00,pass_att,0,,,,,
