game,2011,12,20111127,201111270phi,nwe,"New England Patriots",38,phi,"Philadelphia Eagles",20
team,201111270phi,nwe,First Downs,29,,,,,,
team,201111270phi,phi,First Downs,23,,,,,,
team,201111270phi,nwe,Rush-Yds-TDs,36-104-2,,,,,,
team,201111270phi,phi,Rush-Yds-TDs,17-73-1,,,,,,
team,201111270phi,nwe,Cmp-Att-Yd-TD-INT,24-34-361-3-0,,,,,,
team,201111270phi,phi,Cmp-Att-Yd-TD-INT,26-48-400-1-1,,,,,,
team,201111270phi,nwe,Sacked-Yards,1-8,,,,,,
team,201111270phi,phi,Sacked-Yards,2-7,,,,,,
team,201111270phi,nwe,Net Pass Yards,353,,,,,,
team,201111270phi,phi,Net Pass Yards,393,,,,,,
team,201111270phi,nwe,Total Yards,457,,,,,,
team,201111270phi,phi,Total Yards,466,,,,,,
team,201111270phi,nwe,Fumbles-Lost,0-0,,,,,,
team,201111270phi,phi,Fumbles-Lost,0-0,,,,,,
team,201111270phi,nwe,Turnovers,0,,,,,,
team,201111270phi,phi,Turnovers,1,,,,,,
team,201111270phi,nwe,Penalties-Yards,3-20,,,,,,
team,201111270phi,phi,Penalties-Yards,10-60,,,,,,
team,201111270phi,nwe,Third Down Conv.,6-11,,,,,,
team,201111270phi,phi,Third Down Conv.,4-13,,,,,,
team,201111270phi,nwe,Fourth Down Conv.,0-0,,,,,,
team,201111270phi,phi,Fourth Down Conv.,1-2,,,,,,
team,201111270phi,nwe,Time of Possession,32:43,,,,,,
team,201111270phi,phi,Time of Possession,27:17,,,,,,
player,201111270phi,nwe,BradTo00,pass_cmp,24,,,,,
player,201111270phi,nwe,BradTo00,pass_att,34,,,,,
player,201111270phi,nwe,BradTo00,pass_yds,361,,,,,
player,201111270phi,nwe,BradTo00,pass_td,3,,,,,
player,201111270phi,nwe,BradTo00,pass_int,0,,,,,
player,201111270phi,nwe,BradTo00,pass_sacked,1,,,,,
player,201111270phi,nwe,BradTo00,pass_sacked_yds,8,,,,,
player,201111270phi,nwe,BradTo00,pass_long,63,,,,,
player,201111270phi,nwe,BradTo00,pass_rating,134.6,,,,,
player,201111270phi,nwe,BradTo00,rush_att,5,,,,,
player,201111270phi,nwe,BradTo00,rush_yds,28,,,,,
player,201111270phi,nwe,BradTo00,rush_td,0,,,,,
player,201111270phi,nwe,BradTo00,rush_long,13,,,,,
player,201111270phi,nwe,BradTo00,targets,0,,,,,
player,201111270phi,nwe,BradTo00,rec,0,,,,,
player,201111270phi,nwe,BradTo00,rec_yds,0,,,,,
player,201111270phi,nwe,BradTo00,rec_td,0,,,,,
player,201111270phi,nwe,BradTo00,rec_long,0,,,,,
player,201111270phi,nwe,BradTo00,fumbles,0,,,,,
player,201111270phi,nwe,BradTo00,fumbles_lost,,,,,,
player,201111270phi,nwe,GreeBe00,pass_cmp,0,,,,,
player,201111270phi,nwe,GreeBe00,pass_att,0,,,,,
player,201111270phi,nwe,GreeBe00,pass_yds,0,,,,,
player,201111270phi,nwe,GreeBe00,pass_td,0,,,,,
player,201111270phi,nwe,GreeBe00,pass_int,0,,,,,
player,201111270phi,nwe,GreeBe00,pass_sacked,0,,,,,
player,201111270phi,nwe,GreeBe00,pass_sacked_yds,0,,,,,
player,201111270phi,nwe,GreeBe00,pass_long,0,,,,,
player,201111270phi,nwe,GreeBe00,pass_rating,,,,,,
player,201111270phi,nwe,GreeBe00,rush_att,14,,,,,
player,201111270phi,nwe,GreeBe00,rush_yds,44,,,,,
player,201111270phi,nwe,GreeBe00,rush_td,2,,,,,
player,201111270phi,nwe,GreeBe00,rush_long,8,,,,,
player,201111270phi,nwe,GreeBe00,targets,0,,,,,
player,201111270phi,nwe,GreeBe00,rec,0,,,,,
player,201111270phi,nwe,GreeBe00,rec_yds,0,,,,,
player,201111270phi,nwe,GreeBe00,rec_td,0,,,,,
player,201111270phi,nwe,GreeBe00,rec_long,0,,,,,
player,201111270phi,nwe,GreeBe00,fumbles,0,,,,,
player,201111270phi,nwe,GreeBe00,fumbles_lost,,,,,,
player,201111270phi,nwe,WoodDa02,pass_cmp,0,,,,,
player,201111270phi,nwe,WoodDa02,pass_att,0,,,,,
player,201111270phi,nwe,WoodDa02,pass_yds,0,,,,,
player,201111270phi,nwe,WoodDa02,pass_td,0,,,,,
player,201111270phi,nwe,WoodDa02,pass_int,0,,,,,
player,201111270phi,nwe,WoodDa02,pass_sacked,0,,,,,
player,201111270phi,nwe,WoodDa02,pass_sacked_yds,0,,,,,
player,201111270phi,nwe,WoodDa02,pass_long,0,,,,,
player,201111270phi,nwe,WoodDa02,pass_rating,,,,,,
player,201111270phi,nwe,WoodDa02,rush_att,4,,,,,
player,201111270phi,nwe,WoodDa02,rush_yds,20,,,,,
player,201111270phi,nwe,WoodDa02,rush_td,0,,,,,
player,201111270phi,nwe,WoodDa02,rush_long,10,,,,,
player,201111270phi,nwe,WoodDa02,targets,0,,,,,
player,201111270phi,nwe,WoodDa02,rec,0,,,,,
player,201111270phi,nwe,WoodDa02,rec_yds,0,,,,,
player,201111270phi,nwe,WoodDa02,rec_td,0,,,,,
player,201111270phi,nwe,WoodDa02,rec_long,0,,,,,
player,201111270phi,nwe,WoodDa02,fumbles,0,,,,,
player,201111270phi,nwe,WoodDa02,fumbles_lost,,,,,,
player,201111270phi,nwe,VereSh00,pass_cmp,0,,,,,
player,201111270phi,nwe,VereSh00,pass_att,0,,,,,
player,201111270phi,nwe,VereSh00,pass_yds,0,,,,,
player,201111270phi,nwe,VereSh00,pass_td,0,,,,,
