game,2011,13,20111204,201112040min,den,"Denver Broncos",35,min,"Minnesota Vikings",32
team,201112040min,den,First Downs,13,,,,,,
team,201112040min,min,First Downs,27,,,,,,
team,201112040min,den,Rush-Yds-TDs,32-150-1,,,,,,
team,201112040min,min,Rush-Yds-TDs,30-129-0,,,,,,
team,201112040min,den,Cmp-Att-Yd-TD-INT,10-15-202-2-0,,,,,,
team,201112040min,min,Cmp-Att-Yd-TD-INT,30-48-389-3-2,,,,,,
team,201112040min,den,Sacked-Yards,2-16,,,,,,
team,201112040min,min,Sacked-Yards,3-29,,,,,,
team,201112040min,den,Net Pass Yards,186,,,,,,
team,201112040min,min,Net Pass Yards,360,,,,,,
team,201112040min,den,Total Yards,336,,,,,,
team,201112040min,min,Total Yards,489,,,,,,
team,201112040min,den,Fumbles-Lost,3-2,,,,,,
team,201112040min,min,Fumbles-Lost,1-1,,,,,,
team,201112040min,den,Turnovers,2,,,,,,
team,201112040min,min,Turnovers,3,,,,,,
team,201112040min,den,Penalties-Yards,8-73,,,,,,
team,201112040min,min,Penalties-Yards,6-54,,,,,,
team,201112040min,den,Third Down Conv.,3-11,,,,,,
team,201112040min,min,Third Down Conv.,6-15,,,,,,
team,201112040min,den,Fourth Down Conv.,0-0,,,,,,
team,201112040min,min,Fourth Down Conv.,0-0,,,,,,
team,201112040min,den,Time of Possession,22:09,,,,,,
team,201112040min,min,Time of Possession,37:51,,,,,,
player,201112040min,den,TeboTi00,pass_cmp,10,,,,,
player,201112040min,den,TeboTi00,pass_att,15,,,,,
player,201112040min,den,TeboTi00,pass_yds,202,,,,,
player,201112040min,den,TeboTi00,pass_td,2,,,,,
player,201112040min,den,TeboTi00,pass_int,0,,,,,
player,201112040min,den,TeboTi00,pass_sacked,2,,,,,
player,201112040min,den,TeboTi00,pass_sacked_yds,16,,,,,
player,201112040min,den,TeboTi00,pass_long,42,,,,,
player,201112040min,den,TeboTi00,pass_rating,149.3,,,,,
player,201112040min,den,TeboTi00,rush_att,4,,,,,
player,201112040min,den,TeboTi00,rush_yds,13,,,,,
player,201112040min,den,TeboTi00,rush_td,0,,,,,
player,201112040min,den,TeboTi00,rush_long,7,,,,,
player,201112040min,den,TeboTi00,targets,0,,,,,
player,201112040min,den,TeboTi00,rec,0,,,,,
player,201112040min,den,TeboTi00,rec_yds,0,,,,,
player,201112040min,den,TeboTi00,rec_td,0,,,,,
player,201112040min,den,TeboTi00,rec_long,0,,,,,
player,201112040min,den,TeboTi00,fumbles,1,,,,,
player,201112040min,den,TeboTi00,fumbles_lost,1,,,,,
player,201112040min,den,McGaWi00,pass_cmp,0,,,,,
player,201112040min,den,McGaWi00,pass_att,0,,,,,
player,201112040min,den,McGaWi00,pass_yds,0,,,,,
player,201112040min,den,McGaWi00,pass_td,0,,,,,
player,201112040min,den,McGaWi00,pass_int,0,,,,,
player,201112040min,den,McGaWi00,pass_sacked,0,,,,,
player,201112040min,den,McGaWi00,pass_sacked_yds,0,,,,,
player,201112040min,den,McGaWi00,pass_long,0,,,,,
player,201112040min,den,McGaWi00,pass_rating,,,,,,
player,201112040min,den,McGaWi00,rush_att,20,,,,,
player,201112040min,den,McGaWi00,rush_yds,111,,,,,
player,201112040min,den,McGaWi00,rush_td,1,,,,,
player,201112040min,den,McGaWi00,rush_long,24,,,,,
player,201112040min,den,McGaWi00,targets,0,,,,,
player,201112040min,den,McGaWi00,rec,0,,,,,
player,201112040min,den,McGaWi00,rec_yds,0,,,,,
player,201112040min,den,McGaWi00,rec_td,0,,,,,
player,201112040min,den,McGaWi00,rec_long,0,,,,,
player,201112040min,den,McGaWi00,fumbles,1,,,,,
player,201112040min,den,McGaWi00,fumbles_lost,1,,,,,
player,201112040min,den,BallLa00,pass_cmp,0,,,,,
player,201112040min,den,BallLa00,pass_att,0,,,,,
player,201112040min,den,BallLa00,pass_yds,0,,,,,
player,201112040min,den,BallLa00,pass_td,0,,,,,
player,201112040min,den,BallLa00,pass_int,0,,,,,
player,201112040min,den,BallLa00,pass_sacked,0,,,,,
player,201112040min,den,BallLa00,pass_sacked_yds,0,,,,,
player,201112040min,den,BallLa00,pass_long,0,,,,,
player,201112040min,den,BallLa00,pass_rating,,,,,,
player,201112040min,den,BallLa00,rush_att,7,,,,,
player,201112040min,den,BallLa00,rush_yds,25,,,,,
player,201112040min,den,BallLa00,rush_td,0,,,,,
player,201112040min,den,BallLa00,rush_long,11,,,,,
player,201112040min,den,BallLa00,targets,2,,,,,
player,201112040min,den,BallLa00,rec,2,,,,,
player,201112040min,den,BallLa00,rec_yds,14,,,,,
player,201112040min,den,BallLa00,rec_td,0,,,,,
player,201112040min,den,BallLa00,rec_long,8,,,,,
player,201112040min,den,BallLa00,fumbles,0,,,,,
player,201112040min,den,BallLa00,fumbles_lost,,,,,,
player,201112040min,den,LarsSp99,pass_cmp,0,,,,,
player,201112040min,den,LarsSp99,pass_att,0,,,,,
player,201112040min,den,LarsSp99,pass_yds,0,,,,,
player,201112040min,den,LarsSp99,pass_td,0,,,,,
player,201112040min,den,LarsSp99,pass_int,0,,,,,
player,201112040min,den,LarsSp99,pass_sacked,0,,,,,
player,201112040min,den,LarsSp99,pass_sacked_yds,0,,,,,
player,201112040min,den,LarsSp99,pass_long,0,,,,,
player,201112040min,den,LarsSp99,pass_rating,,,,,,
player,201112040min,den,LarsSp99,rush_att,1,,,,,
player,201112040min,den,LarsSp99,rush_yds,1,,,,,
player,201112040min,den,LarsSp99,rush_td,0,,,,,
player,201112040min,den,LarsSp99,rush_long,1,,,,,
player,201112040min,den,LarsSp99,targets,0,,,,,
player,201112040min,den,LarsSp99,rec,0,,,,,
player,201112040min,den,LarsSp99,rec_yds,0,,,,,
player,201112040min,den,LarsSp99,rec_td,0,,,,,
