game,2011,14,20111211,201112110crd,sfo,"San Francisco 49ers",19,crd,"Arizona Cardinals",21
team,201112110crd,sfo,First Downs,12,,,,,,
team,201112110crd,crd,First Downs,12,,,,,,
team,201112110crd,sfo,Rush-Yds-TDs,21-90-1,,,,,,
team,201112110crd,crd,Rush-Yds-TDs,23-55-0,,,,,,
team,201112110crd,sfo,Cmp-Att-Yd-TD-INT,18-37-175-0-0,,,,,,
team,201112110crd,crd,Cmp-Att-Yd-TD-INT,20-29-284-3-2,,,,,,
team,201112110crd,sfo,Sacked-Yards,5-32,,,,,,
team,201112110crd,crd,Sacked-Yards,2-14,,,,,,
team,201112110crd,sfo,Net Pass Yards,143,,,,,,
team,201112110crd,crd,Net Pass Yards,270,,,,,,
team,201112110crd,sfo,Total Yards,233,,,,,,
team,201112110crd,crd,Total Yards,325,,,,,,
team,201112110crd,sfo,Fumbles-Lost,0-0,,,,,,
team,201112110crd,crd,Fumbles-Lost,2-1,,,,,,
team,201112110crd,sfo,Turnovers,0,,,,,,
team,201112110crd,crd,Turnovers,3,,,,,,
team,201112110crd,sfo,Penalties-Yards,5-35,,,,,,
team,201112110crd,crd,Penalties-Yards,4-45,,,,,,
team,201112110crd,sfo,Third Down Conv.,3-17,,,,,,
team,201112110crd,crd,Third Down Conv.,3-14,,,,,,
team,201112110crd,sfo,Fourth Down Conv.,1-2,,,,,,
team,201112110crd,crd,Fourth Down Conv.,0-0,,,,,,
team,201112110crd,sfo,Time of Possession,30:56,,,,,,
team,201112110crd,crd,Time of Possession,29:04,,,,,,
player,201112110crd,sfo,SmitAl03,pass_cmp,18,,,,,
player,201112110crd,sfo,SmitAl03,pass_att,37,,,,,
player,201112110crd,sfo,SmitAl03,pass_yds,175,,,,,
player,201112110crd,sfo,SmitAl03,pass_td,0,,,,,
player,201112110crd,sfo,SmitAl03,pass_int,0,,,,,
player,201112110crd,sfo,SmitAl03,pass_sacked,5,,,,,
player,201112110crd,sfo,SmitAl03,pass_sacked_yds,32,,,,,
player,201112110crd,sfo,SmitAl03,pass_long,32,,,,,
player,201112110crd,sfo,SmitAl03,pass_rating,62.3,,,,,
player,201112110crd,sfo,SmitAl03,rush_att,1,,,,,
player,201112110crd,sfo,SmitAl03,rush_yds,-3,,,,,
player,201112110crd,sfo,SmitAl03,rush_td,0,,,,,
player,201112110crd,sfo,SmitAl03,rush_long,-3,,,,,
player,201112110crd,sfo,SmitAl03,targets,0,,,,,
player,201112110crd,sfo,SmitAl03,rec,0,,,,,
player,201112110crd,sfo,SmitAl03,rec_yds,0,,,,,
