game,2011,14,20111211,201112110det,min,"Minnesota Vikings",28,det,"Detroit Lions",34
team,201112110det,min,First Downs,29,,,,,,
team,201112110det,det,First Downs,13,,,,,,
team,201112110det,min,Rush-Yds-TDs,35-269-1,,,,,,
team,201112110det,det,Rush-Yds-TDs,21-72-0,,,,,,
team,201112110det,min,Cmp-Att-Yd-TD-INT,23-44-199-3-3,,,,,,
team,201112110det,det,Cmp-Att-Yd-TD-INT,20-29-227-2-0,,,,,,
team,201112110det,min,Sacked-Yards,4-43,,,,,,
team,201112110det,det,Sacked-Yards,5-19,,,,,,
team,201112110det,min,Net Pass Yards,156,,,,,,
team,201112110det,det,Net Pass Yards,208,,,,,,
team,201112110det,min,Total Yards,425,,,,,,
team,201112110det,det,Total Yards,280,,,,,,
team,201112110det,min,Fumbles-Lost,5-3,,,,,,
team,201112110det,det,Fumbles-Lost,0-0,,,,,,
team,201112110det,min,Turnovers,6,,,,,,
team,201112110det,det,Turnovers,0,,,,,,
team,201112110det,min,Penalties-Yards,5-37,,,,,,
team,201112110det,det,Penalties-Yards,10-76,,,,,,
team,201112110det,min,Third Down Conv.,8-14,,,,,,
team,201112110det,det,Third Down Conv.,8-16,,,,,,
team,201112110det,min,Fourth Down Conv.,3-3,,,,,,
team,201112110det,det,Fourth Down Conv.,0-0,,,,,,
team,201112110det,min,Time of Possession,28:46,,,,,,
team,201112110det,det,Time of Possession,31:14,,,,,,
player,201112110det,min,WebbJo00,pass_cmp,12,,,,,
player,201112110det,min,WebbJo00,pass_att,23,,,,,
player,201112110det,min,WebbJo00,pass_yds,84,,,,,
player,201112110det,min,WebbJo00,pass_td,1,,,,,
player,201112110det,min,WebbJo00,pass_int,0,,,,,
player,201112110det,min,WebbJo00,pass_sacked,1,,,,,
player,201112110det,min,WebbJo00,pass_sacked_yds,15,,,,,
player,201112110det,min,WebbJo00,pass_long,17,,,,,
player,201112110det,min,WebbJo00,pass_rating,75.3,,,,,
player,201112110det,min,WebbJo00,rush_att,7,,,,,
player,201112110det,min,WebbJo00,rush_yds,109,,,,,
player,201112110det,min,WebbJo00,rush_td,1,,,,,
player,201112110det,min,WebbJo00,rush_long,65,,,,,
player,201112110det,min,WebbJo00,targets,0,,,,,
player,201112110det,min,WebbJo00,rec,0,,,,,
player,201112110det,min,WebbJo00,rec_yds,0,,,,,
player,201112110det,min,WebbJo00,rec_td,0,,,,,
player,201112110det,min,WebbJo00,rec_long,0,,,,,
player,201112110det,min,WebbJo00,fumbles,1,,,,,
player,201112110det,min,WebbJo00,fumbles_lost,1,,,,,
player,201112110det,min,PondCh00,pass_cmp,11,,,,,
player,201112110det,min,PondCh00,pass_att,21,,,,,
player,201112110det,min,PondCh00,pass_yds,115,,,,,
player,201112110det,min,PondCh00,pass_td,2,,,,,
player,201112110det,min,PondCh00,pass_int,3,,,,,
player,201112110det,min,PondCh00,pass_sacked,3,,,,,
player,201112110det,min,PondCh00,pass_sacked_yds,28,,,,,
player,201112110det,min,PondCh00,pass_long,28,,,,,
player,201112110det,min,PondCh00,pass_rating,60.7,,,,,
player,201112110det,min,PondCh00,rush_att,2,,,,,
player,201112110det,min,PondCh00,rush_yds,13,,,,,
player,201112110det,min,PondCh00,rush_td,0,,,,,
player,201112110det,min,PondCh00,rush_long,14,,,,,
player,201112110det,min,PondCh00,targets,0,,,,,
player,201112110det,min,PondCh00,rec,0,,,,,
player,201112110det,min,PondCh00,rec_yds,0,,,,,
player,201112110det,min,PondCh00,rec_td,0,,,,,
player,201112110det,min,PondCh00,rec_long,0,,,,,
player,201112110det,min,PondCh00,fumbles,2,,,,,
player,201112110det,min,PondCh00,fumbles_lost,1,,,,,
player,201112110det,min,GerhTo00,pass_cmp,0,,,,,
player,201112110det,min,GerhTo00,pass_att,0,,,,,
player,201112110det,min,GerhTo00,pass_yds,0,,,,,
player,201112110det,min,GerhTo00,pass_td,0,,,,,
player,201112110det,min,GerhTo00,pass_int,0,,,,,
player,201112110det,min,GerhTo00,pass_sacked,0,,,,,
player,201112110det,min,GerhTo00,pass_sacked_yds,0,,,,,
player,201112110det,min,GerhTo00,pass_long,0,,,,,
player,201112110det,min,GerhTo00,pass_rating,,,,,,
player,201112110det,min,GerhTo00,rush_att,19,,,,,
player,201112110det,min,GerhTo00,rush_yds,90,,,,,
player,201112110det,min,GerhTo00,rush_td,0,,,,,
player,201112110det,min,GerhTo00,rush_long,15,,,,,
player,201112110det,min,GerhTo00,targets,3,,,,,
player,201112110det,min,GerhTo00,rec,3,,,,,
player,201112110det,min,GerhTo00,rec_yds,19,,,,,
player,201112110det,min,GerhTo00,rec_td,1,,,,,
player,201112110det,min,GerhTo00,rec_long,9,,,,,
player,201112110det,min,GerhTo00,fumbles,0,,,,,
player,201112110det,min,GerhTo00,fumbles_lost,,,,,,
player,201112110det,min,HarvPe00,pass_cmp,0,,,,,
player,201112110det,min,HarvPe00,pass_att,0,,,,,
player,201112110det,min,HarvPe00,pass_yds,0,,,,,
player,201112110det,min,HarvPe00,pass_td,0,,,,,
player,201112110det,min,HarvPe00,pass_int,0,,,,,
player,201112110det,min,HarvPe00,pass_sacked,0,,,,,
player,201112110det,min,HarvPe00,pass_sacked_yds,0,,,,,
player,201112110det,min,HarvPe00,pass_long,0,,,,,
player,201112110det,min,HarvPe00,pass_rating,,,,,,
player,201112110det,min,HarvPe00,rush_att,4,,,,,
player,201112110det,min,HarvPe00,rush_yds,40,,,,,
player,201112110det,min,HarvPe00,rush_td,0,,,,,
player,201112110det,min,HarvPe00,rush_long,32,,,,,
player,201112110det,min,HarvPe00,targets,15,,,,,
player,201112110det,min,HarvPe00,rec,10,,,,,
player,201112110det,min,HarvPe00,rec_yds,69,,,,,
player,201112110det,min,HarvPe00,rec_td,1,,,,,
player,201112110det,min,HarvPe00,rec_long,16,,,,,
player,201112110det,min,HarvPe00,fumbles,0,,,,,
player,201112110det,min,HarvPe00,fumbles_lost,,,,,,
player,201112110det,min,BookLo00,pass_cmp,0,,,,,
player,201112110det,min,BookLo00,pass_att,0,,,,,
player,201112110det,min,BookLo00,pass_yds,0,,,,,
player,201112110det,min,BookLo00,pass_td,0,,,,,
player,201112110det,min,BookLo00,pass_int,0,,,,,
player,201112110det,min,BookLo00,pass_sacked,0,,,,,
player,201112110det,min,BookLo00,pass_sacked_yds,0,,,,,
player,201112110det,min,BookLo00,pass_long,0,,,,,
player,201112110det,min,BookLo00,pass_rating,,,,,,
player,201112110det,min,BookLo00,rush_att,3,,,,,
player,201112110det,min,BookLo00,rush_yds,17,,,,,
player,201112110det,min,BookLo00,rush_td,0,,,,,
player,201112110det,min,BookLo00,rush_long,13,,,,,
player,201112110det,min,BookLo00,targets,0,,,,,
player,201112110det,min,BookLo00,rec,0,,,,,
player,201112110det,min,BookLo00,rec_yds,0,,,,,
player,201112110det,min,BookLo00,rec_td,0,,,,,
player,201112110det,min,BookLo00,rec_long,0,,,,,
player,201112110det,min,BookLo00,fumbles,2,,,,,
player,201112110det,min,BookLo00,fumbles_lost,1,,,,,
player,201112110det,min,AromDe00,pass_cmp,0,,,,,
player,201112110det,min,AromDe00,pass_att,0,,,,,
player,201112110det,min,AromDe00,pass_yds,0,,,,,
player,201112110det,min,AromDe00,pass_td,0,,,,,
player,201112110det,min,AromDe00,pass_int,0,,,,,
player,201112110det,min,AromDe00,pass_sacked,0,,,,,
player,201112110det,min,AromDe00,pass_sacked_yds,0,,,,,
player,201112110det,min,AromDe00,pass_long,0,,,,,
player,201112110det,min,AromDe00,pass_rating,,,,,,
player,201112110det,min,AromDe00,rush_att,0,,,,,
player,201112110det,min,AromDe00,rush_yds,0,,,,,
player,201112110det,min,AromDe00,rush_td,0,,,,,
player,201112110det,min,AromDe00,rush_long,0,,,,,
player,201112110det,min,AromDe00,targets,10,,,,,
player,201112110det,min,AromDe00,rec,4,,,,,
player,201112110det,min,AromDe00,rec_yds,47,,,,,
player,201112110det,min,AromDe00,rec_td,0,,,,,
player,201112110det,min,AromDe00,rec_long,28,,,,,
player,201112110det,min,AromDe00,fumbles,0,,,,,
player,201112110det,min,AromDe00,fumbles_lost,,,,,,
player,201112110det,min,ShiaVi00,pass_cmp,0,,,,,
player,201112110det,min,ShiaVi00,pass_att,0,,,,,
player,201112110det,min,ShiaVi00,pass_yds,0,,,,,
player,201112110det,min,ShiaVi00,pass_td,0,,,,,
player,201112110det,min,ShiaVi00,pass_int,0,,,,,
player,201112110det,min,ShiaVi00,pass_sacked,0,,,,,
player,201112110det,min,ShiaVi00,pass_sacked_yds,0,,,,,
player,201112110det,min,ShiaVi00,pass_long,0,,,,,
player,201112110det,min,ShiaVi00,pass_rating,,,,,,
player,201112110det,min,ShiaVi00,rush_att,0,,,,,
player,201112110det,min,ShiaVi00,rush_yds,0,,,,,
player,201112110det,min,ShiaVi00,rush_td,0,,,,,
player,201112110det,min,ShiaVi00,rush_long,0,,,,,
player,201112110det,min,ShiaVi00,targets,7,,,,,
player,201112110det,min,ShiaVi00,rec,3,,,,,
player,201112110det,min,ShiaVi00,rec_yds,33,,,,,
player,201112110det,min,ShiaVi00,rec_td,1,,,,,
player,201112110det,min,ShiaVi00,rec_long,18,,,,,
player,201112110det,min,ShiaVi00,fumbles,0,,,,,
