game,2011,15,20111215,201112150atl,jax,"Jacksonville Jaguars",14,atl,"Atlanta Falcons",41
team,201112150atl,jax,First Downs,12,,,,,,
team,201112150atl,atl,First Downs,20,,,,,,
team,201112150atl,jax,Rush-Yds-TDs,19-116-0,,,,,,
team,201112150atl,atl,Rush-Yds-TDs,35-97-1,,,,,,
team,201112150atl,jax,Cmp-Att-Yd-TD-INT,12-22-141-1-1,,,,,,
team,201112150atl,atl,Cmp-Att-Yd-TD-INT,24-32-280-3-0,,,,,,
team,201112150atl,jax,Sacked-Yards,5-50,,,,,,
team,201112150atl,atl,Sacked-Yards,1-4,,,,,,
team,201112150atl,jax,Net Pass Yards,91,,,,,,
team,201112150atl,atl,Net Pass Yards,276,,,,,,
team,201112150atl,jax,Total Yards,207,,,,,,
team,201112150atl,atl,Total Yards,373,,,,,,
team,201112150atl,jax,Fumbles-Lost,3-3,,,,,,
team,201112150atl,atl,Fumbles-Lost,0-0,,,,,,
team,201112150atl,jax,Turnovers,4,,,,,,
team,201112150atl,atl,Turnovers,0,,,,,,
team,201112150atl,jax,Penalties-Yards,5-40,,,,,,
team,201112150atl,atl,Penalties-Yards,4-31,,,,,,
team,201112150atl,jax,Third Down Conv.,3-10,,,,,,
team,201112150atl,atl,Third Down Conv.,6-15,,,,,,
team,201112150atl,jax,Fourth Down Conv.,0-0,,,,,,
team,201112150atl,atl,Fourth Down Conv.,0-1,,,,,,
team,201112150atl,jax,Time of Possession,21:29,,,,,,
team,201112150atl,atl,Time of Possession,38:31,,,,,,
player,201112150atl,jax,GabbBl00,pass_cmp,12,,,,,
player,201112150atl,jax,GabbBl00,pass_att,22,,,,,
player,201112150atl,jax,GabbBl00,pass_yds,141,,,,,
player,201112150atl,jax,GabbBl00,pass_td,1,,,,,
player,201112150atl,jax,GabbBl00,pass_int,1,,,,,
player,201112150atl,jax,GabbBl00,pass_sacked,5,,,,,
player,201112150atl,jax,GabbBl00,pass_sacked_yds,50,,,,,
player,201112150atl,jax,GabbBl00,pass_long,22,,,,,
player,201112150atl,jax,GabbBl00,pass_rating,70.5,,,,,
player,201112150atl,jax,GabbBl00,rush_att,1,,,,,
player,201112150atl,jax,GabbBl00,rush_yds,5,,,,,
player,201112150atl,jax,GabbBl00,rush_td,0,,,,,
player,201112150atl,jax,GabbBl00,rush_long,5,,,,,
player,201112150atl,jax,GabbBl00,targets,0,,,,,
player,201112150atl,jax,GabbBl00,rec,0,,,,,
player,201112150atl,jax,GabbBl00,rec_yds,0,,,,,
player,201112150atl,jax,GabbBl00,rec_td,0,,,,,
player,201112150atl,jax,GabbBl00,rec_long,0,,,,,
player,201112150atl,jax,GabbBl00,fumbles,2,,,,,
player,201112150atl,jax,GabbBl00,fumbles_lost,2,,,,,
player,201112150atl,jax,DrewMa00,pass_cmp,0,,,,,
player,201112150atl,jax,DrewMa00,pass_att,0,,,,,
player,201112150atl,jax,DrewMa00,pass_yds,0,,,,,
player,201112150atl,jax,DrewMa00,pass_td,0,,,,,
player,201112150atl,jax,DrewMa00,pass_int,0,,,,,
player,201112150atl,jax,DrewMa00,pass_sacked,0,,,,,
player,201112150atl,jax,DrewMa00,pass_sacked_yds,0,,,,,
player,201112150atl,jax,DrewMa00,pass_long,0,,,,,
player,201112150atl,jax,DrewMa00,pass_rating,,,,,,
player,201112150atl,jax,DrewMa00,rush_att,17,,,,,
player,201112150atl,jax,DrewMa00,rush_yds,112,,,,,
player,201112150atl,jax,DrewMa00,rush_td,0,,,,,
player,201112150atl,jax,DrewMa00,rush_long,43,,,,,
player,201112150atl,jax,DrewMa00,targets,1,,,,,
player,201112150atl,jax,DrewMa00,rec,1,,,,,
player,201112150atl,jax,DrewMa00,rec_yds,1,,,,,
player,201112150atl,jax,DrewMa00,rec_td,0,,,,,
player,201112150atl,jax,DrewMa00,rec_long,1,,,,,
player,201112150atl,jax,DrewMa00,fumbles,0,,,,,
player,201112150atl,jax,DrewMa00,fumbles_lost,,,,,,
player,201112150atl,jax,PricTa00,pass_cmp,0,,,,,
player,201112150atl,jax,PricTa00,pass_att,0,,,,,
player,201112150atl,jax,PricTa00,pass_yds,0,,,,,
player,201112150atl,jax,PricTa00,pass_td,0,,,,,
player,201112150atl,jax,PricTa00,pass_int,0,,,,,
player,201112150atl,jax,PricTa00,pass_sacked,0,,,,,
player,201112150atl,jax,PricTa00,pass_sacked_yds,0,,,,,
player,201112150atl,jax,PricTa00,pass_long,0,,,,,
player,201112150atl,jax,PricTa00,pass_rating,,,,,,
player,201112150atl,jax,PricTa00,rush_att,0,,,,,
player,201112150atl,jax,PricTa00,rush_yds,0,,,,,
player,201112150atl,jax,PricTa00,rush_td,0,,,,,
player,201112150atl,jax,PricTa00,rush_long,0,,,,,
player,201112150atl,jax,PricTa00,targets,3,,,,,
player,201112150atl,jax,PricTa00,rec,2,,,,,
player,201112150atl,jax,PricTa00,rec_yds,39,,,,,
player,201112150atl,jax,PricTa00,rec_td,0,,,,,
player,201112150atl,jax,PricTa00,rec_long,21,,,,,
player,201112150atl,jax,PricTa00,fumbles,0,,,,,
player,201112150atl,jax,PricTa00,fumbles_lost,,,,,,
player,201112150atl,jax,WestCh00,pass_cmp,0,,,,,
player,201112150atl,jax,WestCh00,pass_att,0,,,,,
player,201112150atl,jax,WestCh00,pass_yds,0,,,,,
player,201112150atl,jax,WestCh00,pass_td,0,,,,,
player,201112150atl,jax,WestCh00,pass_int,0,,,,,
player,201112150atl,jax,WestCh00,pass_sacked,0,,,,,
player,201112150atl,jax,WestCh00,pass_sacked_yds,0,,,,,
player,201112150atl,jax,WestCh00,pass_long,0,,,,,
player,201112150atl,jax,WestCh00,pass_rating,,,,,,
player,201112150atl,jax,WestCh00,rush_att,0,,,,,
player,201112150atl,jax,WestCh00,rush_yds,0,,,,,
player,201112150atl,jax,WestCh00,rush_td,0,,,,,
player,201112150atl,jax,WestCh00,rush_long,0,,,,,
player,201112150atl,jax,WestCh00,targets,7,,,,,
player,201112150atl,jax,WestCh00,rec,3,,,,,
player,201112150atl,jax,WestCh00,rec_yds,38,,,,,
player,201112150atl,jax,WestCh00,rec_td,1,,,,,
player,201112150atl,jax,WestCh00,rec_long,16,,,,,
player,201112150atl,jax,WestCh00,fumbles,0,,,,,
player,201112150atl,jax,WestCh00,fumbles_lost,,,,,,
player,201112150atl,jax,LewiMa00,pass_cmp,0,,,,,
player,201112150atl,jax,LewiMa00,pass_att,0,,,,,
player,201112150atl,jax,LewiMa00,pass_yds,0,,,,,
player,201112150atl,jax,LewiMa00,pass_td,0,,,,,
player,201112150atl,jax,LewiMa00,pass_int,0,,,,,
player,201112150atl,jax,LewiMa00,pass_sacked,0,,,,,
player,201112150atl,jax,LewiMa00,pass_sacked_yds,0,,,,,
player,201112150atl,jax,LewiMa00,pass_long,0,,,,,
player,201112150atl,jax,LewiMa00,pass_rating,,,,,,
player,201112150atl,jax,LewiMa00,rush_att,0,,,,,
player,201112150atl,jax,LewiMa00,rush_yds,0,,,,,
player,201112150atl,jax,LewiMa00,rush_td,0,,,,,
player,201112150atl,jax,LewiMa00,rush_long,0,,,,,
player,201112150atl,jax,LewiMa00,targets,5,,,,,
player,201112150atl,jax,LewiMa00,rec,3,,,,,
player,201112150atl,jax,LewiMa00,rec_yds,30,,,,,
player,201112150atl,jax,LewiMa00,rec_td,0,,,,,
player,201112150atl,jax,LewiMa00,rec_long,22,,,,,
player,201112150atl,jax,LewiMa00,fumbles,0,,,,,
player,201112150atl,jax,LewiMa00,fumbles_lost,,,,,,
player,201112150atl,jax,ClohCo00,pass_cmp,0,,,,,
player,201112150atl,jax,ClohCo00,pass_att,0,,,,,
player,201112150atl,jax,ClohCo00,pass_yds,0,,,,,
player,201112150atl,jax,ClohCo00,pass_td,0,,,,,
player,201112150atl,jax,ClohCo00,pass_int,0,,,,,
player,201112150atl,jax,ClohCo00,pass_sacked,0,,,,,
player,201112150atl,jax,ClohCo00,pass_sacked_yds,0,,,,,
player,201112150atl,jax,ClohCo00,pass_long,0,,,,,
player,201112150atl,jax,ClohCo00,pass_rating,,,,,,
player,201112150atl,jax,ClohCo00,rush_att,0,,,,,
player,201112150atl,jax,ClohCo00,rush_yds,0,,,,,
player,201112150atl,jax,ClohCo00,rush_td,0,,,,,
player,201112150atl,jax,ClohCo00,rush_long,0,,,,,
player,201112150atl,jax,ClohCo00,targets,2,,,,,
player,201112150atl,jax,ClohCo00,rec,1,,,,,
player,201112150atl,jax,ClohCo00,rec_yds,21,,,,,
player,201112150atl,jax,ClohCo00,rec_td,0,,,,,
