game,2011,15,20111218,201112180chi,sea,"Seattle Seahawks",38,chi,"Chicago Bears",14
team,201112180chi,sea,First Downs,18,,,,,,
team,201112180chi,chi,First Downs,13,,,,,,
team,201112180chi,sea,Rush-Yds-TDs,33-60-2,,,,,,
team,201112180chi,chi,Rush-Yds-TDs,31-132-0,,,,,,
team,201112180chi,sea,Cmp-Att-Yd-TD-INT,19-31-227-1-0,,,,,,
team,201112180chi,chi,Cmp-Att-Yd-TD-INT,11-25-123-1-4,,,,,,
team,201112180chi,sea,Sacked-Yards,1-1,,,,,,
team,201112180chi,chi,Sacked-Yards,4-34,,,,,,
team,201112180chi,sea,Net Pass Yards,226,,,,,,
team,201112180chi,chi,Net Pass Yards,89,,,,,,
team,201112180chi,sea,Total Yards,286,,,,,,
team,201112180chi,chi,Total Yards,221,,,,,,
team,201112180chi,sea,Fumbles-Lost,2-1,,,,,,
team,201112180chi,chi,Fumbles-Lost,1-1,,,,,,
team,201112180chi,sea,Turnovers,1,,,,,,
team,201112180chi,chi,Turnovers,5,,,,,,
team,201112180chi,sea,Penalties-Yards,6-36,,,,,,
team,201112180chi,chi,Penalties-Yards,5-45,,,,,,
team,201112180chi,sea,Third Down Conv.,6-16,,,,,,
team,201112180chi,chi,Third Down Conv.,3-10,,,,,,
team,201112180chi,sea,Fourth Down Conv.,0-2,,,,,,
team,201112180chi,chi,Fourth Down Conv.,0-0,,,,,,
team,201112180chi,sea,Time of Possession,31:37,,,,,,
team,201112180chi,chi,Time of Possession,28:23,,,,,,
player,201112180chi,sea,JackTa00,pass_cmp,19,,,,,
player,201112180chi,sea,JackTa00,pass_att,31,,,,,
player,201112180chi,sea,JackTa00,pass_yds,227,,,,,
player,201112180chi,sea,JackTa00,pass_td,1,,,,,
player,201112180chi,sea,JackTa00,pass_int,0,,,,,
player,201112180chi,sea,JackTa00,pass_sacked,1,,,,,
player,201112180chi,sea,JackTa00,pass_sacked_yds,1,,,,,
player,201112180chi,sea,JackTa00,pass_long,43,,,,,
player,201112180chi,sea,JackTa00,pass_rating,94.4,,,,,
player,201112180chi,sea,JackTa00,rush_att,3,,,,,
player,201112180chi,sea,JackTa00,rush_yds,-2,,,,,
player,201112180chi,sea,JackTa00,rush_td,0,,,,,
player,201112180chi,sea,JackTa00,rush_long,2,,,,,
player,201112180chi,sea,JackTa00,targets,0,,,,,
player,201112180chi,sea,JackTa00,rec,0,,,,,
player,201112180chi,sea,JackTa00,rec_yds,0,,,,,
player,201112180chi,sea,JackTa00,rec_td,0,,,,,
player,201112180chi,sea,JackTa00,rec_long,0,,,,,
player,201112180chi,sea,JackTa00,fumbles,1,,,,,
player,201112180chi,sea,JackTa00,fumbles_lost,0,,,,,
player,201112180chi,sea,LyncMa00,pass_cmp,0,,,,,
player,201112180chi,sea,LyncMa00,pass_att,0,,,,,
player,201112180chi,sea,LyncMa00,pass_yds,0,,,,,
player,201112180chi,sea,LyncMa00,pass_td,0,,,,,
player,201112180chi,sea,LyncMa00,pass_int,0,,,,,
player,201112180chi,sea,LyncMa00,pass_sacked,0,,,,,
player,201112180chi,sea,LyncMa00,pass_sacked_yds,0,,,,,
player,201112180chi,sea,LyncMa00,pass_long,0,,,,,
player,201112180chi,sea,LyncMa00,pass_rating,,,,,,
player,201112180chi,sea,LyncMa00,rush_att,20,,,,,
player,201112180chi,sea,LyncMa00,rush_yds,42,,,,,
player,201112180chi,sea,LyncMa00,rush_td,2,,,,,
player,201112180chi,sea,LyncMa00,rush_long,15,,,,,
player,201112180chi,sea,LyncMa00,targets,2,,,,,
player,201112180chi,sea,LyncMa00,rec,2,,,,,
player,201112180chi,sea,LyncMa00,rec_yds,5,,,,,
player,201112180chi,sea,LyncMa00,rec_td,0,,,,,
