game,2011,15,20111218,201112180htx,car,"Carolina Panthers",28,htx,"Houston Texans",13
team,201112180htx,car,First Downs,20,,,,,,
team,201112180htx,htx,First Downs,18,,,,,,
team,201112180htx,car,Rush-Yds-TDs,34-166-2,,,,,,
team,201112180htx,htx,Rush-Yds-TDs,25-150-1,,,,,,
team,201112180htx,car,Cmp-Att-Yd-TD-INT,14-24-160-2-0,,,,,,
team,201112180htx,htx,Cmp-Att-Yd-TD-INT,19-30-212-0-2,,,,,,
team,201112180htx,car,Sacked-Yards,2-10,,,,,,
team,201112180htx,htx,Sacked-Yards,2-4,,,,,,
team,201112180htx,car,Net Pass Yards,150,,,,,,
team,201112180htx,htx,Net Pass Yards,208,,,,,,
team,201112180htx,car,Total Yards,316,,,,,,
team,201112180htx,htx,Total Yards,358,,,,,,
team,201112180htx,car,Fumbles-Lost,0-0,,,,,,
team,201112180htx,htx,Fumbles-Lost,2-1,,,,,,
team,201112180htx,car,Turnovers,0,,,,,,
team,201112180htx,htx,Turnovers,3,,,,,,
team,201112180htx,car,Penalties-Yards,7-40,,,,,,
team,201112180htx,htx,Penalties-Yards,6-60,,,,,,
team,201112180htx,car,Third Down Conv.,9-14,,,,,,
team,201112180htx,htx,Third Down Conv.,2-9,,,,,,
team,201112180htx,car,Fourth Down Conv.,0-0,,,,,,
team,201112180htx,htx,Fourth Down Conv.,0-0,,,,,,
team,201112180htx,car,Time of Possession,32:34,,,,,,
team,201112180htx,htx,Time of Possession,27:26,,,,,,
player,201112180htx,car,NewtCa00,pass_cmp,13,,,,,
player,201112180htx,car,NewtCa00,pass_att,23,,,,,
player,201112180htx,car,NewtCa00,pass_yds,149,,,,,
player,201112180htx,car,NewtCa00,pass_td,2,,,,,
player,201112180htx,car,NewtCa00,pass_int,0,,,,,
player,201112180htx,car,NewtCa00,pass_sacked,2,,,,,
player,201112180htx,car,NewtCa00,pass_sacked_yds,10,,,,,
player,201112180htx,car,NewtCa00,pass_long,26,,,,,
player,201112180htx,car,NewtCa00,pass_rating,105.2,,,,,
player,201112180htx,car,NewtCa00,rush_att,7,,,,,
player,201112180htx,car,NewtCa00,rush_yds,55,,,,,
player,201112180htx,car,NewtCa00,rush_td,0,,,,,
player,201112180htx,car,NewtCa00,rush_long,17,,,,,
player,201112180htx,car,NewtCa00,targets,0,,,,,
player,201112180htx,car,NewtCa00,rec,0,,,,,
player,201112180htx,car,NewtCa00,rec_yds,0,,,,,
player,201112180htx,car,NewtCa00,rec_td,0,,,,,
player,201112180htx,car,NewtCa00,rec_long,0,,,,,
player,201112180htx,car,NewtCa00,fumbles,0,,,,,
player,201112180htx,car,NewtCa00,fumbles_lost,,,,,,
player,201112180htx,car,EdwaAr00,pass_cmp,1,,,,,
player,201112180htx,car,EdwaAr00,pass_att,1,,,,,
player,201112180htx,car,EdwaAr00,pass_yds,11,,,,,
player,201112180htx,car,EdwaAr00,pass_td,0,,,,,
player,201112180htx,car,EdwaAr00,pass_int,0,,,,,
player,201112180htx,car,EdwaAr00,pass_sacked,0,,,,,
player,201112180htx,car,EdwaAr00,pass_sacked_yds,0,,,,,
player,201112180htx,car,EdwaAr00,pass_long,11,,,,,
player,201112180htx,car,EdwaAr00,pass_rating,112.5,,,,,
player,201112180htx,car,EdwaAr00,rush_att,0,,,,,
player,201112180htx,car,EdwaAr00,rush_yds,0,,,,,
player,201112180htx,car,EdwaAr00,rush_td,0,,,,,
player,201112180htx,car,EdwaAr00,rush_long,0,,,,,
player,201112180htx,car,EdwaAr00,targets,0,,,,,
player,201112180htx,car,EdwaAr00,rec,0,,,,,
player,201112180htx,car,EdwaAr00,rec_yds,0,,,,,
player,201112180htx,car,EdwaAr00,rec_td,0,,,,,
player,201112180htx,car,EdwaAr00,rec_long,0,,,,,
player,201112180htx,car,EdwaAr00,fumbles,0,,,,,
player,201112180htx,car,EdwaAr00,fumbles_lost,,,,,,
player,201112180htx,car,WillDe02,pass_cmp,0,,,,,
player,201112180htx,car,WillDe02,pass_att,0,,,,,
player,201112180htx,car,WillDe02,pass_yds,0,,,,,
player,201112180htx,car,WillDe02,pass_td,0,,,,,
player,201112180htx,car,WillDe02,pass_int,0,,,,,
player,201112180htx,car,WillDe02,pass_sacked,0,,,,,
player,201112180htx,car,WillDe02,pass_sacked_yds,0,,,,,
player,201112180htx,car,WillDe02,pass_long,0,,,,,
player,201112180htx,car,WillDe02,pass_rating,,,,,,
player,201112180htx,car,WillDe02,rush_att,15,,,,,
player,201112180htx,car,WillDe02,rush_yds,61,,,,,
player,201112180htx,car,WillDe02,rush_td,1,,,,,
player,201112180htx,car,WillDe02,rush_long,24,,,,,
player,201112180htx,car,WillDe02,targets,0,,,,,
player,201112180htx,car,WillDe02,rec,0,,,,,
player,201112180htx,car,WillDe02,rec_yds,0,,,,,
player,201112180htx,car,WillDe02,rec_td,0,,,,,
player,201112180htx,car,WillDe02,rec_long,0,,,,,
player,201112180htx,car,WillDe02,fumbles,0,,,,,
player,201112180htx,car,WillDe02,fumbles_lost,,,,,,
player,201112180htx,car,StewJo00,pass_cmp,0,,,,,
player,201112180htx,car,StewJo00,pass_att,0,,,,,
player,201112180htx,car,StewJo00,pass_yds,0,,,,,
player,201112180htx,car,StewJo00,pass_td,0,,,,,
player,201112180htx,car,StewJo00,pass_int,0,,,,,
player,201112180htx,car,StewJo00,pass_sacked,0,,,,,
player,201112180htx,car,StewJo00,pass_sacked_yds,0,,,,,
