game,2011,15,20111218,201112180kan,gnb,"Green Bay Packers",14,kan,"Kansas City Chiefs",19
team,201112180kan,gnb,First Downs,16,,,,,,
team,201112180kan,kan,First Downs,23,,,,,,
team,201112180kan,gnb,Rush-Yds-TDs,18-102-1,,,,,,
team,201112180kan,kan,Rush-Yds-TDs,39-139-1,,,,,,
team,201112180kan,gnb,Cmp-Att-Yd-TD-INT,17-35-235-1-0,,,,,,
team,201112180kan,kan,Cmp-Att-Yd-TD-INT,23-31-299-0-0,,,,,,
team,201112180kan,gnb,Sacked-Yards,4-22,,,,,,
team,201112180kan,kan,Sacked-Yards,0-0,,,,,,
team,201112180kan,gnb,Net Pass Yards,213,,,,,,
team,201112180kan,kan,Net Pass Yards,299,,,,,,
team,201112180kan,gnb,Total Yards,315,,,,,,
team,201112180kan,kan,Total Yards,438,,,,,,
team,201112180kan,gnb,Fumbles-Lost,2-0,,,,,,
team,201112180kan,kan,Fumbles-Lost,0-0,,,,,,
team,201112180kan,gnb,Turnovers,0,,,,,,
team,201112180kan,kan,Turnovers,0,,,,,,
team,201112180kan,gnb,Penalties-Yards,5-37,,,,,,
team,201112180kan,kan,Penalties-Yards,7-55,,,,,,
team,201112180kan,gnb,Third Down Conv.,6-14,,,,,,
team,201112180kan,kan,Third Down Conv.,4-12,,,,,,
team,201112180kan,gnb,Fourth Down Conv.,0-1,,,,,,
team,201112180kan,kan,Fourth Down Conv.,0-1,,,,,,
team,201112180kan,gnb,Time of Possession,23:49,,,,,,
team,201112180kan,kan,Time of Possession,36:11,,,,,,
player,201112180kan,gnb,RodgAa00,pass_cmp,17,,,,,
player,201112180kan,gnb,RodgAa00,pass_att,35,,,,,
player,201112180kan,gnb,RodgAa00,pass_yds,235,,,,,
player,201112180kan,gnb,RodgAa00,pass_td,1,,,,,
player,201112180kan,gnb,RodgAa00,pass_int,0,,,,,
player,201112180kan,gnb,RodgAa00,pass_sacked,4,,,,,
player,201112180kan,gnb,RodgAa00,pass_sacked_yds,22,,,,,
player,201112180kan,gnb,RodgAa00,pass_long,41,,,,,
player,201112180kan,gnb,RodgAa00,pass_rating,80.1,,,,,
player,201112180kan,gnb,RodgAa00,rush_att,3,,,,,
player,201112180kan,gnb,RodgAa00,rush_yds,32,,,,,
player,201112180kan,gnb,RodgAa00,rush_td,1,,,,,
player,201112180kan,gnb,RodgAa00,rush_long,19,,,,,
player,201112180kan,gnb,RodgAa00,targets,0,,,,,
player,201112180kan,gnb,RodgAa00,rec,0,,,,,
player,201112180kan,gnb,RodgAa00,rec_yds,0,,,,,
player,201112180kan,gnb,RodgAa00,rec_td,0,,,,,
player,201112180kan,gnb,RodgAa00,rec_long,0,,,,,
player,201112180kan,gnb,RodgAa00,fumbles,1,,,,,
player,201112180kan,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201112180kan,gnb,GranRy00,pass_cmp,0,,,,,
player,201112180kan,gnb,GranRy00,pass_att,0,,,,,
player,201112180kan,gnb,GranRy00,pass_yds,0,,,,,
player,201112180kan,gnb,GranRy00,pass_td,0,,,,,
player,201112180kan,gnb,GranRy00,pass_int,0,,,,,
player,201112180kan,gnb,GranRy00,pass_sacked,0,,,,,
player,201112180kan,gnb,GranRy00,pass_sacked_yds,0,,,,,
player,201112180kan,gnb,GranRy00,pass_long,0,,,,,
player,201112180kan,gnb,GranRy00,pass_rating,,,,,,
player,201112180kan,gnb,GranRy00,rush_att,12,,,,,
player,201112180kan,gnb,GranRy00,rush_yds,66,,,,,
player,201112180kan,gnb,GranRy00,rush_td,0,,,,,
player,201112180kan,gnb,GranRy00,rush_long,18,,,,,
player,201112180kan,gnb,GranRy00,targets,5,,,,,
player,201112180kan,gnb,GranRy00,rec,3,,,,,
player,201112180kan,gnb,GranRy00,rec_yds,35,,,,,
player,201112180kan,gnb,GranRy00,rec_td,0,,,,,
player,201112180kan,gnb,GranRy00,rec_long,22,,,,,
player,201112180kan,gnb,GranRy00,fumbles,0,,,,,
player,201112180kan,gnb,GranRy00,fumbles_lost,,,,,,
player,201112180kan,gnb,CobbRa00,pass_cmp,0,,,,,
player,201112180kan,gnb,CobbRa00,pass_att,0,,,,,
player,201112180kan,gnb,CobbRa00,pass_yds,0,,,,,
player,201112180kan,gnb,CobbRa00,pass_td,0,,,,,
player,201112180kan,gnb,CobbRa00,pass_int,0,,,,,
player,201112180kan,gnb,CobbRa00,pass_sacked,0,,,,,
player,201112180kan,gnb,CobbRa00,pass_sacked_yds,0,,,,,
player,201112180kan,gnb,CobbRa00,pass_long,0,,,,,
player,201112180kan,gnb,CobbRa00,pass_rating,,,,,,
player,201112180kan,gnb,CobbRa00,rush_att,1,,,,,
player,201112180kan,gnb,CobbRa00,rush_yds,4,,,,,
player,201112180kan,gnb,CobbRa00,rush_td,0,,,,,
player,201112180kan,gnb,CobbRa00,rush_long,4,,,,,
player,201112180kan,gnb,CobbRa00,targets,4,,,,,
player,201112180kan,gnb,CobbRa00,rec,4,,,,,
player,201112180kan,gnb,CobbRa00,rec_yds,53,,,,,
player,201112180kan,gnb,CobbRa00,rec_td,0,,,,,
player,201112180kan,gnb,CobbRa00,rec_long,16,,,,,
player,201112180kan,gnb,CobbRa00,fumbles,0,,,,,
player,201112180kan,gnb,CobbRa00,fumbles_lost,,,,,,
player,201112180kan,gnb,FinlJe00,pass_cmp,0,,,,,
player,201112180kan,gnb,FinlJe00,pass_att,0,,,,,
player,201112180kan,gnb,FinlJe00,pass_yds,0,,,,,
player,201112180kan,gnb,FinlJe00,pass_td,0,,,,,
player,201112180kan,gnb,FinlJe00,pass_int,0,,,,,
player,201112180kan,gnb,FinlJe00,pass_sacked,0,,,,,
player,201112180kan,gnb,FinlJe00,pass_sacked_yds,0,,,,,
player,201112180kan,gnb,FinlJe00,pass_long,0,,,,,
player,201112180kan,gnb,FinlJe00,pass_rating,,,,,,
player,201112180kan,gnb,FinlJe00,rush_att,0,,,,,
player,201112180kan,gnb,FinlJe00,rush_yds,0,,,,,
player,201112180kan,gnb,FinlJe00,rush_td,0,,,,,
player,201112180kan,gnb,FinlJe00,rush_long,0,,,,,
player,201112180kan,gnb,FinlJe00,targets,10,,,,,
player,201112180kan,gnb,FinlJe00,rec,3,,,,,
player,201112180kan,gnb,FinlJe00,rec_yds,83,,,,,
player,201112180kan,gnb,FinlJe00,rec_td,0,,,,,
player,201112180kan,gnb,FinlJe00,rec_long,41,,,,,
player,201112180kan,gnb,FinlJe00,fumbles,0,,,,,
player,201112180kan,gnb,FinlJe00,fumbles_lost,,,,,,
player,201112180kan,gnb,NelsJo00,pass_cmp,0,,,,,
player,201112180kan,gnb,NelsJo00,pass_att,0,,,,,
player,201112180kan,gnb,NelsJo00,pass_yds,0,,,,,
player,201112180kan,gnb,NelsJo00,pass_td,0,,,,,
player,201112180kan,gnb,NelsJo00,pass_int,0,,,,,
player,201112180kan,gnb,NelsJo00,pass_sacked,0,,,,,
player,201112180kan,gnb,NelsJo00,pass_sacked_yds,0,,,,,
player,201112180kan,gnb,NelsJo00,pass_long,0,,,,,
player,201112180kan,gnb,NelsJo00,pass_rating,,,,,,
player,201112180kan,gnb,NelsJo00,rush_att,0,,,,,
player,201112180kan,gnb,NelsJo00,rush_yds,0,,,,,
player,201112180kan,gnb,NelsJo00,rush_td,0,,,,,
player,201112180kan,gnb,NelsJo00,rush_long,0,,,,,
player,201112180kan,gnb,NelsJo00,targets,4,,,,,
player,201112180kan,gnb,NelsJo00,rec,2,,,,,
player,201112180kan,gnb,NelsJo00,rec_yds,29,,,,,
player,201112180kan,gnb,NelsJo00,rec_td,0,,,,,
player,201112180kan,gnb,NelsJo00,rec_long,22,,,,,
player,201112180kan,gnb,NelsJo00,fumbles,0,,,,,
player,201112180kan,gnb,NelsJo00,fumbles_lost,,,,,,
player,201112180kan,gnb,JoneJa04,pass_cmp,0,,,,,
player,201112180kan,gnb,JoneJa04,pass_att,0,,,,,
player,201112180kan,gnb,JoneJa04,pass_yds,0,,,,,
player,201112180kan,gnb,JoneJa04,pass_td,0,,,,,
player,201112180kan,gnb,JoneJa04,pass_int,0,,,,,
player,201112180kan,gnb,JoneJa04,pass_sacked,0,,,,,
player,201112180kan,gnb,JoneJa04,pass_sacked_yds,0,,,,,
player,201112180kan,gnb,JoneJa04,pass_long,0,,,,,
player,201112180kan,gnb,JoneJa04,pass_rating,,,,,,
player,201112180kan,gnb,JoneJa04,rush_att,0,,,,,
player,201112180kan,gnb,JoneJa04,rush_yds,0,,,,,
player,201112180kan,gnb,JoneJa04,rush_td,0,,,,,
player,201112180kan,gnb,JoneJa04,rush_long,0,,,,,
player,201112180kan,gnb,JoneJa04,targets,4,,,,,
player,201112180kan,gnb,JoneJa04,rec,2,,,,,
player,201112180kan,gnb,JoneJa04,rec_yds,17,,,,,
player,201112180kan,gnb,JoneJa04,rec_td,0,,,,,
player,201112180kan,gnb,JoneJa04,rec_long,9,,,,,
player,201112180kan,gnb,JoneJa04,fumbles,0,,,,,
player,201112180kan,gnb,JoneJa04,fumbles_lost,,,,,,
player,201112180kan,gnb,KuhnJo00,pass_cmp,0,,,,,
player,201112180kan,gnb,KuhnJo00,pass_att,0,,,,,
player,201112180kan,gnb,KuhnJo00,pass_yds,0,,,,,
player,201112180kan,gnb,KuhnJo00,pass_td,0,,,,,
player,201112180kan,gnb,KuhnJo00,pass_int,0,,,,,
player,201112180kan,gnb,KuhnJo00,pass_sacked,0,,,,,
player,201112180kan,gnb,KuhnJo00,pass_sacked_yds,0,,,,,
player,201112180kan,gnb,KuhnJo00,pass_long,0,,,,,
player,201112180kan,gnb,KuhnJo00,pass_rating,,,,,,
player,201112180kan,gnb,KuhnJo00,rush_att,2,,,,,
player,201112180kan,gnb,KuhnJo00,rush_yds,0,,,,,
player,201112180kan,gnb,KuhnJo00,rush_td,0,,,,,
player,201112180kan,gnb,KuhnJo00,rush_long,0,,,,,
player,201112180kan,gnb,KuhnJo00,targets,1,,,,,
player,201112180kan,gnb,KuhnJo00,rec,1,,,,,
player,201112180kan,gnb,KuhnJo00,rec_yds,11,,,,,
player,201112180kan,gnb,KuhnJo00,rec_td,0,,,,,
player,201112180kan,gnb,KuhnJo00,rec_long,11,,,,,
player,201112180kan,gnb,KuhnJo00,fumbles,0,,,,,
player,201112180kan,gnb,KuhnJo00,fumbles_lost,,,,,,
player,201112180kan,gnb,DrivDo00,pass_cmp,0,,,,,
player,201112180kan,gnb,DrivDo00,pass_att,0,,,,,
player,201112180kan,gnb,DrivDo00,pass_yds,0,,,,,
player,201112180kan,gnb,DrivDo00,pass_td,0,,,,,
player,201112180kan,gnb,DrivDo00,pass_int,0,,,,,
player,201112180kan,gnb,DrivDo00,pass_sacked,0,,,,,
player,201112180kan,gnb,DrivDo00,pass_sacked_yds,0,,,,,
player,201112180kan,gnb,DrivDo00,pass_long,0,,,,,
player,201112180kan,gnb,DrivDo00,pass_rating,,,,,,
player,201112180kan,gnb,DrivDo00,rush_att,0,,,,,
player,201112180kan,gnb,DrivDo00,rush_yds,0,,,,,
player,201112180kan,gnb,DrivDo00,rush_td,0,,,,,
player,201112180kan,gnb,DrivDo00,rush_long,0,,,,,
player,201112180kan,gnb,DrivDo00,targets,4,,,,,
player,201112180kan,gnb,DrivDo00,rec,2,,,,,
player,201112180kan,gnb,DrivDo00,rec_yds,7,,,,,
player,201112180kan,gnb,DrivDo00,rec_td,1,,,,,
player,201112180kan,gnb,DrivDo00,rec_long,5,,,,,
player,201112180kan,gnb,DrivDo00,fumbles,0,,,,,
player,201112180kan,gnb,DrivDo00,fumbles_lost,,,,,,
player,201112180kan,gnb,CrabTo00,pass_cmp,0,,,,,
player,201112180kan,gnb,CrabTo00,pass_att,0,,,,,
