game,2011,15,20111219,201112190sfo,pit,"Pittsburgh Steelers",3,sfo,"San Francisco 49ers",20
team,201112190sfo,pit,First Downs,20,,,,,,
team,201112190sfo,sfo,First Downs,17,,,,,,
team,201112190sfo,pit,Rush-Yds-TDs,19-84-0,,,,,,
team,201112190sfo,sfo,Rush-Yds-TDs,30-100-1,,,,,,
team,201112190sfo,pit,Cmp-Att-Yd-TD-INT,25-44-330-0-3,,,,,,
team,201112190sfo,sfo,Cmp-Att-Yd-TD-INT,18-31-187-1-0,,,,,,
team,201112190sfo,pit,Sacked-Yards,3-25,,,,,,
team,201112190sfo,sfo,Sacked-Yards,0-0,,,,,,
team,201112190sfo,pit,Net Pass Yards,305,,,,,,
team,201112190sfo,sfo,Net Pass Yards,187,,,,,,
team,201112190sfo,pit,Total Yards,389,,,,,,
team,201112190sfo,sfo,Total Yards,287,,,,,,
team,201112190sfo,pit,Fumbles-Lost,2-1,,,,,,
team,201112190sfo,sfo,Fumbles-Lost,0-0,,,,,,
team,201112190sfo,pit,Turnovers,4,,,,,,
team,201112190sfo,sfo,Turnovers,0,,,,,,
team,201112190sfo,pit,Penalties-Yards,9-72,,,,,,
team,201112190sfo,sfo,Penalties-Yards,7-49,,,,,,
team,201112190sfo,pit,Third Down Conv.,8-14,,,,,,
team,201112190sfo,sfo,Third Down Conv.,4-13,,,,,,
team,201112190sfo,pit,Fourth Down Conv.,0-0,,,,,,
team,201112190sfo,sfo,Fourth Down Conv.,0-0,,,,,,
team,201112190sfo,pit,Time of Possession,31:26,,,,,,
team,201112190sfo,sfo,Time of Possession,28:34,,,,,,
player,201112190sfo,pit,RoetBe00,pass_cmp,25,,,,,
player,201112190sfo,pit,RoetBe00,pass_att,44,,,,,
player,201112190sfo,pit,RoetBe00,pass_yds,330,,,,,
player,201112190sfo,pit,RoetBe00,pass_td,0,,,,,
player,201112190sfo,pit,RoetBe00,pass_int,3,,,,,
player,201112190sfo,pit,RoetBe00,pass_sacked,3,,,,,
player,201112190sfo,pit,RoetBe00,pass_sacked_yds,25,,,,,
player,201112190sfo,pit,RoetBe00,pass_long,39,,,,,
player,201112190sfo,pit,RoetBe00,pass_rating,52.3,,,,,
player,201112190sfo,pit,RoetBe00,rush_att,1,,,,,
player,201112190sfo,pit,RoetBe00,rush_yds,0,,,,,
player,201112190sfo,pit,RoetBe00,rush_td,0,,,,,
player,201112190sfo,pit,RoetBe00,rush_long,0,,,,,
player,201112190sfo,pit,RoetBe00,targets,0,,,,,
player,201112190sfo,pit,RoetBe00,rec,0,,,,,
player,201112190sfo,pit,RoetBe00,rec_yds,0,,,,,
player,201112190sfo,pit,RoetBe00,rec_td,0,,,,,
player,201112190sfo,pit,RoetBe00,rec_long,0,,,,,
player,201112190sfo,pit,RoetBe00,fumbles,2,,,,,
player,201112190sfo,pit,RoetBe00,fumbles_lost,1,,,,,
player,201112190sfo,pit,MendRa00,pass_cmp,0,,,,,
player,201112190sfo,pit,MendRa00,pass_att,0,,,,,
player,201112190sfo,pit,MendRa00,pass_yds,0,,,,,
player,201112190sfo,pit,MendRa00,pass_td,0,,,,,
player,201112190sfo,pit,MendRa00,pass_int,0,,,,,
player,201112190sfo,pit,MendRa00,pass_sacked,0,,,,,
player,201112190sfo,pit,MendRa00,pass_sacked_yds,0,,,,,
player,201112190sfo,pit,MendRa00,pass_long,0,,,,,
player,201112190sfo,pit,MendRa00,pass_rating,,,,,,
player,201112190sfo,pit,MendRa00,rush_att,15,,,,,
player,201112190sfo,pit,MendRa00,rush_yds,64,,,,,
player,201112190sfo,pit,MendRa00,rush_td,0,,,,,
player,201112190sfo,pit,MendRa00,rush_long,11,,,,,
player,201112190sfo,pit,MendRa00,targets,4,,,,,
player,201112190sfo,pit,MendRa00,rec,3,,,,,
player,201112190sfo,pit,MendRa00,rec_yds,25,,,,,
player,201112190sfo,pit,MendRa00,rec_td,0,,,,,
player,201112190sfo,pit,MendRa00,rec_long,13,,,,,
player,201112190sfo,pit,MendRa00,fumbles,0,,,,,
player,201112190sfo,pit,MendRa00,fumbles_lost,,,,,,
player,201112190sfo,pit,MoorMe00,pass_cmp,0,,,,,
player,201112190sfo,pit,MoorMe00,pass_att,0,,,,,
player,201112190sfo,pit,MoorMe00,pass_yds,0,,,,,
player,201112190sfo,pit,MoorMe00,pass_td,0,,,,,
player,201112190sfo,pit,MoorMe00,pass_int,0,,,,,
player,201112190sfo,pit,MoorMe00,pass_sacked,0,,,,,
player,201112190sfo,pit,MoorMe00,pass_sacked_yds,0,,,,,
player,201112190sfo,pit,MoorMe00,pass_long,0,,,,,
player,201112190sfo,pit,MoorMe00,pass_rating,,,,,,
player,201112190sfo,pit,MoorMe00,rush_att,1,,,,,
player,201112190sfo,pit,MoorMe00,rush_yds,21,,,,,
player,201112190sfo,pit,MoorMe00,rush_td,0,,,,,
player,201112190sfo,pit,MoorMe00,rush_long,21,,,,,
player,201112190sfo,pit,MoorMe00,targets,2,,,,,
player,201112190sfo,pit,MoorMe00,rec,2,,,,,
player,201112190sfo,pit,MoorMe00,rec_yds,5,,,,,
player,201112190sfo,pit,MoorMe00,rec_td,0,,,,,
player,201112190sfo,pit,MoorMe00,rec_long,7,,,,,
player,201112190sfo,pit,MoorMe00,fumbles,0,,,,,
player,201112190sfo,pit,MoorMe00,fumbles_lost,,,,,,
player,201112190sfo,pit,CotcJe00,pass_cmp,0,,,,,
player,201112190sfo,pit,CotcJe00,pass_att,0,,,,,
player,201112190sfo,pit,CotcJe00,pass_yds,0,,,,,
player,201112190sfo,pit,CotcJe00,pass_td,0,,,,,
player,201112190sfo,pit,CotcJe00,pass_int,0,,,,,
player,201112190sfo,pit,CotcJe00,pass_sacked,0,,,,,
player,201112190sfo,pit,CotcJe00,pass_sacked_yds,0,,,,,
player,201112190sfo,pit,CotcJe00,pass_long,0,,,,,
player,201112190sfo,pit,CotcJe00,pass_rating,,,,,,
player,201112190sfo,pit,CotcJe00,rush_att,0,,,,,
player,201112190sfo,pit,CotcJe00,rush_yds,0,,,,,
player,201112190sfo,pit,CotcJe00,rush_td,0,,,,,
player,201112190sfo,pit,CotcJe00,rush_long,0,,,,,
player,201112190sfo,pit,CotcJe00,targets,6,,,,,
player,201112190sfo,pit,CotcJe00,rec,5,,,,,
player,201112190sfo,pit,CotcJe00,rec_yds,93,,,,,
player,201112190sfo,pit,CotcJe00,rec_td,0,,,,,
player,201112190sfo,pit,CotcJe00,rec_long,36,,,,,
player,201112190sfo,pit,CotcJe00,fumbles,0,,,,,
player,201112190sfo,pit,CotcJe00,fumbles_lost,,,,,,
player,201112190sfo,pit,MillHe00,pass_cmp,0,,,,,
player,201112190sfo,pit,MillHe00,pass_att,0,,,,,
player,201112190sfo,pit,MillHe00,pass_yds,0,,,,,
player,201112190sfo,pit,MillHe00,pass_td,0,,,,,
player,201112190sfo,pit,MillHe00,pass_int,0,,,,,
player,201112190sfo,pit,MillHe00,pass_sacked,0,,,,,
player,201112190sfo,pit,MillHe00,pass_sacked_yds,0,,,,,
player,201112190sfo,pit,MillHe00,pass_long,0,,,,,
player,201112190sfo,pit,MillHe00,pass_rating,,,,,,
player,201112190sfo,pit,MillHe00,rush_att,0,,,,,
player,201112190sfo,pit,MillHe00,rush_yds,0,,,,,
player,201112190sfo,pit,MillHe00,rush_td,0,,,,,
player,201112190sfo,pit,MillHe00,rush_long,0,,,,,
player,201112190sfo,pit,MillHe00,targets,9,,,,,
player,201112190sfo,pit,MillHe00,rec,5,,,,,
player,201112190sfo,pit,MillHe00,rec_yds,82,,,,,
player,201112190sfo,pit,MillHe00,rec_td,0,,,,,
player,201112190sfo,pit,MillHe00,rec_long,39,,,,,
player,201112190sfo,pit,MillHe00,fumbles,0,,,,,
player,201112190sfo,pit,MillHe00,fumbles_lost,,,,,,
player,201112190sfo,pit,WallMi00,pass_cmp,0,,,,,
player,201112190sfo,pit,WallMi00,pass_att,0,,,,,
player,201112190sfo,pit,WallMi00,pass_yds,0,,,,,
player,201112190sfo,pit,WallMi00,pass_td,0,,,,,
player,201112190sfo,pit,WallMi00,pass_int,0,,,,,
player,201112190sfo,pit,WallMi00,pass_sacked,0,,,,,
player,201112190sfo,pit,WallMi00,pass_sacked_yds,0,,,,,
player,201112190sfo,pit,WallMi00,pass_long,0,,,,,
player,201112190sfo,pit,WallMi00,pass_rating,,,,,,
player,201112190sfo,pit,WallMi00,rush_att,0,,,,,
player,201112190sfo,pit,WallMi00,rush_yds,0,,,,,
player,201112190sfo,pit,WallMi00,rush_td,0,,,,,
player,201112190sfo,pit,WallMi00,rush_long,0,,,,,
player,201112190sfo,pit,WallMi00,targets,12,,,,,
player,201112190sfo,pit,WallMi00,rec,5,,,,,
player,201112190sfo,pit,WallMi00,rec_yds,66,,,,,
