game,2011,16,20111224,201112240buf,den,"Denver Broncos",14,buf,"Buffalo Bills",40
team,201112240buf,den,First Downs,18,,,,,,
team,201112240buf,buf,First Downs,14,,,,,,
team,201112240buf,den,Rush-Yds-TDs,35-133-1,,,,,,
team,201112240buf,buf,Rush-Yds-TDs,28-160-1,,,,,,
team,201112240buf,den,Cmp-Att-Yd-TD-INT,13-29-185-1-3,,,,,,
team,201112240buf,buf,Cmp-Att-Yd-TD-INT,15-27-196-0-0,,,,,,
team,201112240buf,den,Sacked-Yards,4-33,,,,,,
team,201112240buf,buf,Sacked-Yards,1-5,,,,,,
team,201112240buf,den,Net Pass Yards,152,,,,,,
team,201112240buf,buf,Net Pass Yards,191,,,,,,
team,201112240buf,den,Total Yards,285,,,,,,
team,201112240buf,buf,Total Yards,351,,,,,,
team,201112240buf,den,Fumbles-Lost,1-0,,,,,,
team,201112240buf,buf,Fumbles-Lost,0-0,,,,,,
team,201112240buf,den,Turnovers,3,,,,,,
team,201112240buf,buf,Turnovers,0,,,,,,
team,201112240buf,den,Penalties-Yards,7-58,,,,,,
team,201112240buf,buf,Penalties-Yards,8-69,,,,,,
team,201112240buf,den,Third Down Conv.,2-13,,,,,,
team,201112240buf,buf,Third Down Conv.,2-12,,,,,,
team,201112240buf,den,Fourth Down Conv.,2-3,,,,,,
team,201112240buf,buf,Fourth Down Conv.,0-0,,,,,,
team,201112240buf,den,Time of Possession,30:31,,,,,,
team,201112240buf,buf,Time of Possession,29:29,,,,,,
player,201112240buf,den,TeboTi00,pass_cmp,13,,,,,
player,201112240buf,den,TeboTi00,pass_att,29,,,,,
player,201112240buf,den,TeboTi00,pass_yds,185,,,,,
player,201112240buf,den,TeboTi00,pass_td,1,,,,,
player,201112240buf,den,TeboTi00,pass_int,3,,,,,
player,201112240buf,den,TeboTi00,pass_sacked,4,,,,,
player,201112240buf,den,TeboTi00,pass_sacked_yds,33,,,,,
player,201112240buf,den,TeboTi00,pass_long,47,,,,,
player,201112240buf,den,TeboTi00,pass_rating,37.9,,,,,
player,201112240buf,den,TeboTi00,rush_att,10,,,,,
player,201112240buf,den,TeboTi00,rush_yds,34,,,,,
player,201112240buf,den,TeboTi00,rush_td,1,,,,,
player,201112240buf,den,TeboTi00,rush_long,12,,,,,
player,201112240buf,den,TeboTi00,targets,0,,,,,
player,201112240buf,den,TeboTi00,rec,0,,,,,
player,201112240buf,den,TeboTi00,rec_yds,0,,,,,
player,201112240buf,den,TeboTi00,rec_td,0,,,,,
player,201112240buf,den,TeboTi00,rec_long,0,,,,,
player,201112240buf,den,TeboTi00,fumbles,2,,,,,
player,201112240buf,den,TeboTi00,fumbles_lost,1,,,,,
player,201112240buf,den,McGaWi00,pass_cmp,0,,,,,
player,201112240buf,den,McGaWi00,pass_att,0,,,,,
player,201112240buf,den,McGaWi00,pass_yds,0,,,,,
player,201112240buf,den,McGaWi00,pass_td,0,,,,,
player,201112240buf,den,McGaWi00,pass_int,0,,,,,
player,201112240buf,den,McGaWi00,pass_sacked,0,,,,,
player,201112240buf,den,McGaWi00,pass_sacked_yds,0,,,,,
player,201112240buf,den,McGaWi00,pass_long,0,,,,,
player,201112240buf,den,McGaWi00,pass_rating,,,,,,
player,201112240buf,den,McGaWi00,rush_att,15,,,,,
player,201112240buf,den,McGaWi00,rush_yds,64,,,,,
player,201112240buf,den,McGaWi00,rush_td,0,,,,,
player,201112240buf,den,McGaWi00,rush_long,24,,,,,
player,201112240buf,den,McGaWi00,targets,1,,,,,
player,201112240buf,den,McGaWi00,rec,0,,,,,
player,201112240buf,den,McGaWi00,rec_yds,0,,,,,
player,201112240buf,den,McGaWi00,rec_td,0,,,,,
player,201112240buf,den,McGaWi00,rec_long,0,,,,,
player,201112240buf,den,McGaWi00,fumbles,0,,,,,
player,201112240buf,den,McGaWi00,fumbles_lost,,,,,,
player,201112240buf,den,JohnJe01,pass_cmp,0,,,,,
player,201112240buf,den,JohnJe01,pass_att,0,,,,,
player,201112240buf,den,JohnJe01,pass_yds,0,,,,,
player,201112240buf,den,JohnJe01,pass_td,0,,,,,
player,201112240buf,den,JohnJe01,pass_int,0,,,,,
player,201112240buf,den,JohnJe01,pass_sacked,0,,,,,
player,201112240buf,den,JohnJe01,pass_sacked_yds,0,,,,,
player,201112240buf,den,JohnJe01,pass_long,0,,,,,
player,201112240buf,den,JohnJe01,pass_rating,,,,,,
player,201112240buf,den,JohnJe01,rush_att,6,,,,,
player,201112240buf,den,JohnJe01,rush_yds,23,,,,,
player,201112240buf,den,JohnJe01,rush_td,0,,,,,
player,201112240buf,den,JohnJe01,rush_long,8,,,,,
player,201112240buf,den,JohnJe01,targets,2,,,,,
player,201112240buf,den,JohnJe01,rec,2,,,,,
player,201112240buf,den,JohnJe01,rec_yds,19,,,,,
player,201112240buf,den,JohnJe01,rec_td,0,,,,,
player,201112240buf,den,JohnJe01,rec_long,17,,,,,
player,201112240buf,den,JohnJe01,fumbles,0,,,,,
player,201112240buf,den,JohnJe01,fumbles_lost,,,,,,
player,201112240buf,den,BallLa00,pass_cmp,0,,,,,
player,201112240buf,den,BallLa00,pass_att,0,,,,,
player,201112240buf,den,BallLa00,pass_yds,0,,,,,
player,201112240buf,den,BallLa00,pass_td,0,,,,,
player,201112240buf,den,BallLa00,pass_int,0,,,,,
player,201112240buf,den,BallLa00,pass_sacked,0,,,,,
player,201112240buf,den,BallLa00,pass_sacked_yds,0,,,,,
player,201112240buf,den,BallLa00,pass_long,0,,,,,
player,201112240buf,den,BallLa00,pass_rating,,,,,,
player,201112240buf,den,BallLa00,rush_att,4,,,,,
