game,2012,2,20120916,201209160mia,rai,"Oakland Raiders",13,mia,"Miami Dolphins",35
team,201209160mia,rai,First Downs,18,,,,,,
team,201209160mia,mia,First Downs,24,,,,,,
team,201209160mia,rai,Rush-Yds-TDs,14-23-0,,,,,,
team,201209160mia,mia,Rush-Yds-TDs,43-263-4,,,,,,
team,201209160mia,rai,Cmp-Att-Yd-TD-INT,24-48-373-1-1,,,,,,
team,201209160mia,mia,Cmp-Att-Yd-TD-INT,18-30-200-1-0,,,,,,
team,201209160mia,rai,Sacked-Yards,0-0,,,,,,
team,201209160mia,mia,Sacked-Yards,1-11,,,,,,
team,201209160mia,rai,Net Pass Yards,373,,,,,,
team,201209160mia,mia,Net Pass Yards,189,,,,,,
team,201209160mia,rai,Total Yards,396,,,,,,
team,201209160mia,mia,Total Yards,452,,,,,,
team,201209160mia,rai,Fumbles-Lost,1-0,,,,,,
team,201209160mia,mia,Fumbles-Lost,0-0,,,,,,
team,201209160mia,rai,Turnovers,1,,,,,,
team,201209160mia,mia,Turnovers,0,,,,,,
team,201209160mia,rai,Penalties-Yards,5-42,,,,,,
team,201209160mia,mia,Penalties-Yards,3-21,,,,,,
team,201209160mia,rai,Third Down Conv.,1-12,,,,,,
team,201209160mia,mia,Third Down Conv.,9-17,,,,,,
team,201209160mia,rai,Fourth Down Conv.,0-0,,,,,,
team,201209160mia,mia,Fourth Down Conv.,1-1,,,,,,
team,201209160mia,rai,Time of Possession,25:19,,,,,,
team,201209160mia,mia,Time of Possession,34:41,,,,,,
player,201209160mia,rai,PalmCa00,pass_cmp,24,,,,,
player,201209160mia,rai,PalmCa00,pass_att,48,,,,,
player,201209160mia,rai,PalmCa00,pass_yds,373,,,,,
player,201209160mia,rai,PalmCa00,pass_td,1,,,,,
player,201209160mia,rai,PalmCa00,pass_int,1,,,,,
player,201209160mia,rai,PalmCa00,pass_sacked,0,,,,,
player,201209160mia,rai,PalmCa00,pass_sacked_yds,0,,,,,
player,201209160mia,rai,PalmCa00,pass_long,64,,,,,
player,201209160mia,rai,PalmCa00,pass_rating,74.4,,,,,
player,201209160mia,rai,PalmCa00,rush_att,2,,,,,
player,201209160mia,rai,PalmCa00,rush_yds,7,,,,,
player,201209160mia,rai,PalmCa00,rush_td,0,,,,,
player,201209160mia,rai,PalmCa00,rush_long,7,,,,,
player,201209160mia,rai,PalmCa00,targets,0,,,,,
player,201209160mia,rai,PalmCa00,rec,0,,,,,
player,201209160mia,rai,PalmCa00,rec_yds,0,,,,,
player,201209160mia,rai,PalmCa00,rec_td,0,,,,,
player,201209160mia,rai,PalmCa00,rec_long,0,,,,,
player,201209160mia,rai,PalmCa00,fumbles,0,,,,,
player,201209160mia,rai,PalmCa00,fumbles_lost,0,,,,,
player,201209160mia,rai,McFaDa00,pass_cmp,0,,,,,
player,201209160mia,rai,McFaDa00,pass_att,0,,,,,
player,201209160mia,rai,McFaDa00,pass_yds,0,,,,,
player,201209160mia,rai,McFaDa00,pass_td,0,,,,,
player,201209160mia,rai,McFaDa00,pass_int,0,,,,,
player,201209160mia,rai,McFaDa00,pass_sacked,,,,,,
player,201209160mia,rai,McFaDa00,pass_sacked_yds,0,,,,,
player,201209160mia,rai,McFaDa00,pass_long,0,,,,,
player,201209160mia,rai,McFaDa00,pass_rating,,,,,,
player,201209160mia,rai,McFaDa00,rush_att,11,,,,,
player,201209160mia,rai,McFaDa00,rush_yds,22,,,,,
player,201209160mia,rai,McFaDa00,rush_td,0,,,,,
player,201209160mia,rai,McFaDa00,rush_long,4,,,,,
player,201209160mia,rai,McFaDa00,targets,7,,,,,
player,201209160mia,rai,McFaDa00,rec,2,,,,,
player,201209160mia,rai,McFaDa00,rec_yds,19,,,,,
player,201209160mia,rai,McFaDa00,rec_td,0,,,,,
player,201209160mia,rai,McFaDa00,rec_long,13,,,,,
player,201209160mia,rai,McFaDa00,fumbles,0,,,,,
player,201209160mia,rai,McFaDa00,fumbles_lost,0,,,,,
player,201209160mia,rai,MyerBr00,pass_cmp,0,,,,,
player,201209160mia,rai,MyerBr00,pass_att,0,,,,,
player,201209160mia,rai,MyerBr00,pass_yds,0,,,,,
player,201209160mia,rai,MyerBr00,pass_td,0,,,,,
player,201209160mia,rai,MyerBr00,pass_int,0,,,,,
player,201209160mia,rai,MyerBr00,pass_sacked,,,,,,
player,201209160mia,rai,MyerBr00,pass_sacked_yds,0,,,,,
player,201209160mia,rai,MyerBr00,pass_long,0,,,,,
player,201209160mia,rai,MyerBr00,pass_rating,,,,,,
player,201209160mia,rai,MyerBr00,rush_att,0,,,,,
player,201209160mia,rai,MyerBr00,rush_yds,0,,,,,
player,201209160mia,rai,MyerBr00,rush_td,0,,,,,
player,201209160mia,rai,MyerBr00,rush_long,0,,,,,
player,201209160mia,rai,MyerBr00,targets,6,,,,,
player,201209160mia,rai,MyerBr00,rec,6,,,,,
player,201209160mia,rai,MyerBr00,rec_yds,86,,,,,
player,201209160mia,rai,MyerBr00,rec_td,0,,,,,
player,201209160mia,rai,MyerBr00,rec_long,21,,,,,
player,201209160mia,rai,MyerBr00,fumbles,0,,,,,
player,201209160mia,rai,MyerBr00,fumbles_lost,0,,,,,
player,201209160mia,rai,MoorDe02,pass_cmp,0,,,,,
player,201209160mia,rai,MoorDe02,pass_att,0,,,,,
player,201209160mia,rai,MoorDe02,pass_yds,0,,,,,
player,201209160mia,rai,MoorDe02,pass_td,0,,,,,
player,201209160mia,rai,MoorDe02,pass_int,0,,,,,
player,201209160mia,rai,MoorDe02,pass_sacked,,,,,,
player,201209160mia,rai,MoorDe02,pass_sacked_yds,0,,,,,
player,201209160mia,rai,MoorDe02,pass_long,0,,,,,
player,201209160mia,rai,MoorDe02,pass_rating,,,,,,
player,201209160mia,rai,MoorDe02,rush_att,0,,,,,
player,201209160mia,rai,MoorDe02,rush_yds,0,,,,,
player,201209160mia,rai,MoorDe02,rush_td,0,,,,,
player,201209160mia,rai,MoorDe02,rush_long,0,,,,,
player,201209160mia,rai,MoorDe02,targets,8,,,,,
player,201209160mia,rai,MoorDe02,rec,3,,,,,
player,201209160mia,rai,MoorDe02,rec_yds,67,,,,,
player,201209160mia,rai,MoorDe02,rec_td,0,,,,,
player,201209160mia,rai,MoorDe02,rec_long,31,,,,,
player,201209160mia,rai,MoorDe02,fumbles,0,,,,,
player,201209160mia,rai,MoorDe02,fumbles_lost,0,,,,,
player,201209160mia,rai,HeywDa00,pass_cmp,0,,,,,
player,201209160mia,rai,HeywDa00,pass_att,0,,,,,
player,201209160mia,rai,HeywDa00,pass_yds,0,,,,,
player,201209160mia,rai,HeywDa00,pass_td,0,,,,,
player,201209160mia,rai,HeywDa00,pass_int,0,,,,,
player,201209160mia,rai,HeywDa00,pass_sacked,,,,,,
player,201209160mia,rai,HeywDa00,pass_sacked_yds,0,,,,,
player,201209160mia,rai,HeywDa00,pass_long,0,,,,,
player,201209160mia,rai,HeywDa00,pass_rating,,,,,,
player,201209160mia,rai,HeywDa00,rush_att,0,,,,,
player,201209160mia,rai,HeywDa00,rush_yds,0,,,,,
player,201209160mia,rai,HeywDa00,rush_td,0,,,,,
player,201209160mia,rai,HeywDa00,rush_long,0,,,,,
player,201209160mia,rai,HeywDa00,targets,8,,,,,
player,201209160mia,rai,HeywDa00,rec,4,,,,,
player,201209160mia,rai,HeywDa00,rec_yds,41,,,,,
player,201209160mia,rai,HeywDa00,rec_td,0,,,,,
player,201209160mia,rai,HeywDa00,rec_long,19,,,,,
player,201209160mia,rai,HeywDa00,fumbles,0,,,,,
player,201209160mia,rai,HeywDa00,fumbles_lost,0,,,,,
player,201209160mia,rai,AusbDa00,pass_cmp,0,,,,,
player,201209160mia,rai,AusbDa00,pass_att,0,,,,,
player,201209160mia,rai,AusbDa00,pass_yds,0,,,,,
player,201209160mia,rai,AusbDa00,pass_td,0,,,,,
player,201209160mia,rai,AusbDa00,pass_int,0,,,,,
player,201209160mia,rai,AusbDa00,pass_sacked,,,,,,
player,201209160mia,rai,AusbDa00,pass_sacked_yds,0,,,,,
player,201209160mia,rai,AusbDa00,pass_long,0,,,,,
player,201209160mia,rai,AusbDa00,pass_rating,,,,,,
player,201209160mia,rai,AusbDa00,rush_att,0,,,,,
player,201209160mia,rai,AusbDa00,rush_yds,0,,,,,
player,201209160mia,rai,AusbDa00,rush_td,0,,,,,
player,201209160mia,rai,AusbDa00,rush_long,0,,,,,
player,201209160mia,rai,AusbDa00,targets,3,,,,,
player,201209160mia,rai,AusbDa00,rec,1,,,,,
player,201209160mia,rai,AusbDa00,rec_yds,31,,,,,
player,201209160mia,rai,AusbDa00,rec_td,0,,,,,
player,201209160mia,rai,AusbDa00,rec_long,31,,,,,
player,201209160mia,rai,AusbDa00,fumbles,0,,,,,
