game,2012,2,20120916,201209160nwe,crd,"Arizona Cardinals",20,nwe,"New England Patriots",18
team,201209160nwe,crd,First Downs,16,,,,,,
team,201209160nwe,nwe,First Downs,25,,,,,,
team,201209160nwe,crd,Rush-Yds-TDs,32-102-1,,,,,,
team,201209160nwe,nwe,Rush-Yds-TDs,28-90-0,,,,,,
team,201209160nwe,crd,Cmp-Att-Yd-TD-INT,15-27-140-1-0,,,,,,
team,201209160nwe,nwe,Cmp-Att-Yd-TD-INT,28-46-316-1-1,,,,,,
team,201209160nwe,crd,Sacked-Yards,2-0,,,,,,
team,201209160nwe,nwe,Sacked-Yards,4-19,,,,,,
team,201209160nwe,crd,Net Pass Yards,140,,,,,,
team,201209160nwe,nwe,Net Pass Yards,297,,,,,,
team,201209160nwe,crd,Total Yards,242,,,,,,
team,201209160nwe,nwe,Total Yards,387,,,,,,
team,201209160nwe,crd,Fumbles-Lost,2-2,,,,,,
team,201209160nwe,nwe,Fumbles-Lost,0-0,,,,,,
team,201209160nwe,crd,Turnovers,2,,,,,,
team,201209160nwe,nwe,Turnovers,1,,,,,,
team,201209160nwe,crd,Penalties-Yards,5-39,,,,,,
team,201209160nwe,nwe,Penalties-Yards,8-60,,,,,,
team,201209160nwe,crd,Third Down Conv.,4-14,,,,,,
team,201209160nwe,nwe,Third Down Conv.,5-15,,,,,,
team,201209160nwe,crd,Fourth Down Conv.,0-0,,,,,,
team,201209160nwe,nwe,Fourth Down Conv.,0-0,,,,,,
team,201209160nwe,crd,Time of Possession,28:19,,,,,,
team,201209160nwe,nwe,Time of Possession,31:41,,,,,,
player,201209160nwe,crd,KolbKe00,pass_cmp,15,,,,,
player,201209160nwe,crd,KolbKe00,pass_att,27,,,,,
player,201209160nwe,crd,KolbKe00,pass_yds,140,,,,,
player,201209160nwe,crd,KolbKe00,pass_td,1,,,,,
player,201209160nwe,crd,KolbKe00,pass_int,0,,,,,
player,201209160nwe,crd,KolbKe00,pass_sacked,2,,,,,
player,201209160nwe,crd,KolbKe00,pass_sacked_yds,0,,,,,
player,201209160nwe,crd,KolbKe00,pass_long,28,,,,,
player,201209160nwe,crd,KolbKe00,pass_rating,82.3,,,,,
player,201209160nwe,crd,KolbKe00,rush_att,5,,,,,
player,201209160nwe,crd,KolbKe00,rush_yds,17,,,,,
player,201209160nwe,crd,KolbKe00,rush_td,1,,,,,
player,201209160nwe,crd,KolbKe00,rush_long,6,,,,,
player,201209160nwe,crd,KolbKe00,targets,0,,,,,
player,201209160nwe,crd,KolbKe00,rec,0,,,,,
player,201209160nwe,crd,KolbKe00,rec_yds,0,,,,,
player,201209160nwe,crd,KolbKe00,rec_td,0,,,,,
player,201209160nwe,crd,KolbKe00,rec_long,0,,,,,
player,201209160nwe,crd,KolbKe00,fumbles,1,,,,,
player,201209160nwe,crd,KolbKe00,fumbles_lost,1,,,,,
player,201209160nwe,crd,WellCh00,pass_cmp,0,,,,,
player,201209160nwe,crd,WellCh00,pass_att,0,,,,,
player,201209160nwe,crd,WellCh00,pass_yds,0,,,,,
player,201209160nwe,crd,WellCh00,pass_td,0,,,,,
player,201209160nwe,crd,WellCh00,pass_int,0,,,,,
player,201209160nwe,crd,WellCh00,pass_sacked,0,,,,,
player,201209160nwe,crd,WellCh00,pass_sacked_yds,0,,,,,
player,201209160nwe,crd,WellCh00,pass_long,0,,,,,
player,201209160nwe,crd,WellCh00,pass_rating,,,,,,
player,201209160nwe,crd,WellCh00,rush_att,14,,,,,
player,201209160nwe,crd,WellCh00,rush_yds,44,,,,,
player,201209160nwe,crd,WellCh00,rush_td,0,,,,,
player,201209160nwe,crd,WellCh00,rush_long,10,,,,,
player,201209160nwe,crd,WellCh00,targets,1,,,,,
player,201209160nwe,crd,WellCh00,rec,1,,,,,
player,201209160nwe,crd,WellCh00,rec_yds,24,,,,,
player,201209160nwe,crd,WellCh00,rec_td,0,,,,,
player,201209160nwe,crd,WellCh00,rec_long,24,,,,,
player,201209160nwe,crd,WellCh00,fumbles,0,,,,,
player,201209160nwe,crd,WellCh00,fumbles_lost,0,,,,,
player,201209160nwe,crd,PetePa00,pass_cmp,0,,,,,
player,201209160nwe,crd,PetePa00,pass_att,0,,,,,
player,201209160nwe,crd,PetePa00,pass_yds,0,,,,,
player,201209160nwe,crd,PetePa00,pass_td,0,,,,,
