game,2012,2,20120916,201209160sfo,det,"Detroit Lions",19,sfo,"San Francisco 49ers",27
team,201209160sfo,det,First Downs,15,,,,,,
team,201209160sfo,sfo,First Downs,24,,,,,,
team,201209160sfo,det,Rush-Yds-TDs,26-82-0,,,,,,
team,201209160sfo,sfo,Rush-Yds-TDs,27-148-1,,,,,,
team,201209160sfo,det,Cmp-Att-Yd-TD-INT,19-32-230-1-1,,,,,,
team,201209160sfo,sfo,Cmp-Att-Yd-TD-INT,20-31-226-2-0,,,,,,
team,201209160sfo,det,Sacked-Yards,2-16,,,,,,
team,201209160sfo,sfo,Sacked-Yards,3-25,,,,,,
team,201209160sfo,det,Net Pass Yards,214,,,,,,
team,201209160sfo,sfo,Net Pass Yards,201,,,,,,
team,201209160sfo,det,Total Yards,296,,,,,,
team,201209160sfo,sfo,Total Yards,349,,,,,,
team,201209160sfo,det,Fumbles-Lost,0-0,,,,,,
team,201209160sfo,sfo,Fumbles-Lost,2-1,,,,,,
team,201209160sfo,det,Turnovers,1,,,,,,
team,201209160sfo,sfo,Turnovers,1,,,,,,
team,201209160sfo,det,Penalties-Yards,8-67,,,,,,
team,201209160sfo,sfo,Penalties-Yards,5-62,,,,,,
team,201209160sfo,det,Third Down Conv.,6-15,,,,,,
team,201209160sfo,sfo,Third Down Conv.,4-11,,,,,,
team,201209160sfo,det,Fourth Down Conv.,1-1,,,,,,
team,201209160sfo,sfo,Fourth Down Conv.,0-0,,,,,,
team,201209160sfo,det,Time of Possession,30:26,,,,,,
team,201209160sfo,sfo,Time of Possession,29:34,,,,,,
player,201209160sfo,det,StafMa00,pass_cmp,19,,,,,
player,201209160sfo,det,StafMa00,pass_att,32,,,,,
player,201209160sfo,det,StafMa00,pass_yds,230,,,,,
player,201209160sfo,det,StafMa00,pass_td,1,,,,,
player,201209160sfo,det,StafMa00,pass_int,1,,,,,
player,201209160sfo,det,StafMa00,pass_sacked,2,,,,,
player,201209160sfo,det,StafMa00,pass_sacked_yds,16,,,,,
player,201209160sfo,det,StafMa00,pass_long,50,,,,,
player,201209160sfo,det,StafMa00,pass_rating,78.9,,,,,
player,201209160sfo,det,StafMa00,rush_att,2,,,,,
player,201209160sfo,det,StafMa00,rush_yds,10,,,,,
player,201209160sfo,det,StafMa00,rush_td,0,,,,,
player,201209160sfo,det,StafMa00,rush_long,11,,,,,
player,201209160sfo,det,StafMa00,targets,0,,,,,
player,201209160sfo,det,StafMa00,rec,0,,,,,
player,201209160sfo,det,StafMa00,rec_yds,0,,,,,
player,201209160sfo,det,StafMa00,rec_td,0,,,,,
player,201209160sfo,det,StafMa00,rec_long,0,,,,,
player,201209160sfo,det,StafMa00,fumbles,0,,,,,
player,201209160sfo,det,StafMa00,fumbles_lost,0,,,,,
player,201209160sfo,det,SmitKe02,pass_cmp,0,,,,,
player,201209160sfo,det,SmitKe02,pass_att,0,,,,,
player,201209160sfo,det,SmitKe02,pass_yds,0,,,,,
player,201209160sfo,det,SmitKe02,pass_td,0,,,,,
player,201209160sfo,det,SmitKe02,pass_int,0,,,,,
player,201209160sfo,det,SmitKe02,pass_sacked,0,,,,,
player,201209160sfo,det,SmitKe02,pass_sacked_yds,0,,,,,
player,201209160sfo,det,SmitKe02,pass_long,0,,,,,
player,201209160sfo,det,SmitKe02,pass_rating,,,,,,
player,201209160sfo,det,SmitKe02,rush_att,16,,,,,
player,201209160sfo,det,SmitKe02,rush_yds,53,,,,,
player,201209160sfo,det,SmitKe02,rush_td,0,,,,,
player,201209160sfo,det,SmitKe02,rush_long,9,,,,,
player,201209160sfo,det,SmitKe02,targets,3,,,,,
player,201209160sfo,det,SmitKe02,rec,2,,,,,
