game,2012,4,20120930,201209300atl,car,"Carolina Panthers",28,atl,"Atlanta Falcons",30
team,201209300atl,car,First Downs,21,,,,,,
team,201209300atl,atl,First Downs,24,,,,,,
team,201209300atl,car,Rush-Yds-TDs,35-199-2,,,,,,
team,201209300atl,atl,Rush-Yds-TDs,19-121-0,,,,,,
team,201209300atl,car,Cmp-Att-Yd-TD-INT,15-25-215-2-0,,,,,,
team,201209300atl,atl,Cmp-Att-Yd-TD-INT,25-40-369-3-1,,,,,,
team,201209300atl,car,Sacked-Yards,3-10,,,,,,
team,201209300atl,atl,Sacked-Yards,7-64,,,,,,
team,201209300atl,car,Net Pass Yards,205,,,,,,
team,201209300atl,atl,Net Pass Yards,305,,,,,,
team,201209300atl,car,Total Yards,404,,,,,,
team,201209300atl,atl,Total Yards,426,,,,,,
team,201209300atl,car,Fumbles-Lost,3-1,,,,,,
team,201209300atl,atl,Fumbles-Lost,0-0,,,,,,
team,201209300atl,car,Turnovers,1,,,,,,
team,201209300atl,atl,Turnovers,1,,,,,,
team,201209300atl,car,Penalties-Yards,9-64,,,,,,
team,201209300atl,atl,Penalties-Yards,2-15,,,,,,
team,201209300atl,car,Third Down Conv.,4-11,,,,,,
team,201209300atl,atl,Third Down Conv.,5-13,,,,,,
team,201209300atl,car,Fourth Down Conv.,0-0,,,,,,
team,201209300atl,atl,Fourth Down Conv.,0-0,,,,,,
team,201209300atl,car,Time of Possession,30:06,,,,,,
team,201209300atl,atl,Time of Possession,29:54,,,,,,
player,201209300atl,car,NewtCa00,pass_cmp,15,,,,,
player,201209300atl,car,NewtCa00,pass_att,24,,,,,
player,201209300atl,car,NewtCa00,pass_yds,215,,,,,
player,201209300atl,car,NewtCa00,pass_td,2,,,,,
player,201209300atl,car,NewtCa00,pass_int,0,,,,,
player,201209300atl,car,NewtCa00,pass_sacked,3,,,,,
player,201209300atl,car,NewtCa00,pass_sacked_yds,10,,,,,
player,201209300atl,car,NewtCa00,pass_long,36,,,,,
player,201209300atl,car,NewtCa00,pass_rating,119.3,,,,,
player,201209300atl,car,NewtCa00,rush_att,9,,,,,
player,201209300atl,car,NewtCa00,rush_yds,86,,,,,
player,201209300atl,car,NewtCa00,rush_td,1,,,,,
player,201209300atl,car,NewtCa00,rush_long,32,,,,,
player,201209300atl,car,NewtCa00,targets,0,,,,,
player,201209300atl,car,NewtCa00,rec,0,,,,,
player,201209300atl,car,NewtCa00,rec_yds,0,,,,,
player,201209300atl,car,NewtCa00,rec_td,0,,,,,
player,201209300atl,car,NewtCa00,rec_long,0,,,,,
player,201209300atl,car,NewtCa00,fumbles,2,,,,,
player,201209300atl,car,NewtCa00,fumbles_lost,0,,,,,
player,201209300atl,car,EdwaAr00,pass_cmp,0,,,,,
player,201209300atl,car,EdwaAr00,pass_att,1,,,,,
player,201209300atl,car,EdwaAr00,pass_yds,0,,,,,
player,201209300atl,car,EdwaAr00,pass_td,0,,,,,
player,201209300atl,car,EdwaAr00,pass_int,0,,,,,
player,201209300atl,car,EdwaAr00,pass_sacked,0,,,,,
player,201209300atl,car,EdwaAr00,pass_sacked_yds,0,,,,,
player,201209300atl,car,EdwaAr00,pass_long,0,,,,,
player,201209300atl,car,EdwaAr00,pass_rating,39.6,,,,,
player,201209300atl,car,EdwaAr00,rush_att,0,,,,,
player,201209300atl,car,EdwaAr00,rush_yds,0,,,,,
player,201209300atl,car,EdwaAr00,rush_td,0,,,,,
player,201209300atl,car,EdwaAr00,rush_long,0,,,,,
player,201209300atl,car,EdwaAr00,targets,1,,,,,
player,201209300atl,car,EdwaAr00,rec,1,,,,,
player,201209300atl,car,EdwaAr00,rec_yds,12,,,,,
player,201209300atl,car,EdwaAr00,rec_td,0,,,,,
player,201209300atl,car,EdwaAr00,rec_long,12,,,,,
player,201209300atl,car,EdwaAr00,fumbles,0,,,,,
player,201209300atl,car,EdwaAr00,fumbles_lost,0,,,,,
player,201209300atl,car,WillDe02,pass_cmp,0,,,,,
player,201209300atl,car,WillDe02,pass_att,0,,,,,
player,201209300atl,car,WillDe02,pass_yds,0,,,,,
player,201209300atl,car,WillDe02,pass_td,0,,,,,
player,201209300atl,car,WillDe02,pass_int,0,,,,,
player,201209300atl,car,WillDe02,pass_sacked,0,,,,,
player,201209300atl,car,WillDe02,pass_sacked_yds,0,,,,,
player,201209300atl,car,WillDe02,pass_long,0,,,,,
player,201209300atl,car,WillDe02,pass_rating,,,,,,
player,201209300atl,car,WillDe02,rush_att,11,,,,,
player,201209300atl,car,WillDe02,rush_yds,49,,,,,
player,201209300atl,car,WillDe02,rush_td,1,,,,,
player,201209300atl,car,WillDe02,rush_long,13,,,,,
player,201209300atl,car,WillDe02,targets,2,,,,,
player,201209300atl,car,WillDe02,rec,1,,,,,
player,201209300atl,car,WillDe02,rec_yds,2,,,,,
player,201209300atl,car,WillDe02,rec_td,0,,,,,
player,201209300atl,car,WillDe02,rec_long,2,,,,,
player,201209300atl,car,WillDe02,fumbles,0,,,,,
player,201209300atl,car,WillDe02,fumbles_lost,0,,,,,
player,201209300atl,car,StewJo00,pass_cmp,0,,,,,
player,201209300atl,car,StewJo00,pass_att,0,,,,,
player,201209300atl,car,StewJo00,pass_yds,0,,,,,
player,201209300atl,car,StewJo00,pass_td,0,,,,,
player,201209300atl,car,StewJo00,pass_int,0,,,,,
player,201209300atl,car,StewJo00,pass_sacked,0,,,,,
player,201209300atl,car,StewJo00,pass_sacked_yds,0,,,,,
player,201209300atl,car,StewJo00,pass_long,0,,,,,
player,201209300atl,car,StewJo00,pass_rating,,,,,,
player,201209300atl,car,StewJo00,rush_att,10,,,,,
player,201209300atl,car,StewJo00,rush_yds,40,,,,,
player,201209300atl,car,StewJo00,rush_td,0,,,,,
player,201209300atl,car,StewJo00,rush_long,15,,,,,
player,201209300atl,car,StewJo00,targets,1,,,,,
player,201209300atl,car,StewJo00,rec,1,,,,,
player,201209300atl,car,StewJo00,rec_yds,8,,,,,
player,201209300atl,car,StewJo00,rec_td,0,,,,,
player,201209300atl,car,StewJo00,rec_long,8,,,,,
player,201209300atl,car,StewJo00,fumbles,0,,,,,
player,201209300atl,car,StewJo00,fumbles_lost,0,,,,,
player,201209300atl,car,TolbMi00,pass_cmp,0,,,,,
player,201209300atl,car,TolbMi00,pass_att,0,,,,,
player,201209300atl,car,TolbMi00,pass_yds,0,,,,,
player,201209300atl,car,TolbMi00,pass_td,0,,,,,
player,201209300atl,car,TolbMi00,pass_int,0,,,,,
player,201209300atl,car,TolbMi00,pass_sacked,0,,,,,
player,201209300atl,car,TolbMi00,pass_sacked_yds,0,,,,,
player,201209300atl,car,TolbMi00,pass_long,0,,,,,
player,201209300atl,car,TolbMi00,pass_rating,,,,,,
player,201209300atl,car,TolbMi00,rush_att,4,,,,,
player,201209300atl,car,TolbMi00,rush_yds,14,,,,,
player,201209300atl,car,TolbMi00,rush_td,0,,,,,
player,201209300atl,car,TolbMi00,rush_long,6,,,,,
player,201209300atl,car,TolbMi00,targets,3,,,,,
player,201209300atl,car,TolbMi00,rec,1,,,,,
player,201209300atl,car,TolbMi00,rec_yds,8,,,,,
player,201209300atl,car,TolbMi00,rec_td,0,,,,,
player,201209300atl,car,TolbMi00,rec_long,8,,,,,
player,201209300atl,car,TolbMi00,fumbles,0,,,,,
player,201209300atl,car,TolbMi00,fumbles_lost,0,,,,,
player,201209300atl,car,SmitSt01,pass_cmp,0,,,,,
player,201209300atl,car,SmitSt01,pass_att,0,,,,,
player,201209300atl,car,SmitSt01,pass_yds,0,,,,,
player,201209300atl,car,SmitSt01,pass_td,0,,,,,
player,201209300atl,car,SmitSt01,pass_int,0,,,,,
player,201209300atl,car,SmitSt01,pass_sacked,0,,,,,
player,201209300atl,car,SmitSt01,pass_sacked_yds,0,,,,,
player,201209300atl,car,SmitSt01,pass_long,0,,,,,
player,201209300atl,car,SmitSt01,pass_rating,,,,,,
player,201209300atl,car,SmitSt01,rush_att,1,,,,,
player,201209300atl,car,SmitSt01,rush_yds,10,,,,,
player,201209300atl,car,SmitSt01,rush_td,0,,,,,
player,201209300atl,car,SmitSt01,rush_long,10,,,,,
player,201209300atl,car,SmitSt01,targets,6,,,,,
player,201209300atl,car,SmitSt01,rec,3,,,,,
player,201209300atl,car,SmitSt01,rec_yds,52,,,,,
player,201209300atl,car,SmitSt01,rec_td,0,,,,,
player,201209300atl,car,SmitSt01,rec_long,27,,,,,
player,201209300atl,car,SmitSt01,fumbles,1,,,,,
player,201209300atl,car,SmitSt01,fumbles_lost,1,,,,,
player,201209300atl,car,OlseGr00,pass_cmp,0,,,,,
player,201209300atl,car,OlseGr00,pass_att,0,,,,,
player,201209300atl,car,OlseGr00,pass_yds,0,,,,,
player,201209300atl,car,OlseGr00,pass_td,0,,,,,
player,201209300atl,car,OlseGr00,pass_int,0,,,,,
player,201209300atl,car,OlseGr00,pass_sacked,0,,,,,
player,201209300atl,car,OlseGr00,pass_sacked_yds,0,,,,,
player,201209300atl,car,OlseGr00,pass_long,0,,,,,
player,201209300atl,car,OlseGr00,pass_rating,,,,,,
player,201209300atl,car,OlseGr00,rush_att,0,,,,,
player,201209300atl,car,OlseGr00,rush_yds,0,,,,,
player,201209300atl,car,OlseGr00,rush_td,0,,,,,
player,201209300atl,car,OlseGr00,rush_long,0,,,,,
player,201209300atl,car,OlseGr00,targets,7,,,,,
player,201209300atl,car,OlseGr00,rec,6,,,,,
player,201209300atl,car,OlseGr00,rec_yds,89,,,,,
player,201209300atl,car,OlseGr00,rec_td,1,,,,,
player,201209300atl,car,OlseGr00,rec_long,34,,,,,
player,201209300atl,car,OlseGr00,fumbles,0,,,,,
player,201209300atl,car,OlseGr00,fumbles_lost,0,,,,,
player,201209300atl,car,PilaKe00,pass_cmp,0,,,,,
player,201209300atl,car,PilaKe00,pass_att,0,,,,,
player,201209300atl,car,PilaKe00,pass_yds,0,,,,,
player,201209300atl,car,PilaKe00,pass_td,0,,,,,
player,201209300atl,car,PilaKe00,pass_int,0,,,,,
player,201209300atl,car,PilaKe00,pass_sacked,0,,,,,
player,201209300atl,car,PilaKe00,pass_sacked_yds,0,,,,,
player,201209300atl,car,PilaKe00,pass_long,0,,,,,
player,201209300atl,car,PilaKe00,pass_rating,,,,,,
player,201209300atl,car,PilaKe00,rush_att,0,,,,,
player,201209300atl,car,PilaKe00,rush_yds,0,,,,,
player,201209300atl,car,PilaKe00,rush_td,0,,,,,
player,201209300atl,car,PilaKe00,rush_long,0,,,,,
player,201209300atl,car,PilaKe00,targets,1,,,,,
player,201209300atl,car,PilaKe00,rec,1,,,,,
player,201209300atl,car,PilaKe00,rec_yds,36,,,,,
player,201209300atl,car,PilaKe00,rec_td,1,,,,,
player,201209300atl,car,PilaKe00,rec_long,36,,,,,
player,201209300atl,car,PilaKe00,fumbles,0,,,,,
player,201209300atl,car,PilaKe00,fumbles_lost,0,,,,,
player,201209300atl,car,MurpLo00,pass_cmp,0,,,,,
player,201209300atl,car,MurpLo00,pass_att,0,,,,,
player,201209300atl,car,MurpLo00,pass_yds,0,,,,,
player,201209300atl,car,MurpLo00,pass_td,0,,,,,
player,201209300atl,car,MurpLo00,pass_int,0,,,,,
player,201209300atl,car,MurpLo00,pass_sacked,0,,,,,
player,201209300atl,car,MurpLo00,pass_sacked_yds,0,,,,,
player,201209300atl,car,MurpLo00,pass_long,0,,,,,
player,201209300atl,car,MurpLo00,pass_rating,,,,,,
player,201209300atl,car,MurpLo00,rush_att,0,,,,,
player,201209300atl,car,MurpLo00,rush_yds,0,,,,,
player,201209300atl,car,MurpLo00,rush_td,0,,,,,
player,201209300atl,car,MurpLo00,rush_long,0,,,,,
player,201209300atl,car,MurpLo00,targets,1,,,,,
player,201209300atl,car,MurpLo00,rec,1,,,,,
player,201209300atl,car,MurpLo00,rec_yds,8,,,,,
player,201209300atl,car,MurpLo00,rec_td,0,,,,,
player,201209300atl,car,MurpLo00,rec_long,8,,,,,
player,201209300atl,car,MurpLo00,fumbles,0,,,,,
player,201209300atl,car,MurpLo00,fumbles_lost,0,,,,,
player,201209300atl,car,LaFeBr00,pass_cmp,0,,,,,
player,201209300atl,car,LaFeBr00,pass_att,0,,,,,
player,201209300atl,car,LaFeBr00,pass_yds,0,,,,,
player,201209300atl,car,LaFeBr00,pass_td,0,,,,,
player,201209300atl,car,LaFeBr00,pass_int,0,,,,,
player,201209300atl,car,LaFeBr00,pass_sacked,0,,,,,
player,201209300atl,car,LaFeBr00,pass_sacked_yds,0,,,,,
player,201209300atl,car,LaFeBr00,pass_long,0,,,,,
player,201209300atl,car,LaFeBr00,pass_rating,,,,,,
player,201209300atl,car,LaFeBr00,rush_att,0,,,,,
player,201209300atl,car,LaFeBr00,rush_yds,0,,,,,
player,201209300atl,car,LaFeBr00,rush_td,0,,,,,
player,201209300atl,car,LaFeBr00,rush_long,0,,,,,
player,201209300atl,car,LaFeBr00,targets,3,,,,,
player,201209300atl,car,LaFeBr00,rec,0,,,,,
player,201209300atl,car,LaFeBr00,rec_yds,0,,,,,
player,201209300atl,car,LaFeBr00,rec_td,0,,,,,
player,201209300atl,car,LaFeBr00,rec_long,0,,,,,
player,201209300atl,car,LaFeBr00,fumbles,0,,,,,
player,201209300atl,car,LaFeBr00,fumbles_lost,0,,,,,
player,201209300atl,atl,RyanMa00,pass_cmp,25,,,,,
player,201209300atl,atl,RyanMa00,pass_att,40,,,,,
player,201209300atl,atl,RyanMa00,pass_yds,369,,,,,
player,201209300atl,atl,RyanMa00,pass_td,3,,,,,
player,201209300atl,atl,RyanMa00,pass_int,1,,,,,
player,201209300atl,atl,RyanMa00,pass_sacked,7,,,,,
player,201209300atl,atl,RyanMa00,pass_sacked_yds,64,,,,,
player,201209300atl,atl,RyanMa00,pass_long,60,,,,,
player,201209300atl,atl,RyanMa00,pass_rating,107.2,,,,,
player,201209300atl,atl,RyanMa00,rush_att,0,,,,,
player,201209300atl,atl,RyanMa00,rush_yds,0,,,,,
player,201209300atl,atl,RyanMa00,rush_td,0,,,,,
player,201209300atl,atl,RyanMa00,rush_long,0,,,,,
player,201209300atl,atl,RyanMa00,targets,0,,,,,
player,201209300atl,atl,RyanMa00,rec,0,,,,,
player,201209300atl,atl,RyanMa00,rec_yds,0,,,,,
player,201209300atl,atl,RyanMa00,rec_td,0,,,,,
player,201209300atl,atl,RyanMa00,rec_long,0,,,,,
player,201209300atl,atl,RyanMa00,fumbles,0,,,,,
player,201209300atl,atl,RyanMa00,fumbles_lost,0,,,,,
player,201209300atl,atl,TurnMi00,pass_cmp,0,,,,,
player,201209300atl,atl,TurnMi00,pass_att,0,,,,,
player,201209300atl,atl,TurnMi00,pass_yds,0,,,,,
player,201209300atl,atl,TurnMi00,pass_td,0,,,,,
player,201209300atl,atl,TurnMi00,pass_int,0,,,,,
player,201209300atl,atl,TurnMi00,pass_sacked,0,,,,,
player,201209300atl,atl,TurnMi00,pass_sacked_yds,0,,,,,
player,201209300atl,atl,TurnMi00,pass_long,0,,,,,
player,201209300atl,atl,TurnMi00,pass_rating,,,,,,
player,201209300atl,atl,TurnMi00,rush_att,13,,,,,
player,201209300atl,atl,TurnMi00,rush_yds,103,,,,,
player,201209300atl,atl,TurnMi00,rush_td,0,,,,,
player,201209300atl,atl,TurnMi00,rush_long,27,,,,,
player,201209300atl,atl,TurnMi00,targets,5,,,,,
player,201209300atl,atl,TurnMi00,rec,3,,,,,
player,201209300atl,atl,TurnMi00,rec_yds,68,,,,,
player,201209300atl,atl,TurnMi00,rec_td,1,,,,,
player,201209300atl,atl,TurnMi00,rec_long,60,,,,,
player,201209300atl,atl,TurnMi00,fumbles,0,,,,,
player,201209300atl,atl,TurnMi00,fumbles_lost,0,,,,,
player,201209300atl,atl,RodgJa00,pass_cmp,0,,,,,
player,201209300atl,atl,RodgJa00,pass_att,0,,,,,
player,201209300atl,atl,RodgJa00,pass_yds,0,,,,,
player,201209300atl,atl,RodgJa00,pass_td,0,,,,,
player,201209300atl,atl,RodgJa00,pass_int,0,,,,,
player,201209300atl,atl,RodgJa00,pass_sacked,0,,,,,
player,201209300atl,atl,RodgJa00,pass_sacked_yds,0,,,,,
player,201209300atl,atl,RodgJa00,pass_long,0,,,,,
player,201209300atl,atl,RodgJa00,pass_rating,,,,,,
player,201209300atl,atl,RodgJa00,rush_att,6,,,,,
player,201209300atl,atl,RodgJa00,rush_yds,18,,,,,
player,201209300atl,atl,RodgJa00,rush_td,0,,,,,
player,201209300atl,atl,RodgJa00,rush_long,5,,,,,
player,201209300atl,atl,RodgJa00,targets,4,,,,,
player,201209300atl,atl,RodgJa00,rec,4,,,,,
player,201209300atl,atl,RodgJa00,rec_yds,40,,,,,
player,201209300atl,atl,RodgJa00,rec_td,0,,,,,
player,201209300atl,atl,RodgJa00,rec_long,15,,,,,
player,201209300atl,atl,RodgJa00,fumbles,0,,,,,
player,201209300atl,atl,RodgJa00,fumbles_lost,0,,,,,
player,201209300atl,atl,WhitRo00,pass_cmp,0,,,,,
player,201209300atl,atl,WhitRo00,pass_att,0,,,,,
player,201209300atl,atl,WhitRo00,pass_yds,0,,,,,
player,201209300atl,atl,WhitRo00,pass_td,0,,,,,
player,201209300atl,atl,WhitRo00,pass_int,0,,,,,
player,201209300atl,atl,WhitRo00,pass_sacked,0,,,,,
player,201209300atl,atl,WhitRo00,pass_sacked_yds,0,,,,,
player,201209300atl,atl,WhitRo00,pass_long,0,,,,,
player,201209300atl,atl,WhitRo00,pass_rating,,,,,,
player,201209300atl,atl,WhitRo00,rush_att,0,,,,,
player,201209300atl,atl,WhitRo00,rush_yds,0,,,,,
player,201209300atl,atl,WhitRo00,rush_td,0,,,,,
player,201209300atl,atl,WhitRo00,rush_long,0,,,,,
player,201209300atl,atl,WhitRo00,targets,12,,,,,
player,201209300atl,atl,WhitRo00,rec,8,,,,,
player,201209300atl,atl,WhitRo00,rec_yds,169,,,,,
player,201209300atl,atl,WhitRo00,rec_td,2,,,,,
player,201209300atl,atl,WhitRo00,rec_long,59,,,,,
player,201209300atl,atl,WhitRo00,fumbles,0,,,,,
player,201209300atl,atl,WhitRo00,fumbles_lost,0,,,,,
player,201209300atl,atl,GonzTo00,pass_cmp,0,,,,,
player,201209300atl,atl,GonzTo00,pass_att,0,,,,,
player,201209300atl,atl,GonzTo00,pass_yds,0,,,,,
player,201209300atl,atl,GonzTo00,pass_td,0,,,,,
player,201209300atl,atl,GonzTo00,pass_int,0,,,,,
player,201209300atl,atl,GonzTo00,pass_sacked,0,,,,,
player,201209300atl,atl,GonzTo00,pass_sacked_yds,0,,,,,
player,201209300atl,atl,GonzTo00,pass_long,0,,,,,
player,201209300atl,atl,GonzTo00,pass_rating,,,,,,
player,201209300atl,atl,GonzTo00,rush_att,0,,,,,
player,201209300atl,atl,GonzTo00,rush_yds,0,,,,,
player,201209300atl,atl,GonzTo00,rush_td,0,,,,,
player,201209300atl,atl,GonzTo00,rush_long,0,,,,,
player,201209300atl,atl,GonzTo00,targets,5,,,,,
player,201209300atl,atl,GonzTo00,rec,5,,,,,
player,201209300atl,atl,GonzTo00,rec_yds,51,,,,,
player,201209300atl,atl,GonzTo00,rec_td,0,,,,,
player,201209300atl,atl,GonzTo00,rec_long,14,,,,,
player,201209300atl,atl,GonzTo00,fumbles,0,,,,,
player,201209300atl,atl,GonzTo00,fumbles_lost,0,,,,,
player,201209300atl,atl,JoneJu02,pass_cmp,0,,,,,
player,201209300atl,atl,JoneJu02,pass_att,0,,,,,
player,201209300atl,atl,JoneJu02,pass_yds,0,,,,,
player,201209300atl,atl,JoneJu02,pass_td,0,,,,,
player,201209300atl,atl,JoneJu02,pass_int,0,,,,,
player,201209300atl,atl,JoneJu02,pass_sacked,0,,,,,
player,201209300atl,atl,JoneJu02,pass_sacked_yds,0,,,,,
player,201209300atl,atl,JoneJu02,pass_long,0,,,,,
player,201209300atl,atl,JoneJu02,pass_rating,,,,,,
player,201209300atl,atl,JoneJu02,rush_att,0,,,,,
player,201209300atl,atl,JoneJu02,rush_yds,0,,,,,
player,201209300atl,atl,JoneJu02,rush_td,0,,,,,
player,201209300atl,atl,JoneJu02,rush_long,0,,,,,
player,201209300atl,atl,JoneJu02,targets,8,,,,,
player,201209300atl,atl,JoneJu02,rec,1,,,,,
player,201209300atl,atl,JoneJu02,rec_yds,30,,,,,
