game,2012,4,20120930,201209300phi,nyg,"New York Giants",17,phi,"Philadelphia Eagles",19
team,201209300phi,nyg,First Downs,20,,,,,,
team,201209300phi,phi,First Downs,22,,,,,,
team,201209300phi,nyg,Rush-Yds-TDs,19-57-0,,,,,,
team,201209300phi,phi,Rush-Yds-TDs,36-191-0,,,,,,
team,201209300phi,nyg,Cmp-Att-Yd-TD-INT,24-42-309-2-1,,,,,,
team,201209300phi,phi,Cmp-Att-Yd-TD-INT,19-30-241-1-0,,,,,,
team,201209300phi,nyg,Sacked-Yards,0-0,,,,,,
team,201209300phi,phi,Sacked-Yards,2-10,,,,,,
team,201209300phi,nyg,Net Pass Yards,309,,,,,,
team,201209300phi,phi,Net Pass Yards,231,,,,,,
team,201209300phi,nyg,Total Yards,366,,,,,,
team,201209300phi,phi,Total Yards,422,,,,,,
team,201209300phi,nyg,Fumbles-Lost,1-0,,,,,,
team,201209300phi,phi,Fumbles-Lost,1-0,,,,,,
team,201209300phi,nyg,Turnovers,1,,,,,,
team,201209300phi,phi,Turnovers,0,,,,,,
team,201209300phi,nyg,Penalties-Yards,7-55,,,,,,
team,201209300phi,phi,Penalties-Yards,5-49,,,,,,
team,201209300phi,nyg,Third Down Conv.,2-10,,,,,,
team,201209300phi,phi,Third Down Conv.,4-12,,,,,,
team,201209300phi,nyg,Fourth Down Conv.,1-1,,,,,,
team,201209300phi,phi,Fourth Down Conv.,0-0,,,,,,
team,201209300phi,nyg,Time of Possession,26:39,,,,,,
team,201209300phi,phi,Time of Possession,33:21,,,,,,
player,201209300phi,nyg,MannEl00,pass_cmp,24,,,,,
player,201209300phi,nyg,MannEl00,pass_att,42,,,,,
player,201209300phi,nyg,MannEl00,pass_yds,309,,,,,
player,201209300phi,nyg,MannEl00,pass_td,2,,,,,
player,201209300phi,nyg,MannEl00,pass_int,1,,,,,
player,201209300phi,nyg,MannEl00,pass_sacked,0,,,,,
player,201209300phi,nyg,MannEl00,pass_sacked_yds,0,,,,,
player,201209300phi,nyg,MannEl00,pass_long,41,,,,,
player,201209300phi,nyg,MannEl00,pass_rating,86.3,,,,,
player,201209300phi,nyg,MannEl00,rush_att,0,,,,,
player,201209300phi,nyg,MannEl00,rush_yds,0,,,,,
player,201209300phi,nyg,MannEl00,rush_td,0,,,,,
player,201209300phi,nyg,MannEl00,rush_long,0,,,,,
player,201209300phi,nyg,MannEl00,targets,0,,,,,
player,201209300phi,nyg,MannEl00,rec,0,,,,,
player,201209300phi,nyg,MannEl00,rec_yds,0,,,,,
player,201209300phi,nyg,MannEl00,rec_td,0,,,,,
player,201209300phi,nyg,MannEl00,rec_long,0,,,,,
player,201209300phi,nyg,MannEl00,fumbles,1,,,,,
player,201209300phi,nyg,MannEl00,fumbles_lost,0,,,,,
player,201209300phi,nyg,BradAh00,pass_cmp,0,,,,,
player,201209300phi,nyg,BradAh00,pass_att,0,,,,,
player,201209300phi,nyg,BradAh00,pass_yds,0,,,,,
player,201209300phi,nyg,BradAh00,pass_td,0,,,,,
player,201209300phi,nyg,BradAh00,pass_int,0,,,,,
player,201209300phi,nyg,BradAh00,pass_sacked,0,,,,,
player,201209300phi,nyg,BradAh00,pass_sacked_yds,0,,,,,
player,201209300phi,nyg,BradAh00,pass_long,0,,,,,
player,201209300phi,nyg,BradAh00,pass_rating,,,,,,
player,201209300phi,nyg,BradAh00,rush_att,13,,,,,
player,201209300phi,nyg,BradAh00,rush_yds,39,,,,,
player,201209300phi,nyg,BradAh00,rush_td,0,,,,,
player,201209300phi,nyg,BradAh00,rush_long,9,,,,,
player,201209300phi,nyg,BradAh00,targets,4,,,,,
player,201209300phi,nyg,BradAh00,rec,3,,,,,
player,201209300phi,nyg,BradAh00,rec_yds,38,,,,,
player,201209300phi,nyg,BradAh00,rec_td,0,,,,,
player,201209300phi,nyg,BradAh00,rec_long,20,,,,,
player,201209300phi,nyg,BradAh00,fumbles,0,,,,,
player,201209300phi,nyg,BradAh00,fumbles_lost,0,,,,,
player,201209300phi,nyg,BrowAn03,pass_cmp,0,,,,,
player,201209300phi,nyg,BrowAn03,pass_att,0,,,,,
player,201209300phi,nyg,BrowAn03,pass_yds,0,,,,,
player,201209300phi,nyg,BrowAn03,pass_td,0,,,,,
player,201209300phi,nyg,BrowAn03,pass_int,0,,,,,
player,201209300phi,nyg,BrowAn03,pass_sacked,0,,,,,
player,201209300phi,nyg,BrowAn03,pass_sacked_yds,0,,,,,
player,201209300phi,nyg,BrowAn03,pass_long,0,,,,,
player,201209300phi,nyg,BrowAn03,pass_rating,,,,,,
player,201209300phi,nyg,BrowAn03,rush_att,5,,,,,
player,201209300phi,nyg,BrowAn03,rush_yds,14,,,,,
player,201209300phi,nyg,BrowAn03,rush_td,0,,,,,
player,201209300phi,nyg,BrowAn03,rush_long,4,,,,,
player,201209300phi,nyg,BrowAn03,targets,1,,,,,
player,201209300phi,nyg,BrowAn03,rec,1,,,,,
player,201209300phi,nyg,BrowAn03,rec_yds,4,,,,,
player,201209300phi,nyg,BrowAn03,rec_td,0,,,,,
player,201209300phi,nyg,BrowAn03,rec_long,4,,,,,
player,201209300phi,nyg,BrowAn03,fumbles,0,,,,,
player,201209300phi,nyg,BrowAn03,fumbles_lost,0,,,,,
player,201209300phi,nyg,HynoHe01,pass_cmp,0,,,,,
player,201209300phi,nyg,HynoHe01,pass_att,0,,,,,
player,201209300phi,nyg,HynoHe01,pass_yds,0,,,,,
player,201209300phi,nyg,HynoHe01,pass_td,0,,,,,
player,201209300phi,nyg,HynoHe01,pass_int,0,,,,,
player,201209300phi,nyg,HynoHe01,pass_sacked,0,,,,,
player,201209300phi,nyg,HynoHe01,pass_sacked_yds,0,,,,,
player,201209300phi,nyg,HynoHe01,pass_long,0,,,,,
player,201209300phi,nyg,HynoHe01,pass_rating,,,,,,
player,201209300phi,nyg,HynoHe01,rush_att,1,,,,,
player,201209300phi,nyg,HynoHe01,rush_yds,4,,,,,
player,201209300phi,nyg,HynoHe01,rush_td,0,,,,,
player,201209300phi,nyg,HynoHe01,rush_long,4,,,,,
player,201209300phi,nyg,HynoHe01,targets,1,,,,,
player,201209300phi,nyg,HynoHe01,rec,1,,,,,
player,201209300phi,nyg,HynoHe01,rec_yds,0,,,,,
player,201209300phi,nyg,HynoHe01,rec_td,0,,,,,
player,201209300phi,nyg,HynoHe01,rec_long,0,,,,,
player,201209300phi,nyg,HynoHe01,fumbles,0,,,,,
player,201209300phi,nyg,HynoHe01,fumbles_lost,0,,,,,
player,201209300phi,nyg,HixoDo00,pass_cmp,0,,,,,
player,201209300phi,nyg,HixoDo00,pass_att,0,,,,,
player,201209300phi,nyg,HixoDo00,pass_yds,0,,,,,
player,201209300phi,nyg,HixoDo00,pass_td,0,,,,,
player,201209300phi,nyg,HixoDo00,pass_int,0,,,,,
player,201209300phi,nyg,HixoDo00,pass_sacked,0,,,,,
player,201209300phi,nyg,HixoDo00,pass_sacked_yds,0,,,,,
player,201209300phi,nyg,HixoDo00,pass_long,0,,,,,
player,201209300phi,nyg,HixoDo00,pass_rating,,,,,,
player,201209300phi,nyg,HixoDo00,rush_att,0,,,,,
player,201209300phi,nyg,HixoDo00,rush_yds,0,,,,,
player,201209300phi,nyg,HixoDo00,rush_td,0,,,,,
player,201209300phi,nyg,HixoDo00,rush_long,0,,,,,
player,201209300phi,nyg,HixoDo00,targets,11,,,,,
player,201209300phi,nyg,HixoDo00,rec,6,,,,,
player,201209300phi,nyg,HixoDo00,rec_yds,114,,,,,
player,201209300phi,nyg,HixoDo00,rec_td,0,,,,,
player,201209300phi,nyg,HixoDo00,rec_long,41,,,,,
player,201209300phi,nyg,HixoDo00,fumbles,0,,,,,
player,201209300phi,nyg,HixoDo00,fumbles_lost,0,,,,,
player,201209300phi,nyg,CruzVi00,pass_cmp,0,,,,,
player,201209300phi,nyg,CruzVi00,pass_att,0,,,,,
player,201209300phi,nyg,CruzVi00,pass_yds,0,,,,,
player,201209300phi,nyg,CruzVi00,pass_td,0,,,,,
player,201209300phi,nyg,CruzVi00,pass_int,0,,,,,
player,201209300phi,nyg,CruzVi00,pass_sacked,0,,,,,
player,201209300phi,nyg,CruzVi00,pass_sacked_yds,0,,,,,
player,201209300phi,nyg,CruzVi00,pass_long,0,,,,,
player,201209300phi,nyg,CruzVi00,pass_rating,,,,,,
player,201209300phi,nyg,CruzVi00,rush_att,0,,,,,
player,201209300phi,nyg,CruzVi00,rush_yds,0,,,,,
player,201209300phi,nyg,CruzVi00,rush_td,0,,,,,
player,201209300phi,nyg,CruzVi00,rush_long,0,,,,,
player,201209300phi,nyg,CruzVi00,targets,13,,,,,
player,201209300phi,nyg,CruzVi00,rec,9,,,,,
player,201209300phi,nyg,CruzVi00,rec_yds,109,,,,,
player,201209300phi,nyg,CruzVi00,rec_td,1,,,,,
player,201209300phi,nyg,CruzVi00,rec_long,30,,,,,
player,201209300phi,nyg,CruzVi00,fumbles,0,,,,,
player,201209300phi,nyg,CruzVi00,fumbles_lost,0,,,,,
player,201209300phi,nyg,BardRa00,pass_cmp,0,,,,,
player,201209300phi,nyg,BardRa00,pass_att,0,,,,,
player,201209300phi,nyg,BardRa00,pass_yds,0,,,,,
player,201209300phi,nyg,BardRa00,pass_td,0,,,,,
player,201209300phi,nyg,BardRa00,pass_int,0,,,,,
player,201209300phi,nyg,BardRa00,pass_sacked,0,,,,,
player,201209300phi,nyg,BardRa00,pass_sacked_yds,0,,,,,
player,201209300phi,nyg,BardRa00,pass_long,0,,,,,
player,201209300phi,nyg,BardRa00,pass_rating,,,,,,
player,201209300phi,nyg,BardRa00,rush_att,0,,,,,
player,201209300phi,nyg,BardRa00,rush_yds,0,,,,,
player,201209300phi,nyg,BardRa00,rush_td,0,,,,,
player,201209300phi,nyg,BardRa00,rush_long,0,,,,,
player,201209300phi,nyg,BardRa00,targets,4,,,,,
player,201209300phi,nyg,BardRa00,rec,2,,,,,
player,201209300phi,nyg,BardRa00,rec_yds,36,,,,,
player,201209300phi,nyg,BardRa00,rec_td,0,,,,,
player,201209300phi,nyg,BardRa00,rec_long,31,,,,,
player,201209300phi,nyg,BardRa00,fumbles,0,,,,,
player,201209300phi,nyg,BardRa00,fumbles_lost,0,,,,,
player,201209300phi,nyg,PascBe00,pass_cmp,0,,,,,
player,201209300phi,nyg,PascBe00,pass_att,0,,,,,
player,201209300phi,nyg,PascBe00,pass_yds,0,,,,,
player,201209300phi,nyg,PascBe00,pass_td,0,,,,,
player,201209300phi,nyg,PascBe00,pass_int,0,,,,,
player,201209300phi,nyg,PascBe00,pass_sacked,0,,,,,
player,201209300phi,nyg,PascBe00,pass_sacked_yds,0,,,,,
player,201209300phi,nyg,PascBe00,pass_long,0,,,,,
player,201209300phi,nyg,PascBe00,pass_rating,,,,,,
player,201209300phi,nyg,PascBe00,rush_att,0,,,,,
player,201209300phi,nyg,PascBe00,rush_yds,0,,,,,
player,201209300phi,nyg,PascBe00,rush_td,0,,,,,
player,201209300phi,nyg,PascBe00,rush_long,0,,,,,
player,201209300phi,nyg,PascBe00,targets,2,,,,,
player,201209300phi,nyg,PascBe00,rec,1,,,,,
player,201209300phi,nyg,PascBe00,rec_yds,6,,,,,
player,201209300phi,nyg,PascBe00,rec_td,1,,,,,
player,201209300phi,nyg,PascBe00,rec_long,6,,,,,
player,201209300phi,nyg,PascBe00,fumbles,0,,,,,
player,201209300phi,nyg,PascBe00,fumbles_lost,0,,,,,
player,201209300phi,nyg,BennMa00,pass_cmp,0,,,,,
player,201209300phi,nyg,BennMa00,pass_att,0,,,,,
player,201209300phi,nyg,BennMa00,pass_yds,0,,,,,
player,201209300phi,nyg,BennMa00,pass_td,0,,,,,
player,201209300phi,nyg,BennMa00,pass_int,0,,,,,
player,201209300phi,nyg,BennMa00,pass_sacked,0,,,,,
player,201209300phi,nyg,BennMa00,pass_sacked_yds,0,,,,,
player,201209300phi,nyg,BennMa00,pass_long,0,,,,,
player,201209300phi,nyg,BennMa00,pass_rating,,,,,,
player,201209300phi,nyg,BennMa00,rush_att,0,,,,,
player,201209300phi,nyg,BennMa00,rush_yds,0,,,,,
player,201209300phi,nyg,BennMa00,rush_td,0,,,,,
player,201209300phi,nyg,BennMa00,rush_long,0,,,,,
player,201209300phi,nyg,BennMa00,targets,3,,,,,
player,201209300phi,nyg,BennMa00,rec,1,,,,,
player,201209300phi,nyg,BennMa00,rec_yds,2,,,,,
player,201209300phi,nyg,BennMa00,rec_td,0,,,,,
player,201209300phi,nyg,BennMa00,rec_long,2,,,,,
player,201209300phi,nyg,BennMa00,fumbles,0,,,,,
player,201209300phi,nyg,BennMa00,fumbles_lost,0,,,,,
player,201209300phi,nyg,RandRu00,pass_cmp,0,,,,,
player,201209300phi,nyg,RandRu00,pass_att,0,,,,,
player,201209300phi,nyg,RandRu00,pass_yds,0,,,,,
player,201209300phi,nyg,RandRu00,pass_td,0,,,,,
player,201209300phi,nyg,RandRu00,pass_int,0,,,,,
player,201209300phi,nyg,RandRu00,pass_sacked,0,,,,,
player,201209300phi,nyg,RandRu00,pass_sacked_yds,0,,,,,
player,201209300phi,nyg,RandRu00,pass_long,0,,,,,
player,201209300phi,nyg,RandRu00,pass_rating,,,,,,
player,201209300phi,nyg,RandRu00,rush_att,0,,,,,
player,201209300phi,nyg,RandRu00,rush_yds,0,,,,,
player,201209300phi,nyg,RandRu00,rush_td,0,,,,,
player,201209300phi,nyg,RandRu00,rush_long,0,,,,,
player,201209300phi,nyg,RandRu00,targets,1,,,,,
player,201209300phi,nyg,RandRu00,rec,0,,,,,
player,201209300phi,nyg,RandRu00,rec_yds,0,,,,,
player,201209300phi,nyg,RandRu00,rec_td,0,,,,,
player,201209300phi,nyg,RandRu00,rec_long,0,,,,,
player,201209300phi,nyg,RandRu00,fumbles,0,,,,,
player,201209300phi,nyg,RandRu00,fumbles_lost,0,,,,,
player,201209300phi,nyg,WilsDa01,pass_cmp,0,,,,,
player,201209300phi,nyg,WilsDa01,pass_att,0,,,,,
player,201209300phi,nyg,WilsDa01,pass_yds,0,,,,,
player,201209300phi,nyg,WilsDa01,pass_td,0,,,,,
player,201209300phi,nyg,WilsDa01,pass_int,0,,,,,
player,201209300phi,nyg,WilsDa01,pass_sacked,0,,,,,
player,201209300phi,nyg,WilsDa01,pass_sacked_yds,0,,,,,
player,201209300phi,nyg,WilsDa01,pass_long,0,,,,,
player,201209300phi,nyg,WilsDa01,pass_rating,,,,,,
player,201209300phi,nyg,WilsDa01,rush_att,0,,,,,
player,201209300phi,nyg,WilsDa01,rush_yds,0,,,,,
player,201209300phi,nyg,WilsDa01,rush_td,0,,,,,
player,201209300phi,nyg,WilsDa01,rush_long,0,,,,,
player,201209300phi,nyg,WilsDa01,targets,1,,,,,
player,201209300phi,nyg,WilsDa01,rec,0,,,,,
player,201209300phi,nyg,WilsDa01,rec_yds,0,,,,,
player,201209300phi,nyg,WilsDa01,rec_td,0,,,,,
player,201209300phi,nyg,WilsDa01,rec_long,0,,,,,
player,201209300phi,nyg,WilsDa01,fumbles,0,,,,,
player,201209300phi,nyg,WilsDa01,fumbles_lost,0,,,,,
player,201209300phi,phi,VickMi00,pass_cmp,19,,,,,
player,201209300phi,phi,VickMi00,pass_att,30,,,,,
player,201209300phi,phi,VickMi00,pass_yds,241,,,,,
player,201209300phi,phi,VickMi00,pass_td,1,,,,,
player,201209300phi,phi,VickMi00,pass_int,0,,,,,
player,201209300phi,phi,VickMi00,pass_sacked,2,,,,,
player,201209300phi,phi,VickMi00,pass_sacked_yds,10,,,,,
player,201209300phi,phi,VickMi00,pass_long,32,,,,,
player,201209300phi,phi,VickMi00,pass_rating,99.4,,,,,
player,201209300phi,phi,VickMi00,rush_att,6,,,,,
player,201209300phi,phi,VickMi00,rush_yds,49,,,,,
player,201209300phi,phi,VickMi00,rush_td,0,,,,,
player,201209300phi,phi,VickMi00,rush_long,18,,,,,
player,201209300phi,phi,VickMi00,targets,0,,,,,
player,201209300phi,phi,VickMi00,rec,0,,,,,
player,201209300phi,phi,VickMi00,rec_yds,0,,,,,
player,201209300phi,phi,VickMi00,rec_td,0,,,,,
player,201209300phi,phi,VickMi00,rec_long,0,,,,,
player,201209300phi,phi,VickMi00,fumbles,0,,,,,
player,201209300phi,phi,VickMi00,fumbles_lost,0,,,,,
player,201209300phi,phi,McCoLe01,pass_cmp,0,,,,,
player,201209300phi,phi,McCoLe01,pass_att,0,,,,,
player,201209300phi,phi,McCoLe01,pass_yds,0,,,,,
player,201209300phi,phi,McCoLe01,pass_td,0,,,,,
player,201209300phi,phi,McCoLe01,pass_int,0,,,,,
player,201209300phi,phi,McCoLe01,pass_sacked,0,,,,,
player,201209300phi,phi,McCoLe01,pass_sacked_yds,0,,,,,
player,201209300phi,phi,McCoLe01,pass_long,0,,,,,
player,201209300phi,phi,McCoLe01,pass_rating,,,,,,
player,201209300phi,phi,McCoLe01,rush_att,23,,,,,
player,201209300phi,phi,McCoLe01,rush_yds,123,,,,,
player,201209300phi,phi,McCoLe01,rush_td,0,,,,,
player,201209300phi,phi,McCoLe01,rush_long,34,,,,,
player,201209300phi,phi,McCoLe01,targets,4,,,,,
player,201209300phi,phi,McCoLe01,rec,3,,,,,
player,201209300phi,phi,McCoLe01,rec_yds,17,,,,,
player,201209300phi,phi,McCoLe01,rec_td,0,,,,,
player,201209300phi,phi,McCoLe01,rec_long,12,,,,,
player,201209300phi,phi,McCoLe01,fumbles,1,,,,,
player,201209300phi,phi,McCoLe01,fumbles_lost,0,,,,,
player,201209300phi,phi,HaviSt00,pass_cmp,0,,,,,
player,201209300phi,phi,HaviSt00,pass_att,0,,,,,
player,201209300phi,phi,HaviSt00,pass_yds,0,,,,,
player,201209300phi,phi,HaviSt00,pass_td,0,,,,,
player,201209300phi,phi,HaviSt00,pass_int,0,,,,,
player,201209300phi,phi,HaviSt00,pass_sacked,0,,,,,
player,201209300phi,phi,HaviSt00,pass_sacked_yds,0,,,,,
player,201209300phi,phi,HaviSt00,pass_long,0,,,,,
player,201209300phi,phi,HaviSt00,pass_rating,,,,,,
player,201209300phi,phi,HaviSt00,rush_att,2,,,,,
player,201209300phi,phi,HaviSt00,rush_yds,15,,,,,
player,201209300phi,phi,HaviSt00,rush_td,0,,,,,
player,201209300phi,phi,HaviSt00,rush_long,8,,,,,
player,201209300phi,phi,HaviSt00,targets,2,,,,,
player,201209300phi,phi,HaviSt00,rec,1,,,,,
player,201209300phi,phi,HaviSt00,rec_yds,7,,,,,
player,201209300phi,phi,HaviSt00,rec_td,0,,,,,
player,201209300phi,phi,HaviSt00,rec_long,7,,,,,
player,201209300phi,phi,HaviSt00,fumbles,0,,,,,
player,201209300phi,phi,HaviSt00,fumbles_lost,0,,,,,
player,201209300phi,phi,BrowBr02,pass_cmp,0,,,,,
player,201209300phi,phi,BrowBr02,pass_att,0,,,,,
player,201209300phi,phi,BrowBr02,pass_yds,0,,,,,
player,201209300phi,phi,BrowBr02,pass_td,0,,,,,
player,201209300phi,phi,BrowBr02,pass_int,0,,,,,
player,201209300phi,phi,BrowBr02,pass_sacked,0,,,,,
player,201209300phi,phi,BrowBr02,pass_sacked_yds,0,,,,,
player,201209300phi,phi,BrowBr02,pass_long,0,,,,,
player,201209300phi,phi,BrowBr02,pass_rating,,,,,,
player,201209300phi,phi,BrowBr02,rush_att,4,,,,,
player,201209300phi,phi,BrowBr02,rush_yds,5,,,,,
player,201209300phi,phi,BrowBr02,rush_td,0,,,,,
player,201209300phi,phi,BrowBr02,rush_long,4,,,,,
player,201209300phi,phi,BrowBr02,targets,0,,,,,
player,201209300phi,phi,BrowBr02,rec,0,,,,,
player,201209300phi,phi,BrowBr02,rec_yds,0,,,,,
player,201209300phi,phi,BrowBr02,rec_td,0,,,,,
player,201209300phi,phi,BrowBr02,rec_long,0,,,,,
player,201209300phi,phi,BrowBr02,fumbles,0,,,,,
player,201209300phi,phi,BrowBr02,fumbles_lost,0,,,,,
player,201209300phi,phi,JackDe00,pass_cmp,0,,,,,
player,201209300phi,phi,JackDe00,pass_att,0,,,,,
player,201209300phi,phi,JackDe00,pass_yds,0,,,,,
player,201209300phi,phi,JackDe00,pass_td,0,,,,,
player,201209300phi,phi,JackDe00,pass_int,0,,,,,
player,201209300phi,phi,JackDe00,pass_sacked,0,,,,,
player,201209300phi,phi,JackDe00,pass_sacked_yds,0,,,,,
player,201209300phi,phi,JackDe00,pass_long,0,,,,,
player,201209300phi,phi,JackDe00,pass_rating,,,,,,
player,201209300phi,phi,JackDe00,rush_att,0,,,,,
player,201209300phi,phi,JackDe00,rush_yds,0,,,,,
player,201209300phi,phi,JackDe00,rush_td,0,,,,,
player,201209300phi,phi,JackDe00,rush_long,0,,,,,
player,201209300phi,phi,JackDe00,targets,9,,,,,
player,201209300phi,phi,JackDe00,rec,6,,,,,
player,201209300phi,phi,JackDe00,rec_yds,99,,,,,
player,201209300phi,phi,JackDe00,rec_td,1,,,,,
player,201209300phi,phi,JackDe00,rec_long,32,,,,,
player,201209300phi,phi,JackDe00,fumbles,0,,,,,
player,201209300phi,phi,JackDe00,fumbles_lost,0,,,,,
player,201209300phi,phi,CeleBr00,pass_cmp,0,,,,,
player,201209300phi,phi,CeleBr00,pass_att,0,,,,,
player,201209300phi,phi,CeleBr00,pass_yds,0,,,,,
player,201209300phi,phi,CeleBr00,pass_td,0,,,,,
player,201209300phi,phi,CeleBr00,pass_int,0,,,,,
player,201209300phi,phi,CeleBr00,pass_sacked,0,,,,,
player,201209300phi,phi,CeleBr00,pass_sacked_yds,0,,,,,
player,201209300phi,phi,CeleBr00,pass_long,0,,,,,
player,201209300phi,phi,CeleBr00,pass_rating,,,,,,
player,201209300phi,phi,CeleBr00,rush_att,0,,,,,
player,201209300phi,phi,CeleBr00,rush_yds,0,,,,,
player,201209300phi,phi,CeleBr00,rush_td,0,,,,,
player,201209300phi,phi,CeleBr00,rush_long,0,,,,,
player,201209300phi,phi,CeleBr00,targets,5,,,,,
player,201209300phi,phi,CeleBr00,rec,4,,,,,
player,201209300phi,phi,CeleBr00,rec_yds,57,,,,,
player,201209300phi,phi,CeleBr00,rec_td,0,,,,,
player,201209300phi,phi,CeleBr00,rec_long,27,,,,,
player,201209300phi,phi,CeleBr00,fumbles,0,,,,,
player,201209300phi,phi,CeleBr00,fumbles_lost,0,,,,,
player,201209300phi,phi,AvanJa00,pass_cmp,0,,,,,
player,201209300phi,phi,AvanJa00,pass_att,0,,,,,
player,201209300phi,phi,AvanJa00,pass_yds,0,,,,,
player,201209300phi,phi,AvanJa00,pass_td,0,,,,,
player,201209300phi,phi,AvanJa00,pass_int,0,,,,,
player,201209300phi,phi,AvanJa00,pass_sacked,0,,,,,
player,201209300phi,phi,AvanJa00,pass_sacked_yds,0,,,,,
