game,2012,6,20121014,201210140atl,rai,"Oakland Raiders",20,atl,"Atlanta Falcons",23
team,201210140atl,rai,First Downs,22,,,,,,
team,201210140atl,atl,First Downs,16,,,,,,
team,201210140atl,rai,Rush-Yds-TDs,32-149-1,,,,,,
team,201210140atl,atl,Rush-Yds-TDs,15-45-0,,,,,,
team,201210140atl,rai,Cmp-Att-Yd-TD-INT,23-33-353-1-1,,,,,,
team,201210140atl,atl,Cmp-Att-Yd-TD-INT,24-37-249-1-3,,,,,,
team,201210140atl,rai,Sacked-Yards,3-28,,,,,,
team,201210140atl,atl,Sacked-Yards,1-8,,,,,,
team,201210140atl,rai,Net Pass Yards,325,,,,,,
team,201210140atl,atl,Net Pass Yards,241,,,,,,
team,201210140atl,rai,Total Yards,474,,,,,,
team,201210140atl,atl,Total Yards,286,,,,,,
team,201210140atl,rai,Fumbles-Lost,2-2,,,,,,
team,201210140atl,atl,Fumbles-Lost,0-0,,,,,,
team,201210140atl,rai,Turnovers,3,,,,,,
team,201210140atl,atl,Turnovers,3,,,,,,
team,201210140atl,rai,Penalties-Yards,12-110,,,,,,
team,201210140atl,atl,Penalties-Yards,2-25,,,,,,
team,201210140atl,rai,Third Down Conv.,5-13,,,,,,
team,201210140atl,atl,Third Down Conv.,2-9,,,,,,
team,201210140atl,rai,Fourth Down Conv.,0-0,,,,,,
team,201210140atl,atl,Fourth Down Conv.,0-0,,,,,,
team,201210140atl,rai,Time of Possession,36:26,,,,,,
team,201210140atl,atl,Time of Possession,23:34,,,,,,
player,201210140atl,rai,PalmCa00,pass_cmp,23,,,,,
player,201210140atl,rai,PalmCa00,pass_att,33,,,,,
player,201210140atl,rai,PalmCa00,pass_yds,353,,,,,
player,201210140atl,rai,PalmCa00,pass_td,1,,,,,
player,201210140atl,rai,PalmCa00,pass_int,1,,,,,
player,201210140atl,rai,PalmCa00,pass_sacked,3,,,,,
player,201210140atl,rai,PalmCa00,pass_sacked_yds,28,,,,,
player,201210140atl,rai,PalmCa00,pass_long,49,,,,,
player,201210140atl,rai,PalmCa00,pass_rating,102.2,,,,,
player,201210140atl,rai,PalmCa00,rush_att,0,,,,,
player,201210140atl,rai,PalmCa00,rush_yds,0,,,,,
player,201210140atl,rai,PalmCa00,rush_td,0,,,,,
player,201210140atl,rai,PalmCa00,rush_long,0,,,,,
player,201210140atl,rai,PalmCa00,targets,0,,,,,
player,201210140atl,rai,PalmCa00,rec,0,,,,,
player,201210140atl,rai,PalmCa00,rec_yds,0,,,,,
player,201210140atl,rai,PalmCa00,rec_td,0,,,,,
player,201210140atl,rai,PalmCa00,rec_long,0,,,,,
player,201210140atl,rai,PalmCa00,fumbles,1,,,,,
player,201210140atl,rai,PalmCa00,fumbles_lost,1,,,,,
player,201210140atl,rai,McFaDa00,pass_cmp,0,,,,,
player,201210140atl,rai,McFaDa00,pass_att,0,,,,,
player,201210140atl,rai,McFaDa00,pass_yds,0,,,,,
player,201210140atl,rai,McFaDa00,pass_td,0,,,,,
player,201210140atl,rai,McFaDa00,pass_int,0,,,,,
player,201210140atl,rai,McFaDa00,pass_sacked,,,,,,
player,201210140atl,rai,McFaDa00,pass_sacked_yds,0,,,,,
player,201210140atl,rai,McFaDa00,pass_long,0,,,,,
player,201210140atl,rai,McFaDa00,pass_rating,,,,,,
player,201210140atl,rai,McFaDa00,rush_att,27,,,,,
player,201210140atl,rai,McFaDa00,rush_yds,70,,,,,
player,201210140atl,rai,McFaDa00,rush_td,1,,,,,
player,201210140atl,rai,McFaDa00,rush_long,14,,,,,
player,201210140atl,rai,McFaDa00,targets,4,,,,,
player,201210140atl,rai,McFaDa00,rec,3,,,,,
player,201210140atl,rai,McFaDa00,rec_yds,28,,,,,
player,201210140atl,rai,McFaDa00,rec_td,0,,,,,
player,201210140atl,rai,McFaDa00,rec_long,20,,,,,
player,201210140atl,rai,McFaDa00,fumbles,1,,,,,
player,201210140atl,rai,McFaDa00,fumbles_lost,1,,,,,
player,201210140atl,rai,GoodMi00,pass_cmp,0,,,,,
player,201210140atl,rai,GoodMi00,pass_att,0,,,,,
player,201210140atl,rai,GoodMi00,pass_yds,0,,,,,
player,201210140atl,rai,GoodMi00,pass_td,0,,,,,
player,201210140atl,rai,GoodMi00,pass_int,0,,,,,
player,201210140atl,rai,GoodMi00,pass_sacked,,,,,,
player,201210140atl,rai,GoodMi00,pass_sacked_yds,0,,,,,
player,201210140atl,rai,GoodMi00,pass_long,0,,,,,
player,201210140atl,rai,GoodMi00,pass_rating,,,,,,
player,201210140atl,rai,GoodMi00,rush_att,4,,,,,
player,201210140atl,rai,GoodMi00,rush_yds,59,,,,,
player,201210140atl,rai,GoodMi00,rush_td,0,,,,,
player,201210140atl,rai,GoodMi00,rush_long,43,,,,,
player,201210140atl,rai,GoodMi00,targets,1,,,,,
player,201210140atl,rai,GoodMi00,rec,1,,,,,
player,201210140atl,rai,GoodMi00,rec_yds,37,,,,,
player,201210140atl,rai,GoodMi00,rec_td,0,,,,,
player,201210140atl,rai,GoodMi00,rec_long,37,,,,,
player,201210140atl,rai,GoodMi00,fumbles,0,,,,,
player,201210140atl,rai,GoodMi00,fumbles_lost,0,,,,,
player,201210140atl,rai,HeywDa00,pass_cmp,0,,,,,
player,201210140atl,rai,HeywDa00,pass_att,0,,,,,
player,201210140atl,rai,HeywDa00,pass_yds,0,,,,,
player,201210140atl,rai,HeywDa00,pass_td,0,,,,,
player,201210140atl,rai,HeywDa00,pass_int,0,,,,,
player,201210140atl,rai,HeywDa00,pass_sacked,,,,,,
player,201210140atl,rai,HeywDa00,pass_sacked_yds,0,,,,,
player,201210140atl,rai,HeywDa00,pass_long,0,,,,,
player,201210140atl,rai,HeywDa00,pass_rating,,,,,,
player,201210140atl,rai,HeywDa00,rush_att,1,,,,,
player,201210140atl,rai,HeywDa00,rush_yds,20,,,,,
player,201210140atl,rai,HeywDa00,rush_td,0,,,,,
player,201210140atl,rai,HeywDa00,rush_long,20,,,,,
player,201210140atl,rai,HeywDa00,targets,2,,,,,
