game,2012,6,20121014,201210140mia,ram,"St. Louis Rams",14,mia,"Miami Dolphins",17
team,201210140mia,ram,First Downs,22,,,,,,
team,201210140mia,mia,First Downs,12,,,,,,
team,201210140mia,ram,Rush-Yds-TDs,27-162-1,,,,,,
team,201210140mia,mia,Rush-Yds-TDs,17-36-0,,,,,,
team,201210140mia,ram,Cmp-Att-Yd-TD-INT,26-39-315-0-0,,,,,,
team,201210140mia,mia,Cmp-Att-Yd-TD-INT,21-29-185-2-0,,,,,,
team,201210140mia,ram,Sacked-Yards,3-15,,,,,,
team,201210140mia,mia,Sacked-Yards,3-29,,,,,,
team,201210140mia,ram,Net Pass Yards,300,,,,,,
team,201210140mia,mia,Net Pass Yards,156,,,,,,
team,201210140mia,ram,Total Yards,462,,,,,,
team,201210140mia,mia,Total Yards,192,,,,,,
team,201210140mia,ram,Fumbles-Lost,3-1,,,,,,
team,201210140mia,mia,Fumbles-Lost,1-0,,,,,,
team,201210140mia,ram,Turnovers,1,,,,,,
team,201210140mia,mia,Turnovers,0,,,,,,
team,201210140mia,ram,Penalties-Yards,12-94,,,,,,
team,201210140mia,mia,Penalties-Yards,5-40,,,,,,
team,201210140mia,ram,Third Down Conv.,3-13,,,,,,
team,201210140mia,mia,Third Down Conv.,4-12,,,,,,
team,201210140mia,ram,Fourth Down Conv.,2-2,,,,,,
team,201210140mia,mia,Fourth Down Conv.,1-1,,,,,,
team,201210140mia,ram,Time of Possession,33:23,,,,,,
team,201210140mia,mia,Time of Possession,26:37,,,,,,
player,201210140mia,ram,BradSa00,pass_cmp,26,,,,,
player,201210140mia,ram,BradSa00,pass_att,39,,,,,
player,201210140mia,ram,BradSa00,pass_yds,315,,,,,
player,201210140mia,ram,BradSa00,pass_td,0,,,,,
player,201210140mia,ram,BradSa00,pass_int,0,,,,,
player,201210140mia,ram,BradSa00,pass_sacked,3,,,,,
player,201210140mia,ram,BradSa00,pass_sacked_yds,15,,,,,
player,201210140mia,ram,BradSa00,pass_long,65,,,,,
player,201210140mia,ram,BradSa00,pass_rating,91.3,,,,,
player,201210140mia,ram,BradSa00,rush_att,4,,,,,
player,201210140mia,ram,BradSa00,rush_yds,34,,,,,
player,201210140mia,ram,BradSa00,rush_td,1,,,,,
player,201210140mia,ram,BradSa00,rush_long,21,,,,,
player,201210140mia,ram,BradSa00,targets,0,,,,,
player,201210140mia,ram,BradSa00,rec,0,,,,,
player,201210140mia,ram,BradSa00,rec_yds,0,,,,,
player,201210140mia,ram,BradSa00,rec_td,0,,,,,
player,201210140mia,ram,BradSa00,rec_long,0,,,,,
player,201210140mia,ram,BradSa00,fumbles,0,,,,,
player,201210140mia,ram,BradSa00,fumbles_lost,0,,,,,
player,201210140mia,ram,RichDa00,pass_cmp,0,,,,,
player,201210140mia,ram,RichDa00,pass_att,0,,,,,
player,201210140mia,ram,RichDa00,pass_yds,0,,,,,
player,201210140mia,ram,RichDa00,pass_td,0,,,,,
player,201210140mia,ram,RichDa00,pass_int,0,,,,,
player,201210140mia,ram,RichDa00,pass_sacked,0,,,,,
player,201210140mia,ram,RichDa00,pass_sacked_yds,0,,,,,
player,201210140mia,ram,RichDa00,pass_long,0,,,,,
player,201210140mia,ram,RichDa00,pass_rating,,,,,,
player,201210140mia,ram,RichDa00,rush_att,11,,,,,
player,201210140mia,ram,RichDa00,rush_yds,76,,,,,
player,201210140mia,ram,RichDa00,rush_td,0,,,,,
player,201210140mia,ram,RichDa00,rush_long,44,,,,,
player,201210140mia,ram,RichDa00,targets,3,,,,,
player,201210140mia,ram,RichDa00,rec,2,,,,,
player,201210140mia,ram,RichDa00,rec_yds,23,,,,,
player,201210140mia,ram,RichDa00,rec_td,0,,,,,
player,201210140mia,ram,RichDa00,rec_long,26,,,,,
player,201210140mia,ram,RichDa00,fumbles,0,,,,,
player,201210140mia,ram,RichDa00,fumbles_lost,0,,,,,
player,201210140mia,ram,JackSt00,pass_cmp,0,,,,,
player,201210140mia,ram,JackSt00,pass_att,0,,,,,
player,201210140mia,ram,JackSt00,pass_yds,0,,,,,
player,201210140mia,ram,JackSt00,pass_td,0,,,,,
player,201210140mia,ram,JackSt00,pass_int,0,,,,,
player,201210140mia,ram,JackSt00,pass_sacked,0,,,,,
player,201210140mia,ram,JackSt00,pass_sacked_yds,0,,,,,
player,201210140mia,ram,JackSt00,pass_long,0,,,,,
player,201210140mia,ram,JackSt00,pass_rating,,,,,,
player,201210140mia,ram,JackSt00,rush_att,12,,,,,
player,201210140mia,ram,JackSt00,rush_yds,52,,,,,
player,201210140mia,ram,JackSt00,rush_td,0,,,,,
player,201210140mia,ram,JackSt00,rush_long,12,,,,,
