game,2012,7,20121018,201210180sfo,sea,"Seattle Seahawks",6,sfo,"San Francisco 49ers",13
team,201210180sfo,sea,First Downs,13,,,,,,
team,201210180sfo,sfo,First Downs,18,,,,,,
team,201210180sfo,sea,Rush-Yds-TDs,29-136-0,,,,,,
team,201210180sfo,sfo,Rush-Yds-TDs,32-175-0,,,,,,
team,201210180sfo,sea,Cmp-Att-Yd-TD-INT,9-23-122-0-1,,,,,,
team,201210180sfo,sfo,Cmp-Att-Yd-TD-INT,14-23-140-1-1,,,,,,
team,201210180sfo,sea,Sacked-Yards,2-7,,,,,,
team,201210180sfo,sfo,Sacked-Yards,2-2,,,,,,
team,201210180sfo,sea,Net Pass Yards,115,,,,,,
team,201210180sfo,sfo,Net Pass Yards,138,,,,,,
team,201210180sfo,sea,Total Yards,251,,,,,,
team,201210180sfo,sfo,Total Yards,313,,,,,,
team,201210180sfo,sea,Fumbles-Lost,1-0,,,,,,
team,201210180sfo,sfo,Fumbles-Lost,1-0,,,,,,
team,201210180sfo,sea,Turnovers,1,,,,,,
team,201210180sfo,sfo,Turnovers,1,,,,,,
team,201210180sfo,sea,Penalties-Yards,3-20,,,,,,
team,201210180sfo,sfo,Penalties-Yards,5-40,,,,,,
team,201210180sfo,sea,Third Down Conv.,4-13,,,,,,
team,201210180sfo,sfo,Third Down Conv.,3-11,,,,,,
team,201210180sfo,sea,Fourth Down Conv.,0-1,,,,,,
team,201210180sfo,sfo,Fourth Down Conv.,0-0,,,,,,
team,201210180sfo,sea,Time of Possession,27:59,,,,,,
team,201210180sfo,sfo,Time of Possession,32:01,,,,,,
player,201210180sfo,sea,WilsRu00,pass_cmp,9,,,,,
player,201210180sfo,sea,WilsRu00,pass_att,23,,,,,
player,201210180sfo,sea,WilsRu00,pass_yds,122,,,,,
player,201210180sfo,sea,WilsRu00,pass_td,0,,,,,
player,201210180sfo,sea,WilsRu00,pass_int,1,,,,,
player,201210180sfo,sea,WilsRu00,pass_sacked,2,,,,,
player,201210180sfo,sea,WilsRu00,pass_sacked_yds,7,,,,,
player,201210180sfo,sea,WilsRu00,pass_long,36,,,,,
player,201210180sfo,sea,WilsRu00,pass_rating,38.7,,,,,
player,201210180sfo,sea,WilsRu00,rush_att,3,,,,,
player,201210180sfo,sea,WilsRu00,rush_yds,10,,,,,
player,201210180sfo,sea,WilsRu00,rush_td,0,,,,,
player,201210180sfo,sea,WilsRu00,rush_long,9,,,,,
player,201210180sfo,sea,WilsRu00,targets,0,,,,,
player,201210180sfo,sea,WilsRu00,rec,0,,,,,
player,201210180sfo,sea,WilsRu00,rec_yds,0,,,,,
player,201210180sfo,sea,WilsRu00,rec_td,0,,,,,
player,201210180sfo,sea,WilsRu00,rec_long,0,,,,,
player,201210180sfo,sea,WilsRu00,fumbles,0,,,,,
player,201210180sfo,sea,WilsRu00,fumbles_lost,0,,,,,
player,201210180sfo,sea,LyncMa00,pass_cmp,0,,,,,
player,201210180sfo,sea,LyncMa00,pass_att,0,,,,,
player,201210180sfo,sea,LyncMa00,pass_yds,0,,,,,
player,201210180sfo,sea,LyncMa00,pass_td,0,,,,,
player,201210180sfo,sea,LyncMa00,pass_int,0,,,,,
player,201210180sfo,sea,LyncMa00,pass_sacked,0,,,,,
player,201210180sfo,sea,LyncMa00,pass_sacked_yds,0,,,,,
player,201210180sfo,sea,LyncMa00,pass_long,0,,,,,
player,201210180sfo,sea,LyncMa00,pass_rating,,,,,,
player,201210180sfo,sea,LyncMa00,rush_att,19,,,,,
player,201210180sfo,sea,LyncMa00,rush_yds,103,,,,,
player,201210180sfo,sea,LyncMa00,rush_td,0,,,,,
player,201210180sfo,sea,LyncMa00,rush_long,15,,,,,
player,201210180sfo,sea,LyncMa00,targets,2,,,,,
player,201210180sfo,sea,LyncMa00,rec,1,,,,,
player,201210180sfo,sea,LyncMa00,rec_yds,13,,,,,
player,201210180sfo,sea,LyncMa00,rec_td,0,,,,,
player,201210180sfo,sea,LyncMa00,rec_long,13,,,,,
player,201210180sfo,sea,LyncMa00,fumbles,0,,,,,
player,201210180sfo,sea,LyncMa00,fumbles_lost,0,,,,,
player,201210180sfo,sea,TurbRo00,pass_cmp,0,,,,,
player,201210180sfo,sea,TurbRo00,pass_att,0,,,,,
player,201210180sfo,sea,TurbRo00,pass_yds,0,,,,,
player,201210180sfo,sea,TurbRo00,pass_td,0,,,,,
player,201210180sfo,sea,TurbRo00,pass_int,0,,,,,
player,201210180sfo,sea,TurbRo00,pass_sacked,0,,,,,
player,201210180sfo,sea,TurbRo00,pass_sacked_yds,0,,,,,
player,201210180sfo,sea,TurbRo00,pass_long,0,,,,,
player,201210180sfo,sea,TurbRo00,pass_rating,,,,,,
player,201210180sfo,sea,TurbRo00,rush_att,4,,,,,
player,201210180sfo,sea,TurbRo00,rush_yds,17,,,,,
player,201210180sfo,sea,TurbRo00,rush_td,0,,,,,
player,201210180sfo,sea,TurbRo00,rush_long,15,,,,,
player,201210180sfo,sea,TurbRo00,targets,1,,,,,
player,201210180sfo,sea,TurbRo00,rec,0,,,,,
player,201210180sfo,sea,TurbRo00,rec_yds,0,,,,,
player,201210180sfo,sea,TurbRo00,rec_td,0,,,,,
player,201210180sfo,sea,TurbRo00,rec_long,0,,,,,
player,201210180sfo,sea,TurbRo00,fumbles,0,,,,,
player,201210180sfo,sea,TurbRo00,fumbles_lost,0,,,,,
player,201210180sfo,sea,WashLe00,pass_cmp,0,,,,,
player,201210180sfo,sea,WashLe00,pass_att,0,,,,,
player,201210180sfo,sea,WashLe00,pass_yds,0,,,,,
player,201210180sfo,sea,WashLe00,pass_td,0,,,,,
player,201210180sfo,sea,WashLe00,pass_int,0,,,,,
player,201210180sfo,sea,WashLe00,pass_sacked,0,,,,,
player,201210180sfo,sea,WashLe00,pass_sacked_yds,0,,,,,
player,201210180sfo,sea,WashLe00,pass_long,0,,,,,
player,201210180sfo,sea,WashLe00,pass_rating,,,,,,
player,201210180sfo,sea,WashLe00,rush_att,2,,,,,
player,201210180sfo,sea,WashLe00,rush_yds,4,,,,,
player,201210180sfo,sea,WashLe00,rush_td,0,,,,,
player,201210180sfo,sea,WashLe00,rush_long,2,,,,,
player,201210180sfo,sea,WashLe00,targets,0,,,,,
player,201210180sfo,sea,WashLe00,rec,0,,,,,
player,201210180sfo,sea,WashLe00,rec_yds,0,,,,,
player,201210180sfo,sea,WashLe00,rec_td,0,,,,,
player,201210180sfo,sea,WashLe00,rec_long,0,,,,,
player,201210180sfo,sea,WashLe00,fumbles,1,,,,,
player,201210180sfo,sea,WashLe00,fumbles_lost,0,,,,,
player,201210180sfo,sea,RobiMi00,pass_cmp,0,,,,,
player,201210180sfo,sea,RobiMi00,pass_att,0,,,,,
player,201210180sfo,sea,RobiMi00,pass_yds,0,,,,,
player,201210180sfo,sea,RobiMi00,pass_td,0,,,,,
player,201210180sfo,sea,RobiMi00,pass_int,0,,,,,
player,201210180sfo,sea,RobiMi00,pass_sacked,0,,,,,
player,201210180sfo,sea,RobiMi00,pass_sacked_yds,0,,,,,
player,201210180sfo,sea,RobiMi00,pass_long,0,,,,,
player,201210180sfo,sea,RobiMi00,pass_rating,,,,,,
player,201210180sfo,sea,RobiMi00,rush_att,1,,,,,
player,201210180sfo,sea,RobiMi00,rush_yds,2,,,,,
player,201210180sfo,sea,RobiMi00,rush_td,0,,,,,
player,201210180sfo,sea,RobiMi00,rush_long,2,,,,,
player,201210180sfo,sea,RobiMi00,targets,1,,,,,
