game,2012,8,20121028,201210280dal,nyg,"New York Giants",29,dal,"Dallas Cowboys",24
team,201210280dal,nyg,First Downs,11,,,,,,
team,201210280dal,dal,First Downs,28,,,,,,
team,201210280dal,nyg,Rush-Yds-TDs,28-103-1,,,,,,
team,201210280dal,dal,Rush-Yds-TDs,17-19-2,,,,,,
team,201210280dal,nyg,Cmp-Att-Yd-TD-INT,15-29-192-0-1,,,,,,
team,201210280dal,dal,Cmp-Att-Yd-TD-INT,36-62-437-1-4,,,,,,
team,201210280dal,nyg,Sacked-Yards,1-2,,,,,,
team,201210280dal,dal,Sacked-Yards,4-22,,,,,,
team,201210280dal,nyg,Net Pass Yards,190,,,,,,
team,201210280dal,dal,Net Pass Yards,415,,,,,,
team,201210280dal,nyg,Total Yards,293,,,,,,
team,201210280dal,dal,Total Yards,434,,,,,,
team,201210280dal,nyg,Fumbles-Lost,1-1,,,,,,
team,201210280dal,dal,Fumbles-Lost,4-2,,,,,,
team,201210280dal,nyg,Turnovers,2,,,,,,
team,201210280dal,dal,Turnovers,6,,,,,,
team,201210280dal,nyg,Penalties-Yards,5-45,,,,,,
team,201210280dal,dal,Penalties-Yards,2-10,,,,,,
team,201210280dal,nyg,Third Down Conv.,3-15,,,,,,
team,201210280dal,dal,Third Down Conv.,7-14,,,,,,
team,201210280dal,nyg,Fourth Down Conv.,0-0,,,,,,
team,201210280dal,dal,Fourth Down Conv.,1-2,,,,,,
team,201210280dal,nyg,Time of Possession,27:42,,,,,,
team,201210280dal,dal,Time of Possession,32:18,,,,,,
player,201210280dal,nyg,MannEl00,pass_cmp,15,,,,,
player,201210280dal,nyg,MannEl00,pass_att,29,,,,,
player,201210280dal,nyg,MannEl00,pass_yds,192,,,,,
player,201210280dal,nyg,MannEl00,pass_td,0,,,,,
player,201210280dal,nyg,MannEl00,pass_int,1,,,,,
player,201210280dal,nyg,MannEl00,pass_sacked,1,,,,,
player,201210280dal,nyg,MannEl00,pass_sacked_yds,2,,,,,
player,201210280dal,nyg,MannEl00,pass_long,56,,,,,
player,201210280dal,nyg,MannEl00,pass_rating,58.4,,,,,
player,201210280dal,nyg,MannEl00,rush_att,1,,,,,
player,201210280dal,nyg,MannEl00,rush_yds,3,,,,,
player,201210280dal,nyg,MannEl00,rush_td,0,,,,,
player,201210280dal,nyg,MannEl00,rush_long,3,,,,,
player,201210280dal,nyg,MannEl00,targets,0,,,,,
player,201210280dal,nyg,MannEl00,rec,0,,,,,
player,201210280dal,nyg,MannEl00,rec_yds,0,,,,,
player,201210280dal,nyg,MannEl00,rec_td,0,,,,,
player,201210280dal,nyg,MannEl00,rec_long,0,,,,,
player,201210280dal,nyg,MannEl00,fumbles,0,,,,,
player,201210280dal,nyg,MannEl00,fumbles_lost,0,,,,,
player,201210280dal,nyg,BradAh00,pass_cmp,0,,,,,
player,201210280dal,nyg,BradAh00,pass_att,0,,,,,
player,201210280dal,nyg,BradAh00,pass_yds,0,,,,,
player,201210280dal,nyg,BradAh00,pass_td,0,,,,,
player,201210280dal,nyg,BradAh00,pass_int,0,,,,,
player,201210280dal,nyg,BradAh00,pass_sacked,0,,,,,
player,201210280dal,nyg,BradAh00,pass_sacked_yds,0,,,,,
player,201210280dal,nyg,BradAh00,pass_long,0,,,,,
player,201210280dal,nyg,BradAh00,pass_rating,,,,,,
player,201210280dal,nyg,BradAh00,rush_att,22,,,,,
player,201210280dal,nyg,BradAh00,rush_yds,78,,,,,
player,201210280dal,nyg,BradAh00,rush_td,0,,,,,
player,201210280dal,nyg,BradAh00,rush_long,12,,,,,
player,201210280dal,nyg,BradAh00,targets,0,,,,,
player,201210280dal,nyg,BradAh00,rec,0,,,,,
player,201210280dal,nyg,BradAh00,rec_yds,0,,,,,
player,201210280dal,nyg,BradAh00,rec_td,0,,,,,
player,201210280dal,nyg,BradAh00,rec_long,0,,,,,
player,201210280dal,nyg,BradAh00,fumbles,1,,,,,
player,201210280dal,nyg,BradAh00,fumbles_lost,1,,,,,
player,201210280dal,nyg,BrowAn03,pass_cmp,0,,,,,
player,201210280dal,nyg,BrowAn03,pass_att,0,,,,,
player,201210280dal,nyg,BrowAn03,pass_yds,0,,,,,
player,201210280dal,nyg,BrowAn03,pass_td,0,,,,,
player,201210280dal,nyg,BrowAn03,pass_int,0,,,,,
player,201210280dal,nyg,BrowAn03,pass_sacked,0,,,,,
player,201210280dal,nyg,BrowAn03,pass_sacked_yds,0,,,,,
player,201210280dal,nyg,BrowAn03,pass_long,0,,,,,
player,201210280dal,nyg,BrowAn03,pass_rating,,,,,,
player,201210280dal,nyg,BrowAn03,rush_att,3,,,,,
player,201210280dal,nyg,BrowAn03,rush_yds,21,,,,,
player,201210280dal,nyg,BrowAn03,rush_td,1,,,,,
player,201210280dal,nyg,BrowAn03,rush_long,14,,,,,
player,201210280dal,nyg,BrowAn03,targets,2,,,,,
player,201210280dal,nyg,BrowAn03,rec,0,,,,,
player,201210280dal,nyg,BrowAn03,rec_yds,0,,,,,
player,201210280dal,nyg,BrowAn03,rec_td,0,,,,,
player,201210280dal,nyg,BrowAn03,rec_long,0,,,,,
player,201210280dal,nyg,BrowAn03,fumbles,0,,,,,
player,201210280dal,nyg,BrowAn03,fumbles_lost,0,,,,,
player,201210280dal,nyg,WilsDa01,pass_cmp,0,,,,,
player,201210280dal,nyg,WilsDa01,pass_att,0,,,,,
player,201210280dal,nyg,WilsDa01,pass_yds,0,,,,,
player,201210280dal,nyg,WilsDa01,pass_td,0,,,,,
player,201210280dal,nyg,WilsDa01,pass_int,0,,,,,
player,201210280dal,nyg,WilsDa01,pass_sacked,0,,,,,
player,201210280dal,nyg,WilsDa01,pass_sacked_yds,0,,,,,
player,201210280dal,nyg,WilsDa01,pass_long,0,,,,,
player,201210280dal,nyg,WilsDa01,pass_rating,,,,,,
player,201210280dal,nyg,WilsDa01,rush_att,2,,,,,
player,201210280dal,nyg,WilsDa01,rush_yds,1,,,,,
player,201210280dal,nyg,WilsDa01,rush_td,0,,,,,
player,201210280dal,nyg,WilsDa01,rush_long,2,,,,,
player,201210280dal,nyg,WilsDa01,targets,0,,,,,
player,201210280dal,nyg,WilsDa01,rec,0,,,,,
player,201210280dal,nyg,WilsDa01,rec_yds,0,,,,,
player,201210280dal,nyg,WilsDa01,rec_td,0,,,,,
player,201210280dal,nyg,WilsDa01,rec_long,0,,,,,
player,201210280dal,nyg,WilsDa01,fumbles,0,,,,,
player,201210280dal,nyg,WilsDa01,fumbles_lost,0,,,,,
player,201210280dal,nyg,RandRu00,pass_cmp,0,,,,,
player,201210280dal,nyg,RandRu00,pass_att,0,,,,,
player,201210280dal,nyg,RandRu00,pass_yds,0,,,,,
player,201210280dal,nyg,RandRu00,pass_td,0,,,,,
player,201210280dal,nyg,RandRu00,pass_int,0,,,,,
player,201210280dal,nyg,RandRu00,pass_sacked,0,,,,,
player,201210280dal,nyg,RandRu00,pass_sacked_yds,0,,,,,
player,201210280dal,nyg,RandRu00,pass_long,0,,,,,
player,201210280dal,nyg,RandRu00,pass_rating,,,,,,
player,201210280dal,nyg,RandRu00,rush_att,0,,,,,
player,201210280dal,nyg,RandRu00,rush_yds,0,,,,,
player,201210280dal,nyg,RandRu00,rush_td,0,,,,,
player,201210280dal,nyg,RandRu00,rush_long,0,,,,,
player,201210280dal,nyg,RandRu00,targets,2,,,,,
player,201210280dal,nyg,RandRu00,rec,2,,,,,
player,201210280dal,nyg,RandRu00,rec_yds,68,,,,,
player,201210280dal,nyg,RandRu00,rec_td,0,,,,,
player,201210280dal,nyg,RandRu00,rec_long,56,,,,,
player,201210280dal,nyg,RandRu00,fumbles,0,,,,,
player,201210280dal,nyg,RandRu00,fumbles_lost,0,,,,,
player,201210280dal,nyg,NickHa01,pass_cmp,0,,,,,
player,201210280dal,nyg,NickHa01,pass_att,0,,,,,
player,201210280dal,nyg,NickHa01,pass_yds,0,,,,,
player,201210280dal,nyg,NickHa01,pass_td,0,,,,,
player,201210280dal,nyg,NickHa01,pass_int,0,,,,,
player,201210280dal,nyg,NickHa01,pass_sacked,0,,,,,
player,201210280dal,nyg,NickHa01,pass_sacked_yds,0,,,,,
player,201210280dal,nyg,NickHa01,pass_long,0,,,,,
player,201210280dal,nyg,NickHa01,pass_rating,,,,,,
player,201210280dal,nyg,NickHa01,rush_att,0,,,,,
player,201210280dal,nyg,NickHa01,rush_yds,0,,,,,
player,201210280dal,nyg,NickHa01,rush_td,0,,,,,
player,201210280dal,nyg,NickHa01,rush_long,0,,,,,
player,201210280dal,nyg,NickHa01,targets,7,,,,,
player,201210280dal,nyg,NickHa01,rec,4,,,,,
player,201210280dal,nyg,NickHa01,rec_yds,46,,,,,
player,201210280dal,nyg,NickHa01,rec_td,0,,,,,
player,201210280dal,nyg,NickHa01,rec_long,29,,,,,
player,201210280dal,nyg,NickHa01,fumbles,0,,,,,
player,201210280dal,nyg,NickHa01,fumbles_lost,0,,,,,
player,201210280dal,nyg,BennMa00,pass_cmp,0,,,,,
player,201210280dal,nyg,BennMa00,pass_att,0,,,,,
player,201210280dal,nyg,BennMa00,pass_yds,0,,,,,
player,201210280dal,nyg,BennMa00,pass_td,0,,,,,
player,201210280dal,nyg,BennMa00,pass_int,0,,,,,
player,201210280dal,nyg,BennMa00,pass_sacked,0,,,,,
player,201210280dal,nyg,BennMa00,pass_sacked_yds,0,,,,,
player,201210280dal,nyg,BennMa00,pass_long,0,,,,,
player,201210280dal,nyg,BennMa00,pass_rating,,,,,,
player,201210280dal,nyg,BennMa00,rush_att,0,,,,,
player,201210280dal,nyg,BennMa00,rush_yds,0,,,,,
player,201210280dal,nyg,BennMa00,rush_td,0,,,,,
player,201210280dal,nyg,BennMa00,rush_long,0,,,,,
player,201210280dal,nyg,BennMa00,targets,6,,,,,
player,201210280dal,nyg,BennMa00,rec,4,,,,,
player,201210280dal,nyg,BennMa00,rec_yds,29,,,,,
player,201210280dal,nyg,BennMa00,rec_td,0,,,,,
player,201210280dal,nyg,BennMa00,rec_long,12,,,,,
player,201210280dal,nyg,BennMa00,fumbles,0,,,,,
player,201210280dal,nyg,BennMa00,fumbles_lost,0,,,,,
player,201210280dal,nyg,HixoDo00,pass_cmp,0,,,,,
player,201210280dal,nyg,HixoDo00,pass_att,0,,,,,
player,201210280dal,nyg,HixoDo00,pass_yds,0,,,,,
player,201210280dal,nyg,HixoDo00,pass_td,0,,,,,
player,201210280dal,nyg,HixoDo00,pass_int,0,,,,,
player,201210280dal,nyg,HixoDo00,pass_sacked,0,,,,,
player,201210280dal,nyg,HixoDo00,pass_sacked_yds,0,,,,,
player,201210280dal,nyg,HixoDo00,pass_long,0,,,,,
player,201210280dal,nyg,HixoDo00,pass_rating,,,,,,
player,201210280dal,nyg,HixoDo00,rush_att,0,,,,,
player,201210280dal,nyg,HixoDo00,rush_yds,0,,,,,
player,201210280dal,nyg,HixoDo00,rush_td,0,,,,,
player,201210280dal,nyg,HixoDo00,rush_long,0,,,,,
player,201210280dal,nyg,HixoDo00,targets,3,,,,,
player,201210280dal,nyg,HixoDo00,rec,3,,,,,
player,201210280dal,nyg,HixoDo00,rec_yds,26,,,,,
player,201210280dal,nyg,HixoDo00,rec_td,0,,,,,
player,201210280dal,nyg,HixoDo00,rec_long,18,,,,,
player,201210280dal,nyg,HixoDo00,fumbles,0,,,,,
player,201210280dal,nyg,HixoDo00,fumbles_lost,0,,,,,
player,201210280dal,nyg,CruzVi00,pass_cmp,0,,,,,
player,201210280dal,nyg,CruzVi00,pass_att,0,,,,,
player,201210280dal,nyg,CruzVi00,pass_yds,0,,,,,
player,201210280dal,nyg,CruzVi00,pass_td,0,,,,,
player,201210280dal,nyg,CruzVi00,pass_int,0,,,,,
player,201210280dal,nyg,CruzVi00,pass_sacked,0,,,,,
player,201210280dal,nyg,CruzVi00,pass_sacked_yds,0,,,,,
player,201210280dal,nyg,CruzVi00,pass_long,0,,,,,
player,201210280dal,nyg,CruzVi00,pass_rating,,,,,,
player,201210280dal,nyg,CruzVi00,rush_att,0,,,,,
player,201210280dal,nyg,CruzVi00,rush_yds,0,,,,,
player,201210280dal,nyg,CruzVi00,rush_td,0,,,,,
player,201210280dal,nyg,CruzVi00,rush_long,0,,,,,
player,201210280dal,nyg,CruzVi00,targets,8,,,,,
player,201210280dal,nyg,CruzVi00,rec,2,,,,,
player,201210280dal,nyg,CruzVi00,rec_yds,23,,,,,
player,201210280dal,nyg,CruzVi00,rec_td,0,,,,,
player,201210280dal,nyg,CruzVi00,rec_long,17,,,,,
player,201210280dal,nyg,CruzVi00,fumbles,0,,,,,
player,201210280dal,nyg,CruzVi00,fumbles_lost,0,,,,,
player,201210280dal,nyg,BardRa00,pass_cmp,0,,,,,
player,201210280dal,nyg,BardRa00,pass_att,0,,,,,
player,201210280dal,nyg,BardRa00,pass_yds,0,,,,,
player,201210280dal,nyg,BardRa00,pass_td,0,,,,,
player,201210280dal,nyg,BardRa00,pass_int,0,,,,,
player,201210280dal,nyg,BardRa00,pass_sacked,0,,,,,
player,201210280dal,nyg,BardRa00,pass_sacked_yds,0,,,,,
player,201210280dal,nyg,BardRa00,pass_long,0,,,,,
player,201210280dal,nyg,BardRa00,pass_rating,,,,,,
player,201210280dal,nyg,BardRa00,rush_att,0,,,,,
player,201210280dal,nyg,BardRa00,rush_yds,0,,,,,
player,201210280dal,nyg,BardRa00,rush_td,0,,,,,
player,201210280dal,nyg,BardRa00,rush_long,0,,,,,
player,201210280dal,nyg,BardRa00,targets,1,,,,,
player,201210280dal,nyg,BardRa00,rec,0,,,,,
player,201210280dal,nyg,BardRa00,rec_yds,0,,,,,
player,201210280dal,nyg,BardRa00,rec_td,0,,,,,
player,201210280dal,nyg,BardRa00,rec_long,0,,,,,
player,201210280dal,nyg,BardRa00,fumbles,0,,,,,
player,201210280dal,nyg,BardRa00,fumbles_lost,0,,,,,
player,201210280dal,dal,RomoTo00,pass_cmp,36,,,,,
player,201210280dal,dal,RomoTo00,pass_att,62,,,,,
player,201210280dal,dal,RomoTo00,pass_yds,437,,,,,
player,201210280dal,dal,RomoTo00,pass_td,1,,,,,
player,201210280dal,dal,RomoTo00,pass_int,4,,,,,
player,201210280dal,dal,RomoTo00,pass_sacked,4,,,,,
player,201210280dal,dal,RomoTo00,pass_sacked_yds,22,,,,,
player,201210280dal,dal,RomoTo00,pass_long,55,,,,,
player,201210280dal,dal,RomoTo00,pass_rating,58.3,,,,,
player,201210280dal,dal,RomoTo00,rush_att,2,,,,,
player,201210280dal,dal,RomoTo00,rush_yds,0,,,,,
player,201210280dal,dal,RomoTo00,rush_td,1,,,,,
player,201210280dal,dal,RomoTo00,rush_long,1,,,,,
player,201210280dal,dal,RomoTo00,targets,0,,,,,
player,201210280dal,dal,RomoTo00,rec,0,,,,,
player,201210280dal,dal,RomoTo00,rec_yds,0,,,,,
player,201210280dal,dal,RomoTo00,rec_td,0,,,,,
player,201210280dal,dal,RomoTo00,rec_long,0,,,,,
player,201210280dal,dal,RomoTo00,fumbles,0,,,,,
player,201210280dal,dal,RomoTo00,fumbles_lost,0,,,,,
player,201210280dal,dal,JoneFe00,pass_cmp,0,,,,,
player,201210280dal,dal,JoneFe00,pass_att,0,,,,,
player,201210280dal,dal,JoneFe00,pass_yds,0,,,,,
player,201210280dal,dal,JoneFe00,pass_td,0,,,,,
player,201210280dal,dal,JoneFe00,pass_int,0,,,,,
player,201210280dal,dal,JoneFe00,pass_sacked,0,,,,,
player,201210280dal,dal,JoneFe00,pass_sacked_yds,0,,,,,
player,201210280dal,dal,JoneFe00,pass_long,0,,,,,
player,201210280dal,dal,JoneFe00,pass_rating,,,,,,
player,201210280dal,dal,JoneFe00,rush_att,13,,,,,
player,201210280dal,dal,JoneFe00,rush_yds,19,,,,,
player,201210280dal,dal,JoneFe00,rush_td,1,,,,,
player,201210280dal,dal,JoneFe00,rush_long,5,,,,,
player,201210280dal,dal,JoneFe00,targets,3,,,,,
player,201210280dal,dal,JoneFe00,rec,0,,,,,
player,201210280dal,dal,JoneFe00,rec_yds,0,,,,,
player,201210280dal,dal,JoneFe00,rec_td,0,,,,,
player,201210280dal,dal,JoneFe00,rec_long,0,,,,,
player,201210280dal,dal,JoneFe00,fumbles,1,,,,,
player,201210280dal,dal,JoneFe00,fumbles_lost,1,,,,,
player,201210280dal,dal,WittJa00,pass_cmp,0,,,,,
player,201210280dal,dal,WittJa00,pass_att,0,,,,,
player,201210280dal,dal,WittJa00,pass_yds,0,,,,,
player,201210280dal,dal,WittJa00,pass_td,0,,,,,
player,201210280dal,dal,WittJa00,pass_int,0,,,,,
player,201210280dal,dal,WittJa00,pass_sacked,0,,,,,
player,201210280dal,dal,WittJa00,pass_sacked_yds,0,,,,,
player,201210280dal,dal,WittJa00,pass_long,0,,,,,
player,201210280dal,dal,WittJa00,pass_rating,,,,,,
player,201210280dal,dal,WittJa00,rush_att,0,,,,,
player,201210280dal,dal,WittJa00,rush_yds,0,,,,,
