game,2012,8,20121028,201210280den,nor,"New Orleans Saints",14,den,"Denver Broncos",34
team,201210280den,nor,First Downs,14,,,,,,
team,201210280den,den,First Downs,29,,,,,,
team,201210280den,nor,Rush-Yds-TDs,17-51-0,,,,,,
team,201210280den,den,Rush-Yds-TDs,41-225-1,,,,,,
team,201210280den,nor,Cmp-Att-Yd-TD-INT,22-42-213-2-1,,,,,,
team,201210280den,den,Cmp-Att-Yd-TD-INT,22-30-305-3-0,,,,,,
team,201210280den,nor,Sacked-Yards,1-12,,,,,,
team,201210280den,den,Sacked-Yards,0-0,,,,,,
team,201210280den,nor,Net Pass Yards,201,,,,,,
team,201210280den,den,Net Pass Yards,305,,,,,,
team,201210280den,nor,Total Yards,252,,,,,,
team,201210280den,den,Total Yards,530,,,,,,
team,201210280den,nor,Fumbles-Lost,1-0,,,,,,
team,201210280den,den,Fumbles-Lost,2-1,,,,,,
team,201210280den,nor,Turnovers,1,,,,,,
team,201210280den,den,Turnovers,1,,,,,,
team,201210280den,nor,Penalties-Yards,3-15,,,,,,
team,201210280den,den,Penalties-Yards,5-34,,,,,,
team,201210280den,nor,Third Down Conv.,1-12,,,,,,
team,201210280den,den,Third Down Conv.,5-13,,,,,,
team,201210280den,nor,Fourth Down Conv.,2-3,,,,,,
team,201210280den,den,Fourth Down Conv.,0-0,,,,,,
team,201210280den,nor,Time of Possession,24:46,,,,,,
team,201210280den,den,Time of Possession,35:14,,,,,,
player,201210280den,nor,BreeDr00,pass_cmp,22,,,,,
player,201210280den,nor,BreeDr00,pass_att,42,,,,,
player,201210280den,nor,BreeDr00,pass_yds,213,,,,,
player,201210280den,nor,BreeDr00,pass_td,2,,,,,
player,201210280den,nor,BreeDr00,pass_int,1,,,,,
player,201210280den,nor,BreeDr00,pass_sacked,1,,,,,
player,201210280den,nor,BreeDr00,pass_sacked_yds,12,,,,,
player,201210280den,nor,BreeDr00,pass_long,29,,,,,
player,201210280den,nor,BreeDr00,pass_rating,72.8,,,,,
player,201210280den,nor,BreeDr00,rush_att,2,,,,,
player,201210280den,nor,BreeDr00,rush_yds,2,,,,,
player,201210280den,nor,BreeDr00,rush_td,0,,,,,
player,201210280den,nor,BreeDr00,rush_long,3,,,,,
player,201210280den,nor,BreeDr00,targets,0,,,,,
player,201210280den,nor,BreeDr00,rec,0,,,,,
player,201210280den,nor,BreeDr00,rec_yds,0,,,,,
player,201210280den,nor,BreeDr00,rec_td,0,,,,,
player,201210280den,nor,BreeDr00,rec_long,0,,,,,
player,201210280den,nor,BreeDr00,fumbles,1,,,,,
player,201210280den,nor,BreeDr00,fumbles_lost,0,,,,,
player,201210280den,nor,ThomPi00,pass_cmp,0,,,,,
player,201210280den,nor,ThomPi00,pass_att,0,,,,,
player,201210280den,nor,ThomPi00,pass_yds,0,,,,,
player,201210280den,nor,ThomPi00,pass_td,0,,,,,
player,201210280den,nor,ThomPi00,pass_int,0,,,,,
player,201210280den,nor,ThomPi00,pass_sacked,0,,,,,
player,201210280den,nor,ThomPi00,pass_sacked_yds,0,,,,,
player,201210280den,nor,ThomPi00,pass_long,0,,,,,
player,201210280den,nor,ThomPi00,pass_rating,,,,,,
player,201210280den,nor,ThomPi00,rush_att,8,,,,,
player,201210280den,nor,ThomPi00,rush_yds,43,,,,,
player,201210280den,nor,ThomPi00,rush_td,0,,,,,
player,201210280den,nor,ThomPi00,rush_long,8,,,,,
player,201210280den,nor,ThomPi00,targets,2,,,,,
player,201210280den,nor,ThomPi00,rec,2,,,,,
player,201210280den,nor,ThomPi00,rec_yds,6,,,,,
player,201210280den,nor,ThomPi00,rec_td,0,,,,,
player,201210280den,nor,ThomPi00,rec_long,5,,,,,
player,201210280den,nor,ThomPi00,fumbles,0,,,,,
player,201210280den,nor,ThomPi00,fumbles_lost,0,,,,,
player,201210280den,nor,IngrMa01,pass_cmp,0,,,,,
player,201210280den,nor,IngrMa01,pass_att,0,,,,,
player,201210280den,nor,IngrMa01,pass_yds,0,,,,,
player,201210280den,nor,IngrMa01,pass_td,0,,,,,
player,201210280den,nor,IngrMa01,pass_int,0,,,,,
player,201210280den,nor,IngrMa01,pass_sacked,0,,,,,
player,201210280den,nor,IngrMa01,pass_sacked_yds,0,,,,,
player,201210280den,nor,IngrMa01,pass_long,0,,,,,
player,201210280den,nor,IngrMa01,pass_rating,,,,,,
player,201210280den,nor,IngrMa01,rush_att,3,,,,,
player,201210280den,nor,IngrMa01,rush_yds,7,,,,,
player,201210280den,nor,IngrMa01,rush_td,0,,,,,
player,201210280den,nor,IngrMa01,rush_long,4,,,,,
player,201210280den,nor,IngrMa01,targets,0,,,,,
player,201210280den,nor,IngrMa01,rec,0,,,,,
player,201210280den,nor,IngrMa01,rec_yds,0,,,,,
player,201210280den,nor,IngrMa01,rec_td,0,,,,,
player,201210280den,nor,IngrMa01,rec_long,0,,,,,
player,201210280den,nor,IngrMa01,fumbles,0,,,,,
player,201210280den,nor,IngrMa01,fumbles_lost,0,,,,,
player,201210280den,nor,ColsMa00,pass_cmp,0,,,,,
player,201210280den,nor,ColsMa00,pass_att,0,,,,,
player,201210280den,nor,ColsMa00,pass_yds,0,,,,,
player,201210280den,nor,ColsMa00,pass_td,0,,,,,
player,201210280den,nor,ColsMa00,pass_int,0,,,,,
player,201210280den,nor,ColsMa00,pass_sacked,0,,,,,
player,201210280den,nor,ColsMa00,pass_sacked_yds,0,,,,,
player,201210280den,nor,ColsMa00,pass_long,0,,,,,
player,201210280den,nor,ColsMa00,pass_rating,,,,,,
player,201210280den,nor,ColsMa00,rush_att,0,,,,,
player,201210280den,nor,ColsMa00,rush_yds,0,,,,,
player,201210280den,nor,ColsMa00,rush_td,0,,,,,
player,201210280den,nor,ColsMa00,rush_long,0,,,,,
player,201210280den,nor,ColsMa00,targets,10,,,,,
player,201210280den,nor,ColsMa00,rec,5,,,,,
player,201210280den,nor,ColsMa00,rec_yds,63,,,,,
player,201210280den,nor,ColsMa00,rec_td,0,,,,,
player,201210280den,nor,ColsMa00,rec_long,16,,,,,
player,201210280den,nor,ColsMa00,fumbles,0,,,,,
player,201210280den,nor,ColsMa00,fumbles_lost,0,,,,,
player,201210280den,nor,GrahJi00,pass_cmp,0,,,,,
player,201210280den,nor,GrahJi00,pass_att,0,,,,,
player,201210280den,nor,GrahJi00,pass_yds,0,,,,,
player,201210280den,nor,GrahJi00,pass_td,0,,,,,
player,201210280den,nor,GrahJi00,pass_int,0,,,,,
player,201210280den,nor,GrahJi00,pass_sacked,0,,,,,
player,201210280den,nor,GrahJi00,pass_sacked_yds,0,,,,,
player,201210280den,nor,GrahJi00,pass_long,0,,,,,
player,201210280den,nor,GrahJi00,pass_rating,,,,,,
player,201210280den,nor,GrahJi00,rush_att,0,,,,,
player,201210280den,nor,GrahJi00,rush_yds,0,,,,,
player,201210280den,nor,GrahJi00,rush_td,0,,,,,
player,201210280den,nor,GrahJi00,rush_long,0,,,,,
player,201210280den,nor,GrahJi00,targets,10,,,,,
player,201210280den,nor,GrahJi00,rec,5,,,,,
player,201210280den,nor,GrahJi00,rec_yds,63,,,,,
player,201210280den,nor,GrahJi00,rec_td,1,,,,,
player,201210280den,nor,GrahJi00,rec_long,20,,,,,
player,201210280den,nor,GrahJi00,fumbles,0,,,,,
player,201210280den,nor,GrahJi00,fumbles_lost,0,,,,,
player,201210280den,nor,MoorLa00,pass_cmp,0,,,,,
player,201210280den,nor,MoorLa00,pass_att,0,,,,,
player,201210280den,nor,MoorLa00,pass_yds,0,,,,,
player,201210280den,nor,MoorLa00,pass_td,0,,,,,
player,201210280den,nor,MoorLa00,pass_int,0,,,,,
player,201210280den,nor,MoorLa00,pass_sacked,0,,,,,
player,201210280den,nor,MoorLa00,pass_sacked_yds,0,,,,,
player,201210280den,nor,MoorLa00,pass_long,0,,,,,
player,201210280den,nor,MoorLa00,pass_rating,,,,,,
player,201210280den,nor,MoorLa00,rush_att,0,,,,,
player,201210280den,nor,MoorLa00,rush_yds,0,,,,,
player,201210280den,nor,MoorLa00,rush_td,0,,,,,
player,201210280den,nor,MoorLa00,rush_long,0,,,,,
player,201210280den,nor,MoorLa00,targets,6,,,,,
player,201210280den,nor,MoorLa00,rec,3,,,,,
player,201210280den,nor,MoorLa00,rec_yds,25,,,,,
player,201210280den,nor,MoorLa00,rec_td,0,,,,,
player,201210280den,nor,MoorLa00,rec_long,12,,,,,
player,201210280den,nor,MoorLa00,fumbles,0,,,,,
player,201210280den,nor,MoorLa00,fumbles_lost,0,,,,,
player,201210280den,nor,RobyCo00,pass_cmp,0,,,,,
player,201210280den,nor,RobyCo00,pass_att,0,,,,,
player,201210280den,nor,RobyCo00,pass_yds,0,,,,,
player,201210280den,nor,RobyCo00,pass_td,0,,,,,
player,201210280den,nor,RobyCo00,pass_int,0,,,,,
player,201210280den,nor,RobyCo00,pass_sacked,0,,,,,
player,201210280den,nor,RobyCo00,pass_sacked_yds,0,,,,,
player,201210280den,nor,RobyCo00,pass_long,0,,,,,
player,201210280den,nor,RobyCo00,pass_rating,,,,,,
player,201210280den,nor,RobyCo00,rush_att,0,,,,,
player,201210280den,nor,RobyCo00,rush_yds,0,,,,,
player,201210280den,nor,RobyCo00,rush_td,0,,,,,
player,201210280den,nor,RobyCo00,rush_long,0,,,,,
